Loc,,New Plant,Item,,Size,Plant Name,Common Name,CAT,Zone,Condition,Current Specs,Qty Allocated,QTY AVAIL NOW,2ND QTY AVAIL,2ND QTY READY DATE,2016 LIST PRICE,"ADD'L 10% 
QTY 
BUY PRICE","ADD'L 12.5% 
QTY
BUY
PRICE","UNIT 
FRT"
OR,160000,,051312,160000051312,#2,ABIES CONCOLOR CANDICANS,Candicans White Fir                                         ,CON,04,-,"24""H - 12""S",     ,     , 56 ,05/15/16  , 28.60 , 25.74 , 25.03 ,1.45
OR,160000,,051315,160000051315,#5,ABIES CONCOLOR CANDICANS,Candicans White Fir                                         ,CON,04,-,"42""H",     ,     , 9 ,04/27/16  , 48.50 , 43.65 , 42.44 ,2.91
OR,160000,    ,019342,160000019342,#2,ABIES LAS GLAUCA COMPACTA,Dwarf Blue Rocky Mountain Fir                               ,CON,03,-,"10""H - 12""S",     , 10 ,     ,          , 28.75 , 25.88 , 25.16 ,1.45
OR,160000,    ,019345,160000019345,#5,ABIES LAS GLAUCA COMPACTA,Dwarf Blue Rocky Mountain Fir                               ,CON,03,-,"15""H - 15""S", 17 ,     , 17 ,06/01/16  , 48.50 , 43.65 , 42.44 ,2.91
OR,160000,    ,000485,160000000485,#5,ACER GIN RED RHAPSODY R,Red Rhapsody®  Amur Maple,TRE,02,DORMANT,"24""H - 15""S",     , 16 , 96 ,05/15/16  , 28.00 , 25.20 , 24.50 ,2.91
OR,160000,,058241,160000058241,#1,ACHILLEA APRICOT DLGHT PP18738,Tutti Frutti Apricot Delight Yarrow                         ,PRN,04,CUT BACK,.,     , 214 ,,, 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,407531,160000407531,#1,ACHILLEA MILL PRETTY BELINDA,Pretty Belinda Yarrow                                       ,PRN,03,CUT BACK,CAN FULL,     , 447 ,,, 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,029061,160000029061,#1,ACHILLEA MILL RED VELVET,Red Velvet Yarrow                                           ,PRN,03,CUT BACK,CAN FULL,     , 468 ,,, 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,001351,160000001351,#1,ACHILLEA X MOONSHINE,Moonshine Yarrow                                            ,PRN,03,CUT BACK,CAN FULL,     ,     , 649 ,06/01/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,X,096081,160000096081,#1 STAKED,ACTINIDIA ARG HARDY MALE,Hardy Kiwi (Male)                                           ,VIN,04,,,     ,     , 160 ,04/27/16  , 12.00 , 10.80 , 10.50 ,0.58
OR,160000,X,096085,160000096085,#5 STAKED,ACTINIDIA ARG HARDY MALE,Hardy Kiwi (Male)                                           ,VIN,04,DORMANT,FULL STK,     , 134 , 30 ,03/01/16  , 32.25 , 29.03 , 28.22 ,2.91
OR,160000,    ,001391,160000001391,#1 STAKED,ACTINIDIA ARG ISSAI (FEMALE),Hardy Kiwi Vine                                             ,VIN,04,DORMANT,FULL STK,     , 86 ,     ,          , 12.00 , 10.80 , 10.50 ,0.58
OR,160000,    ,001395,160000001395,#5 STAKED,ACTINIDIA ARG ISSAI (FEMALE),Hardy Kiwi Vine                                             ,VIN,04,DORMANT,FULL STK,     , 83 , 53 ,03/01/16  , 32.25 , 29.03 , 28.22 ,2.91
OR,160000,    ,028895,160000028895,#5,AESCULUS X ARN AUTUMN SPLENDOR,Autumn Splendor Horse Chestnut                              ,TRE,04,BUDS,"39""H - 15""S", 15 , 15 ,     ,          , 35.00 , 31.50 , 30.63 ,2.91
OR,160000,    ,080301,160000080301,#1,AJUGA CHOCOLATE CHIP,Chocolate Chip Carpet Bugle                                 ,PRN,04,CUT BACK,CAN FULL,     , 165 ,     ,          , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,08030UT,16000008030UT,LittleOne,AJUGA CHOCOLATE CHIP,Chocolate Chip Carpet Bugle                                 ,PRN,04,CUT BACK,CAN FULL,     , 83 ,     ,          , 3.25 , 2.93 , 2.84 ,0.44
OR,160000,    ,00189UT,16000000189UT,LittleOne,AJUGA REPTANS BRONZE BEAUTY,Bronze Beauty Carpet Bugle                                  ,PRN,04,CUT BACK,.,     , 1 ,     ,          , 3.25 , 2.93 , 2.84 ,0.44
OR,160000,    ,000591,160000000591,#1,AJUGA REPTANS BURGUNDY GLOW,Burgundy Glow Carpet Bugle                                  ,PRN,04,CUT BACK,CAN FULL,     , 511 ,,, 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,016632,160000016632,#2,ANDROMEDA POL BLUE ICE,Blue Ice Bog Rosemary                                       ,EVS,02,-,6''H - 12''S,     , 140 ,     ,          , 17.75 , 15.98 , 15.53 ,1.45
OR,160000,    ,002741,160000002741,#1,ANEMONE SYLVESTRIS,Snowdrop Anemone                                            ,PRN,02,CUT BACK,CAN FULL,     , 109 ,     ,          , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,05908UT,16000005908UT,LittleOne,AQUILEGIA C LITTLE LANTERNS,Little Lanterns Columbine                                   ,PRN,03,CUT BACK,.,     , 27 ,     ,          , 3.25 , 2.93 , 2.84 ,0.44
OR,160000,    ,037331,160000037331,#1,AQUILEGIA CAE ORIGAMI BLU & WT,Origami Blue & White Columbine                              ,PRN,03,,,     ,     , 181 ,03/01/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,045921,160000045921,#1,AQUILEGIA CAE ORIGAMI PNK & WT,Origami Pink & White Columbine                              ,PRN,03,,CAN FULL,     ,     , 280 ,03/01/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,036901,160000036901,#1,AQUILEGIA CAE ORIGAMI RED & WT,Origami Red & White Columbine                               ,PRN,03,,,     ,     , 382 ,03/01/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,045931,160000045931,#1,AQUILEGIA CAE ORIGAMI YELLOW,Origami Yellow Columbine                                    ,PRN,03,,CAN FULL,     ,     , 288 ,03/01/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,00272UT,16000000272UT,LittleOne,AQUILEGIA FLA CAMEO BLUE & WT,Cameo Series Blue & White Columbine                         ,PRN,03,EMERGING,., 34 , 343 ,     ,          , 3.25 , 2.93 , 2.84 ,0.44
OR,160000,    ,003041,160000003041,#1,ARMERIA MAR BLOODSTONE,Bloodstone Thrift                                           ,PRN,03,-,CAN FULL,     , 704 ,     ,          , 5.25 , 4.73 , 4.59 ,0.58
