Branch,Item,Description,Confirmed Qty Remaining,,,,,,,,,,,,,
160000,044482,CLEM X JACKMANII SUPERBA, 15 ,,,,,,,,,,,,,
160000,027061,CLEM X MULTI-BLUE, 50 ,,,,,,,,,,,,,
160000,027491,CLEM X ROUGE CARDINAL, 50 ,,,,,,,,,,,,,
160000,027492,CLEM X ROUGE CARDINAL, 15 ,,,,,,,,,,,,,
160000,026371,CLEM X TOKI, 50 ,,,,,,,,,,,,,
160000,026372,CLEM X TOKI, 15 ,,,,,,,,,,,,,
550000,024175,COLOCASIA ANT ILLUSTRIS, 15 ,,,,,,,,,,,,,
550000,024205,COLOCASIA ESC BLACK MAGIC, 15 ,,,,,,,,,,,,,
550000,031732,CORD FESTIVAL TM BRGNDY P14224, 10 ,,,,,,,,,,,,,
550000,031721,CORDYLINE BAUERI, 60 ,,,,,,,,,,,,,
170000,031725,CORDYLINE BAUERI, 20 ,,,,,,,,,,,,,
550000,017421,CORDYLINE RED STAR, 60 ,,,,,,,,,,,,,
160000,080842S,CORNUS STO PUCKERED UP TM PPAF, 25 ,,,,,,,,,,,,,
160000,028505PT,COT APICULATUS, 10 ,,,,,,,,,,,,,
160000,028552,COT APICULATUS TOM THUMB, 30 ,,,,,,,,,,,,,
160000,031381,CYTISUS ALLGOLD, 28 ,,,,,,,,,,,,,
160000,031385,CYTISUS ALLGOLD, 75 ,,,,,,,,,,,,,
160000,031572,DEUTZIA GRACILIS NIKKO, 35 ,,,,,,,,,,,,,
160000,091882,DEUTZIA X NIKKO BLUSH NA74356, 35 ,,,,,,,,,,,,,
160000,033652,EUO F CANADALE GOLD, 62 ,,,,,,,,,,,,,
160000,033902,EUO F EMERALD GAIETY, 50 ,,,,,,,,,,,,,
550000,035405,EUO KIA MANHATTAN, 130 ,,,,,,,,,,,,,
170000,035405ES,EUO KIA MANHATTAN, 11 ,,,,,,,,,,,,,
170000,035572PT,EURYOPS PECT VIRIDIS, 10 ,,,,,,,,,,,,,
170000,035901,FERN-ALSOPHILA AUSTRALIS, 11 ,,,,,,,,,,,,,
170000,035905,FERN-ALSOPHILA AUSTRALIS, 10 ,,,,,,,,,,,,,
550000,036121,FERN-ATHYRIUM NIP PICTUM, 60 ,,,,,,,,,,,,,
550000,036241,FERN-DRYOPTERIS ERYTHROSORA, 60 ,,,,,,,,,,,,,
550000,036451,FERN-MATTEUCCIA STRUTHIOPTERIS, 60 ,,,,,,,,,,,,,
170000,036785,FICUS CAR BROWN TURKEY, 10 ,,,,,,,,,,,,,
170000,036795,FICUS CAR KADOTA, 5 ,,,,,,,,,,,,,
170000,036815,FICUS CAR MISSION, 5 ,,,,,,,,,,,,,
