Branch,Date,SB Order,Item,Description,Size / Form,Confirmed,Remaining,Plus/X,"Remaining
Amount",Ready Date,Specs,Comments,Net Price,"Price
Code","Landed
Price",SKU,Retail,UPC
CA,5/1/2014,1372051,18242,ROSA FLWR CAR R YELLOW PP13869,#2,15,15,Remaining,$192.45 ,READY,"8""H - 10""S",-,$12.83 ,,$15.65 ,,$35.99 ,14949011010
OR,5/1/2014,1372023,70612,SALIX INTEGRA HAKURO NISHIKI,#2,15,15,Remaining,$179.40 ,READY,14''H - 14''S,DORMANT,$11.96 ,,$14.66 ,,$32.99 ,14949706121
OR,5/1/2014,1372023,70615,SALIX INTEGRA HAKURO NISHIKI,#5,15,15,Remaining,$264.30 ,READY,"16""H - 21""S",DORMANT,$17.62 ,,$23.03 ,,$51.99 ,14949706152
OR,5/1/2014,1372023,035942S,SAMBUCUS BLACK LACE TM PP15575,SuperTwo,10,10,Remaining,$147.90 ,4/1/2014,,,$14.79 ,,$18.39 ,,$41.99 ,14949337486
OR,5/1/2014,1372023,71222,SPIRAEA JAP ALPINA,#2,25,25,Remaining,$266.50 ,READY,10''H - 12''S,DORMANT,$10.66 ,,$13.36 ,,$29.99 ,14949712221
OR,5/1/2014,1372023,71252,SPIRAEA JAP LITTLE PRINCESS,#2,10,10,Remaining,$106.60 ,READY,12''H - 14''S,DORMANT,$10.66 ,,$13.36 ,,$29.99 ,14949712528
OR,5/1/2014,1372023,71572,SPIRAEA JAP MAGIC CARPET P9363,#2,10,10,Remaining,$106.60 ,READY,8''H - 12''S,BREAKING DORMANCY,$10.66 ,,$13.36 ,,$29.99 ,14949715727
OR,5/1/2014,1372023,72155,SYRINGA V LAVENDER LADY,#5,5,5,Remaining,$97.90 ,READY,24''H - 16''S,BREAKING DORMANCY,$19.58 ,,$24.99 ,,$56.99 ,14949721551
OR,5/1/2014,1372023,72165,SYRINGA V SENSATION,#5,5,5,Remaining,$97.90 ,READY,24''H - 16''S,DORMANT,$19.58 ,,$24.99 ,,$56.99 ,14949721650
OR,5/1/2014,1372023,72195,SYRINGA X HYA POCAHONTAS,#5,5,5,Remaining,$97.90 ,READY,24''H - 16''S,BREAKING DORMANCY,$19.58 ,,$24.99 ,,$56.99 ,14949721957
OR,5/1/2014,1372023,72862,THUJA OC GOLDEN GLOBE,#2,5,5,Remaining,$57.65 ,READY,"14""S",WINTER COLOR,$11.53 ,,$14.23 ,,$32.99 ,14949728628
CA,5/1/2014,1372051,070055ST,TRACH JASMINOIDES,#5 STAKED,3,3,Remaining,$57.42 ,READY,"36""H",WINTER COLOR,$19.14 ,,$24.77 ,,$55.99 ,14949700457
OR,5/1/2014,1372023,76392,WEIGELA FL DARK HORSE PP14381,#2,10,10,Remaining,$119.60 ,READY,"10""H - 10""S",DORMANT,$11.96 ,,$14.66 ,,$32.99 ,14949763926
OR,5/1/2014,1372023,76412,WEIGELA FL FRNC LACE TM P12666,#2,5,5,Remaining,$59.80 ,READY,14''H - 12''S,DORMANT,$11.96 ,,$14.66 ,,$32.99 ,14949764121
CA,5/1/2014,1372051,76701,WISTERIA FL ROSEA,#1 STAKED,5,5,Remaining,$34.80 ,READY,21''H,DORMANT,$6.96 ,,$8.09 ,,$18.99 ,14949767016
OR,5/1/2014,1372023,76815,WISTERIA FRU AMETHYST FALLS,#5 STAKED,5,5,Remaining,$95.70 ,READY,48''FULL STK,DORMANT,$19.14 ,,$24.55 ,,$55.99 ,14949768150
CA,5/1/2014,1372051,76851,WISTERIA SINENSIS,#1 STAKED,5,5,Remaining,$30.45 ,READY,21''H,DORMANT,$6.09 ,,$7.22 ,,$16.99 ,14949768518
,,,,,,,,,"$19,984.05 ",,,,,,,,,
