Branch,Date,SB Order,Item,Description,Size / Form,Confirmed,Remaining,Plus/X,"Remaining
Amount",Ready Date,Specs,Comments,Net Price,"Price
Code","Landed
Price",SKU,Retail,UPC
GA,5/1/2014,1372061,17411,CANNA TROPICANNA GLD TM P13809,#1,10,10,Remaining,$78.30 ,4/1/2014,,,$7.83 ,,$8.49 ,,$19.99 ,14949005132
GA,5/1/2014,1372061,22481,CANNA TROPICANNA TM PP10569,#1,15,15,Remaining,$117.45 ,4/1/2014,,,$7.83 ,,$8.49 ,,$19.99 ,14949055656
CA,5/1/2014,1372051,22482,CANNA TROPICANNA TM PP10569,#2,10,10,Remaining,$161.00 ,4/15/2014,,,$16.10 ,,$18.92 ,,$42.99 ,14949224823
CA,5/1/2014,1372051,38415,CERCIS C HEARTS OF GOLD P17740,#5,1,1,Remaining,$33.06 ,READY,"40""H",DORMANT,$33.06 ,,$38.69 ,,$87.99 ,14949219454
CA,5/1/2014,1372051,24752,CITRUS BEARSS SEEDLESS LIME,#2,5,5,Remaining,$72.85 ,READY,"14""H-12""S",-,$14.57 ,,$17.39 ,,$39.99 ,14949247525
CA,5/1/2014,1372051,24815,CITRUS DWF CAMPBELL VALENCIA,#5,5,5,Remaining,$130.50 ,4/25/2014,,,$26.10 ,,$31.73 ,,$71.99 ,14949248157
CA,5/1/2014,1372051,26002,CITRUS IMPROVED MEYER LEMON,#2,10,10,Remaining,$145.70 ,READY,"10""H-10""S",-,$14.57 ,,$17.39 ,,$39.99 ,14949260029
CA,5/1/2014,1372051,26005,CITRUS IMPROVED MEYER LEMON,#5,10,10,Remaining,$211.00 ,READY,"18""H-15""S",-,$21.10 ,,$26.73 ,,$60.99 ,14949260050
CA,5/1/2014,1372051,25605,CITRUS KUMQUAT NAGAMI,#5,5,5,Remaining,$130.50 ,READY,"18""H-16""S",FULL FRUIT,$26.10 ,,$31.73 ,,$71.99 ,14949256053
CA,5/1/2014,1372051,25785,CITRUS LISBON LEMON,#5,5,5,Remaining,$105.50 ,4/25/2014,,,$21.10 ,,$26.73 ,,$60.99 ,14949257852
