Loc,Item Number,Plant Category,Plant Name,Confirmed Qty Remaining
OR,017611,EVS,GAULTHERIA RED BARON, 10 
OR,075431,PRN,HELLEBORUS X DOUBLE FANTASY, 15 
OR,076281,PRN,HEM RUBY SPIDER, 12 
CT,031872,PRN,HOSTA ABIQUA DRINKING GOURD, 20 
OR,041771,PRN,HOSTA GOLDEN PRAYERS, 12 
CT,403621,PRN,HOSTA PRAYING HANDS, 24 
OR,039471,PRN,HOSTA ROSEDALE GOLDEN GOOSE, 12 
CT,089953S,DCS,HYD P LITTLE QUICK FIRE R PPAF, 15 
GA,089945,DCS,HYD PAN FIRE LIGHT TM PPAF, 10 
CT,074607PT,DCS,HYD PAN QUICK FIRE R PP16812, 4 
CT,045693,DCS,ILEX V SOUTHERN GENTLEMAN(MALE, 3 
CT,074935,DCS,ILEX VERT BERRY NICE R, 20 
OR,048135,CON,JUN C SEA OF GOLD R PP17622, 14 
CA,048135,CON,JUN C SEA OF GOLD R PP17622, 3 
OR,049252,CON,JUN H BLUE CHIP, 20 
OR,050702,CON,JUN H WILTONII, 20 
OR,05330M,CON,JUN SC WICHITA BLUE, 10 
OR,053305,CON,JUN SC WICHITA BLUE, 4 
CA,053305,CON,JUN SC WICHITA BLUE, 2 
CT,081072,PRN,PAEONIA OFF RUBRA PLENA, 10 
CT,404932,PRN,PAEONIA X DUCHESSE DE NEMOUR, 9 
CT,064451,PRN,PHLOX SUB EMERALD BLUE, 12 
CT,091041,PRN,PHLOX SUB EMERALD PINK, 12 
CT,062561,PRN,PHLOX SUBULATA FORT HILLS, 24 
CT,029943S,DCS,PHYSOCARPUS SUMR WINE R P14821, 15 
OR,086652,DCS,POTENTILLA PINK BEAUTY P9874, 15 
OR,066742,DCS,POTENTILLA SUNSET, 20 
OR,07094UT,PRN,SEDUM BRONZE CARPET, 32 
GA,06550UT,PRN,SEMPERVIVUM ARACHNOIDEUM, 16 
OR,071232,DCS,SPIRAEA X LIMEMOUND R, 26 
OR,074685PT,DCS,SYRINGA BLOOMERNG R PUR P20575, 2 
CT,406923,DCS,SYRINGA V TINY DANCER TM, 10 
CT,08030UT,PRN,AJUGA CHOCOLATE CHIP, 16 
GA,00189UT,PRN,AJUGA REPTANS BRONZE BEAUTY, 16 
GA,00059UT,PRN,AJUGA REPTANS BURGUNDY GLOW, 16 
OR,055482,PRN,ARALIA CORDATA GOTEMBA, 6 
CT,028281,PRN,ASCLEPIAS GAY BUTTERFLIES, 18 
CT,059151,PRN,ASTILBE VISION IN PINK PP11860, 24 
GA,016341,PRN,ASTILBE VISION IN RED PP11965, 24 
OR,023942,DCS,BER CRIMSON RUBY R PPAF, 20 
OR,012032,DCS,BER GOLDN NUGGET TM P9577 CBR, 30 
OR,080771S,DCS,BER SUNJOY R MINI SALSA PPAF, 15 
OR,012012,DCS,BER T CHERRY BOMB R CPBR 3488, 20 
OR,002242,DCS,BER T CONCORDE, 4 
OR,035231,DCS,BER T GOLDEN RUBY R PP16203, 20 
OR,035232,DCS,BER T GOLDEN RUBY R PP16203, 45 
OR,012105,DCS,BER T HELMOND PILLAR, 10 
CT,062932,DCS,BER T ORANGE ROCKET PP18411, 20 
OR,035242,DCS,BER T PYGMY RUBY TM, 60 
OR,012202,DCS,BER T ROSE GLOW, 25 
OR,012205,DCS,BER T ROSE GLOW, 25 
OR,029662,DCS,BER T ROYAL CLOAK, 10 
OR,003012,EVS,BUXUS CHICAGOLAND GREEN R, 60 
CT,013823CN,EVS,BUXUS GREEN MOUNTAIN, 10 
OR,013892,EVS,BUXUS GREEN VELVET, 7 
GA,013892,EVS,BUXUS GREEN VELVET, 26 
OR,013895,EVS,BUXUS GREEN VELVET, 100 
CT,013897,EVS,BUXUS GREEN VELVET, 29 
CA,022712ST,VIN,CAMPSIS BALBOA SUNSET R, 10 
CA,022715,VIN,CAMPSIS BALBOA SUNSET R, 6 
OR,024032,CON,CHAM PIS FIL GOLDEN CHARM, 30 
CT,082455,CON,CHAM PIS GOLDEN MOP, 30 
OR,021862,VIN,CLEM SAPPHIRE INDIGO TMPP17012, 10 
OR,021865,VIN,CLEM SAPPHIRE INDIGO TMPP17012, 5 
OR,027221,VIN,CLEM X COMTESSE DE BOUCHAUD, 10 
OR,027261,VIN,CLEM X JACKMANII, 10 
GA,027532,DCS,CLETHRA ALN RUBY SPICE, 30 
OR,028552,DCS,COT APICULATUS TOM THUMB, 15 
OR,028145,DCS,COTINUS COG ROYAL PURPLE, 5 
GA,022831,PRN,ECHINACEA CRNBRY CUPCAKE PPAF, 12 
GA,074341,PRN,ERYNGIUM PLANUM BLUE HOBBIT, 18 
CT,033605,DCS,EUO ALATUS COMPACTUS, 50 
OR,046682,PRN,EUPATORIUM PHANTOM PP18354, 10 
GA,018761,FRN,FERN-ATHYRIUM GHOST, 72 
CA,018762,FRN,FERN-ATHYRIUM GHOST, 20 
OR,036262,FRN,FERN-DRYOPTERIS FELIX-MAS ROB, 10 
CT,036411,FRN,FERN-OSMUNDA CINNAMOMEA, 18 
GA,005091,FRN,FERN-THELYPTERIS DECUR-PINNATA, 18 
CT,031415,DCS,FOTHERGILLA MAJ BLU SHADOW PAF, 15 
CT,037185,DCS,FOTHERGILLA MAJ MOUNT AIRY, 15 
OR,086091,PRN,FRAGARIA X ANANASSA TOSCANA, 12 
GA,067791,GRS,GR-BOUT BLOND AMBITION PP22048, 24 
GA,036671,GRS,GR-FESTUCA GLAUCA ELIJAH BLUE, 50 
CT,035911,GRS,GR-HAKONECHLOA MACRA ALL GOLD, 100 
CT,038681,GRS,GR-HAKONECHLOA MACRA AUREOLA, 100 
OR,005455,GRS,GR-MIS SIN DIXIELAND, 15 
CT,061553,GRS,GR-MIS SIN STRICTUS, 30 
GA,063883,GRS,GR-PAN VIR SHENANDOAH, 20 
CT,064263,GRS,GR-PENN ALO HAMELN, 25 
CT,039991S,PRN,HELLE X IVORY PRINCE PP16199, 25 
CT,040631,PRN,HEM PRAIRIE BLUE EYES, 12 
CT,083931,PRN,HEM SWIRLING WATER, 12 
GA,023101,PRN,HEUCHERA FROSTED VIOLET P15085, 12 
CA,047531,PRN,HEUCHERA GEORGIA PEACH PP19375, 10 
CT,018661,PRN,HEUCHERA GREEN SPICE, 12 
GA,028391,PRN,HOSTA OLIVE BAILEY LANGDON, 24 
CT,403803,DCS,HYD END SUM R BLMSTRCK TM PPAF, 10 
GA,017315,DCS,HYD M ENDLESS SUMMER R PP15298, 35 
CT,404023,DCS,HYD PAN SWEET SUMMER PP21778, 10 
OR,035011,VIN,HYD PET MIRANDA, 10 
OR,035015,VIN,HYD PET MIRANDA, 10 
CA,080892S,DCS,HYPERICUM K BLUES FSTVL TM PAF, 10 
CT,042201,PRN,IBERIS SEMP SNOWFLAKE, 24 
OR,046875,CON,JUN C BLUE POINT, 3 
CA,046875,CON,JUN C BLUE POINT, 12 
GA,046877,CON,JUN C BLUE POINT, 13 
GA,050902,CON,JUN PRO NANA, 20 
OR,053391,CON,JUN SQUA BLUE STAR, 30 
OR,053392,CON,JUN SQUA BLUE STAR, 30 
OR,059055ST,VIN,LONICERA JAP HALLIANA, 5 
CA,059055ST,VIN,LONICERA JAP HALLIANA, 5 
CT,404962,PRN,PAEONIA ITOH FIRST ARRIVAL, 16 
OR,024242,PRN,PAEONIA X BLAZE (RED), 10 
CT,019522,PRN,PAEONIA X BOWL OF BEAUTY (PK), 10 
CT,063572,PRN,PAEONIA X KARL ROSENFIELD(RED), 10 
CT,404952,PRN,PAEONIA X PINK HAWAIAN CORAL, 10 
CT,039662,PRN,PAEONIA X PRIMEVERE (WHITE), 10 
OR,046072,PRN,PAEONIA X RASPBERRY SUNDAE(PK), 4 
CT,046072,PRN,PAEONIA X RASPBERRY SUNDAE(PK), 6 
CA,002581,VIN,PARTH TRI GREEN SHOWERS, 15 
CA,002585,VIN,PARTH TRI GREEN SHOWERS, 10 
CT,405411,PRN,POLYGONATUM MULTIFLORUM, 12 
CT,407507,TRE,"PRUNUS X SNOW FOUNTAIN TM 36""", 6 
GA,036292,ROS,ROSA FLWR CAR R AMBER PPAF, 30 
CA,036295PT,ROS,ROSA FLWR CAR R AMBER PPAF, 4 
CA,069292,ROS,ROSA FLWR CAR R APLBLSM P10239, 20 
CA,069785PT,ROS,ROSA FLWR CAR R PINK, 4 
CA,036382,ROS,ROSA FLWR CAR R PNK SUP P16276, 20 
CT,042823S,ROS,ROSA KNCK OUT R DBL PNK P18507, 20 
GA,042825PT,ROS,ROSA KNCK OUT R DBL PNK P18507, 4 
CT,030903S,ROS,ROSA KNCK OUT R DBL RD P16202, 20 
CT,011623S,ROS,ROSA KNCK OUT R P11836 (RED), 10 
GA,011623S,ROS,ROSA KNCK OUT R P11836 (RED), 39 
GA,011625PT,ROS,ROSA KNCK OUT R P11836 (RED), 8 
GA,022153S,ROS,ROSA KNCK OUT R P15070 (PINK), 40 
GA,022155PT,ROS,ROSA KNCK OUT R P15070 (PINK), 4 
CA,090795ST,ROS,ROSA-CL-CECILE BRUNNER, 8 
OR,070612,DCS,SALIX INTEGRA HAKURO NISHIKI, 20 
OR,035942S,DCS,SAMBUCUS BLACK LACE TM PP15575, 10 
OR,019992S,DCS,SAMBUCUS BLK BEAUTY TM PP12305, 10 
CT,00730UT,PRN,SEDUM SSPRKLR R LIME ZNGR PPAF, 16 
GA,06559UT,PRN,SEMPERVIVUM BLACK, 16 
GA,06560UT,PRN,SEMPERVIVUM GREEN WHEEL, 16 
GA,06598UT,PRN,SEMPERVIVUM HARDY MIX, 32 
GA,06561UT,PRN,SEMPERVIVUM KREBS DES ROSE, 16 
GA,06563UT,PRN,SEMPERVIVUM RED RUBIN, 16 
CT,075013S,DCS,SPIRAEA DBLPLAY R ARTIST PPAF, 20 
CT,075033S,DCS,SPIRAEA DBLPLAY R BIGBANG PPAF, 20 
OR,075022S,DCS,SPIRAEA DBLPLAY R GOLD PPAF, 14 
OR,071222,DCS,SPIRAEA JAP ALPINA, 40 
