Loc,Item,Size,Description,Botanical Name,Common Name,Product,Zone,Condition,Current Specs,Plant Status,Qty Ordered,Qty Remaining,Available Qty,Min Order Qty,List Price,Net Price,Frt Rate,Landed Price,SKU,Retail Price,UPC#,Sale Price,AVL Flag
CA,077412S,SuperTwo,BUD LO&BEHLD R PRPL HAZE PPAF,Buddleja (B. davidii x (B. davidii x B. globosa)) x (B. davi,Lo & Behold®  Purple Haze Summer Lilac,DCS,05,WINTER COLOR,"8""H - 11""S",,     ,     , 13 , 5 , 17.00 , 17.00 , 0.96 ,17.96,            ,     ,014949361030,          , 
CA,013572,#2,BUDDLEJA DAV PETITE SNOW TM,Buddleja davidii 'Monite'                                   ,Petite Snow™  Butterfly Bush,DCS,05,WINTER COLOR,"12""H - 12""S",,     ,     , 53 , 5 , 14.50 , 14.50 , 0.72 ,15.22,            ,     ,014949135723,          , 
CA,077391S,SuperOne TM,BUDDLEJA MISS MOLLY PPAF,"Buddleja x 'Miss Molly' P.P.A.F., C.B.R.A.F.                ",Miss Molly Summer Lilac                                     ,DCS,05,WINTER COLOR,"7""H - 9""S",,     ,     , 612 , 10 , 9.50 , 9.50 , 0.48 ,9.98,            ,     ,014949355701,          , 
CA,077392S,SuperTwo,BUDDLEJA MISS MOLLY PPAF,"Buddleja x 'Miss Molly' P.P.A.F., C.B.R.A.F.                ",Miss Molly Summer Lilac                                     ,DCS,05,WINTER COLOR,"10""H - 12""S",,     ,     , 19 , 5 , 17.00 , 17.00 , 0.96 ,17.96,            ,     ,014949355749,          , 
CA,013821,#1,BUXUS GREEN MOUNTAIN,Buxus x 'Green Mountain'                                    ,Green Mountain Boxwood                                      ,EVS,04,WINTER COLOR,"10""H - 6""S",,     ,     , 24 , 10 , 6.50 , 6.50 , 0.29 ,6.79,            ,     ,014949138212,          , 
CA,013705GL,#5 GLOBE,BUXUS MIC FAULKNER,Buxus microphylla 'Faulkner'                                ,Faulkner Boxwood                                            ,EVS,05,WINTER COLOR,"12""H - 12""S",,     ,     , 6 , 2 , 37.00 , 37.00 , 1.44 ,38.44,            ,     ,014949062517,          , 
CA,025285,#5,CAESALPINIA GILLIESII,Caesalpinia gilliesii                                       ,Yellow Bird Of Paradise                                     ,EVS,08,DORMANT,"18""H - 15""S",,     ,     , 12 , 5 , 21.50 , 21.50 , 1.44 ,22.94,            ,     ,014949051429,          , 
CA,046761,#1,CALLISTEM SCRLT TRCH TM P23848,"Callistemon rigidus 'RutCall' P.P.#23,848                   ",Scarlet Torch™  Bottlebrush,EVS,08,BUDS,"8""H - 8""S",,     ,     , 193 , 10 , 7.25 , 7.25 , 0.29 ,7.54,            ,     ,014949250679,          , 
CA,046765,#5,CALLISTEM SCRLT TRCH TM P23848,"Callistemon rigidus 'RutCall' P.P.#23,848                   ",Scarlet Torch™  Bottlebrush,EVS,08,BUDS,"18""H - 18""S",,     ,     , 37 , 5 , 23.50 , 23.50 , 1.44 ,24.94,            ,     ,014949248881,          , 
CA,014402,#2,CALLISTEMON LITTLE JOHN,Callistemon citrinus 'Little John'                          ,Dwarf Bottlebrush                                           ,EVS,08,LIGHT BUDS,"10''H - 10""S",,     ,     , 509 , 5 , 15.00 , 15.00 , 0.72 ,15.72,            ,     ,014949045633,          , 
CA,014405,#5,CALLISTEMON LITTLE JOHN,Callistemon citrinus 'Little John'                          ,Dwarf Bottlebrush                                           ,EVS,08,LIGHT BUDS,"12""H - 15""S",,     ,     , 560 , 5 , 22.00 , 22.00 , 1.44 ,23.44,            ,     ,014949144053,          , 
CA,022711,#1 STAKED,CAMPSIS BALBOA SUNSET R,Campsis radicans 'Monbal'                                   ,Balboa Sunset®  Trumpet Creeper,VIN,04,DORMANT,24''H,,     ,     , 236 , 10 , 7.50 , 7.50 , 0.29 ,7.79,            ,     ,014949227121,          , 
CA,022712ST,#2 STAKED,CAMPSIS BALBOA SUNSET R,Campsis radicans 'Monbal'                                   ,Balboa Sunset®  Trumpet Creeper,VIN,04,DORMANT,"30""H",,     ,     , 5 , 5 , 15.75 , 15.75 , 0.72 ,16.47,            ,     ,014949211755,          , 
CA,022715,#5 STAKED,CAMPSIS BALBOA SUNSET R,Campsis radicans 'Monbal'                                   ,Balboa Sunset®  Trumpet Creeper,VIN,04,DORMANT,48''H,,     ,     , 879 , 5 , 26.00 , 26.00 , 1.44 ,27.44,            ,     ,014949227138,          , 
CA,022381,#1 STAKED,CAMPSIS FLAVA,Campsis radicans 'Flava'                                    ,Yellow Trumpet Creeper                                      ,VIN,04,DORMANT,24''H,,     ,     , 8 , 10 , 7.50 , 7.50 , 0.29 ,7.79,            ,     ,014949223819,          , 
CA,022385,#5 STAKED,CAMPSIS FLAVA,Campsis radicans 'Flava'                                    ,Yellow Trumpet Creeper                                      ,VIN,04,DORMANT,48''H,,     ,     , 667 , 5 , 26.00 , 26.00 , 1.44 ,27.44,            ,     ,014949223857,          , 
CA,022551,#1 STAKED,CAMPSIS MADAME GALEN,Campsis x tagliabuana 'Madame Galen'                        ,Trumpet Creeper                                             ,VIN,04,DORMANT,24''H,,     ,     , 738 , 10 , 7.50 , 7.50 , 0.29 ,7.79,            ,     ,014949225516,          , 
CA,022552ST,#2 STAKED,CAMPSIS MADAME GALEN,Campsis x tagliabuana 'Madame Galen'                        ,Trumpet Creeper                                             ,VIN,04,DORMANT,"30""H",,     ,     , 47 , 5 , 15.75 , 15.75 , 0.72 ,16.47,            ,     ,014949024508,          , 
CA,022462,#2,CANNA PRESIDENT,Canna x generalis 'President'                               ,President Canna                                             ,PRN,07,CUT BACK,,PS0,     ,     , 15 , 5 , 13.00 , 13.00 , 0.72 ,13.72,            ,     ,014949055632,          , 
CA,022422,#2,CANNA RICHARD WALLACE,Canna x generalis 'Richard Wallace'                         ,Richard Wallace Canna                                       ,PRN,07,CUT BACK,,PS0,     ,     , 5 , 5 , 13.00 , 13.00 , 0.72 ,13.72,            ,     ,014949055649,          , 
CA,029212,#2,CANNA TROP BLACK TM PP21350,"Canna indica 'Lon01' P.P.#21,350                            ",Tropicanna®  Black Canna,PRN,07,CUT BACK,3-5 EYES,PS0,     ,     , 10 , 5 , 19.50 , 19.50 , 0.72 ,20.22,            ,     ,014949065921,          , 
CA,017412,#2,CANNA TROPICANNA GLD TM P13809,"Canna indica 'Mactro' P.P.# 13,809                          ",Tropicanna®  Gold Canna,PRN,07,CUT BACK,3-5 EYES,PS0,     ,     , 132 , 5 , 19.50 , 19.50 , 0.72 ,20.22,            ,     ,014949010969,          , 
CA,038415,#5,CERCIS C HEARTS OF GOLD P17740,"Cercis canadensis 'Hearts of Gold' P.P #17,740              ",Hearts Of Gold Redbud                                       ,TRE,05,DORMANT,"56""H",,     ,     , 1 , 5 , 40.50 , 40.50 , 1.44 ,41.94,            ,     ,014949219454,          , 
CA,023575,#5,CERCIS CAN OKLAHOMA,Cercis canadensis var. texensis 'Oklahoma'                  ,Oklahoma Redbud                                             ,TRE,06,DORMANT,"54""H",,     ,     , 4 , 5 , 33.00 , 33.00 , 1.44 ,34.44,            ,     ,014949235751,          , 
CA,023525,#5,CERCIS CHIN AVONDALE,Cercis chinensis 'Avondale'                                 ,Avondale Redbud                                             ,TRE,05,LIGHT BUDS,"54""H",,     ,     , 1 , 5 , 33.00 , 33.00 , 1.44 ,34.44,            ,     ,014949235256,          , 
CA,023527,#7,CERCIS CHIN AVONDALE,Cercis chinensis 'Avondale'                                 ,Avondale Redbud                                             ,TRE,05,LIGHT BUDS,"60""H",,     ,     , 5 , 2 , 69.00 , 69.00 , 3.59 ,72.59,            ,     ,014949235270,          , 
CA,023515,#5,CERCIS MEXICANA,Cercis canadensis var. mexicana                             ,Mexican Redbud                                              ,TRE,05,DORMANT,"72""H",,     ,     , 9 , 5 , 33.00 , 33.00 , 1.44 ,34.44,            ,     ,014949235157,          , 
CA,057381,#1,CESTRUM AUR ORANGE PEEL,Cestrum 'Orange Peel'                                       ,Orange Peel Jessamine                                       ,EVS,07,BUDS,"8""H- 8""S",,     ,     , 93 , 10 , 7.25 , 7.25 , 0.29 ,7.54,            ,     ,014949340554,          , 
CA,023261,#1,CESTRUM FAS NEWELLII,Cestrum fasciculatum var. 'Newellii'                        ,Newell Cestrum                                              ,EVS,08,-,"10""H - 6""S",,     ,     , 121 , 10 , 6.50 , 6.50 , 0.29 ,6.79,            ,     ,014949232613,          , 
CA,023265,#5,CESTRUM FAS NEWELLII,Cestrum fasciculatum var. 'Newellii'                        ,Newell Cestrum                                              ,EVS,08,-,"18""H - 15""S",,     ,     , 121 , 5 , 20.50 , 20.50 , 1.44 ,21.94,            ,     ,014949232651,          , 
CA,023601,#1,CESTRUM NOCTURNUM,Cestrum nocturnum                                           ,Night Blooming Jessamine                                    ,EVS,09,-,"10""H-8""S",,     ,     , 14 , 10 , 6.50 , 6.50 , 0.29 ,6.79,            ,     ,014949236017,          , 
CA,023605,#5,CESTRUM NOCTURNUM,Cestrum nocturnum                                           ,Night Blooming Jessamine                                    ,EVS,09,-,"24""H-15""S",,     ,     , 21 , 5 , 20.50 , 20.50 , 1.44 ,21.94,            ,     ,014949236055,          , 
CA,074441S,SuperOne TM,CHAEN DBLTKE TM OR STRM P20950,"Chaenomeles speciosa 'Orange Storm' P.P. #20,950, C.B.R.A.F.",Double Take™  Orange Storm Flowering Quince,DCS,05,DORMANT,"8""H - 8""S",,     ,     , 15 , 10 , 10.50 , 10.50 , 0.48 ,10.98,            ,     ,014949360163,          , 
CA,074442S,SuperTwo,CHAEN DBLTKE TM OR STRM P20950,"Chaenomeles speciosa 'Orange Storm' P.P. #20,950, C.B.R.A.F.",Double Take™  Orange Storm Flowering Quince,DCS,05,LIGHT BUDS,"10""H - 12''S",,     ,     , 297 , 5 , 17.00 , 17.00 , 0.96 ,17.96,            ,     ,014949337196,          , 
CA,074451S,SuperOne TM,CHAEN DBLTKE TM PK STRM P20920,"Chaenomeles speciosa 'Pink Storm' P.P.# 20,920, CBRAF       ",Double Take™  Pink Storm Flowering Quince,DCS,05,DORMANT,"8""H - 8""S",,     ,     , 20 , 10 , 10.50 , 10.50 , 0.48 ,10.98,            ,     ,014949360170,          , 
CA,074452S,SuperTwo,CHAEN DBLTKE TM PK STRM P20920,"Chaenomeles speciosa 'Pink Storm' P.P.# 20,920, CBRAF       ",Double Take™  Pink Storm Flowering Quince,DCS,05,DORMANT,"8""H - 10""S",,     ,     , 89 , 5 , 17.00 , 17.00 , 0.96 ,17.96,            ,     ,014949337219,          , 
CA,030821,#1,CHAENOMELES CAMEO,Chaenomeles japonica 'Cameo'                                ,Cameo Japanese Flowering Quince                             ,DCS,05,DORMANT,"8""H - 8""S",,     ,     , 11 , 10 , 7.50 , 7.50 , 0.29 ,7.79,            ,     ,014949308219,          , 
CA,030822,#2,CHAENOMELES CAMEO,Chaenomeles japonica 'Cameo'                                ,Cameo Japanese Flowering Quince                             ,DCS,05,DORMANT,"8""H - 10""S",,     ,     , 5 , 5 , 14.25 , 14.25 , 0.72 ,14.97,            ,     ,014949308226,          , 
CA,031001,#1,CHAENOMELES SUPER RED R,Chaenomeles japonica 'Moned'                                ,Super Red®  Flowering Quince,DCS,05,DORMANT,"8""H - 8""S",,     ,     , 4 , 10 , 7.50 , 7.50 , 0.29 ,7.79,            ,     ,014949310014,          , 
CA,031002,#2,CHAENOMELES SUPER RED R,Chaenomeles japonica 'Moned'                                ,Super Red®  Flowering Quince,DCS,05,DORMANT,"10""H - 10""S",,     ,     , 23 , 5 , 14.25 , 14.25 , 0.72 ,14.97,            ,     ,014949310021,          , 
CA,024155,#5,CHIL TIMELESS BEAUTY TM P11078,"Chilopsis linearis 'Monhews' P.P. #11,078                   ",Timeless Beauty®  Desert Willow,TRE,07,DORMANT,"20""H",,     ,     , 11 , 5 , 26.50 , 26.50 , 1.44 ,27.94,            ,     ,014949241554,          , 
CA,022985BH,#5 BUSH,CHITALPA TASH PINK DAWN,x Chitalpa tashkentensis 'Pink Dawn'                        ,Pink Dawn Chitalpa                                          ,TRE,06,DORMANT,"26""H",,     ,     , 2 , 5 , 25.50 , 25.50 , 1.44 ,26.94,            ,     ,014949230251,          , 
CA,412561,#1,CHRY (LEU) REAL CHARMER PPAF,Leucanthemum 'Real Charmer' P.P.A.F.                        ,Real Charmer Shasta Daisy                                   ,PRN,05,-,CAN FULL,PS1,     ,     , 70 , 10 , 5.50 , 5.50 , 0.29 ,5.79,            ,     ,014949423387,          , 
CA,412571,#1,CHRY (LEU) REAL GALAXY PPAF,Chrysanthemum 'Real Galaxy' P.P.A.F.                        ,Real Galaxy Shasta Daisy                                    ,PRN,05,-,CAN FULL,PS1,     ,     , 341 , 10 , 5.50 , 5.50 , 0.29 ,5.79,            ,     ,014949423394,          , 
CA,024601,#1,CISTUS PURPUREUS,Cistus x purpureus                                          ,Purple Rock Rose                                            ,EVS,08,-,"6""H - 6""S",,     ,     , 835 , 10 , 7.25 , 7.25 , 0.29 ,7.54,            ,     ,014949246016,          , 
CA,030442,#2,CLIVIA BELGIAN HYB ORANGE,Clivia miniata 'Belgian Hybrid Orange'                      ,Belgian Hybrid Orange Bush Lily                             ,EVS,09,BUDS & BLOOMS,"12""H",,     ,     , 641 , 5 , 15.00 , 15.00 , 0.72 ,15.72,            ,     ,014949068045,          , 
CA,030445,#5,CLIVIA BELGIAN HYB ORANGE,Clivia miniata 'Belgian Hybrid Orange'                      ,Belgian Hybrid Orange Bush Lily                             ,EVS,09,-,"14""H",,     ,     ," 1,268 ", 5 , 24.00 , 24.00 , 1.44 ,25.44,            ,     ,014949068052,          , 
CA,028842,#2,CLIVIA BELGIUM HYB YELLOW,Clivia miniata 'Belgian Hybrid Yellow'                      ,Belgian Hybrid Yellow Bush Lily                             ,EVS,09,BUDS,"14""H",,     ,     , 27 , 5 , 15.00 , 15.00 , 0.72 ,15.72,            ,     ,014949065099,          , 
CA,012555,#5 STAKED,CLYTOSTOMA CALLISTEGIOIDES,Clytostoma callistegioides                                  ,Lavender Trumpet Vine                                       ,VIN,09,-,"48""H",,     ,     , 15 , 5 , 22.50 , 22.50 , 1.44 ,23.94,            ,     ,014949125557,          , 
CA,031721,#1,CORDYLINE BAUERI,Cordyline 'Baueri'                                          ,Bauer's Dracaena Palm                                       ,EVS,09,-,"14""H",,     ,     ," 4,182 ", 10 , 8.00 , 8.00 , 0.29 ,8.29,            ,     ,014949317211,          , 
CA,031725,#5,CORDYLINE BAUERI,Cordyline 'Baueri'                                          ,Bauer's Dracaena Palm                                       ,EVS,09,-,"30""H",,     ,     , 6 , 5 , 28.50 , 28.50 , 1.44 ,29.94,            ,     ,014949317259,          , 
CA,038825,#5,CORDYLINE BURGUNDY SPIRE PPAF,Cordyline australis 'Jel01' P.P.A.F.                        ,Burgundy Spire™  Dracaena Palm,EVS,09,-,16''H,,     ,     , 15 , 5 , 28.50 , 28.50 , 1.44 ,29.94,            ,     ,014949256862,          , 
CA,031701,#1,CORDYLINE INDIVISA,Cordyline indivisa                                          ,Blue Dracaena Palm                                          ,EVS,09,-,"18""H",,     ,     ," 5,587 ", 10 , 6.50 , 6.50 , 0.29 ,6.79,            ,     ,014949317013,          , 
CA,030739,#15,CUP SEMP TINY TOWER R PP12933,"Cupressus sempervirens 'Monshel' P.P. #12,933 Tiny Tower{{#1",Tiny Tower®  Italian Cypress,CON,07,-,"70""H - 14""S*",,     ,     , 1 , 1 , 96.00 , 96.00 , 7.19 ,103.19,            ,     ,014949307397,          , 
CA,083041,#1,CUPHEA HYS ITSY BITSY R LILAC,Cuphea hyssopifolia 'Monshi'                                ,Itsy Bitsy®  Lilac False Heather,PRN,09,-,"6''H -8""S",PS1,     ,     , 769 , 10 , 4.90 , 4.90 , 0.29 ,5.19,            ,     ,014949830413,          , 
CA,083001,#1,CUPHEA HYS ITSY BITSY R WHITE,Cuphea hyssopifolia 'Monga'                                 ,Itsy Bitsy®  White False Heather,PRN,09,-,"5""H - 6""S",PS1,     ,     , 35 , 10 , 4.90 , 4.90 , 0.29 ,5.19,            ,     ,014949830017,          , 
CA,088912,#2,CYNARA SCO GREEN GLOBE,Cynara scolymus 'Improved Green Globe'                      ,Improved Green Globe Artichoke                              ,PRN,06,-,"9""H - 10""S",PS1,     ,     , 34 , 5 , 14.75 , 14.75 , 0.72 ,15.47,            ,     ,014949370995,          , 
CA,025349,#15,DASYLIRION LONGISSIUM,Dasylirion longissimum                                      ,Mexican Grass Tree                                          ,EVS,08,-,"24""H",,     ,     , 5 , 1 , 61.00 , 61.00 , 7.19 ,68.19,            ,     ,014949071861,          ,N
CA,029585,#5,DASYLIRION WHEELERI,Dasylirion wheeleri                                         ,Silver Desert Spoon                                         ,EVS,07,-,"18""H",,     ,     , 10 , 5 , 23.00 , 23.00 , 1.44 ,24.44,            ,     ,014949125298,          , 
CA,078741,#1,DELOSPERMA FIRE SPINNER R,Delosperma 'P001S'                                          ,Fire Spinner®  Ice Plant,PRN,05,-,CAN FULL,PS1,     ,     , 943 , 10 , 5.25 , 5.25 , 0.29 ,5.54,            ,     ,014949358955,          , 
CA,098281S,SuperOne TM,DIANELLA CAE BECCA PP18505,Dianella caerulea 'DCNC0' P.P.# 18505                       ,Becca™  Flax Lily,PRN,07,-,"16""H - 8""S*",PS1,     ,     ," 1,339 ", 10 , 7.50 , 7.50 , 0.48 ,7.98,            ,     ,014949239797,          , 
CA,098371S,SuperOne TM,DIANELLA LITTLE BECCA PP18452,Dianella caerulea 'DCMP01' P.P.# 18452                      ,Little Becca™  Flax Lily,PRN,07,-,"9""H -6""S",PS1,     ,     ," 2,510 ", 10 , 7.50 , 7.50 , 0.48 ,7.98,            ,     ,014949239834,          , 
CA,061605,#5,DIETES IRIDIOIDES (MORAEA),Dietes iridioides                                           ,African Iris                                                ,PRN,08,-,"16""H",PS1,     ,     , 11 , 5 , 18.25 , 18.25 , 1.44 ,19.69,            ,     ,014949616055,          , 
CA,012451,#1 STAKED,DISTICTIS BUCCINATORIA,Distictis buccinatoria                                      ,Scarlet Trumpet Vine                                        ,VIN,09,-,"24""H",,     ,     , 30 , 10 , 7.25 , 7.25 , 0.29 ,7.54,            ,     ,014949124512,          ,N
CA,012471,#1 STAKED,DISTICTIS RIVERS,Distictis 'Rivers'                                          ,Royal Trumpet Vine                                          ,VIN,10,-,"24""H",,     ,     , 31 , 10 , 7.25 , 7.25 , 0.29 ,7.54,            ,     ,014949124710,          , 
CA,069231,#1,ECHEVERIA NODULOSA,Echeveria nodulosa                                          ,Painted Echeveria                                           ,CAC,09,-,CAN FULL,PS1,     ,     , 10 , 10 , 7.25 , 7.25 , 0.29 ,7.54,            ,     ,014949382974,          , 
CA,030562,#2,ECHINOPSIS OXYGONA,Echinopsis oxygona                                          ,Easter Lily Cactus                                          ,CAC,08,-,"8""S",PS1,     ,     , 25 , 5 , 14.75 , 14.75 , 0.72 ,15.47,            ,     ,014949069455,          , 
CA,031969TR,#15 TREE,ELAEOCARPUS DECIPIENS,Elaeocarpus decipiens                                       ,Japanese Blueberry Tree - Shogun®  Series,TRE,08,-,"76""H - 25""S",,     ,     , 4 , 1 , 101.00 , 101.00 , 10.78 ,111.78,            ,     ,014949318997,          , 
CA,062005,#5,ENSETE MAURELII,Ensete ventricosum 'Maurelii'                               ,Red Leaved Banana                                           ,PRN,10,-,"36""H",PS1,     ,     , 12 , 5 , 33.00 , 33.00 , 1.44 ,34.44,            ,     ,014949620052,          , 
CA,036181,#1,ESCALLONIA COMPAKTA,Escallonia 'Compakta'                                       ,Compact Escallonia                                          ,EVS,07,-,"9""H - 8""S",,     ,     , 37 , 10 , 6.50 , 6.50 , 0.29 ,6.79,            ,     ,014949210925,          , 
CA,033305,#5,EUGENIA MYR GLOBULUS,Eugenia myrtifolia 'Globulus'                               ,Dwarf Brush Cherry                                          ,EVS,09,-,"18""H - 15""S",,     ,     , 27 , 5 , 22.00 , 22.00 , 1.44 ,23.44,            ,     ,014949333051,          , 
CA,033305P2,#5 2BALL POODLE,EUGENIA MYR GLOBULUS,Eugenia myrtifolia 'Globulus'                               ,Dwarf Brush Cherry                                          ,EVS,09,-,"34""H - 12""S",,     ,     , 3 , 2 , 59.00 , 59.00 , 2.16 ,61.16,            ,     ,014949333556,          , 
CA,033252,#2,EUGENIA MYR TEENIE GENIE R,Eugenia myrtifolia 'Nanum'                                  ,Teenie Genie®  Miniature Brush Cherry,EVS,09,-,"6""H - 10""S",,     ,     , 30 , 5 , 15.00 , 15.00 , 0.72 ,15.72,            ,     ,014949332528,          , 
CA,033901,#1,EUO F EMERALD GAIETY,Euonymus fortunei 'Emerald Gaiety'                          ,Emerald Gaiety Wintercreeper                                ,EVS,05,WINTER COLOR,"6""H - 8""S",,     ,     , 162 , 10 , 6.00 , 6.00 , 0.29 ,6.29,            ,     ,014949339015,          , 
CA,033902,#2,EUO F EMERALD GAIETY,Euonymus fortunei 'Emerald Gaiety'                          ,Emerald Gaiety Wintercreeper                                ,EVS,05,WINTER COLOR,"8""H - 12""S",,     ,     , 16 , 5 , 13.50 , 13.50 , 0.72 ,14.22,            ,     ,014949339022,          , 
CA,034901,#1,EUO J AUREOVARIEGATUS,Euonymus japonicus 'Aureovariegatus'                        ,Gold Spot Euonymus                                          ,EVS,06,-,"9""H - 7""S",,     ,     , 50 , 10 , 7.00 , 7.00 , 0.29 ,7.29,            ,     ,014949349014,          , 
CA,034902,#2,EUO J AUREOVARIEGATUS,Euonymus japonicus 'Aureovariegatus'                        ,Gold Spot Euonymus                                          ,EVS,06,-,"10""H - 10""S",,     ,     , 4 , 5 , 14.00 , 14.00 , 0.72 ,14.72,            ,     ,014949349021,          , 
CA,035001,#1,EUO J GRANDIFOLIUS,Euonymus japonicus 'Grandifolius'                           ,Japanese Euonymus                                           ,EVS,06,-,"8""H - 8""S",,     ,     , 51 , 10 , 6.00 , 6.00 , 0.29 ,6.29,            ,     ,014949350010,          , 
CA,035055,#5,EUO J GREEN SPIRE,Euonymus japonicus 'Green Spire'                            ,Green Spire Euonymus                                        ,EVS,06,-,"22""H - 16""S",,     ,     , 30 , 5 , 19.75 , 19.75 , 1.44 ,21.19,            ,     ,014949350553,          , 
CA,035251,#1,EUO J MICRO SILVER PRINCESS TM,Euonymus japonicus 'Moness'                                 ,Silver Princess™  Boxleaf Euonymus,EVS,06,-,"8""H - 8""S",,     ,     , 3 , 10 , 7.50 , 7.50 , 0.29 ,7.79,            ,     ,014949352519,          , 
CA,035252,#2,EUO J MICRO SILVER PRINCESS TM,Euonymus japonicus 'Moness'                                 ,Silver Princess™  Boxleaf Euonymus,EVS,06,-,"10""H - 10""S",,     ,     , 22 , 5 , 14.50 , 14.50 , 0.72 ,15.22,            ,     ,014949352526,          , 
CA,035152,#2,EUO J MICRO VARIEGATUS,Euonymus japonicus 'Microphyllus Variegatus'                ,Variegated Boxleaf Euonymus                                 ,EVS,06,-,"6""H - 10""S",,     ,     , 35 , 5 , 13.50 , 13.50 , 0.72 ,14.22,            ,     ,014949351529,          , 
CA,035101,#1,EUO J MICROPHYLLUS,Euonymus japonicus 'Microphyllus'                           ,Boxleaf Euonymus                                            ,EVS,06,-,"6""H - 8""S",,     ,     , 88 , 10 , 6.00 , 6.00 , 0.29 ,6.29,            ,     ,014949351017,          , 
CA,035102,#2,EUO J MICROPHYLLUS,Euonymus japonicus 'Microphyllus'                           ,Boxleaf Euonymus                                            ,EVS,06,-,"6""H - 12""S",,     ,     , 106 , 5 , 13.50 , 13.50 , 0.72 ,14.22,            ,     ,014949351024,          , 
CA,035561,#1,EURYOPS PECT MUNCHKIN,Euryops pectinatus 'Munchkin'                               ,Dwarf Euryops                                               ,EVS,08,BUDS & BLOOMS,"8""H - 8""S",,     ,     , 10 , 10 , 6.00 , 6.00 , 0.29 ,6.29,            ,     ,014949355619,          , 
CA,035565,#5,EURYOPS PECT MUNCHKIN,Euryops pectinatus 'Munchkin'                               ,Dwarf Euryops                                               ,EVS,08,BUDS & BLOOMS,"15""H-15""S",,     ,     , 49 , 5 , 19.75 , 19.75 , 1.44 ,21.19,            ,     ,014949355657,          , 
CA,035571,#1,EURYOPS PECT VIRIDIS,Euryops pectinatus 'Viridis'                                ,Green-Leaved Euryops                                        ,EVS,08,BUDS & BLOOMS,"8""H -8""S",,     ,     , 519 , 10 , 6.00 , 6.00 , 0.29 ,6.29,            ,     ,014949355718,          , 
CA,035572,#2,EURYOPS PECT VIRIDIS,Euryops pectinatus 'Viridis'                                ,Green-Leaved Euryops                                        ,EVS,08,BUDS & BLOOMS,"12""H - 12""S",,     ,     , 16 , 5 , 13.50 , 13.50 , 0.72 ,14.22,            ,     ,014949355732,          , 
CA,035575PT,#5 PATIO TREE,EURYOPS PECT VIRIDIS,Euryops pectinatus 'Viridis'                                ,Green-Leaved Euryops                                        ,EVS,08,BUDS & BLOOMS,"18""S",,     ,     , 3 , 2 , 37.00 , 37.00 , 2.16 ,39.16,            ,     ,014949355855,          , 
CA,035905,#5,FERN-ALSOPHILA AUSTRALIS,Alsophila australis                                         ,Australian Tree Fern                                        ,FRN,10,-,"36""H",,     ,     , 325 , 5 , 23.50 , 23.50 , 1.44 ,24.94,            ,     ,014949359051,          , 
CA,036001,#1,FERN-ASPLENIUM BULBIFERUM,Asplenium bulbiferum                                        ,Mother Fern                                                 ,FRN,09,-,"12""S",,     ,     , 356 , 10 , 6.75 , 6.75 , 0.29 ,7.04,            ,     ,014949360019,          , 
CA,019242,#2,FERN-ATHYRIUM F LADY IN RED,Athyrium filix-femina 'Lady In Red'                         ,Lady In Red Fern                                            ,FRN,02,DORMANT,"10""S",,     ,     , 79 , 5 , 15.50 , 15.50 , 0.72 ,16.22,            ,     ,014949015483,          , 
CA,018762,#2,FERN-ATHYRIUM GHOST,Athyrium 'Ghost'                                            ,Ghost Fern                                                  ,FRN,04,DORMANT,"10""S",,     ,     , 342 , 5 , 15.50 , 15.50 , 0.72 ,16.22,            ,     ,014949015308,          , 
CA,036121,#1,FERN-ATHYRIUM NIP PICTUM,Athyrium niponicum 'Pictum'                                 ,Japanese Painted Fern                                       ,FRN,05,DORMANT,"8""S",,     ,     , 7 , 10 , 6.75 , 6.75 , 0.29 ,7.04,            ,     ,014949361214,          , 
CA,036122,#2,FERN-ATHYRIUM NIP PICTUM,Athyrium niponicum 'Pictum'                                 ,Japanese Painted Fern                                       ,FRN,05,DORMANT,CAN FULL,,     ,     , 4 , 5 , 15.50 , 15.50 , 0.72 ,16.22,            ,     ,014949361221,          , 
CA,022041,#1,FERN-ATHYRIUM REGAL RED,Athyrium niponicum 'Regal Red'                              ,Regal Red Japanese Painted Fern                             ,FRN,04,DORMANT,"12""H",,     ,     , 11 , 10 , 5.75 , 5.75 , 0.29 ,6.04,            ,     ,014949004500,          , 
CA,036151,#1,FERN-CYRTOMIUM ROCHFORDIANUM,Cyrtomium falcatum 'Rochfordianum'                          ,Holly Fern                                                  ,FRN,06,-,CAN FULL,,     ,     , 133 , 10 , 6.75 , 6.75 , 0.29 ,7.04,            ,     ,014949361511,          , 
CA,036242,#2,FERN-DRYOPTERIS ERYTHROSORA,Dryopteris erythrosora                                      ,Autumn Fern                                                 ,FRN,05,-,"10""S",,     ,     , 1 , 5 , 15.50 , 15.50 , 0.72 ,16.22,            ,     ,014949362426,          , 
CA,097641,#1,FERN-MICROLEPIA STRIGOSA,Microlepia strigosa                                         ,Lace Fern                                                   ,FRN,10,-,"15""H",,     ,     , 79 , 10 , 6.75 , 6.75 , 0.29 ,7.04,            ,     ,014949381502,          , 
CA,097611,#1,FERN-NEPHROLEPIS CD CALIFORNIA,Nephrolepis cordifolia 'California'                         ,California Upright Sword Fern                               ,FRN,10,-,"6""H",,     ,     , 3 , 10 , 6.75 , 6.75 , 0.29 ,7.04,            ,     ,014949381458,          , 
