Loc,Item,Size,Description,Botanical Name,Common Name,Product,Zone,Condition,Current Specs,Plant Status,Qty Ordered,Qty Remaining,Available Qty,Min Order Qty,List Price,Net Price,Frt Rate,Landed Price,SKU,Retail Price,UPC#,Sale Price,AVL Flag
CA,056415,#5 STAKED,ACTINIDIA TETRA  VAR MALOIDES,Actinidia tetramera var. maloides                           ,Rosy Crabapple Kiwi                                         ,VIN,06,DORMANT,"48""H",,     ,     , 5 , 5 , 30.50 , 30.50 , 1.44 ,31.94,            ,     ,014949359945,          , 
CA,075041,#1,AEONIUM ARBORESCENS TIP TOP TM,Aeonium arborescens Tip Top™ ,Tip Top™  Aeonium,CAC,09,-,"8""H - 4""S",PS1,     ,     , 36 , 10 , 7.25 , 7.25 , 0.29 ,7.54,            ,     ,014949338049,          , 
CA,035282,#2,AGAPANTHUS AFR SUN STRIPE R,Agapanthus africanus 'MonKageyama'                          ,Sun Stripe®  Agapanthus,EVS,08,-,"8""H",,     ,     , 24 , 5 , 17.50 , 17.50 , 0.72 ,18.22,            ,     ,014949252895,          , 
CA,001651,#1,AGAPANTHUS AFRICANUS,Agapanthus africanus                                        ,Lily Of The Nile                                            ,EVS,08,-,"10""H",,     ,     , 938 , 10 , 5.50 , 5.50 , 0.29 ,5.79,            ,     ,014949016510,          , 
CA,099571,#1,AGAPANTHUS BABY PETE TMPP21705,"Agapanthus praecox ssp. orientalis 'Benfran' P.P. #21,705   ",Baby Pete™  Lily Of The Nile,EVS,08,-,"5""H",,     ,     ," 7,274 ", 10 , 7.50 , 7.50 , 0.29 ,7.79,            ,     ,014949265208,          , 
CA,001801,#1,AGAPANTHUS QUEEN ANNE-DIVISION,Agapanthus africanus 'Queen Anne'                           ,Queen Anne Lily Of The Nile                                 ,EVS,08,-,3-5 FANS,,     ,     ," 1,228 ", 10 , 7.00 , 7.00 , 0.29 ,7.29,            ,     ,014949018019,          , 
CA,074122,#2,AGAVE BRACTEOSA CALAMAR,Agave bracteosa 'Calamar'                                   ,Calamar Squid Agave                                         ,CAC,08,-,8''S,,     ,     , 51 , 5 , 18.75 , 18.75 , 1.08 ,19.83,            ,     ,014949335505,          , 
CA,021595,#5,AGAVE DESMETTIANA VARIEGATA,Agave desmettiana 'Variegata'                               ,Variegated Dwarf Agave                                      ,CAC,09,-,"8""H - 14""S",,     ,     , 523 , 5 , 23.50 , 23.50 , 2.16 ,25.66,            ,     ,014949040850,          , 
CA,068771S,SuperOne TM,AGAVE FILIFERA,Agave filifera ssp. filifera                                ,Thread Agave                                                ,CAC,07,-,CAN FULL,,     ,     , 11 , 10 , 11.25 , 11.25 , 0.48 ,11.73,            ,     ,014949377598,          , 
CA,068812,#2,AGAVE POTATORUM KISSHO KAN,Agave potatorum 'Kissho Kan'                                ,Lucky Crown Century Plant                                   ,CAC,09,-,8''S,,     ,     , 515 , 5 , 18.75 , 18.75 , 1.08 ,19.83,            ,     ,014949327623,          , 
CA,034295TR,#5 TREE,AGONIS FLEX AFTER DARK,Agonis flexuosa 'After Dark'                                ,Purple Peppermint Willow                                    ,EVS,10,-,"48""H",,     ,     , 7 , 2 , 27.00 , 27.00 , 1.44 ,28.44,            ,     ,014949230770,          , 
CA,001995,#5,ALBIZIA J SUMMER CHOC PP13822,"Albizia julibrissin 'Summer Chocolate' P.P.# 13,822         ",Summer Chocolate Mimosa Tree                                ,TRE,07,DORMANT,"56""H",,     ,     , 1 , 5 , 35.00 , 35.00 , 1.44 ,36.44,            ,     ,014949312193,          , 
CA,001955,#5,ALBIZIA JUL ROSEA,Albizia julibrissin 'Rosea'                                 ,Mimosa Tree                                                 ,TRE,06,DORMANT,"54""H",,     ,     , 275 , 5 , 27.00 , 27.00 , 1.44 ,28.44,            ,     ,014949019559,          , 
CA,063801,#1,ALOE DOROTHEAE,Aloe dorotheae                                              ,Retro Succulents®  Sunset™  Aloe,CAC,10,-,"6""S",PS1,     ,     , 6 , 10 , 7.25 , 7.25 , 0.29 ,7.54,            ,     ,014949314951,          , 
CA,077801,#1,ALOE HYBRID CARMINE TM,Aloe hybrid                                                 ,Retro Succulents®  Carmine™  Aloe,CAC,09,-,"6""S",PS2,     ,     , 302 , 10 , 8.25 , 8.25 , 0.29 ,8.54,            ,     ,014949356623,          , 
CA,063791,#1,ALOE HYBRID CHRISTMAS CAROL,Aloe hybrid 'Christmas Carol' P.P.A.F.                      ,Christmas Carol Aloe                                        ,CAC,09,SPIKES,"6""S",PS1,     ,     , 420 , 10 , 8.25 , 8.25 , 0.29 ,8.54,            ,     ,014949314944,          , 
CA,077781,#1,ALOE HYBRID GUIDO TM,Aloe hybrid                                                 ,Retro Succulents®  Guido™  Aloe,CAC,09,SPIKES,"6""S",PS1,     ,     , 234 , 10 , 8.25 , 8.25 , 0.29 ,8.54,            ,     ,014949356593,          , 
CA,002001S,SuperOne TM,ALPINIA ZERUMBET VARIEGATA,Alpinia zerumbet 'Variegata'                                ,Variegated Shell Ginger                                     ,PRN,08,-,"10""H-10""S",PS1,     ,     , 19 , 10 , 8.50 , 8.50 , 0.48 ,8.98,            ,     ,014949074237,          , 
CA,002005,#5,ALPINIA ZERUMBET VARIEGATA,Alpinia zerumbet 'Variegata'                                ,Variegated Shell Ginger                                     ,PRN,08,-,"18'H-15""S",PS1,     ,     , 11 , 5 , 24.50 , 24.50 , 1.44 ,25.94,            ,     ,014949020050,          , 
CA,040315ST,#5 STAKED,ALYOGYNE LEON'S PUR DELIGHT TM,Alyogyne huegelii 'MonLeon'                                 ,Leon's Purple Delight™  Lilac Hibiscus,EVS,09,BUDS & BLOOMS,"36""H",,     ,     , 209 , 5 , 26.00 , 26.00 , 1.44 ,27.44,            ,     ,014949375679,          , 
CA,002425PT,#5 PATIO TREE,ALYOGYNE SANTA CRUZ,Alyogyne huegelii 'Santa Cruz'                              ,Lilac Hibiscus                                              ,EVS,09,BUDS,"15""S",,     ,     , 2 , 2 , 40.00 , 40.00 , 2.16 ,42.16,            ,     ,014949023952,          , 
CA,002425ST,#5 STAKED,ALYOGYNE SANTA CRUZ,Alyogyne huegelii 'Santa Cruz'                              ,Lilac Hibiscus                                              ,EVS,09,BUDS & BLOOMS,"36""H",,     ,     , 292 , 5 , 26.00 , 26.00 , 1.44 ,27.44,            ,     ,014949375198,          , 
CA,002905,#5,ARBUTUS UNEDO COMPACTA,Arbutus unedo 'Compacta'                                    ,Compact Strawberry Bush                                     ,EVS,07,WINTER COLOR,"15""H - 15""S",,     ,     , 12 , 5 , 22.00 , 22.00 , 1.44 ,23.44,            ,     ,014949029053,          , 
CA,003151,#1,ASPARAGUS MYERS,Asparagus densiflorus 'Myers'                               ,Foxtail Fern                                                ,FRN,09,-,8''H,,     ,     ," 7,009 ", 10 , 7.75 , 7.75 , 0.29 ,8.04,            ,     ,014949031513,          , 
CA,003152,#2,ASPARAGUS MYERS,Asparagus densiflorus 'Myers'                               ,Foxtail Fern                                                ,FRN,09,-,"12""H",,     ,     , 42 , 5 , 16.50 , 16.50 , 0.72 ,17.22,            ,     ,014949031520,          , 
CA,078761S,SuperOne TM,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,RHO,06,-,"6""H - 8""S",,     ,     ," 1,692 ", 10 , 10.50 , 10.50 , 0.48 ,10.98,            ,     ,014949359747,          , 
CA,078762S,SuperTwo,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,RHO,06,-,"10H - 12""S",,     ,     , 26 , 5 , 17.50 , 17.50 , 0.96 ,18.46,            ,     ,014949359730,          , 
CA,078751S,SuperOne TM,AZ BLM-A-THON TM LVNDR PP21476,"Rhododendron x 'RLH14P19' P.P.# 21,476                      ",Bloom-A-Thon®  Lavender Reblooming Azalea,RHO,06,-,"8""H - 8""S",,     ,     , 82 , 10 , 10.50 , 10.50 , 0.48 ,10.98,            ,     ,014949359716,          , 
CA,078771S,SuperOne TM,AZ BLM-A-THON TM RED PP21562,"Rhododendron x 'RLH1-1P2' P.P. #21,562                      ",Bloom-A-Thon®  Red Reblooming Azalea,RHO,06,-,"7""H - 8""S",,     ,     ," 3,418 ", 10 , 10.50 , 10.50 , 0.48 ,10.98,            ,     ,014949359693,          , 
CA,078781S,SuperOne TM,AZ BLM-A-THON TM WHITE PP21512,"Rhododendron x 'RLH1-3P3' P.P.#21,512                       ",Bloom-A-Thon®  White Reblooming Azalea,RHO,06,-,"5""H - 8""S",,     ,     , 53 , 10 , 10.50 , 10.50 , 0.48 ,10.98,            ,     ,014949359679,          , 
CA,004401,#1,AZALEA B ALASKA,Azalea indica 'Alaska' (Rutherfordiana hybrid)              ,Alaska Azalea                                               ,RHO,09,-,"8""H - 8""S",,     ,     ," 2,380 ", 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949044018,          , 
CA,004402,#2,AZALEA B ALASKA,Azalea indica 'Alaska' (Rutherfordiana hybrid)              ,Alaska Azalea                                               ,RHO,09,BUDS,"10""H - 15""S",,     ,     , 293 , 5 , 15.25 , 15.25 , 0.72 ,15.97,            ,     ,014949044025,          , 
CA,004405,#5,AZALEA B ALASKA,Azalea indica 'Alaska' (Rutherfordiana hybrid)              ,Alaska Azalea                                               ,RHO,09,BUDS,"12""H - 15""S",,     ,     , 607 , 5 , 21.00 , 21.00 , 1.44 ,22.44,            ,     ,014949044056,          , 
CA,004752,#2,AZALEA B HAPPY DAYS,Azalea indica 'Happy Days'                                  ,Happy Days Azalea                                           ,RHO,09,LIGHT BUD & BLOOM,"10""H - 12""S",,     ,     , 7 , 5 , 15.25 , 15.25 , 0.72 ,15.97,            ,     ,014949047521,          , 
CA,004755,#5,AZALEA B HAPPY DAYS,Azalea indica 'Happy Days'                                  ,Happy Days Azalea                                           ,RHO,09,-,"14""H - 12""S",,     ,     , 12 , 5 , 21.00 , 21.00 , 1.44 ,22.44,            ,     ,014949047552,          , 
CA,005252,#2,AZALEA B ROSE GLOW,Azalea indica 'Rose Glow'                                   ,Rose Glow Azalea                                            ,RHO,09,-,"12""H - 15""S",,     ,     , 165 , 5 , 15.25 , 15.25 , 0.72 ,15.97,            ,     ,014949052525,          , 
CA,007401,#1,AZALEA GR FUCHSIA,Azalea x 'Girard's Fuchsia' (Girard hybrid)                 ,Girard's Fuchsia Azalea                                     ,RHO,06,BUDS,"12""H - 10""S",,     ,     , 614 , 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949074015,          , 
CA,007402,#2,AZALEA GR FUCHSIA,Azalea x 'Girard's Fuchsia' (Girard hybrid)                 ,Girard's Fuchsia Azalea                                     ,RHO,06,BUDS,"10""H - 12""S",,     ,     , 1 , 5 , 15.25 , 15.25 , 0.72 ,15.97,            ,     ,014949074022,          , 
CA,007451,#1,AZALEA GR GIRARD HOT SHOT,Azalea x 'Girard's Hot Shot' (Girard hybrid)                ,Girard's Hot Shot Azalea                                    ,RHO,06,-,"10""H - 10""S",,     ,     , 83 , 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949074510,          , 
CA,007452,#2,AZALEA GR GIRARD HOT SHOT,Azalea x 'Girard's Hot Shot' (Girard hybrid)                ,Girard's Hot Shot Azalea                                    ,RHO,06,LIGHT BUDS,"14""H - 14""S",,     ,     , 3 , 5 , 15.25 , 15.25 , 0.72 ,15.97,            ,     ,014949074527,          , 
CA,007601,#1,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,RHO,06,-,"12""H - 9""S",,     ,     , 772 , 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949076019,          , 
CA,007602,#2,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,RHO,06,BUDS,"14""H - 14""S",,     ,     , 4 , 5 , 15.25 , 15.25 , 0.72 ,15.97,            ,     ,014949076026,          , 
CA,005601,#1,AZALEA S BRILLIANT,Azalea 'Brilliant' (Southern Indica)                        ,Brilliant Azalea                                            ,RHO,08,-,"10""H - 10""S",,     ,     ," 1,528 ", 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949056011,          , 
CA,005605,#5,AZALEA S BRILLIANT,Azalea 'Brilliant' (Southern Indica)                        ,Brilliant Azalea                                            ,RHO,08,-,"12""H - 15""S",,     ,     , 400 , 5 , 21.00 , 21.00 , 1.44 ,22.44,            ,     ,014949056059,          , 
CA,005751,#1,AZALEA S GEORGE L TABER,Azalea 'George L. Taber' (Southern Indica)                  ,George L. Taber Azalea                                      ,RHO,08,-,"8""H - 10""S",,     ,     , 15 , 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949057513,          , 
CA,005755,#5,AZALEA S GEORGE L TABER,Azalea 'George L. Taber' (Southern Indica)                  ,George L. Taber Azalea                                      ,RHO,08,-,"12""H - 18""S",,     ,     , 104 , 5 , 21.00 , 21.00 , 1.44 ,22.44,            ,     ,014949057551,          , 
CA,005951,#1,AZALEA S IMP PRINCESS TM,Azalea 'Moness' (Southern Indica)                           ,Imperial Princess™  Azalea,RHO,08,-,"8""H - 8""S",,     ,     , 463 , 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949059517,          , 
CA,004831,#1,AZALEA S MISTRAL,Azalea 'Mistral' (Southern Indica)                          ,Mistral Azalea                                              ,RHO,08,BUDS,"12""H - 10""S",,     ,     , 807 , 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949048313,          , 
CA,004835,#5,AZALEA S MISTRAL,Azalea 'Mistral' (Southern Indica)                          ,Mistral Azalea                                              ,RHO,08,-,"18""H - 15""S*",,     ,     , 148 , 5 , 21.00 , 21.00 , 1.44 ,22.44,            ,     ,014949048351,          , 
CA,006151,#1,AZALEA S NUCCIO'S CARNIVAL,Azalea 'Nuccio's Carnival' (Southern Indica)                ,Nuccio's Carnival Azalea                                    ,RHO,08,-,"10""H - 8""S",,     ,     , 170 , 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949061510,          , 
CA,006155,#5,AZALEA S NUCCIO'S CARNIVAL,Azalea 'Nuccio's Carnival' (Southern Indica)                ,Nuccio's Carnival Azalea                                    ,RHO,08,-,"12""H - 15""S",,     ,     , 56 , 5 , 21.00 , 21.00 , 1.44 ,22.44,            ,     ,014949061558,          , 
CA,006301,#1,AZALEA S PHOENICIA,Azalea 'Phoenicia' (Southern Indica)                        ,Phoenicia Azalea                                            ,RHO,08,-,"10""H - 10""S",,     ,     ," 1,821 ", 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949063019,          , 
CA,006305,#5,AZALEA S PHOENICIA,Azalea 'Phoenicia' (Southern Indica)                        ,Phoenicia Azalea                                            ,RHO,08,BUDS,"12""H - 15""S",,     ,     , 445 , 5 , 21.00 , 21.00 , 1.44 ,22.44,            ,     ,014949063057,          , 
CA,006401,#1,AZALEA S RED RUFFLES,Azalea 'Red Ruffles' (Rutherfordiana hybrid)                ,Red Ruffles Azalea                                          ,RHO,08,-,"6""H - 8""S",,     ,     ," 5,866 ", 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949064016,          , 
CA,006402,#2,AZALEA S RED RUFFLES,Azalea 'Red Ruffles' (Rutherfordiana hybrid)                ,Red Ruffles Azalea                                          ,RHO,08,-,"8""H - 10""S",,     ,     , 288 , 5 , 15.25 , 15.25 , 0.72 ,15.97,            ,     ,014949064023,          , 
CA,006405,#5,AZALEA S RED RUFFLES,Azalea 'Red Ruffles' (Rutherfordiana hybrid)                ,Red Ruffles Azalea                                          ,RHO,08,-,"10""H - 18""S",,     ,     , 285 , 5 , 21.00 , 21.00 , 1.44 ,22.44,            ,     ,014949064054,          , 
CA,006505,#5,AZALEA S SOUTHERN CHARM,Azalea 'Southern Charm' (Southern Indica)                   ,Southern Charm Azalea                                       ,RHO,08,-,"14""H - 18""S",,     ,     , 254 , 5 , 21.00 , 21.00 , 1.44 ,22.44,            ,     ,014949065051,          , 
CA,006505PT,#5 PATIO TREE,AZALEA S SOUTHERN CHARM,Azalea 'Southern Charm' (Southern Indica)                   ,Southern Charm Azalea                                       ,RHO,08,-,"22""S",,     ,     , 2 , 2 , 45.50 , 45.50 , 2.16 ,47.66,            ,     ,014949065259,          , 
CA,007361,#1,AZALEA SK GETSUTOKU,Azalea 'Getsutoku' (Satsuki hybrid)                         ,Getsutoku Azalea                                            ,RHO,07,-,"8""H - 10""S",,     ,     , 96 , 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949073612,          , 
CA,008271,#1,AZALEA SK JUKO,Azalea 'Juko' (Satsuki hybrid)                              ,Congratulatory Light Azalea                                 ,RHO,07,-,"6""H - 10""S",,     ,     , 2 , 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949082713,          , 
CA,008511,#1,AZALEA SK SHUGETSU,Azalea 'Shugetsu' (Satsuki hybrid)                          ,Autumn Moon Azalea                                          ,RHO,07,-,"6""H - 8""S",,     ,     , 12 , 10 , 6.25 , 6.25 , 0.29 ,6.54,            ,     ,014949085110,          , 
CA,011385,#5,BAMBUSA GOLDEN GODDESS (CLUMP),Bambusa multiplex 'Golden Goddess'                          ,Golden Goddess Bamboo                                       ,GRS,08,WINTER COLOR,"48""H",,     ,     , 9 , 5 , 35.50 , 35.50 , 1.44 ,36.94,            ,     ,014949113851,          , 
CA,011317,#7,BAMBUSA OLDHAMII (CLUMP),Bambusa oldhamii                                            ,Giant Timber Bamboo                                         ,GRS,08,WINTER COLOR,"65""H",,     ,     , 4 , 2 , 74.00 , 74.00 , 3.59 ,77.59,            ,     ,014949113172,          , 
CA,011325,#5,BAMBUSA TULDOIDES (CLUMP),Bambusa tuldoides                                           ,Punting Pole Bamboo                                         ,GRS,09,WINTER COLOR,"54""H",,     ,     , 293 , 5 , 54.00 , 54.00 , 1.44 ,55.44,            ,     ,014949113257,          , 
CA,011327,#7,BAMBUSA TULDOIDES (CLUMP),Bambusa tuldoides                                           ,Punting Pole Bamboo                                         ,GRS,09,WINTER COLOR,"65""H",,     ,     , 245 , 2 , 74.00 , 74.00 , 3.59 ,77.59,            ,     ,014949113271,          , 
CA,012202,#2,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,DCS,04,DORMANT,"10""H - 10""S",,     ,     , 15 , 5 , 13.25 , 13.25 , 0.72 ,13.97,            ,     ,014949122020,          , 
CA,079142,#2,BESCHORNERIA FLMNG GLW P22162,"Beschorneria yuccoides 'BESYS' P.P.#22,162                  ",Flamingo Glow Mexican Lily                                  ,CAC,09,-,"10""H - 10""S",PS1,     ,     , 5 , 5 , 18.75 , 18.75 , 0.72 ,19.47,            ,     ,014949357224,          , 
CA,012511,#1 STAKED,BIGNONIA CAP TANGERINE BEAUTY,Bignonia capreolata 'Tangerine Beauty'                      ,Tangerine Beauty Crossvine                                  ,VIN,06,-,24''H,,     ,     , 5 , 10 , 8.75 , 8.75 , 0.29 ,9.04,            ,     ,014949125113,          , 
CA,012515,#5 STAKED,BIGNONIA CAP TANGERINE BEAUTY,Bignonia capreolata 'Tangerine Beauty'                      ,Tangerine Beauty Crossvine                                  ,VIN,06,-,"48""H",,     ,     , 5 , 5 , 27.50 , 27.50 , 1.44 ,28.94,            ,     ,014949125151,          , 
CA,012701,#1 STAKED,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,VIN,10,BUDS & BLOOMS,"24""H",,     ,     , 622 , 10 , 7.25 , 7.25 , 0.29 ,7.54,            ,     ,014949127018,          , 
CA,012705,#5 STAKED,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,VIN,10,BUDS & BLOOMS,"48""H",,     ,     , 5 , 5 , 24.50 , 24.50 , 1.44 ,25.94,            ,     ,014949127056,          , 
CA,012705PT,#5 PATIO TREE,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,VIN,10,BUDS & BLOOMS,"18""S",,     ,     , 2 , 2 , 40.00 , 40.00 , 2.16 ,42.16,            ,     ,014949127155,          , 
CA,013031,#1 STAKED,BOUG DON MARIO R,Bougainvillea 'Monio'                                       ,Don Mario®  Bougainvillea,VIN,10,BUDS & BLOOMS,"24""H",,     ,     , 22 , 10 , 7.25 , 7.25 , 0.29 ,7.54,            ,     ,014949130315,          , 
CA,013035,#5 STAKED,BOUG DON MARIO R,Bougainvillea 'Monio'                                       ,Don Mario®  Bougainvillea,VIN,10,BUDS & BLOOMS,"48""H",,     ,     , 132 , 5 , 24.50 , 24.50 , 1.44 ,25.94,            ,     ,014949130353,          , 
CA,012662,#2 STAKED,BOUG GOLD RUSH TM,Bougainvillea 'MONCliff'                                    ,Gold Rush™  Bougainvillea,VIN,10,BUDS & BLOOMS,"32""H",,     ,     , 12 , 5 , 18.00 , 18.00 , 0.72 ,18.72,            ,     ,014949232071,          , 
CA,012665,#5 STAKED,BOUG GOLD RUSH TM,Bougainvillea 'MONCliff'                                    ,Gold Rush™  Bougainvillea,VIN,10,BUDS & BLOOMS,"48""H",,     ,     , 12 , 5 , 24.50 , 24.50 , 1.44 ,25.94,            ,     ,014949126554,          , 
CA,013125,#5 STAKED,BOUG JAMES WALKER,Bougainvillea 'James Walker'                                ,James Walker Bougainvillea                                  ,VIN,10,BUDS & BLOOMS,"48""H",,     ,     , 30 , 5 , 24.50 , 24.50 , 1.44 ,25.94,            ,     ,014949131251,          , 
CA,013205,#5 STAKED,BOUG ORANGE KING,Bougainvillea x buttiana 'Orange King'                      ,Orange King Bougainvillea                                   ,VIN,10,BUDS & BLOOMS,"48""H",,     ,     , 10 , 5 , 24.50 , 24.50 , 1.44 ,25.94,            ,     ,014949132050,          , 
CA,013055BH,#5 BUSH,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,VIN,10,BUDS & BLOOMS,"12""H-15""S",,     ,     , 1 , 5 , 23.00 , 23.00 , 1.44 ,24.44,            ,     ,014949130759,          , 
CA,013235BH,#5 BUSH,BOUG ROSENKA,Bougainvillea 'Rosenka'                                     ,Rosenka Bougainvillea                                       ,VIN,10,BUDS & BLOOMS,"12""H-15""S",,     ,     , 10 , 5 , 23.00 , 23.00 , 1.44 ,24.44,            ,     ,014949009710,          , 
CA,038141,#1 STAKED,BOUG SHARON WESLEY,Bougainvillea 'Sharon Wesley'                               ,Sharon Wesley Bougainvillea                                 ,VIN,10,BUDS & BLOOMS,"24""H",,     ,     , 445 , 10 , 7.25 , 7.25 , 0.29 ,7.54,            ,     ,014949233818,          , 
CA,038145,#5 STAKED,BOUG SHARON WESLEY,Bougainvillea 'Sharon Wesley'                               ,Sharon Wesley Bougainvillea                                 ,VIN,10,BUDS & BLOOMS,"48""H",,     ,     , 36 , 5 , 24.50 , 24.50 , 1.44 ,25.94,            ,     ,014949218648,          , 
CA,013455,#5 STAKED,BOUG TEXAS DAWN TM,Bougainvillea 'Monas'                                       ,Texas Dawn™  Bougainvillea,VIN,10,BUDS & BLOOMS,"48""H",,     ,     , 35 , 5 , 24.50 , 24.50 , 1.44 ,25.94,            ,     ,014949134559,          , 
CA,074412S,SuperTwo,BUD LO&BEHLD R BLU CHP PP19991,"Buddleja 'Blue Chip' P.P.# 19,991                           ",Lo & Behold®  Blue Chip Dwarf Summer Lilac,DCS,05,WINTER COLOR,"9""H - 12""S",,     ,     , 23 , 5 , 17.00 , 17.00 , 0.96 ,17.96,            ,     ,014949335697,          , 
CA,080811S,SuperOne TM,BUD LO&BEHLD R ICE CHIP PPAF,Buddleja Lo & Behold®  'Ice Chip' P.P.A.F. Can. P.B.R.,Ice Chip Summer Lilac                                       ,DCS,05,WINTER COLOR,"6""H - 8""S",,     ,     , 128 , 10 , 10.50 , 10.50 , 0.48 ,10.98,            ,     ,014949360989,          , 
CA,077411S,SuperOne TM,BUD LO&BEHLD R PRPL HAZE PPAF,Buddleja (B. davidii x (B. davidii x B. globosa)) x (B. davi,Lo & Behold®  Purple Haze Summer Lilac,DCS,05,WINTER COLOR,"6""H - 8""S",,     ,     , 10 , 10 , 10.50 , 10.50 , 0.48 ,10.98,            ,     ,014949355787,          , 
