Loc,New Plant,Item,Size,Plant Name,Category,Zone,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On
OR,2013,006351,#1,CHRY (LEU) SUP REAL DREAM PPAF,PRN,05, 5.75 ,-,,     , 10 , 27 , 575 ,04/01/15  
CA,2014,066432,#2,CITRUS SEEDLESS KISHU MANDARIN,CIT,09, 17.75 ,-,"12""H-12""S",     , 5 ,     , 17 ,12/25/14  
CA,2014,066435,#5,CITRUS SEEDLESS KISHU MANDARIN,CIT,09, 26.00 ,-,"18""H-15""S",     , 5 ,     , 13 ,12/25/14  
OR,2014,046252,#2 STAKED,CLEM LOUISE ROWE,VIN,04, 18.00 ,-,FULL STK, 29 , 5 , 42 , 42 ,05/01/15  
OR,2014,046255,#5,CLEM LOUISE ROWE,VIN,04, 30.00 ,-,3/4 STK,     , 5 , 19 ,     ,          
CT,2014,044261,#1,CLEM X CRYSTAL FOUNTAIN TM,VIN,04, 13.25 ,,"21""H  3 STEMS",     , 10 ,     , 10 ,10/15/14  
CA,2013,088891,#1,CORE BIGBANG TM MRCRY RSNG PAF,PRN,05, 5.75 ,,,     , 10 ,     , 181 ,04/01/15  
CT,2013,088891S,SuperOne TM,CORE BIGBANG TM MRCRY RSNG PAF,PRN,05, 8.50 ,BUDS & BLOOMS,,     , 10 , 334 ,     ,          
GA,2014,018421,#1,CORE CRUZIN' TM ELCTRC AVE PAF,PRN,05, 5.75 ,-,, 10 , 10 , 10 , 10 ,05/01/15  
GA,2014,018411,#1,CORE CRUZIN' TM MAIN STRT PAF,PRN,05, 5.75 ,-,,     , 10 , 10 , 10 ,05/01/15  
GA,2013,00659UT,LittleOne,COREOPSIS GRAND 'HELIOT',PRN,04, 3.10 ,,CAN FULL, 33 , 16 ,     , 33 ,04/01/15  
GA,2013,073901,#1,COREOPSIS PINEAPPLE PIE P22486,PRN,09, 5.75 ,,CAN FULL,     , 10 ,     , 13 ,10/01/14  
GA,2013,073891,#1,COREOPSIS PINK LEMNADE PP18265,PRN,09, 5.75 ,,CAN FULL,     , 10 ,     , 310 ,10/10/14  
OR,2014,030407,#7,CORNUS FL CHEROKEE CHIEF,TRE,05, 64.00 ,-,"54""H", 4 , 2 , 4 ,     ,          
OR,2013,080841S,SuperOne TM,CORNUS STO PUCKERED UP TM PPAF,DCS,03, 9.50 ,-,"10""H - 10""S",     , 10 , 222 ,     ,          
CT,2013,030397,#7,CORNUS X VENUS R PP16309,TRE,05, 53.00 ,,"60""H", 8 , 2 ,     , 8 ,06/01/15  
CA,2013,079261,#1,CRASSULA PEL CALICO KITTEN,CAC,09, 7.25 ,,,     , 10 ,     , 192 ,12/31/14  
CA,New ,084121,#1,CUPHEA MICROPETALA,PRN,08, 5.10 ,,, 77 , 10 ,     , 77 ,03/01/15  
CA,2013,088912,#2,CYNARA SCO GREEN GLOBE,PRN,06, 14.75 ,-,"9""H - 10""S", 91 , 5 , 116 , 116 ,10/01/14  
OR,2014,035823,#3,DAPHNE OD MAEJIMA,EVS,07, 31.50 ,,, 31 , 5 ,     , 31 ,05/01/15  
OR,2013,084671,#1,DELOS JWL OF DSRT RUBY P23453,PRN,05, 5.25 ,BUDS & BLOOMS,, 19 , 10 , 19 , 19 ,03/01/15  
OR,2013,08467UT,LittleOne,DELOS JWL OF DSRT RUBY P23453,PRN,05, 3.15 ,BUDS & BLOOMS,, 114 , 16 , 114 , 114 ,03/01/15  
OR,2014,09723UT,LittleOne,DELOSPERMA FIRE WONDER PPAF,PRN,04, 3.15 ,,,     , 16 ,     , 454 ,03/01/15  
OR,2013,091882,#2,DEUTZIA X NIKKO BLUSH NA74356,DCS,05, 14.50 ,-,"12""H - 12""S", 24 , 5 , 24 ,     ,          
CA,2014,090221,#1,DIANTHUS COSMIC TM PK SWRL PAF,PRN,06, 5.75 ,-,CAN FULL,     , 10 , 118 , 124 ,03/01/15  
CA,2014,090211,#1,DIANTHUS COSMIC TM RD SWRL PAF,PRN,06, 5.75 ,-,CAN FULL,     , 10 , 1 , 6 ,03/01/15  
OR,2013,004902,#2,DICENTRA SP VALENTINE R P22739,PRN,03, 15.00 ,,,     , 5 ,     , 195 ,04/01/15  
CT,2014,068273,#3,DIERVILLA SES COOL SPLASH,DCS,04, 17.00 ,,,     , 5 ," 2,860 ",     ,          
OR,2013,080762,#2,DISPORUM CANT NIGHT HERON,PRN,05, 15.00 ,-,, 34 , 5 , 117 , 117 ,05/01/15  
GA,2014,097211,#1,ECHIN SMBRO TM FLMNCO ORNG,PRN,04, 5.75 ,,, 50 , 10 ,     , 50 ,04/15/15  
CT,2014,086821,#1,ECHIN SMBRO TM HOT CORL P23097,PRN,04, 5.75 ,,, 35 , 10 ,     , 35 ,05/15/15  
CT,2014,086841S,SuperOne TM,ECHIN SMBRO TM SALSA RD P23105,PRN,04, 8.50 ,,,     , 10 ,     , 18 ,10/01/14  
CT,2013,007051,#1,ECHIN SUPREME CANTALOUPE PPAF,PRN,04, 7.15 ,,, 30 , 10 ,     , 805 ,05/15/15  
GA,2013,007051,#1,ECHIN SUPREME CANTALOUPE PPAF,PRN,04, 7.15 ,,CAN FULL, 63 , 10 ,     , 63 ,04/15/15  
CT,2013,087021,#1,ECHINACEA CHEYENNE SPIRIT,PRN,04, 5.75 ,,, 50 , 10 ,     , 50 ,05/15/15  
GA,2013,087021,#1,ECHINACEA CHEYENNE SPIRIT,PRN,04, 5.75 ,,CAN FULL, 62 , 10 ,     , 62 ,04/01/15  
GA,2013,08702UT,LittleOne,ECHINACEA CHEYENNE SPIRIT,PRN,04, 3.85 ,,CAN FULL, 57 , 16 ,     , 57 ,04/01/15  
CT,2014,018611S,SuperOne TM,ECHINACEA SOM SNDY YLW P23104,PRN,04, 8.50 ,,,     , 10 ,     , 20 ,10/01/14  
CA,2014,057841,#1,ERIOGONUM GRANDE RUBESCENS,PRN,08, 6.35 ,,, 21 , 10 ,     , 21 ,04/01/15  
GA,2013,084631,#1,ERYSIMUM LIN VARIEGATUM,PRN,06, 6.35 ,,,     , 10 ,     , 639 ,04/15/15  
OR,New ,050722,#2,EUCRYPHIA LUC SPRING CREAM,EVS,08, 15.00 ,,14''H -  10''S,     , 5 ,     ," 1,468 ",04/15/15  
CA,2014,097641,#1,FERN-MICROLEPIA STRIGOSA,FRN,10, 6.75 ,-,"15""H", 33 , 10 , 80 ,     ,          
CA,2014,097642,#2,FERN-MICROLEPIA STRIGOSA,FRN,10, 15.50 ,-,"19""H",     , 5 , 42 ,     ,          
CA,2014,097711,#1,FERN-MICROSORUM SCOLOPENDRIA,FRN,09, 6.75 ,,,     , 10 ,     , 4 ,10/01/14  
CA,2014,097621,#1,FERN-NEPHROLEPIS CD DUFFI,FRN,10, 6.75 ,-,CAN FULL,     , 10 , 35 ,     ,          
CA,2014,028181,#1,FERN-PELLAEA ROTUNDIFOLIA,FRN,08, 6.75 ,,, 22 , 10 ,     , 22 ,10/01/14  
OR,2013,084912,#2,FERN-POLYSTICHUM MUNITUM,FRN,05, 15.50 ,,,     , 5 ,     , 367 ,04/01/15  
CA,2014,097631,#1,FERN-RUMOHRA ADIANT IBERIA,FRN,09, 6.75 ,-,"4""H-6""S",     , 10 , 31 ,     ,          
CA,2014,070295,#5,FICUS CAR DESERT KING,TRE,06, 29.00 ,-,"42""H", 5 , 5 , 5 ,     ,          
OR,2014,086091,#1,FRAGARIA X ANANASSA TOSCANA,PRN,04, 5.10 ,-,,     , 10 , 548 , 789 ,05/01/15  
OR,2014,081762,#2,FUCHSIA DEBRON'S FNNY VALNTINE,DCS,08, 13.25 ,,,     , 5 ,     , 277 ,05/01/15  
OR,2014,081772,#2,FUCHSIA DEBRON'S JOAN LOU,DCS,08, 13.25 ,,,     , 5 ,     , 257 ,05/01/15  
CA,2013,089221,#1,GAILLARDIA FANFARE BLZE P23494,PRN,03, 5.75 ,,CAN FULL, 36 , 10 ,     , 36 ,04/01/15  
GA,2013,060305,#5,GARDENIA JASMIN VARIEG (DH),EVS,08, 22.50 ,,, 128 , 5 , 39 , 128 ,04/01/15  
GA,2014,097912S,SuperTwo,GARDENIA PINWHEEL R PP22510,EVS,06, 17.00 ,,, 126 , 5 ,     , 126 ,05/01/15  
OR,2014,086711,#1,GAURA L PINK LADY PP17494,PRN,05, 5.25 ,BUDS & BLOOMS,, 25 , 10 , 144 , 144 ,05/01/15  
CT,2014,065801S,SuperOne TM,GR-CHASMANTHIUM LAT RIVER MIST,GRS,04, 8.50 ,PLUMES,,     , 10 , 698 , 698 ,11/01/14  
GA,2014,065803,#3,GR-CHASMANTHIUM LAT RIVER MIST,GRS,04, 18.75 ,,,     , 5 ,     , 275 ,04/01/15  
CT,2014,089271,#1,GR-CYMBOPOGON CITRATUS,GRS,09, 5.25 ,ATTRACTIVE FOLIAGE,,     , 10 , 9 ,     ,          
OR,2014,089282,#2,GR-DESCHAMPSIA SCHOTTLAND,GRS,04, 14.50 ,,,     , 5 , 100 , 100 ,03/01/15  
CA,2014,089282,#2,GR-DESCHAMPSIA SCHOTTLAND,GRS,04, 14.50 ,,,     , 5 ,     , 181 ,04/01/15  
GA,2014,092031,#1,GR-ERAGROSTIS ELLI WIND DANCER,GRS,06, 6.75 ,,, 25 , 10 ,     , 208 ,04/01/15  
GA,2014,092035,#5,GR-ERAGROSTIS ELLI WIND DANCER,GRS,06, 19.25 ,,,     , 5 ,     , 355 ,04/01/15  
OR,2014,089291,#1,GR-HAKONECHLOA FUBUKI PP21757,GRS,04, 10.25 ,-,, 116 , 10 ,     , 116 ,04/01/15  
CT,2014,089291,#1,GR-HAKONECHLOA FUBUKI PP21757,GRS,04, 10.75 ,,, 100 , 10 ,     , 100 ,06/01/15  
CT,2014,089291S,SuperOne TM,GR-HAKONECHLOA FUBUKI PP21757,GRS,04, 8.50 ,,,     , 10 , 80 ,     ,          
CA,2014,022961,#1,GR-PAN VIR NORTHWIND,GRS,04, 6.75 ,PLUMES,"24""H", 25 , 10 , 112 , 231 ,04/01/15  
GA,2014,022961,#1,GR-PAN VIR NORTHWIND,GRS,04, 6.75 ,,,     , 10 ,     , 249 ,05/01/15  
CT,2014,012082,#2,GR-SPOROBOLUS HETEROLEPIS,GRS,03, 12.00 ,PLUMES,,     , 5 , 76 ,     ,          
CA,2014,089631,#1,HELLE FRSTKS TM PNYS PK P24149,PRN,04, 9.50 ,,, 22 , 10 ,     , 91 ,10/01/14  
CT,2014,083841S,SuperOne TM,HELLE NIGER HGC JACOB PP17799,PRN,04, 8.50 ,-,, 32 , 10 ,     , 63 ,11/01/14  
CT,2014,083842,#2,HELLE NIGER HGC JACOB PP17799,PRN,04, 10.50 ,-,, 32 , 5 ,     , 32 ,11/01/14  
OR,2013,089051,#1,HELLE WINDCLIFF DBL PINK SDLNG,PRN,04, 7.85 ,-,, 59 , 10 ,     , 59 ,03/01/15  
OR,2013,08905UT,LittleOne,HELLE WINDCLIFF DBL PINK SDLNG,PRN,04, 4.50 ,-,, 17 , 16 ,     , 17 ,01/01/15  
OR,2014,086871,#1,HEUCHERA CARNIVAL COCOMINT PAF,PRN,04, 7.85 ,,,     , 10 , 105 ,     ,          
OR,2014,087091,#1,HEUCHERA CARNIVAL COFFE BN PAF,PRN,04, 7.15 ,,,     , 10 , 301 ,     ,          
GA,2014,097091,#1,HEUCHERA CARNIVAL LIMEADE PPAF,PRN,04, 7.85 ,,, 75 , 10 ,     , 75 ,04/15/15  
GA,2013,054531,#1,HEUCHERA MIDNIGHT BAYOU P21858,PRN,04, 7.85 ,,CAN FULL, 10 , 10 ,     , 10 ,04/15/15  
GA,2014,054481,#1,HEUCHERELLA GOLD ZEBRA PPAF,PRN,04, 7.85 ,,, 85 , 10 ,     , 85 ,04/15/15  
CA,2013,055241,#1,HIB R C'EST BON,EVS,10, 8.00 ,-,"10""H-8""S", 48 , 10 , 48 , 48 ,04/01/15  
