Loc,New Plant,Item,Size,Plant Name,Category,Zone,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On
OR,2014,086345,#5,ILEX VERT BERRY POPPINS R,DCS,03, 22.00 ,,, 42 , 5 ,     , 42 ,06/01/15  
OR,2014,086352S,SuperTwo,ILEX VERT MR POPPINS R,DCS,03, 16.50 ,,,     , 5 ,     , 104 ,10/01/14  
OR,2014,086355,#5,ILEX VERT MR POPPINS R,DCS,03, 22.00 ,,, 25 , 5 ,     , 25 ,06/01/15  
GA,2014,097862S,SuperTwo,LAG BERRY DAZZLE R PP22161,DCS,06, 17.00 ,,, 351 , 5 ,     , 351 ,06/15/15  
CT,2014,404372,#2,LAG RED FILLI PP14353,DCS,04, 15.75 ,,,     , 5 , 89 ,     ,          
GA,2014,404392,#2,LAG VIOLET FILLI PP14267,DCS,05, 15.75 ,,, 67 , 5 ,     , 67 ,06/15/15  
CT,2014,077191,#1,LAVAN ANG SILVER EDGE PP13091,PRN,05, 5.10 ,ATTRACTIVE FOLIAGE,,     , 10 , 134 ,     ,          
OR,2014,086691,#1,LAVAN PEN WITH LOVE TM PP22709,PRN,06, 6.35 ,BUDS & BLOOMS,,     , 10 , 266 , 266 ,06/01/15  
OR,2014,086692,#2,LAVAN PEN WITH LOVE TM PP22709,PRN,06, 15.00 ,-,,     , 5 , 2 ,     ,          
CA,2014,068221,#1,LAVANDULA ANG MELISSA LILAC,PRN,05, 6.35 ,,, 255 , 10 ,     , 255 ,04/01/15  
CA,New ,088871,#1,LAVANDULA STO SILVER ANOUK,PRN,06, 5.75 ,-,"4""H- 5""S", 50 , 10 , 51 , 51 ,03/01/15  
CA,2013,068181,#1,LAVANDULA STO X VIR RGL SPLNDR,PRN,07, 5.75 ,-,6''H - 8''S, 127 , 10 ,     , 127 ,04/01/15  
CA,2013,068182,#2,LAVANDULA STO X VIR RGL SPLNDR,PRN,07, 15.00 ,-,"8""H - 10""S", 65 , 5 ,     , 194 ,04/01/15  
CA,2013,072511,#1,LOBELIA X SPE RUSSIAN PRINCESS,PRN,04, 5.75 ,-,"6""H-6""S",     , 10 ,     , 180 ,10/01/14  
CT,2014,087561S,SuperOne TM,LONICERA NITIDA OPHELIA TM,VIN,05, 8.50 ,-,,     , 10 , 116 ,     ,          
CA,New ,086361S,SuperOne TM,LONICERA P SCENTSATION PP16240,VIN,04, 9.00 ,-,3/4''STAKE, 25 , 10 , 25 , 25 ,11/25/14  
GA,New ,086361S,SuperOne TM,LONICERA P SCENTSATION PP16240,VIN,04, 9.00 ,,"24""H",     , 10 , 35 ,     ,          
OR,2013,084391,#1 STAKED,LONICERA PCHES & CREAM PP21839,VIN,04, 8.00 ,-,FULL STK, 42 , 10 ,     , 42 ,05/01/15  
CT,2014,086373S,Super 3,LYCIUM BARB BIG LIFEBERRY R,DCS,05, 17.25 ,-,"24""",     , 5 , 50 ,     ,          
OR,2013,053585,#5,MAHONIA X MED LIONEL FORTESCUE,EVS,05, 26.50 ,-,40''H - 24''S, 81 , 5 ,     , 81 ,04/15/15  
GA,2014,092382,#2 STAKED,MAN SUN PAR R GARDEN CRIMSON,VIN,10, 17.50 ,,,     , 5 ,     , 462 ,05/01/15  
GA,2014,092382BH,#2 BUSH,MAN SUN PAR R GARDEN CRIMSON,VIN,10, 14.00 ,,, 71 , 5 ,     , 71 ,05/01/15  
CA,2014,09238UT,LittleOne,MAN SUN PAR R GARDEN CRIMSON,VIN,10, 4.20 ,BUDS & BLOOMS,CAN FULL, 202 , 16 ," 5,544 "," 6,248 ",03/01/15  
GA,2014,09238UT,LittleOne,MAN SUN PAR R GARDEN CRIMSON,VIN,10, 4.20 ,,,     , 16 ," 6,096 "," 8,016 ",10/01/14  
OR,New ,016002,#2,NAND DOM CHIME,EVS,04, 15.00 ,,, 30 , 5 ,     , 30 ,05/01/15  
OR,New ,033875,#5,NYSSA SYLVATICA WILDFIRE,TRE,05, 38.00 ,-,"60""H", 5 , 5 , 5 , 5 ,01/01/15  
OR,2013,055661,#1,OPHIOPOGON FORMOSANUM,GRS,07, 5.25 ,,, 94 , 10 , 274 , 446 ,03/01/15  
CA,2013,089482,#2,PACHYSTACHYS LUTEA,PRN,10, 13.00 ,,,     , 5 ,     , 603 ,03/01/15  
OR,2014,068585,#5,PAEONIA ITOH MORNING LILAC,PRN,04, 42.50 ,-,, 5 , 5 ,     , 5 ,03/01/15  
OR,2014,062722,#2,PAEONIA TENUIFOLIA EARLY SCOUT,PRN,03, 19.50 ,-,, 5 , 5 ,     , 5 ,03/01/15  
CA,2014,097741S,SuperOne TM,PENSTEMON PARRYI,PRN,08, 7.50 ,-,"8""H",     , 10 ,     , 300 ,03/01/15  
OR,2013,084781,#1,PEROVSKIA LACEY BLUE PP20845,PRN,04, 6.35 ,CUT BACK,,     , 10 , 624 , 745 ,04/01/15  
CA,2013,084781,#1,PEROVSKIA LACEY BLUE PP20845,PRN,04, 6.35 ,BUDS & BLOOMS,"8""H-8""S",     , 10 , 309 , 309 ,04/01/15  
CT,2013,084781,#1,PEROVSKIA LACEY BLUE PP20845,PRN,04, 5.10 ,,,     , 10 , 51 , 949 ,05/15/15  
CA,2013,084782,#2,PEROVSKIA LACEY BLUE PP20845,PRN,04, 16.25 ,BUDS & BLOOMS,"10""H-10""S",     , 5 , 1 , 1 ,04/01/15  
OR,2013,043411,#1,PHLOMIS FRUTICOSA,PRN,06, 5.75 ,-,.,     , 10 , 92 ,     ,          
OR,2013,043412,#2,PHLOMIS FRUTICOSA,PRN,06, 13.00 ,-,,     , 5 , 154 ,     ,          
GA,2013,00710UT,LittleOne,PHLOX P LILAC FLAME R PP11802,PRN,04, 3.10 ,,CAN FULL,     , 16 ,     , 6 ,10/01/14  
GA,2013,04619UT,LittleOne,PHLOX P PINK FLAME R PP11804,PRN,04, 3.10 ,,CAN FULL,     , 16 ,     , 130 ,05/15/15  
GA,2013,00725UT,LittleOne,PHLOX P WHITE FLAME R PP16259,PRN,04, 3.10 ,,CAN FULL,     , 16 ,     , 33 ,05/15/15  
OR,2013,085861,#1,PHYGELIUS CAPENSIS MAGENTA,PRN,07, 5.75 ,-,, 107 , 10 , 592 , 974 ,04/01/15  
CA,2013,079391,#1,PHYGELIUS CHERRY RIPE PPAF,PRN,07, 5.75 ,,,     , 10 ,     , 548 ,04/01/15  
OR,2013,068262,#2,PHYSOCARPUS OPU DART'S GOLD,DCS,03, 14.25 ,-,12''H - 12''S,     , 5 , 37 ,     ,          
OR,2013,033275,#5,PICEA GL DENSATA WELLS' WEEPER,CON,02, 41.50 ,-,"36""H-16""S", 4 , 5 , 4 ,     ,          
OR,2014,047615,#5,PICEA OMORIKA SKY TRAILS,CON,04, 41.50 ,,"30""H -16""S", 7 , 5 ,     , 7 ,05/15/15  
OR,2014,03874M,#10 Squat,PICEA PUN SPARKLER R,CON,02, 79.00 ,-,"42""H - 21""S", 2 , 2 , 2 , 2 ,05/01/15  
OR,2014,049511,#1,PIERIS J BROOKSIDE MINIATURE,EVS,06, 8.00 ,,"6"" H - 3"" S", 9 , 10 ,     , 9 ,04/01/15  
OR,2014,049512,#2,PIERIS J BROOKSIDE MINIATURE,EVS,06, 16.50 ,-,"10""H - 15""S", 5 , 5 , 5 , 5 ,04/01/15  
OR,2014,049491,#1,PIERIS J TIKI,EVS,06, 8.00 ,,"3""H - 5""S",     , 10 ,     , 902 ,04/01/15  
OR,2014,049492,#2,PIERIS J TIKI,EVS,06, 16.50 ,-,"6""H - 10""S", 67 , 5 ,     , 67 ,04/01/15  
OR,2014,051175,#5,PINUS MUGO SLOWMOUND,CON,02, 23.50 ,-,, 5 , 5 , 5 ,     ,          
OR,2013,051422,#2,PITT TEN TASMAN RUFFLES,EVS,07, 18.00 ,-,"14""H - 12''S",     , 5 , 258 , 306 ,05/01/15  
CA,2013,093361,#1,POLIOMINTHA BUSTAMANTE HINKLEY,PRN,06, 6.35 ,-,"6""H - 8""S",     , 10 ,     , 59 ,04/01/15  
CT,2014,086393S,Super 3,POTENTILLA HPY FCE R PK P22732,DCS,03, 17.75 ,BUDS & BLOOMS,"20""H X 21""",     , 5 , 135 ,     ,          
OR,2013,053842,#2,PROSTANTHERA CUN BADJA PEAK,EVS,07, 14.50 ,-,"18""H - 12""S",     , 5 , 197 ,     ,          
OR,2013,053845,#5,PROSTANTHERA CUN BADJA PEAK,EVS,07, 22.00 ,-,"16""H - 16""S",     , 5 , 218 ,     ,          
CT,2014,043397,#7,PRUNUS WEEPING EXTRAORDNARE TM,TRE,05, 53.00 ,,, 80 , 2 , 135 ,     ,          
OR,2013,043082,#2,PSEUDOPANAX LAETUS,EVS,07, 16.50 ,-,"12""H - 12""S", 5 , 5 , 410 , 410 ,06/01/15  
OR,2013,04308P18SA,"4"" Pot",PSEUDOPANAX LAETUS,EVS,07, 2.00 ,,,     ,     , 140 ,     ,          
CA,2013,021375,#5,RHAPH INDICA BALLERINA,EVS,08, 22.00 ,-,"10""H - 15""S", 46 , 5 ,     , 46 ,04/01/15  
CT,2014,008833,#3,RHOD (H-1) BLACK SATIN,RHO,05, 20.50 ,,, 106 , 5 , 98 ,     ,          
OR,2014,068325,#5,RHOD (H-1) EDITH BOSLEY,RHO,05, 26.50 ,-,"22""H - 18""S", 14 , 5 , 14 ,     ,          
CT,2014,098542S,SuperTwo,ROSA DRIFT R APRICOT PP23354,ROS,04, 14.50 ,,, 65 , 5 , 143 , 407 ,04/15/15  
CT,2014,098543SPT,Super 3 PATIO TREE,ROSA DRIFT R APRICOT PP23354,ROS,04, 29.50 ,BUDS,, 40 ,     , 1 , 150 ,05/01/15  
CT,2014,098552S,SuperTwo,ROSA DRIFT R CORAL PP19148,ROS,04, 14.50 ,,,     , 5 ,     , 104 ,04/15/15  
CT,2014,098553SPT,Super 3 PATIO TREE,ROSA DRIFT R CORAL PP19148,ROS,04, 29.50 ,,, 10 ,     , 11 , 129 ,05/01/15  
CT,2014,098562S,SuperTwo,ROSA DRIFT R PEACH PP18542,ROS,04, 14.50 ,BUDS,,     , 5 , 5 , 5 ,04/15/15  
CT,2014,098563SPT,Super 3 PATIO TREE,ROSA DRIFT R PEACH PP18542,ROS,04, 29.50 ,BUDS,,     ,     , 1 , 149 ,05/01/15  
CT,2014,022632S,SuperTwo,ROSA DRIFT R PINK PP18874,ROS,04, 14.50 ,BUDS & BLOOMS,,     , 5 , 312 , 597 ,04/15/15  
CT,2014,022633SPT,Super 3 PATIO TREE,ROSA DRIFT R PINK PP18874,ROS,04, 29.50 ,,,     ,     , 16 , 151 ,05/01/15  
CT,2014,406312S,SuperTwo,ROSA DRIFT R POPCORN PPAF,ROS,05, 14.50 ,,, 150 , 5 ,     , 150 ,04/15/15  
CT,2014,406313SPT,Super 3 PATIO TREE,ROSA DRIFT R POPCORN PPAF,ROS,05, 29.50 ,BUDS & BLOOMS,,     ,     , 16 , 174 ,05/01/15  
CT,2014,022642S,SuperTwo,ROSA DRIFT R RED PP17877,ROS,04, 14.50 ,BUDS & BLOOMS,, 138 , 5 , 135 ," 1,086 ",04/15/15  
CT,2014,022643SPT,Super 3 PATIO TREE,ROSA DRIFT R RED PP17877,ROS,04, 29.50 ,BUDS & BLOOMS,,     ,     , 1 , 214 ,05/01/15  
CT,2014,098572S,SuperTwo,ROSA DRIFT R SWEET PP21612,ROS,03, 14.50 ,BUDS & BLOOMS,, 90 , 5 , 108 , 328 ,04/15/15  
CA,2013,079572,#2,ROSA FLWR CAR R PNK SPLSH PPAF,ROS,05, 15.50 ,LIGHT BUD & BLOOM,"6""H - 10""S", 117 , 5 ," 4,666 "," 8,514 ",12/31/14  
CT,2014,406273,#3,ROSA FRNCIS MEILLAND TM P19970,ROS,04, 15.00 ,BUDS & BLOOMS,,     , 5 , 490 ," 1,289 ",04/15/15  
CA,2013,080731S,SuperOne TM,ROSA OSO EASY R STBY CR P20601,ROS,04, 10.00 ,LIGHT BUDS,"6""H - 10""S",     , 10 , 635 ,     ,          
OR,2013,080732S,SuperTwo,ROSA OSO EASY R STBY CR P20601,ROS,04, 16.50 ,-,"10""H - 12""S",     , 5 , 58 ,     ,          
CA,2013,080732S,SuperTwo,ROSA OSO EASY R STBY CR P20601,ROS,04, 16.50 ,LIGHT BUD & BLOOM,8''H - 12''S,     , 5 , 34 ,     ,          
CT,2014,406253,#3,ROSA PEACHY KEEN PPAF,ROS,05, 15.00 ,BUDS & BLOOMS,,     , 5 , 260 ,     ,          
CT,2014,036023,#3,ROSA RASPBERRY RUGOSTAR R PPAF,ROS,04, 14.75 ,,"12""H - 12""S",     , 5 , 196 ,     ,          
CT,2014,406223,#3,ROSA SUNSHINE DAYDREAM PPAF,ROS,05, 15.00 ,BUDS & BLOOMS,,     , 5 , 920 ," 1,046 ",04/15/15  
OR,2013,081492,#2,ROSA SWT SPOT TM RUBY PPAF,ROS,05, 15.50 ,,,     , 5 ,     , 1 ,05/01/15  
CA,2013,081492,#2,ROSA SWT SPOT TM RUBY PPAF,ROS,05, 15.50 ,,,     , 5 ,     ," 4,707 ",04/01/15  
CT,2014,406233,#3,ROSA TAHITIAN TREASURE TM,ROS,05, 15.00 ,BUDS & BLOOMS,, 20 , 5 , 81 , 381 ,04/15/15  
CT,2014,098583,#3,ROSA WHITE OUT TM PP20273,ROS,05, 15.00 ,,, 65 , 5 ,     , 65 ,04/15/15  
GA,2014,098583,#3,ROSA WHITE OUT TM PP20273,ROS,05, 15.00 ,,,     , 5 ,     , 5 ,04/01/15  
CA,2013,084941,#1,ROSMARINUS OFF SPICE ISLANDS,EVS,08, 7.25 ,,,     , 10 ,     , 51 ,03/01/15  
CA,2013,079382,#2,RUBUS RSPBRY SHRTCKE TM P22141,DCS,05, 16.50 ,-,"12""H - 12""S", 40 , 5 ,     , 40 ,03/01/15  
GA,2013,079382,#2,RUBUS RSPBRY SHRTCKE TM P22141,DCS,05, 16.50 ,,"12""H - 12""S", 10 , 5 ,     , 10 ,04/15/15  
CT,2014,074152,#2,RUBUS TRIPLE CROWN BLACKBERRY,DCS,05, 12.50 ,,,     , 5 , 109 ,     ,          
GA,2014,018631,#1,RUDBECKIA LTLE GOLDSTAR P22397,PRN,04, 5.10 ,,, 30 , 10 ,     , 30 ,04/15/15  
CA,2013,088861,#1,RUELLIA KATIE PINK,PRN,08, 5.10 ,BUDS & BLOOMS,CAN FULL,     , 10 , 215 , 357 ,03/01/15  
CA,New ,097761S,SuperOne TM,RUELLIA PENINSULARIS,PRN,09, 7.50 ,,,     , 10 ,     , 301 ,03/01/15  
CT,2014,039497PT,#7 PATIO TREE,SALIX INTEGRA FLAMINGO PP17490,DCS,05, 52.50 ,,,     , 2 , 38 ,     ,          
CA,2014,090471,#1,SALVIA AMISTAD PPAF,PRN,08, 5.75 ,BUDS & BLOOMS,CAN FULL,     , 10 ,     , 181 ,10/01/14  
CA,2014,090471S,SuperOne TM,SALVIA AMISTAD PPAF,PRN,08, 8.50 ,,,     , 10 ,     , 750 ,03/01/15  
OR,2014,076641,#1,SAXIFRAGA FORT BERRY BRIGHT TM,PRN,06, 6.50 ,LIGHT BUD & BLOOM,, 14 , 10 , 14 ,     ,          
CT,2014,076641,#1,SAXIFRAGA FORT BERRY BRIGHT TM,PRN,06, 6.50 ,,,     , 10 , 4 , 682 ,05/15/15  
OR,2013,052935,#5,SCHEF A BREVIPEDUNCULATA(12224,EVS,07, 25.50 ,-,"24""H - 14""S", 15 , 5 , 15 ,     ,          
GA,2013,087481,#1,SEDUM SSPKLR R CHERRY TART PAF,PRN,04, 7.50 ,-,CAN FULL, 30 , 10 ,     , 30 ,05/01/15  
GA,2013,08748UT,LittleOne,SEDUM SSPKLR R CHERRY TART PAF,PRN,04, 3.15 ,,FULL CAN, 96 , 16 ,     , 96 ,05/01/15  
GA,2013,007331,#1,SEDUM SSPRKLR R DZLBRY PP22457,PRN,04, 7.50 ,,,     , 10 ,     , 530 ,05/01/15  
GA,2013,00733UT,LittleOne,SEDUM SSPRKLR R DZLBRY PP22457,PRN,04, 3.15 ,,CAN FULL,     , 16 ,     , 209 ,04/15/15  
GA,2013,007301,#1,SEDUM SSPRKLR R LIME ZNGR PPAF,PRN,04, 7.50 ,,,     , 10 ,     , 547 ,04/15/15  
GA,2013,00730UT,LittleOne,SEDUM SSPRKLR R LIME ZNGR PPAF,PRN,04, 3.15 ,-,CAN FULL,     , 16 ,     , 876 ,04/15/15  
GA,2014,011011,#1,SISYRINCHIUM ANG BLUE NOTE TM,PRN,04, 6.35 ,-,CAN FULL, 64 , 10 ,     , 64 ,04/01/15  
OR,New ,081211,#1,SMILACINA RACEMOSA,PRN,04, 5.25 ,,, 150 , 10 ,     , 250 ,04/01/15  
CA,2014,097751S,SuperOne TM,SPHAERALCEA AMBIGUA,PRN,06, 7.50 ,-,"8""H",     , 10 ,     , 235 ,03/01/15  
CT,2014,068557,#7,STEWARTIA MONADELPHA,TRE,06, 59.00 ,,,     , 2 ,     , 69 ,06/01/15  
OR,2014,042195,#5,SYRINGA X OLD GLORY NA62974,DCS,05, 24.00 ,-,27''H - 16''S, 27 , 5 , 27 ,     ,          
OR,2014,053932,#2,THUJA OC HIGHLIGHTS TM PP21967,CON,05, 15.50 ,-,, 95 , 5 , 95 ,     ,          
CT,2014,053935,#5,THUJA OC HIGHLIGHTS TM PP21967,CON,05, 23.50 ,-,"33""H - 14""S",     , 5 ,     , 89 ,06/15/15  
OR,2013,075052S,SuperTwo,THUJA OC NORTH POLE R PPAF,CON,03, 17.00 ,-,"27""H - 12""S", 24 , 5 , 24 ,     ,          
GA,2014,090762,#2,THUJA PLICATA DANIELLOW PPAF,CON,04, 14.25 ,,,     , 5 , 10 ,     ,          
CT,2014,090765,#5,THUJA PLICATA DANIELLOW PPAF,CON,04, 23.50 ,,,     , 5 ,     , 489 ,06/15/15  
OR,2014,055142,#2,THUJA X EMBER WAVES TM PPAF,CON,05, 15.50 ,-,,     , 5 , 25 ,     ,          
OR,2014,055145,#5,THUJA X EMBER WAVES TM PPAF,CON,05, 24.00 ,-,"36""H - 14""S",     , 5 , 19 , 19 ,05/15/15  
OR,2014,051322,#2,TSUGA C GOLDEN DUCHESS TM PPAF,CON,04, 16.75 ,-,"12""S", 28 , 5 , 28 ,     ,          
OR,2013,081712,#2,VACCINIUM PEACH SORBET TM PPAF,DCS,05, 15.50 ,-,"8""H - 12""S", 35 , 5 , 85 , 85 ,10/01/14  
CA,2013,081712,#2,VACCINIUM PEACH SORBET TM PPAF,DCS,05, 15.50 ,-,"10""H - 10""S", 15 , 5 ,     ," 5,129 ",04/01/15  
CT,2014,068293,#3,VACCINIUM PINK LEMONADE,DCS,04, 15.00 ,-,"21-24""T",     , 5 ,     , 304 ,12/01/14  
OR,2013,081702,#2,VACCINIUM X JELLY BEAN TM PPAF,DCS,04, 15.50 ,-,"10""H - 10""S", 32 , 5 , 32 ,     ,          
CA,2013,081702,#2,VACCINIUM X JELLY BEAN TM PPAF,DCS,04, 15.50 ,-,"10''H - 10""S", 23 , 5 ,     , 23 ,04/01/15  
OR,2014,079551,#1,VERONICA HYB TIDAL POOL PPAF,PRN,04, 5.25 ,-,,     , 10 , 42 ," 1,128 ",03/01/15  
OR,2013,080922S,SuperTwo,VIB X HANDSOME DEVIL PP21686,DCS,07, 17.00 ,,,     , 5 , 160 ,     ,          
OR,2013,080925,#5,VIB X HANDSOME DEVIL PP21686,DCS,07, 24.00 ,,,     , 5 , 283 ,     ,          
OR,2013,080942S,SuperTwo,WEIGELA SONIC BLOOM TM PNK PAF,DCS,04, 18.00 ,-,"10""H - 12""S", 29 , 5 , 29 ,     ,          
CT,2013,080943S,Super 3,WEIGELA SONIC BLOOM TM PNK PAF,DCS,04, 17.75 ,-,,     , 5 ,     ," 1,022 ",05/01/15  
CT,2013,080933S,Super 3,WEIGELA SONIC BLOOM TM RED PAF,DCS,04, 17.75 ,-,,     , 5 ,     , 581 ,05/01/15  
CT,2014,084793,#3,WEIGELA WINGS OF FIRE PP21920,DCS,05, 17.00 ,,,     , 5 , 92 ,     ,          
CA,2013,054872,#2,ZAUSCHNERIA ROUTE 66,PRN,08, 11.50 ,-,"12""H - 10""S", 34 , 5 , 334 ,     ,          
