Requested,Remaining,Date,Item,Description,Size,Form,Whs,UPC,,,Selling Price,Price Code,Extended,
50,50,4/1/2014,061563,GR-MIS SIN GRACILLIMUS,3,,450000,14949615638,,,$9.80 ,,$490.00 ,
50,50,4/1/2014,044593,GR-MIS SIN LITTLE ZEBRA P13008,3,,450000,14949403372,,,$9.80 ,,$490.00 ,
25,25,4/1/2014,061663,GR-MIS SIN MORNING LIGHT,3,,450000,14949007563,,,$9.80 ,,$245.00 ,
50,50,4/1/2014,405023,GR-PAN VIR RUBY RIBBONS P17944,3,,450000,14949391303,,,$9.80 ,,$490.00 ,
50,50,4/1/2014,064263,GR-PENN ALO HAMELN,3,,450000,14949642634,,,$9.80 ,,$490.00 ,
25,25,4/1/2014,406563,GR-SCHIZACHYRIUM CAROUSEL PAF,3,,450000,14949391457,,,$9.80 ,,$245.00 ,
6,6,4/1/2014,40801DIS,HARD FARM HOY PROGRAM,DIS,,450000,14949000007,,,$0.00 ,,$0.00 ,
54,54,4/1/2014,031871,HOSTA ABIQUA DRINKING GOURD,1,,450000,14949218907,,,$4.40 ,,$237.60 ,
54,54,4/1/2014,403531,HOSTA BLUE MOUSE EARS,1,,450000,14949392096,,,$3.96 ,,$213.84 ,
54,54,4/1/2014,403611,HOSTA EARTH ANGEL,1,,450000,14949392133,,,$3.96 ,,$213.84 ,
54,54,4/1/2014,042981,HOSTA FIRST FROST,1,,450000,14949358634,,,$3.96 ,,$213.84 ,
54,54,4/1/2014,041861,HOSTA FLUCTUANS VARIEG (SAGAE),1,,450000,14949418611,,,$4.40 ,,$237.60 ,
54,54,4/1/2014,403491,HOSTA FRAGRANT BOUQUET,1,,450000,14949392140,,,$3.96 ,,$213.84 ,
54,54,4/1/2014,017521,HOSTA GUACAMOLE,1,,450000,14949004302,,,$4.40 ,,$237.60 ,
54,54,4/1/2014,017531,HOSTA JUNE,1,,450000,14949004326,,,$3.96 ,,$213.84 ,
54,54,4/1/2014,403561,HOSTA PARADIGM,1,,450000,14949392171,,,$4.40 ,,$237.60 ,
54,54,4/1/2014,041881,HOSTA PATRIOT,1,,450000,14949418819,,,$3.96 ,,$213.84 ,
54,54,4/1/2014,062011,HOSTA PAUL'S GLORY,1,,450000,14949309209,,,$4.40 ,,$237.60 ,
54,54,4/1/2014,403621,HOSTA PRAYING HANDS,1,,450000,14949392195,,,$4.40 ,,$237.60 ,
54,54,4/1/2014,093111,HOSTA RAINFOREST SUNRISE,1,,450000,14949277041,,,$3.96 ,,$213.84 ,
54,54,4/1/2014,007011,HOSTA REGAL SPLENDOR,1,,450000,14949050828,,,$3.96 ,,$213.84 ,
