Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Zone,Royalty Code,2015 List Price,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,078781S,SuperOne TM,AZ BLM-A-THON TM WHITE PP21512,"Rhododendron x 'RLH1-3P3' P.P.#21,512                       ",Bloom-A-Thon®  White Reblooming Azalea,Azalea,06,PW, 10.50 ,     , 10 , 30 ,     ,          ,     ,          ,     ,          
OR,006351,#1,CHRY (LEU) SUP REAL DREAM PPAF,Chrysanthemum x superbum 'Real Dream'                       ,Real Dream Shasta Daisy                                     ,Mid spring interm. flowering,05,PHI, 5.75 ,     , 10 , 32 , 591 ,04/01/15  , 592 ,06/01/15  ,     ,          
CA,088891,#1,CORE BIGBANG TM MRCRY RSNG PAF,Coreopsis x 'Mercury Rising' P.P.A.F.                       ,Big Bang™  Mercury Rising Tickseed,Mid/late border flowering,05,SBN, 5.75 ,     , 10 ,     , 181 ,04/01/15  ,     ,          ,     ,          
CT,088891S,SuperOne TM,CORE BIGBANG TM MRCRY RSNG PAF,Coreopsis x 'Mercury Rising' P.P.A.F.                       ,Big Bang™  Mercury Rising Tickseed,Mid/late border flowering,05,SBN, 8.50 ,     , 10 , 356 ,     ,          ,     ,          ,     ,          
GA,073901,#1,COREOPSIS PINEAPPLE PIE P22486,"Coreopsis 'Pineapple Pie' P.P. #22,486                      ",Pineapple Pie Tickseed                                      ,Mid/late border flowering,09,TNN, 5.75 ,     , 10 ,     , 13 ,10/01/14  , 213 ,10/15/14  ,     ,          
GA,073891,#1,COREOPSIS PINK LEMNADE PP18265,"Coreopsis 'Pink Lemonade' P.P. #18,265                      ",Pink Lemonade Tickseed                                      ,Mid/late border flowering,09,TNN, 5.75 ,     , 10 , 285 , 653 ,10/01/14  , 653 ,10/15/14  ,     ,          
OR,080841S,SuperOne TM,CORNUS STO PUCKERED UP TM PPAF,Cornus stolonifera 'Neil Z' P.P.A.F.                        ,Pucker Up!™  Red Twig Dogwood,Deciduous shrub/hedge,03,PW, 9.50 ,     , 10 , 227 ,     ,          ,     ,          ,     ,          
CT,030397,#7,CORNUS X VENUS R PP16309,"Cornus x 'KN30-8' P.P.# 16,309                              ",Venus®  Dogwood,Hardy flowering tree,05,OCL, 53.00 , 11 , 2 ,     , 11 ,06/01/15  ,     ,          ,     ,          
CA,088912,#2,CYNARA SCO GREEN GLOBE,Cynara scolymus 'Improved Green Globe'                      ,Improved Green Globe Artichoke                              ,Edible berries/fruit,06,, 14.75 ,     , 5 ,     , 132 ,10/01/14  , 196 ,02/15/15  , 196 ,03/01/15  
OR,084671,#1,DELOS JWL OF DSRT RUBY P23453,"Delosperma cooperi 'Jewel of the Desert Ruby' P.P.#23,453   ",Jewel of the Desert Ruby Ice Plant                          ,Ground cover,05,CPB, 5.25 ,     , 10 , 1 , 1 ,03/01/15  ,     ,          ,     ,          
OR,08467UT,LittleOne,DELOS JWL OF DSRT RUBY P23453,"Delosperma cooperi 'Jewel of the Desert Ruby' P.P.#23,453   ",Jewel of the Desert Ruby Ice Plant                          ,Ground cover,05,CPB, 3.15 , 55 , 16 , 55 , 55 ,03/01/15  ,     ,          ,     ,          
OR,091882,#2,DEUTZIA X NIKKO BLUSH NA74356,Deutzia x rosea 'Nikko Blush' (NA74356)                     ,Nikko Blush Deutzia                                         ,Deciduous mid flowering shrub,05,, 14.50 , 10 , 5 , 10 ,     ,          ,     ,          ,     ,          
GA,004901,#1,DICENTRA SP VALENTINE R P22739,"Dicentra spectabilis 'Hordival' P.P.#22,739                 ",Valentine®  Bleeding Heart,Mid spring border flowering,03,PPP, 6.35 ,     , 10 ,     , 11 ,05/01/15  ,     ,          ,     ,          
OR,080762,#2,DISPORUM CANT NIGHT HERON,Disporum cantoniense 'Night Heron'                          ,Night Heron Chinese Fairy Bells                             ,Evergreen large shrub/hedge,05,HIN, 15.00 ,     , 5 , 93 , 93 ,05/01/15  ,     ,          ,     ,          
GA,084631,#1,ERYSIMUM LIN VARIEGATUM,Erysimum linifolium 'Variegatum'                            ,Variegated Wallflower                                       ,Mid spring border flowering,06,, 6.35 ,     , 10 ,     , 814 ,04/15/15  ,     ,          ,     ,          
OR,084912,#2,FERN-POLYSTICHUM MUNITUM,Polystichum munitum                                         ,Western Sword Fern                                          ,Fern,05,, 15.50 ,     , 5 ,     , 367 ,04/01/15  ,     ,          ,     ,          
CA,088831,#1,GAILLARDIA ARIZONA RED SHADES,Gaillardia x 'Arizona Red Shades'                           ,Arizona Red Shades Blanket Flower                           ,Mid spring border flowering,03,, 5.75 ,     , 10 ,     , 14 ,03/01/15  , 14 ,05/01/15  ,     ,          
CA,089221,#1,GAILLARDIA FANFARE BLZE P23494,"Gaillardia x grandiflora 'Fanfare Blaze' P.P.#23,494        ",Fanfare Blaze Blanket Flower                                ,Mid spring border flowering,03,PHI, 5.75 , 10 , 10 ,     , 10 ,04/01/15  ,     ,          ,     ,          
OR,089051,#1,HELLE WINDCLIFF DBL PINK SDLNG,Helleborus x 'Windcliff Double Pink'                        ,Windcliff Double Pink Lenten Rose                           ,Sun/shade foliage-groundcover,04,HIN, 7.85 , 24 , 10 ,     , 24 ,03/01/15  ,     ,          ,     ,          
GA,054531,#1,HEUCHERA MIDNIGHT BAYOU P21858,"Heuchera x 'Midnight Bayou' P.P.#21,858                     ",Midnight Bayou Coral Bells                                  ,Shade foliage/flower,04,OLD, 7.85 , 24 , 10 ,     , 24 ,04/15/15  ,     ,          ,     ,          
CT,080873S,Super 3,HIB SYR PINK CHIFFON TM PPAF,Hibiscus syriacus 'JWNfour' P.P.A.F.                        ,Pink Chiffon™  Rose of Sharon,Deciduous sumr flower'g shrub,05,PW, 17.75 ,     , 5 , 82 ,     ,          ,     ,          ,     ,          
