Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Zone,Royalty Code,2015 List Price,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
CT,412915,#5,CAMPSIS RADICANS,Campsis radicans                                            ,Trumpet creeper                                             ,Hardy vine,04,, 26.00 ,     , 5 , 315 ,     ,          ,     ,          ,     ,          
CT,014412,#2,CHAM PIS VINTAGE GOLD,Chamaecyparis pisifera 'Vintage Gold'                       ,Vintage Gold False Cypress                                  ,Chamaecyparis,03,, 13.75 ,     , 5 , 115 , 115 ,01/01/15  ,     ,          ,     ,          
CT,014415,#5,CHAM PIS VINTAGE GOLD,Chamaecyparis pisifera 'Vintage Gold'                       ,Vintage Gold False Cypress                                  ,Chamaecyparis,03,, 27.00 ,     , 5 , 15 , 15 ,06/15/15  ,     ,          ,     ,          
OR,046252,#2 STAKED,CLEM LOUISE ROWE,Clematis x Louise Rowe                                      ,Louise Rowe Clematis                                        ,Clematis,04,, 18.00 , 9 , 5 , 32 , 32 ,05/01/15  ,     ,          ,     ,          
OR,046255,#5,CLEM LOUISE ROWE,Clematis x Louise Rowe                                      ,Louise Rowe Clematis                                        ,Clematis,04,, 30.00 ,     , 5 , 19 ,     ,          ,     ,          ,     ,          
CT,044261,#1,CLEM X CRYSTAL FOUNTAIN TM,Clematis 'Evipo038' PPAF                                    ,Crystal Fountain™  Clematis,Clematis,04,, 13.25 ,     , 10 ,     , 10 ,10/15/14  ,     ,          ,     ,          
OR,09723UT,LittleOne,DELOSPERMA FIRE WONDER PPAF,Delosperma 'Fire Wonder' P.P.A.F.                           ,Wheels of Wonder®  Fire Wonder Ice Plant,Ground cover,04,, 3.15 ,     , 16 ,     , 454 ,03/01/15  ,     ,          ,     ,          
CA,090221,#1,DIANTHUS COSMIC TM PK SWRL PAF,Dianthus x 'Pink Swirl'                                     ,Cosmic™  Pink Swirl Dianthus,Mid spring border flowering,06,, 5.75 ,     , 10 , 123 , 136 ,03/01/15  , 136 ,04/01/15  ,     ,          
CA,090211,#1,DIANTHUS COSMIC TM RD SWRL PAF,Dianthus x 'Red Swirl' P.P.A.F.                             ,Cosmic™  Red Swirl Dianthus,Mid spring border flowering,06,, 5.75 ,     , 10 , 6 , 15 ,03/01/15  , 15 ,04/01/15  ,     ,          
CT,068273,#3,DIERVILLA SES COOL SPLASH,"Diervilla sessilifolia 'LPDC Podaras' PP#19,391             ",First Editions®  Cool Splash™  Bush Honeysuckle,Deciduous sumr flower'g shrub,04,BNI, 17.00 ,     , 5 ," 2,905 ",     ,          ,     ,          ,     ,          
CT,097211,#1,ECHIN SMBRO TM FLMNCO ORNG,Echinacea purpurea 'Flamenco Orange' P.P.A.F.               ,Sombrero™  Flamenco Orange Coneflower,Mid/late interm. flowering,04,BHC, 5.75 , 75 , 10 ,     , 75 ,05/15/15  ,     ,          ,     ,          
GA,097211,#1,ECHIN SMBRO TM FLMNCO ORNG,Echinacea purpurea 'Flamenco Orange' P.P.A.F.               ,Sombrero™  Flamenco Orange Coneflower,Mid/late interm. flowering,04,BHC, 5.75 ,     , 10 ,     , 23 ,04/15/15  ,     ,          ,     ,          
CT,086821,#1,ECHIN SMBRO TM HOT CORL P23097,"Echinacea x 'Balsomcor' P.P.#23,097                         ",Sombrero™  Hot Coral Coneflower,Mid/late interm. flowering,04,, 5.75 , 75 , 10 ,     , 75 ,05/15/15  ,     ,          ,     ,          
CT,086841S,SuperOne TM,ECHIN SMBRO TM SALSA RD P23105,"Echinacea x 'Balsomsed' P.P.#23,105                         ",Sombrero™  Salsa Red Coneflower,Mid/late interm. flowering,04,, 8.50 ,     , 10 ,     , 18 ,10/01/14  ,     ,          ,     ,          
CT,018611S,SuperOne TM,ECHINACEA SOM SNDY YLW P23104,"Echinacea x 'Balsomselo' P.P.#23,104                        ",Sombrero™  Sandy Yellow Coneflower,Mid/late interm. flowering,04,, 8.50 ,     , 10 ,     , 20 ,10/01/14  ,     ,          ,     ,          
OR,086091,#1,FRAGARIA X ANANASSA TOSCANA,Fragaria x ananassa 'Toscana'                               ,Toscana Strawberry                                          ,Edible berries/fruit,04,, 5.10 ,     , 10 , 563 , 849 ,05/01/15  ,     ,          ,     ,          
GA,097912S,SuperTwo,GARDENIA PINWHEEL R PP22510,Gardenia augusta 'PIIGA-I' P.P.A.F.                         ,Pinwheel®  Gardenia,Evergreen fragrant shrub,06,MCC, 17.00 , 23 , 5 ,     , 23 ,05/01/15  ,     ,          ,     ,          
OR,086711,#1,GAURA L PINK LADY PP17494,"Gaura lindheimeri 'Pink Lady' P.P.#17,494                   ",Pink Lady Gaura                                             ,Mid spring interm. flowering,05,PPP, 5.25 ,     , 10 , 235 , 235 ,05/01/15  ,     ,          ,     ,          
CT,065801S,SuperOne TM,GR-CHASMANTHIUM LAT RIVER MIST,"Chasmanthium latifolium 'River Mist' PP #20,643             ",River Mist Northern Sea Oat Grass                           ,Small grasses,04,, 8.50 ,     , 10 , 150 , 150 ,11/01/14  ,     ,          ,     ,          
GA,065803,#3,GR-CHASMANTHIUM LAT RIVER MIST,"Chasmanthium latifolium 'River Mist' PP #20,643             ",River Mist Northern Sea Oat Grass                           ,Small grasses,04,, 18.75 ,     , 5 ,     , 300 ,04/01/15  ,     ,          ,     ,          
OR,089282,#2,GR-DESCHAMPSIA SCHOTTLAND,Deschampsia caespitosa 'Schottland'                         ,Scottish Tufted Hair Grass                                  ,Small grasses,04,, 14.50 ,     , 5 , 105 , 105 ,03/01/15  ,     ,          ,     ,          
CA,089282,#2,GR-DESCHAMPSIA SCHOTTLAND,Deschampsia caespitosa 'Schottland'                         ,Scottish Tufted Hair Grass                                  ,Small grasses,04,, 14.50 ,     , 5 ,     , 186 ,11/15/14  ,     ,          ,     ,          
GA,092031,#1,GR-ERAGROSTIS ELLI WIND DANCER,Eragrostis elliottii 'Wind Dancer'                          ,Wind Dancer Lovegrass                                       ,Small grasses,06,, 6.75 ,     , 10 ,     , 169 ,04/01/15  ,     ,          ,     ,          
GA,092035,#5,GR-ERAGROSTIS ELLI WIND DANCER,Eragrostis elliottii 'Wind Dancer'                          ,Wind Dancer Lovegrass                                       ,Small grasses,06,, 19.25 ,     , 5 ,     , 355 ,04/01/15  ,     ,          ,     ,          
CT,089291,#1,GR-HAKONECHLOA FUBUKI PP21757,"Hakonechloa macra 'Fubuki' PP# 21,757                       ",Fubuki Japanese Forest Grass                                ,Small grasses,04,, 10.75 , 100 , 10 ,     , 100 ,06/01/15  ,     ,          ,     ,          
OR,022961,#1,GR-PAN VIR NORTHWIND,Panicum virgatum 'Northwind'                                ,Northwind Switch Grass                                      ,Large grass,04,, 6.75 ,     , 10 , 3 , 3 ,03/01/15  ,     ,          ,     ,          
CA,022961,#1,GR-PAN VIR NORTHWIND,Panicum virgatum 'Northwind'                                ,Northwind Switch Grass                                      ,Large grass,04,, 6.75 ,     , 10 , 127 ," 1,815 ",04/01/15  ,     ,          ,     ,          
CT,012082,#2,GR-SPOROBOLUS HETEROLEPIS,Sporobolus heterolepis                                      ,Prairie Dropseed                                            ,Large grass,03,, 12.00 ,     , 5 , 76 ,     ,          ,     ,          ,     ,          
CA,089631,#1,HELLE FRSTKS TM PNYS PK P24149,"Helleborus x hybridus 'ABCRD01' P.P.#24,149                 ",FrostKiss™  Penny's Pink®  Lenten Rose,Sun/shade foliage-groundcover,04,, 9.50 ,     , 10 ,     , 89 ,10/01/14  , 89 ,03/01/15  ,     ,          
CT,083841S,SuperOne TM,HELLE NIGER HGC JACOB PP17799,Helleborus niger 'HGC Jacob' P.P. #17799                    ,Jacob Lenten Rose                                           ,Sun/shade foliage-groundcover,04,, 8.50 ,     , 10 ,     , 31 ,02/07/15  ,     ,          ,     ,          
CT,083842,#2,HELLE NIGER HGC JACOB PP17799,Helleborus niger 'HGC Jacob' P.P. #17799                    ,Jacob Lenten Rose                                           ,Sun/shade foliage-groundcover,04,, 10.50 , 20 , 5 ,     , 20 ,02/02/15  ,     ,          ,     ,          
OR,086871,#1,HEUCHERA CARNIVAL COCOMINT PAF,Heuchera x 'Carnival Cocomint' (P.P.A.F.)                   ,Carnival Cocomint Coral Bells                               ,Shade foliage/flower,04,BHC, 7.85 ,     , 10 , 120 ,     ,          ,     ,          ,     ,          
OR,087091,#1,HEUCHERA CARNIVAL COFFE BN PAF,Heuchera x 'Coffee Bean' P.P.A.F.                           ,Carnival Coffee Bean Coral Bells                            ,Shade foliage/flower,04,BHC, 7.15 ,     , 10 , 321 ,     ,          ,     ,          ,     ,          
CT,026217PT,#7 PATIO TREE,HIB X LOHENGRIN,Hibiscus x 'Lohengrin'                                      ,Lohengrin Rose of Sharon                                    ,Deciduous sumr flower'g shrub,05,, 53.00 ,     , 2 , 223 ,     ,          ,     ,          ,     ,          
OR,093062,#2,HOSTA ENTERPRISE,Hosta 'Enterprise'                                          ,Enterprise Hosta                                            ,Hosta,03,, 14.25 ,     , 5 , 160 , 160 ,04/01/15  ,     ,          ,     ,          
CT,075111,#1,HOSTA FANTASY ISLAND,Hosta 'Fantasy Island'                                      ,Fantasy Island Plantain Lily                                ,Hosta,03,, 7.15 ,     , 10 ,     , 574 ,05/15/15  ,     ,          ,     ,          
OR,075112,#2,HOSTA FANTASY ISLAND,Hosta 'Fantasy Island'                                      ,Fantasy Island Plantain Lily                                ,Hosta,03,, 14.25 ,     , 5 , 182 , 182 ,04/01/15  ,     ,          ,     ,          
CT,075121,#1,HOSTA FIRE ISLAND,Hosta 'Fire Island'                                         ,Fire Island Plantain Lily                                   ,Hosta,03,, 5.28 ,     , 10 ,     , 241 ,05/15/15  ,     ,          ,     ,          
OR,039471,#1,HOSTA ROSEDALE GOLDEN GOOSE,Hosta 'Rosedale Golden Goose'                               ,Rosedale Golden Goose Plantain Lily                         ,Hosta,03,, 6.35 ,     , 10 , 462 , 462 ,04/15/15  ,     ,          ,     ,          
CT,039471,#1,HOSTA ROSEDALE GOLDEN GOOSE,Hosta 'Rosedale Golden Goose'                               ,Rosedale Golden Goose Plantain Lily                         ,Hosta,03,, 6.35 ,     , 10 ,     , 477 ,05/15/15  ,     ,          ,     ,          
OR,039472,#2,HOSTA ROSEDALE GOLDEN GOOSE,Hosta 'Rosedale Golden Goose'                               ,Rosedale Golden Goose Plantain Lily                         ,Hosta,03,, 14.25 ,     , 5 , 14 , 14 ,03/01/15  ,     ,          ,     ,          
OR,039475,#5,HOSTA ROSEDALE GOLDEN GOOSE,Hosta 'Rosedale Golden Goose'                               ,Rosedale Golden Goose Plantain Lily                         ,Hosta,03,, 24.50 ,     , 5 ,     , 114 ,04/15/15  ,     ,          ,     ,          
OR,075162,#2,HOSTA THE RAZOR'S EDGE,Hosta x 'The Razor's Edge'                                  ,The Razor's Edge Plantain Lily                              ,Hosta,03,, 14.25 ,     , 5 , 896 , 896 ,04/01/15  ,     ,          ,     ,          
CT,403833S,Super 3,HYD MAC CTYLN TM MARS PPAF,Hydrangea macrophylla 'Ramars' PP                           ,Cityline™  Mars Hydrangea,Hydrangea,05,BHC, 21.50 , 36 , 5 ,     , 68 ,05/01/15  ,     ,          ,     ,          
CT,403843S,Super 3,HYD MAC CTYLN TM VIENNA P10930,"Hydrangea macrophylla 'Vienna Rawl' PP# 10,930              ",Cityline™  Vienna Bigleaf Hydrangea,Hydrangea,05,PW, 21.50 , 22 , 5 ,     , 22 ,05/01/15  ,     ,          ,     ,          
CA,089951S,SuperOne TM,HYD P LITTLE QUICK FIRE R PPAF,Hydrangea paniculata 'SMHPLQF' P.P.A.F. Can. P.B.R.A.F      ,Little Quick Fire™  Hardy Hydrangea,Hydrangea,03,PW, 10.50 , 15 , 10 , 15 , 15 ,02/01/15  ,     ,          ,     ,          
CT,084803,#3,HYD PAN BOMBSHELL PP21008,"Hydrangea paniculata 'Bombshell' PP #21,008                 ",Bombshell Panicle Hydrangea                                 ,Hydrangea,03,BHC, 17.75 , 9 , 5 , 381 ,     ,          ,     ,          ,     ,          
CA,089941S,SuperOne TM,HYD PAN FIRE LIGHT TM PPAF,Hydrangea paniculata 'SMHPFL' P.P.A.F. Can. P.B.R.A.F.      ,Fire Light™  Hardy Hydrangea,Hydrangea,03,PW, 10.50 ,     , 10 , 127 , 127 ,02/01/15  ,     ,          ,     ,          
CT,089943S,Super 3,HYD PAN FIRE LIGHT TM PPAF,Hydrangea paniculata 'SMHPFL' P.P.A.F. Can. P.B.R.A.F.      ,Fire Light™  Hardy Hydrangea,Hydrangea,03,PW, 17.75 ,     , 5 ,     , 996 ,06/01/15  ,     ,          ,     ,          
GA,089945,#5,HYD PAN FIRE LIGHT TM PPAF,Hydrangea paniculata 'SMHPFL' P.P.A.F. Can. P.B.R.A.F.      ,Fire Light™  Hardy Hydrangea,Hydrangea,03,PW, 24.00 , 21 , 5 ,     , 21 ,11/01/14  ,     ,          ,     ,          
OR,086352S,SuperTwo,ILEX VERT MR POPPINS R,                                                            ,                                                            ,Deciduous fall/winter interest,03,PW, 16.50 ,     , 5 ,     , 104 ,10/01/14  ,     ,          ,     ,          
CT,404372,#2,LAG RED FILLI PP14353,Lagerstroemia indica 'Red Filli'                            ,Red Filli Crape Myrtle                                      ,Lagerstroemia,04,FFF, 15.75 ,     , 5 , 114 ,     ,          ,     ,          ,     ,          
CT,077191,#1,LAVAN ANG SILVER EDGE PP13091,"Lavandula angustifolia 'Walvera' P.P.#13,091                ",Silver Edge Variegated Lavender                             ,Early spring border flowering,05,, 5.10 ,     , 10 , 204 ,     ,          ,     ,          ,     ,          
OR,086692,#2,LAVAN PEN WITH LOVE TM PP22709,"Lavandula stoechas ssp. pedunculata 'Bentley' P.P. #22,709  ",With Love™  Lavender,Mid spring border flowering,06,PPP, 15.00 ,     , 5 , 2 ,     ,          ,     ,          ,     ,          
CT,087561S,SuperOne TM,LONICERA NITIDA OPHELIA TM,"Lonicera nitida 'Brilliame' P.P. #20,761                    ",Ophelia™  Honeysuckle,Hardy vine,05,, 8.50 ,     , 10 , 116 ,     ,          ,     ,          ,     ,          
CT,086373S,Super 3,LYCIUM BARB BIG LIFEBERRY R,Lycium barbarum 'SMNDBL' P.P.A.F.                           ,Big Lifeberry®  Goji Berry,Edible berries/fruit,05,PW, 17.25 , 15 , 5 , 65 ,     ,          ,     ,          ,     ,          
GA,092382,#2 STAKED,MAN SUN PAR R GARDEN CRIMSON,Mandevilla x 'Sunparacore' P.P.A.F.                         ,Sun Parasol®  Garden Crimson Mandevilla,Tropical flowering vine,10,, 17.50 ,     , 5 ,     , 462 ,05/01/15  ,     ,          ,     ,          
CA,09238UT,LittleOne,MAN SUN PAR R GARDEN CRIMSON,Mandevilla x 'Sunparacore' P.P.A.F.                         ,Sun Parasol®  Garden Crimson Mandevilla,Tropical flowering vine,10,, 4.20 , 40 , 16 ," 5,576 "," 6,145 ",03/01/15  ," 6,145 ",04/01/15  ,     ,          
OR,068585,#5,PAEONIA ITOH MORNING LILAC,Paeonia x 'Morning Lilac'                                   ,Morning Lilac Itoh Peony                                    ,Paeonia,04,, 42.50 , 5 , 5 ,     , 5 ,03/01/15  ,     ,          ,     ,          
OR,062722,#2,PAEONIA TENUIFOLIA EARLY SCOUT,Paeonia x 'Early Scout'                                     ,Early Scout Fernleaf Peony                                  ,Paeonia,03,, 19.50 , 6 , 5 ,     , 6 ,03/01/15  ,     ,          ,     ,          
CA,097741S,SuperOne TM,PENSTEMON PARRYI,Penstemon parryi                                            ,Parry's Penstemon                                           ,Mid spring interm. flowering,08,, 7.50 ,     , 10 ,     , 315 ,03/01/15  ,     ,          ,     ,          
OR,049491,#1,PIERIS J TIKI,Pieris japonica 'Tiki'                                      ,Tiki Lily of the Valley Shrub                               ,Evergreen early flower'g shrub,06,, 8.00 ,     , 10 ,     , 907 ,04/01/15  ,     ,          ,     ,          
OR,049492,#2,PIERIS J TIKI,Pieris japonica 'Tiki'                                      ,Tiki Lily of the Valley Shrub                               ,Evergreen early flower'g shrub,06,, 16.50 , 22 , 5 , 3 , 22 ,04/01/15  ,     ,          ,     ,          
CT,086393S,Super 3,POTENTILLA HPY FCE R PK P22732,"Potentilla fruticosa 'Kupinpa'' P.P.#22,732                 ",Happy Face™  Pink Paradise Cinquefoil,Deciduous sumr flower'g shrub,03,PW, 17.75 ,     , 5 , 150 ,     ,          ,     ,          ,     ,          
CT,043397,#7,PRUNUS WEEPING EXTRAORDNARE TM,Prunus x 'Extrazam' Weeping Extraordinaire™ ,Weeping Extraordinaire™  Double Flowering Cherry,Hardy flowering tree,05,, 53.00 , 27 , 2 , 95 ,     ,          ,     ,          ,     ,          
OR,068325,#5,RHOD (H-1) EDITH BOSLEY,Rhododendron x 'Edith Bosley' (H-1)                         ,Edith Bosley Rhododendron                                   ,Rhododendron,05,, 26.50 , 12 , 5 , 12 ,     ,          ,     ,          ,     ,          
CT,406273,#3,ROSA FRNCIS MEILLAND TM P19970,"Rosa hybrid 'Meitroni' PP #19,970                           ",Francis Meilland™  Hybrid Tea Rose,Rosa,04,, 15.00 , 25 , 5 , 490 ," 1,318 ",04/15/15  ,     ,          ,     ,          
CT,406253,#3,ROSA PEACHY KEEN PPAF,Rosa x 'Radgor' P.P.A.F.                                    ,Peachy Keen™  Shrub Rose,Rosa,05,CPC, 15.00 , 97 , 5 , 357 ,     ,          ,     ,          ,     ,          
CT,036023,#3,ROSA RASPBERRY RUGOSTAR R PPAF,"Rosa rugosa 'Meitozaure' P.P. #15,937                       ",Rugostar®  Raspberry Groundcover Rose,Rosa,04,, 14.75 ,     , 5 , 336 ,     ,          ,     ,          ,     ,          
CT,406223,#3,ROSA SUNSHINE DAYDREAM PPAF,Rosa 'Meikanaro' PPAF                                       ,Sunshine Daydream Rose                                      ,Rosa,05,, 15.00 , 10 , 5 , 920 ," 1,060 ",04/15/15  ,     ,          ,     ,          
CT,406233,#3,ROSA TAHITIAN TREASURE TM,Rosa 'Radtreasure' PPTBS                                    ,Tahitian Treasure™  Rose,Rosa,05,CPC, 15.00 ,     , 5 , 81 , 381 ,04/15/15  ,     ,          ,     ,          
CT,098583,#3,ROSA WHITE OUT TM PP20273,"Rosa x 'Radwhite' PP #20,273                                ",White Out™  Rose,Rosa,05,CPC, 15.00 , 95 , 5 ,     , 95 ,04/15/15  ,     ,          ,     ,          
GA,098583,#3,ROSA WHITE OUT TM PP20273,"Rosa x 'Radwhite' PP #20,273                                ",White Out™  Rose,Rosa,05,CPC, 15.00 , 47 , 5 ,     , 47 ,04/01/15  ,     ,          ,     ,          
CT,074152,#2,RUBUS TRIPLE CROWN BLACKBERRY,Rubus 'Triple Crown'                                        ,Triple Crown Blackberry                                     ,Edible berries/fruit,05,, 12.50 ,     , 5 , 119 ,     ,          ,     ,          ,     ,          
CT,039497PT,#7 PATIO TREE,SALIX INTEGRA FLAMINGO PP17490,"Salix integra 'Flamingo' P.P.# 17,490                       ",Flamingo Dappled Willow                                     ,Deciduous shrub/hedge,05,PPP, 52.50 ,     , 2 , 44 ,     ,          ,     ,          ,     ,          
CA,090471,#1,SALVIA AMISTAD PPAF,Salvia 'Amistad'                                            ,Friendship Sage                                             ,Mid/late interm. flowering,08,, 5.75 ,     , 10 , 176 ,     ,          ,     ,          ,     ,          
CA,090471S,SuperOne TM,SALVIA AMISTAD PPAF,Salvia 'Amistad'                                            ,Friendship Sage                                             ,Mid/late interm. flowering,08,, 8.50 ,     , 10 ,     , 760 ,03/01/15  ,     ,          ,     ,          
OR,076641,#1,SAXIFRAGA FORT BERRY BRIGHT TM,Saxifraga fortunei 'Magenta'                                ,Berry Bright™  Elf Saxifrage,Shade foliage/flower,06,HIN, 6.50 ,     , 10 , 50 ,     ,          ,     ,          ,     ,          
CT,094753,#3,SORBARIA SORB SEM PP16336,"Sorbaria sorbifolia 'Sem' PP #16,336                        ",Sem False Spirea                                            ,Deciduous sumr flower'g shrub,03,BHC, 17.00 ,     , 5 ,     , 127 ,05/15/15  ,     ,          ,     ,          
CA,097751S,SuperOne TM,SPHAERALCEA AMBIGUA,Sphaeralcea ambigua                                         ,Desert Mallow                                               ,Mid spring interm. flowering,06,, 7.50 ,     , 10 ,     , 235 ,03/01/15  ,     ,          ,     ,          
CT,068557,#7,STEWARTIA MONADELPHA,                                                            ,                                                            ,Tree fall/winter interest,06,OLD, 59.00 ,     , 2 ,     , 71 ,06/01/15  ,     ,          ,     ,          
OR,053931,#1,THUJA OC JANED GOLD PP21967,"Thuja occidentalis 'Janed Gold' PP.# 21,967                 ",Highlights™  Arborvitae,Thuja,05,PHS, 7.00 , 135 , 10 ,     , 135 ,05/15/15  ,     ,          ,     ,          
OR,053932,#2,THUJA OC JANED GOLD PP21967,"Thuja occidentalis 'Janed Gold' PP.# 21,967                 ",Highlights™  Arborvitae,Thuja,05,PHS, 15.50 , 95 , 5 , 95 ,     ,          ,     ,          ,     ,          
CT,053935,#5,THUJA OC JANED GOLD PP21967,"Thuja occidentalis 'Janed Gold' PP.# 21,967                 ",Highlights™  Arborvitae,Thuja,05,PHS, 23.50 , 50 , 5 ,     , 139 ,06/15/15  ,     ,          ,     ,          
CT,090765,#5,THUJA PLICATA DANIELLOW PPAF,"Thuja plicata 'Daniellow' PP #20,267                        ",Daniellow Golden Spire Arborvitae                           ,Thuja,04,OLD, 23.50 ,     , 5 ,     , 509 ,06/15/15  ,     ,          ,     ,          
OR,055145,#5,THUJA X EMBER WAVES TM PPAF,Thuja plicata x standishii 'MonPin' P.P.A.F.                ,Ember Waves™  Western Arborvitae,Thuja,05,RSP, 24.00 , 10 , 5 , 53 , 53 ,05/15/15  ,     ,          ,     ,          
CT,068293,#3,VACCINIUM PINK LEMONADE,Vaccinium x 'Pink Lemonade'                                 ,Pink Lemonade Blueberry                                     ,Edible berries/fruit,04,, 15.00 ,     , 5 ,     , 324 ,12/01/14  ,     ,          ,     ,          
CT,084793,#3,WEIGELA WINGS OF FIRE PP21920,"Weigela florida 'Wings of Fire' PP #21,920                  ",Wings of Fire Weigela                                       ,Deciduous sumr flower'g shrub,05,BHC, 17.00 ,     , 5 , 127 ,     ,          ,     ,          ,     ,          
