Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast
170000,65601,SEMPERVIVUM GREEN WHEEL,CAC,+,20,20,-,-,-,-,4/1/2014,403,$6.00 ,-,-
170000,65611,SEMPERVIVUM KREBS DES ROSE,CAC,+,30,4,6,20,20,63,4/1/2014,207,$6.00 ,40,-
170000,74141,SEMPERVIVUM ROYAL RUBY,CAC,+,20,20,-,-,-,76,4/1/2014,76,$6.00 ,-,-
170000,72001,SYRINGA X CHINENSIS,DCS,+,2,-,-,2,2,68,4/1/2014,68,$7.75 ,-,-
170000,72005,SYRINGA X CHINENSIS,DCS,+,4,-,-,4,4,-,,-,$22.50 ,30,-
170000,22142,THUNBERGIA AL BLUSHING SUSIE,VIN,+,5,5,-,-,-,-,,-,$16.50 ,-,-
170000,75941,THYMUS HI HO SILVER,PRN,+,75,-,-,75,-,-,3/15/2014,123,$4.25 ,-,-
170000,70001,TRACH ASIATICUM,EVS,+,58,10,-,48,48,-,,-,$6.00 ,-,-
170000,070055ST,TRACH JASMINOIDES,VIN,+,6,-,-,6,6,-,,-,$22.00 ,-,-
170000,56232,VACC BOUNTIFUL BLUE R PP19381,DCS,+,66,66,-,-,-,308,3/15/2014,308,$15.00 ,35,-
170000,81712,VACCINIUM PEACH SORBET TM PPAF,DCS,+,70,70,-,-,-,-,4/15/2014,-,$15.00 ,35,-
170000,81702,VACCINIUM X JELLY BEAN TM PPAF,DCS,+,19,19,-,-,-,-,,-,$15.00 ,-,-
170000,76185,VITEX AGNUS-CASTUS,DCS,+,15,15,-,-,-,-,,-,$19.25 ,43,-
170000,76251,VITIS LAB NIAGARA,VIN,+,12,12,-,-,-,-,,-,$8.00 ,10,-
170000,77235,YUCCA FIL GOLDEN SWORD,EVS,+,7,7,-,-,-,-,,-,$22.00 ,6,-
170000,77355,YUCCA RECURV (PENDULA),EVS,+,12,12,-,-,-,-,,-,$20.50 ,36,-
170000,77357,YUCCA RECURV (PENDULA),EVS,+,5,-,-,5,5,-,,-,$45.00 ,-,-
"© 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",,,,,,,,,,,,,,,
