Branch,item,
GA,06350UT,
GA,064082,
GA,021612,
GA,022325,
GA,024752,
GA,024751,
GA,026001,
GA,026602,
GA,025055,
GA,024815,
GA,024955PT,
GA,025605PT,
GA,008242,
GA,406982,
GA,406952,
GA,090762,
GA,008243,
GA,049103,
GA,406973,
GA,055143,
GA,012597,
GA,054141,
GA,054142,
GA,035212,
GA,035222,
GA,030505,
GA,087535,
GA,030507,
GA,030509,
GA,030519,
GA,046879,
GA,01259X,
GA,042121,
GA,071253,
GA,071583,
GA,071283,
GA,071153,
GA,083813,
GA,402593,
GA,011983,
GA,071573,
GA,071173,
GA,403752S,
GA,403872S,
GA,404402,
GA,404352,
GA,404372,
GA,404392,
GA,031413,
GA,037183,
GA,041713,
GA,070042,
GA,070082,
GA,403822S,
GA,403832S,
GA,403842S,
GA,404083,
GA,402603S,
GA,074823S,
GA,401343S,
GA,080833S,
GA,074513S,
GA,403473,
GA,403993,
GA,404023,
GA,013783,
GA,013793,
GA,093173,
GA,048163,
GA,403863,
GA,407803,
GA,403673,
GA,092753,
GA,017313,
GA,403763,
GA,403923,
GA,403783,
GA,403813,
GA,023753,
GA,403943,
GA,074935,
GA,007735,
GA,008121,
GA,009011,
GA,077441S,
GA,077451S,
GA,074621S,
GA,015682,
GA,008792,
GA,054192,
GA,008123,
GA,077442S,
GA,077452S,
GA,074622S,
GA,037372S,
GA,028342P,
GA,013773,
GA,013763,
GA,013573,
GA,013563,
GA,008995,
GA,009025,
GA,050535,
GA,017313S,
GA,028342P,
GA,097885,
GA,077445,
GA,077455,
GA,080955,
GA,089985,
GA,401295,
GA,075757,
GA,041967,
GA,023757,
GA,007447,
GA,074415PT,
GA,401295PT,
GA,407625PT,
GA,008867,
GA,008897,
GA,008997,
GA,009037,
GA,050537,
GA,056357,
GA,054577,
GA,054707,
GA,07575M,
GA,029819BH,
GA,054709B,
GA,008869BH,
GA,008899,
GA,009029BH,
GA,009039,
GA,050539,
GA,056359,
GA,056359BH,
GA,054579B,
GA,008869,
GA,009029,
GA,008899PT,
GA,008999PT,
GA,00889X,
GA,00899X,
GA,00903X,
GA,033031,
GA,045203,
GA,045243,
GA,400343,
GA,009923,
GA,046753,
GA,045163,
GA,045173,
GA,028343,
GA,013953,
GA,087523,
GA,003013,
GA,003017,
GA,045309,
GA,092657P3,
GA,09957UT,
GA,02557UT,
GA,04666UT,
GA,06269UT,
GA,04136UT,
GA,03172UT,
GA,01395UTGL,
GA,01370UTPY,
GA,01370UTPY,
GA,064941,
GA,031902,
GA,040802,
GA,009932,
GA,054132,
GA,044903,
GA,007543,
GA,007593,
GA,007743,
GA,410143,
GA,007983,
GA,058203,
GA,064943,
GA,037701SPT,
GA,025693,
GA,410092S,
GA,031903,
GA,059233,
GA,059193,
GA,009933,
GA,020063,
GA,011223,
GA,057382,
GA,062123,
GA,054132ST,
GA,045305,
GA,410145,
GA,097905,
GA,087575,
GA,060925,
GA,097895,
GA,007825,
GA,060305,
GA,074915,
GA,044945,
GA,045205,
GA,030445,
GA,086895,
GA,087525,
GA,003135,
GA,401325,
GA,054132PT,
GA,044007,
GA,007497,
GA,044507,
GA,007987,
GA,009197,
GA,058207,
GA,060907,
GA,062147,
GA,064947,
GA,046757,
GA,074757,
GA,060615PT,
GA,060585PT,
GA,073295PT,
GA,044947,
GA,011227,
GA,045307,
GA,007977,
GA,007989,
GA,074759,
GA,009199BH,
GA,062149,
GA,062149BH,
GA,058209,
GA,044939,
GA,044949,
GA,063159,
GA,009199TR,
GA,013839,
GA,046099,
GA,007869,
GA,007899,
GA,007949,
GA,007979,
GA,007869TR,
GA,04530X,
GA,00794X,
GA,00797X,
GA,06700X,
GA,00501UT,
GA,036121S,
GA,044531,
GA,044541,
GA,005061,
GA,021231,
GA,005011,
GA,000861,
GA,005091,
GA,005111,
GA,036243,
GA,00967UT,
GA,00979UT,
GA,061663,
GA,014013,
GA,024093,
GA,031943,
GA,028053,
GA,061813,
GA,061743,
GA,061563,
GA,061763,
GA,061553,
GA,061573,
GA,405003,
GA,061793,
GA,063883,
GA,005793,
GA,005813,
GA,05903UT,
GA,00966UT,
GA,05892UT,
GA,07488UT,
GA,06312UT,
GA,02258UT,
GA,07181UT,
