Loc,Item,Size,Description,Botanical Name,Common Name,Product,Zone,Condition,Current Specs,Qty Open,Qty Alloc Rem Thru 12/31/13,Qty Alloc Rem Thru 06/30/14,Net Avail Qty,Min Order Qty,List Price,Sale Price,AVL Flag
OR,074681S,SuperOne TM,SYRINGA BLOOMERNG R PUR P20575,"Syringa x 'Penda' P.P. #20,575, C.B.R.A.F.                  ",Bloomerang®  Purple Lilac,DCS,3,DORMANT,10''H - 8''S,"11,749",     ,294,"12,043",10,10.5,          , 
OR,074685,#5,SYRINGA BLOOMERNG R PUR P20575,"Syringa x 'Penda' P.P. #20,575, C.B.R.A.F.                  ",Bloomerang®  Purple Lilac,DCS,3,DORMANT,16''H - 18''S,     ,     ,21,21,5,24,          , 
OR,071972,#2,SYRINGA PATULA,Syringa pubescens subsp. patula                             ,Korean Lilac                                                ,DCS,4,DORMANT,14''H - 12''S,34,     ,     ,34,5,15.25,          , 
OR,072021,#1,SYRINGA PATULA MISS KIM,Syringa pubescens subsp. patula 'Miss Kim'                  ,Miss Kim Korean Lilac                                       ,DCS,4,DORMANT,8''H - 6''S,284,     ,150,434,10,7.75,          , 
OR,072021S,SuperOne TM,SYRINGA PATULA MISS KIM,Syringa pubescens subsp. patula 'Miss Kim'                  ,Miss Kim Korean Lilac                                       ,DCS,4,DORMANT,10''H - 10''S,     ,     ,15,15,10,8.75,          , 
OR,072022,#2,SYRINGA PATULA MISS KIM,Syringa pubescens subsp. patula 'Miss Kim'                  ,Miss Kim Korean Lilac                                       ,DCS,4,DORMANT,"14""H - 12""S",131,     ,150,281,5,15.25,          , 
OR,072025PT,#5 PATIO TREE,SYRINGA PATULA MISS KIM,Syringa pubescens subsp. patula 'Miss Kim'                  ,Miss Kim Korean Lilac                                       ,DCS,4,DORMANT,"15""S",     ,     ,6,6,2,55,          , 
OR,071801S,SuperOne TM,SYRINGA V ANGEL WHITE,Syringa vulgaris 'Angel White' (Descanso Hybrid)            ,Angel White Lilac                                           ,DCS,3,BREAKING DORMANCY,14''H - 10''S,     ,     ,76,76,10,9.75,          , 
OR,071805,#5,SYRINGA V ANGEL WHITE,Syringa vulgaris 'Angel White' (Descanso Hybrid)            ,Angel White Lilac                                           ,DCS,3,BREAKING DORMANCY,27''H - 16''S,     ,     ,9,9,5,22.5,          , 
OR,071791S,SuperOne TM,SYRINGA V BLUE SKIES R,Syringa vulgaris 'Monore'                                   ,Blue Skies®  Lilac,DCS,3,BREAKING DORMANCY,12''H - 8''S,     ,     ,243,243,10,9.75,          , 
OR,071795,#5,SYRINGA V BLUE SKIES R,Syringa vulgaris 'Monore'                                   ,Blue Skies®  Lilac,DCS,3,BREAKING DORMANCY,24''H - 14''S,     ,     ,10,10,5,22.5,          , 
OR,072101S,SuperOne TM,SYRINGA V CHARLES JOLY,Syringa vulgaris 'Charles Joly'                             ,Charles Joly Lilac                                          ,DCS,3,BREAKING DORMANCY,"12""H - 8""S",     ,     ,31,31,10,9.75,          , 
OR,072105,#5,SYRINGA V CHARLES JOLY,Syringa vulgaris 'Charles Joly'                             ,Charles Joly Lilac                                          ,DCS,3,BREAKING DORMANCY,24''H - 16''S,1,     ,30,31,5,22.5,          , 
OR,072151S,SuperOne TM,SYRINGA V LAVENDER LADY,Syringa vulgaris 'Lavender Lady'                            ,Lavender Lady Lilac                                         ,DCS,3,DORMANT,12''H - 8''S,     ,     ,41,41,10,9.75,          , 
OR,071905,#5,SYRINGA V LUDWIG SPAETH,Syringa vulgaris 'Ludwig Spaeth'                            ,Ludwig Spaeth Lilac                                         ,DCS,3,BREAKING DORMANCY,27''H - 16''S,     ,     ,5,5,5,22.5,          , 
OR,072141S,SuperOne TM,SYRINGA V PRESIDENT LINCOLN,Syringa vulgaris 'President Lincoln'                        ,President Lincoln Lilac                                     ,DCS,3,BREAKING DORMANCY,12''H - 8''S,54,     ,     ,54,10,9.75,          , 
OR,072161S,SuperOne TM,SYRINGA V SENSATION,Syringa vulgaris 'Sensation'                                ,Sensation Lilac                                             ,DCS,3,BREAKING DORMANCY,12''H - 6''S,     ,     ,109,109,10,9.75,          , 
OR,072165,#5,SYRINGA V SENSATION,Syringa vulgaris 'Sensation'                                ,Sensation Lilac                                             ,DCS,3,DORMANT,24''H - 16''S,     ,     ,13,13,5,22.5,          , 
OR,017335,#5,SYRINGA X CHIN LILAC SUNDAY,Syringa x chinensis 'Lilac Sunday'                          ,Lilac Sunday Lilac                                          ,DCS,3,BREAKING DORMANCY,"27""H - 16""S",230,     ,284,514,5,22.5,          , 
OR,028425,#5,SYRINGA X DECLARATION NA62975,Syringa x 'Declaration'                                     ,Declaration Lilac                                           ,DCS,5,BREAKING DORMANCY,27''H - 18''S,9,     ,3,12,5,22.5,          , 
OR,072191S,SuperOne TM,SYRINGA X HYA POCAHONTAS,Syringa x hyacinthiflora 'Pocahontas'                       ,Pocahontas Canadian Lilac                                   ,DCS,2,BREAKING DORMANCY,12''H - 8''S,154,     ,37,191,10,9.75,          , 
OR,072195,#5,SYRINGA X HYA POCAHONTAS,Syringa x hyacinthiflora 'Pocahontas'                       ,Pocahontas Canadian Lilac                                   ,DCS,2,BREAKING DORMANCY,24''H - 16''S,4,     ,15,19,5,22.5,          , 
OR,071895,#5,SYRINGA X PRE MISS CANADA,Syringa x prestoniae 'Miss Canada'                          ,Miss Canada Lilac                                           ,DCS,2,DORMANT,24''H - 14''S,     ,     ,6,6,5,22.5,          , 
OR,028955,#5,SYRINGA X PRE REDWINE,Syringa x prestoniae 'Redwine'                              ,Redwine Lilac                                               ,DCS,2,DORMANT,24''H - 14''S,     ,     ,5,5,5,22.5,          , 
