Loc,Item,Plant Name,CAT,Zone,,,,,,,,,,,,,,,,,,,,,,
170000,068812,AGAVE POTATORUM KISSHO KAN,CAC,09,,,,,,,,,,,,,,,,,,,,,,
160000,080301,AJUGA CHOCOLATE CHIP,PRN,04,,,,,,,,,,,,,,,,,,,,,,
170000,080301,AJUGA CHOCOLATE CHIP,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,08030UT,AJUGA CHOCOLATE CHIP,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,00189UT,AJUGA REPTANS BRONZE BEAUTY,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,000591,AJUGA REPTANS BURGUNDY GLOW,PRN,04,,,,,,,,,,,,,,,,,,,,,,
170000,000591,AJUGA REPTANS BURGUNDY GLOW,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,002591,AKEBIA QUINATA,VIN,05,,,,,,,,,,,,,,,,,,,,,,
160000,002595,AKEBIA QUINATA,VIN,05,,,,,,,,,,,,,,,,,,,,,,
160000,002561,AKEBIA QUINATA SHIRO BANA,VIN,05,,,,,,,,,,,,,,,,,,,,,,
160000,002565,AKEBIA QUINATA SHIRO BANA,VIN,05,,,,,,,,,,,,,,,,,,,,,,
160000,04868UT,ALCHEMILLA ALPINA,PRN,03,,,,,,,,,,,,,,,,,,,,,,
170000,064081,ALOE BLUE ELF,CAC,09,,,,,,,,,,,,,,,,,,,,,,
170000,06408E,ALOE BLUE ELF,CAC,09,,,,,,,,,,,,,,,,,,,,,,
170000,063801,ALOE DOROTHEAE,CAC,10,,,,,,,,,,,,,,,,,,,,,,
170000,077801,ALOE HYBRID CARMINE TM,CAC,09,,,,,,,,,,,,,,,,,,,,,,
170000,063791,ALOE HYBRID CHRISTMAS CAROL,CAC,09,,,,,,,,,,,,,,,,,,,,,,
170000,077781,ALOE HYBRID GUIDO TM,CAC,09,,,,,,,,,,,,,,,,,,,,,,
170000,079112,ALOE HYBRID SUPER RED R,CAC,09,,,,,,,,,,,,,,,,,,,,,,
170000,410701,ALOE HYBRID TWILIGHT ZONE,CAC,09,,,,,,,,,,,,,,,,,,,,,,
170000,047322,ALOE POLYPHYLLA,CAC,09,,,,,,,,,,,,,,,,,,,,,,
170000,002002,ALPINIA ZERUMBET VARIEGATA,PRN,08,,,,,,,,,,,,,,,,,,,,,,
170000,002005,ALPINIA ZERUMBET VARIEGATA,PRN,08,,,,,,,,,,,,,,,,,,,,,,
170000,416622,ALST COLORITA R ARIANE R,PRN,08,,,,,,,,,,,,,,,,,,,,,,
170000,051572,ALST COLORITA R DIANA R,PRN,08,,,,,,,,,,,,,,,,,,,,,,
170000,087262,ALST COLORITA R ELIANE R,PRN,08,,,,,,,,,,,,,,,,,,,,,,
170000,096532,ALST INTICANCHA R BRYCE,PRN,08,,,,,,,,,,,,,,,,,,,,,,
170000,096522,ALST INTICANCHA R NAVAYO,PRN,08,,,,,,,,,,,,,,,,,,,,,,
170000,096482,ALST INTICANCHA R PURPLE,PRN,08,,,,,,,,,,,,,,,,,,,,,,
170000,096492,ALST INTICANCHA R SUNLIGHT,PRN,08,,,,,,,,,,,,,,,,,,,,,,
170000,066382,ALST ROCK & ROLL R PP21001,PRN,08,,,,,,,,,,,,,,,,,,,,,,
170000,040311,ALYOGYNE LEON'S PUR DELIGHT TM,EVS,09,,,,,,,,,,,,,,,,,,,,,,
170000,040315PT,ALYOGYNE LEON'S PUR DELIGHT TM,EVS,09,,,,,,,,,,,,,,,,,,,,,,
170000,002421,ALYOGYNE SANTA CRUZ,EVS,09,,,,,,,,,,,,,,,,,,,,,,
170000,002425PT,ALYOGYNE SANTA CRUZ,EVS,09,,,,,,,,,,,,,,,,,,,,,,
160000,002741,ANEMONE SYLVESTRIS,PRN,02,,,,,,,,,,,,,,,,,,,,,,
160000,038561,ANEMONE X SERENADE,PRN,04,,,,,,,,,,,,,,,,,,,,,,
170000,002651,ANTIGONON LEPTOPUS,VIN,08,,,,,,,,,,,,,,,,,,,,,,
160000,05908UT,AQUILEGIA C LITTLE LANTERNS,PRN,03,,,,,,,,,,,,,,,,,,,,,,
160000,00272UT,AQUILEGIA FLA CAMEO BLUE & WT,PRN,03,,,,,,,,,,,,,,,,,,,,,,
160000,055482,ARALIA CORDATA GOTEMBA,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,003041,ARMERIA MAR BLOODSTONE,PRN,03,,,,,,,,,,,,,,,,,,,,,,
160000,00304UT,ARMERIA MAR BLOODSTONE,PRN,03,,,,,,,,,,,,,,,,,,,,,,
160000,002691,ARMERIA MAR COTTON TAIL,PRN,03,,,,,,,,,,,,,,,,,,,,,,
160000,00269UT,ARMERIA MAR COTTON TAIL,PRN,03,,,,,,,,,,,,,,,,,,,,,,
160000,019461,ARMERIA MAR RUBRIFOLIA,PRN,03,,,,,,,,,,,,,,,,,,,,,,
160000,01946UT,ARMERIA MAR RUBRIFOLIA,PRN,03,,,,,,,,,,,,,,,,,,,,,,
170000,066342,ASCLEPIAS CUR SILKY GOLD,PRN,08,,,,,,,,,,,,,,,,,,,,,,
170000,021912,ASCLEPIAS RED BUTTERFLIES,PRN,08,,,,,,,,,,,,,,,,,,,,,,
170000,003151,ASPARAGUS MYERS,FRN,09,,,,,,,,,,,,,,,,,,,,,,
170000,003152,ASPARAGUS MYERS,FRN,09,,,,,,,,,,,,,,,,,,,,,,
170000,003155,ASPARAGUS MYERS,FRN,09,,,,,,,,,,,,,,,,,,,,,,
170000,00315UT,ASPARAGUS MYERS,FRN,09,,,,,,,,,,,,,,,,,,,,,,
170000,003301,ASPARAGUS SPR COMPACTA,FRN,09,,,,,,,,,,,,,,,,,,,,,,
160000,003401,ASTER ALMA POTSCHKE,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,030091,ASTER FARMINGTON PPAF,PRN,03,,,,,,,,,,,,,,,,,,,,,,
160000,003381,ASTER FRIKARTII MOENCH,PRN,05,,,,,,,,,,,,,,,,,,,,,,
160000,412531,ASTER N-A VIBRANT DOME,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,003471,ASTER PROF KIPPENBURG,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,003611,ASTER TRIUMPH,PRN,03,,,,,,,,,,,,,,,,,,,,,,
160000,023891,ASTER WOOD'S BLUE,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,001531,ASTER WOOD'S PINK,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,001591,ASTILBE BRIDAL VEIL,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,003621,ASTILBE CHINENSIS VISIONS,PRN,04,,,,,,,,,,,,,,,,,,,,,,
