Item,Early Ship,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
Decidious Shrubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012001,,,,1,OR,10,Berberis thunbergii 'Atropurpurea'                          ,Red Leaf Japanese Barberry                                  ,DCS,D Shrubs,04,    , $7.30 ,,,,014949120019,957,957,957,10/01/14  ,0,          ,0,          ,, $6.25 , $1.05 
012002,,,,2,OR,5,Berberis thunbergii 'Atropurpurea'                          ,Red Leaf Japanese Barberry                                  ,DCS,D Shrubs,04,    , $15.87 ,,,,014949120026,178,178,178,10/01/14  ,0,          ,0,          ,, $13.25 , $2.62 
012011,,,,1,OR,10,Berberis thunbergii 'Cherry Bomb',Cherry Bomb®  Japanese Barberry,DCS,D Shrubs,04,    , $7.55 ,,,,014949120118,0,278,278,10/01/14  ,0,          ,0,          ,, $6.50 , $1.05 
012012,,,,2,OR,5,Berberis thunbergii 'Cherry Bomb',Cherry Bomb®  Japanese Barberry,DCS,D Shrubs,04,    , $15.87 ,,,,014949120125,0,23,23,10/01/14  ,0,          ,0,          ,, $13.25 , $2.62 
012013,,,,3,OR,5,Berberis thunbergii 'Cherry Bomb',Cherry Bomb®  Japanese Barberry,DCS,D Shrubs,04,    , $24.69 ,,,,014949120132,0,8,8,09/01/14  ,0,          ,0,          ,, $20.50 , $4.19 
002241,,,,1,CA,10,Berberis thunbergii 'Concorde'                              ,Concorde Japanese Barberry                                  ,DCS,D Shrubs,04,    ,, $7.59 ,,,014949198063,0,233,233,03/01/15  ,0,          ,0,          ,, $6.50 , $1.09 
002242,,,,2,CA,5,Berberis thunbergii 'Concorde'                              ,Concorde Japanese Barberry                                  ,DCS,D Shrubs,04,    ,,,,,014949074671,,,,,,,,,, $13.25 , $2.73 
012051,,,,1,CA,10,Berberis thunbergii 'Crimson Pygmy' ,Crimson Pygmy Dwarf Japanese Barberry                       ,DCS,D Shrubs,04,    ,, $7.34 ,,,014949120514,0,61,61,11/15/14  ,0,          ,0,          ,, $6.25 , $1.09 
012052,,,,2,CA,5,Berberis thunbergii 'Crimson Pygmy' ,Crimson Pygmy Dwarf Japanese Barberry                       ,DCS,D Shrubs,04,    , $15.87 , $15.98 ,, $14.36 ,014949120521,0,360,259,0,101,0,0,0,, $13.25 , $2.73 
012053,,,,3,OR,5,Berberis thunbergii 'Crimson Pygmy' ,Crimson Pygmy Dwarf Japanese Barberry                       ,DCS,D Shrubs,04,    , $23.44 ,,,,014949120538,43,43,43,10/01/14  ,0,          ,0,          ,, $19.25 , $4.19 
023941,,,,1,OR,10,Berberis thunbergii Crimson Ruby®,Crimson Ruby®  Japanese Barberry,DCS,D Shrubs,04,    , $8.55 ,,,,014949044438,1771,1771,1771,10/01/14  ,0,          ,0,          ,, $7.50 , $1.05 
02394M,,,, 10 Squat,OR,2,Berberis thunbergii Crimson Ruby®,Crimson Ruby®  Japanese Barberry,DCS,D Shrubs,04,    , $69.40 ,,,,014949367681,1,0,0,          ,0,          ,0,          ,, $53.00 , $16.40 
023942,,,,2,OR,5,Berberis thunbergii Crimson Ruby®,Crimson Ruby®  Japanese Barberry,DCS,D Shrubs,04,    , $18.12 ,,,,014949113769,0,101,101,09/15/14  ,0,          ,0,          ,, $15.50 , $2.62 
012032,,,,2,CA,5,"Berberis thunbergii 'Golden Nugget""",Golden Nugget™  Dwarf Japanese Barberry,DCS,D Shrubs,04,    , $15.87 , $15.98 ,,,014949120323,0,82,82,0,0,0,0,0,, $13.25 , $2.73 
012031,,,,1,OR,10,Berberis thunbergii Golden Nugget™,Golden Nugget™  Dwarf Japanese Barberry,DCS,D Shrubs,04,    , $7.55 ,,,,014949120316,2,0,0,          ,0,          ,0,          ,, $6.50 , $1.05 
074741S,,,,SuperOne TM,CA,20,Berberis thunbergii 'Golden Pillar',Sunjoy®  Gold Pillar Barberry,DCS,D Shrubs,04,2011, $12.24 , $12.32 ,,,014949335642,0,2814,1411,0,1403,0,0,0,, $10.50 , $1.82 
074742S,,,,SuperTwo,CA,15,Berberis thunbergii 'Golden Pillar',Sunjoy®  Gold Pillar Barberry,DCS,D Shrubs,04,2011, $20.49 , $20.64 ,, $16.11 ,014949339558,28,13,13,0,0,0,0,0,, $17.00 , $3.64 
035231,,,,1,OR,10,Berberis thunbergii 'Golden Ruby',Golden Ruby®  Barberry,DCS,D Shrubs,04,    , $10.05 ,,,,014949213865,50,50,50,01/01/15  ,0,          ,0,          ,, $9.00 , $1.05 
035232,,,,2,OR,10,Berberis thunbergii 'Golden Ruby',Golden Ruby®  Barberry,DCS,D Shrubs,04,    , $18.62 ,,, $15.61 ,014949214626,339,349,344,0,5,0,0,0,, $16.00 , $2.62 
035233,,,,3,OR,5,Berberis thunbergii 'Golden Ruby',Golden Ruby®  Barberry,DCS,D Shrubs,04,    , $26.69 ,,,,014949283882,89,100,100,10/01/14  ,0,          ,0,          ,, $22.50 , $4.19 
401112,,,,2,CT,5,Berberis thunbergii 'Golden Treasure',Golden Treasure™  Barberry,DCS,D Shrubs,04,    ,,,, $14.36 ,014949388990,0,17,17,09/01/14  ,0,          ,0,          ,, $13.25 , $1.11 
012101,,,,1,OR,10,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,DCS,D Shrubs,04,    , $7.55 ,,,,014949121016,17,17,17,10/01/14  ,0,          ,0,          ,, $6.50 , $1.05 
012102,,,,2,OR,5,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,DCS,D Shrubs,04,    , $15.87 ,,, $14.36 ,014949121023,264,562,413,0,149,0,0,0,, $13.25 , $2.62 
012105,,,,5,OR,5,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,DCS,D Shrubs,04,    , $27.73 ,,,,014949121054,1624,5622,2811,04/01/15  ,2811,05/01/15  ,0,          ,, $22.50 , $5.23 
062931,,,,1,CA,20,Berberis thunbergii 'Orange Rocket',Orange Rocket Barberry                                      ,DCS,D Shrubs,04,2012, $8.55 , $8.59 ,,,014949348093,0,1828,1828,0,0,0,0,0,, $7.50 , $1.09 
062932,,,,2,CA,5,Berberis thunbergii 'Orange Rocket' ,Orange Rocket Barberry                                      ,DCS,D Shrubs,04,2012, $18.62 , $18.73 ,, $15.61 ,014949348109,1367,1190,1190,0,0,0,0,0,, $16.00 , $2.73 
062935,,,,5,OR,5,Berberis thunbergii 'Orange Rocket' ,Orange Rocket Barberry                                      ,DCS,D Shrubs,04,2012, $30.73 ,,,,014949324127,0,209,209,05/01/15  ,0,          ,0,          ,, $25.50 , $5.23 
035241,,,,1,OR,10,Berberis thunbergii 'Pygmy Ruby',Pygmy Ruby™  Barberry,DCS,D Shrubs,04,2010, $8.55 ,,,,014949214602,150,150,150,10/01/14  ,0,          ,0,          ,, $7.50 , $1.05 
035242,,,,2,OR,5,Berberis thunbergii 'Pygmy Ruby',Pygmy Ruby™  Barberry,DCS,D Shrubs,04,2010, $18.12 ,,,,014949214619,310,310,310,10/01/14  ,0,          ,0,          ,, $15.50 , $2.62 
012201,,,,1,CA,10,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,DCS,D Shrubs,04,    , $7.30 , $7.34 ,,,014949122013,34,144,144,0,0,0,0,0,, $6.25 , $1.09 
012202,,,,2,CA,5,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,DCS,D Shrubs,04,    , $15.87 , $15.98 ,,,014949122020,2633,6535,6482,0,53,0,0,0,, $13.25 , $2.73 
012203,,,,3,OR,5,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,DCS,D Shrubs,04,    , $23.44 ,,,,014949122037,82,82,82,10/01/14  ,0,          ,0,          ,, $19.25 , $4.19 
012205,,,,5,OR,5,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,DCS,D Shrubs,04,    , $25.73 ,,,,014949122051,1682,1866,1866,05/01/15  ,0,          ,0,          ,, $20.50 , $5.23 
