CA,028342,#2,ABELIA GRA KALEIDOSCOPE P16988,,,,,,,,,,,,,,,,,,,,
GA,006241,#1,ACHILLEA MILL SUMMER BERRIES,,,,,,,,,,,,,,,,,,,,
GA,058251,#1,ACHILLEA STRWBRY SDCTN P18401,,,,,,,,,,,,,,,,,,,,
CA,001881,#1,AGAPANTHUS X MIDKNIGHT BLUE R,,,,,,,,,,,,,,,,,,,,
CA,001882,#2,AGAPANTHUS X MIDKNIGHT BLUE R,,,,,,,,,,,,,,,,,,,,
GA,400521,#1,AGASTACHE HYB BLUE BOA PP24050,,,,,,,,,,,,,,,,,,,,
OR,002561,#1 STAKED,AKEBIA QUINATA SHIRO BANA,,,,,,,,,,,,,,,,,,,,
CT,400561,#1,ALLIUM HYB MILLENNIUM,,,,,,,,,,,,,,,,,,,,
CA,064081,#1,ALOE BLUE ELF,,,,,,,,,,,,,,,,,,,,
CA,077781,#1,ALOE HYBRID GUIDO TM,,,,,,,,,,,,,,,,,,,,
CT,035341,#1,AMSONIA HUBRICHTII,,,,,,,,,,,,,,,,,,,,
GA,039021,#1,ANEMONE X WILD SWAN TM PP23132,,,,,,,,,,,,,,,,,,,,
CT,407602,#2,ARALIA CORDATA SUN KING,,,,,,,,,,,,,,,,,,,,
OR,003041,#1,ARMERIA MAR BLOODSTONE,,,,,,,,,,,,,,,,,,,,
CT,028281,#1,ASCLEPIAS GAY BUTTERFLIES,,,,,,,,,,,,,,,,,,,,
GA,003151,#1,ASPARAGUS MYERS,,,,,,,,,,,,,,,,,,,,
GA,003155,#5,ASPARAGUS MYERS,,,,,,,,,,,,,,,,,,,,
GA,003621,#1,ASTILBE CHINENSIS VISIONS,,,,,,,,,,,,,,,,,,,,
OR,025212,#2,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,,,,,,,,,,,,
OR,025215,#5,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,,,,,,,,,,,,
CA,011285,#5,BAM-PHYLLO BISSETII (RUN),,,,,,,,,,,,,,,,,,,,
CT,035381,#1,BRUNNERA MAC JACK FROST P13859,,,,,,,,,,,,,,,,,,,,
CT,401181,#1,BRUNNERA MAC SILVER HEART PPAF,,,,,,,,,,,,,,,,,,,,
OR,013651,#1,BRUNNERA MAC VARIEGATA,,,,,,,,,,,,,,,,,,,,
CT,401292S,SuperTwo,BUD LO&BEHLD R PINK MICRO CHIP,,,,,,,,,,,,,,,,,,,,
CT,407622S,SuperTwo,BUD LO&BEHOLD BLU CHIP JR,,,,,,,,,,,,,,,,,,,,
GA,077392S,SuperTwo,BUDDLEJA MISS MOLLY PPAF,,,,,,,,,,,,,,,,,,,,
OR,003011,#1,BUXUS CHICAGOLAND GREEN R,,,,,,,,,,,,,,,,,,,,
OR,090782,#2,BUXUS GOLDEN TRIUMPH,,,,,,,,,,,,,,,,,,,,
OR,024662,#2,CEPHALOTAXUS HAR DUKE GARDENS,,,,,,,,,,,,,,,,,,,,
OR,017382,#2,CEPHALOTAXUS HAR FASTIGIATA,,,,,,,,,,,,,,,,,,,,
GA,057383,#3,CESTRUM AUR ORANGE PEEL,,,,,,,,,,,,,,,,,,,,
GA,023021,#1,CHRYS (LEUCANTH) X SUP BECKY,,,,,,,,,,,,,,,,,,,,
GA,004221,#1,CHRYS (LEUCANTH) X SUP SNOWCAP,,,,,,,,,,,,,,,,,,,,
GA,412585,#5,COLOCASIA RYL HWN R MAUI GOLD,,,,,,,,,,,,,,,,,,,,
GA,03172UT,LittleOne,CORDYLINE BAUERI,,,,,,,,,,,,,,,,,,,,
GA,031721,#1,CORDYLINE BAUERI,,,,,,,,,,,,,,,,,,,,
GA,078721,#1,CORE BIGBANG TM CSMC EY P22601,,,,,,,,,,,,,,,,,,,,
GA,088891,#1,CORE BIGBANG TM MRCRY RSNG PAF,,,,,,,,,,,,,,,,,,,,
CT,028553,#3,COT APICULATUS TOM THUMB,,,,,,,,,,,,,,,,,,,,
GA,078741,#1,DELOSPERMA FIRE SPINNER R,,,,,,,,,,,,,,,,,,,,
GA,097231,#1,DELOSPERMA FIRE WONDER PPAF,,,,,,,,,,,,,,,,,,,,
GA,004801,#1,DICENTRA BURNINGHEARTS PP20797,,,,,,,,,,,,,,,,,,,,
CT,085821,#1,DISPORUM CANT MOONLIGHT P24556,,,,,,,,,,,,,,,,,,,,
GA,097902S,SuperTwo,DISTYLIUM EMRLD HEIGHTS R PPAF,,,,,,,,,,,,,,,,,,,,
CT,086841,#1,ECHIN SMBRO TM SALSA RD P23105,,,,,,,,,,,,,,,,,,,,
GA,08702UT,LittleOne,ECHINACEA CHEYENNE SPIRIT,,,,,,,,,,,,,,,,,,,,
CA,062005,#5,ENSETE MAURELII,,,,,,,,,,,,,,,,,,,,
GA,053981,#1,ERYNGIUM X BIG BLUE PPAF,,,,,,,,,,,,,,,,,,,,
GA,083621,#1,FERN-ADIANTUM PEDATUM,,,,,,,,,,,,,,,,,,,,
GA,035905,#5,FERN-ALSOPHILA AUSTRALIS,,,,,,,,,,,,,,,,,,,,
CT,032821,#1,FERN-ARACHNIODES STANDISHII,,,,,,,,,,,,,,,,,,,,
GA,019241,#1,FERN-ATHYRIUM F LADY IN RED,,,,,,,,,,,,,,,,,,,,
GA,018761,#1,FERN-ATHYRIUM GHOST,,,,,,,,,,,,,,,,,,,,
GA,036121,#1,FERN-ATHYRIUM NIP PICTUM,,,,,,,,,,,,,,,,,,,,
GA,044531,#1,FERN-ATHYRIUM NIP URSULA'S RED,,,,,,,,,,,,,,,,,,,,
GA,005041,#1,FERN-DRYOPTERIS CELSA,,,,,,,,,,,,,,,,,,,,
CT,021221,#1,FERN-DRYOPTERIS ERY BRILLIANCE,,,,,,,,,,,,,,,,,,,,
GA,036451,#1,FERN-MATTEUCCIA STRUTHIOPTERIS,,,,,,,,,,,,,,,,,,,,
CT,036411,#1,FERN-OSMUNDA CINNAMOMEA,,,,,,,,,,,,,,,,,,,,
GA,036411,#1,FERN-OSMUNDA CINNAMOMEA,,,,,,,,,,,,,,,,,,,,
OR,083721,#1,FERN-POLYSTICHUM POLYBLEPHARUM,,,,,,,,,,,,,,,,,,,,
OR,083722,#2,FERN-POLYSTICHUM POLYBLEPHARUM,,,,,,,,,,,,,,,,,,,,
OR,036491,#1,FERN-POLYSTICHUM SET(ANGULARE),,,,,,,,,,,,,,,,,,,,
GA,005091,#1,FERN-THELYPTERIS DECUR-PINNATA,,,,,,,,,,,,,,,,,,,,
CT,40263FLT,18 Count FLAT,FRAGARIA X ANA ALLSTAR,,,,,,,,,,,,,,,,,,,,
CT,40264FLT,18 Count FLAT,FRAGARIA X ANA CABOT,,,,,,,,,,,,,,,,,,,,
CT,40265FLT,18 Count FLAT,FRAGARIA X ANA EARLIGLOW,,,,,,,,,,,,,,,,,,,,
OR,086091,#1,FRAGARIA X ANANASSA TOSCANA,,,,,,,,,,,,,,,,,,,,
GA,089221,#1,GAILLARDIA FANFARE BLZE P23494,,,,,,,,,,,,,,,,,,,,
GA,412651,#1,GAILLARDIA SUNSET CANDY PPAF,,,,,,,,,,,,,,,,,,,,
GA,408751,#1,GAILLARDIA SUNSET FLASH PPAF,,,,,,,,,,,,,,,,,,,,
GA,02383UT,LittleOne,GALIUM ODORATUM,,,,,,,,,,,,,,,,,,,,
GA,028091,#1,GAURA L PINK CLOUD,,,,,,,,,,,,,,,,,,,,
GA,036481,#1,GAURA PASSIONATE RAINBW P17002,,,,,,,,,,,,,,,,,,,,
GA,023081,#1,GERANIUM ROZANNE PP12175,,,,,,,,,,,,,,,,,,,,
CT,005231,#1,GERANIUM SANGUINEUM MAX FREI,,,,,,,,,,,,,,,,,,,,
GA,067792,#2,GR-BOUT BLOND AMBITION PP22048,,,,,,,,,,,,,,,,,,,,
CA,022581,#1,GR-CAREX BUCHANANII,,,,,,,,,,,,,,,,,,,,
OR,022591,#1,GR-CAREX ELATA BOWLES GOLDEN,,,,,,,,,,,,,,,,,,,,
OR,022601,#1,GR-CAREX MORROWII AUREA VAR,,,,,,,,,,,,,,,,,,,,
CA,036671,#1,GR-FESTUCA GLAUCA ELIJAH BLUE,,,,,,,,,,,,,,,,,,,,
GA,064271,#1,GR-PENN SET RUBRUM,,,,,,,,,,,,,,,,,,,,
CA,064275,#5,GR-PENN SET RUBRUM,,,,,,,,,,,,,,,,,,,,
GA,064275,#5,GR-PENN SET RUBRUM,,,,,,,,,,,,,,,,,,,,
CT,083842,#2,HELLE NIGER HGC JACOB PP17799,,,,,,,,,,,,,,,,,,,,
CT,068061S,SuperOne TM,HELLE WJEWELS R PAINTED DBLS,,,,,,,,,,,,,,,,,,,,
CT,039991S,SuperOne TM,HELLE X IVORY PRINCE PP16199,,,,,,,,,,,,,,,,,,,,
CT,040111,#1,HEM STELLA DE ORO,,,,,,,,,,,,,,,,,,,,
GA,023101,#1,HEUCHERA FROSTED VIOLET P15085,,,,,,,,,,,,,,,,,,,,
GA,018661,#1,HEUCHERA GREEN SPICE,,,,,,,,,,,,,,,,,,,,
GA,046641,#1,HEUCHERA VIL CARAMEL PP16560,,,,,,,,,,,,,,,,,,,,
CA,056931,#1,HIB R BLUE VIOLET,,,,,,,,,,,,,,,,,,,,
GA,092752,#2,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,,,,,,,,,,,,
GA,092755,#5,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,,,,,,,,,,,,
CT,403803,#3,HYD END SUM R BLMSTRCK TM PPAF,,,,,,,,,,,,,,,,,,,,
CT,017313,#3,HYD M ENDLESS SUMMER R PP15298,,,,,,,,,,,,,,,,,,,,
GA,017315,#5,HYD M ENDLESS SUMMER R PP15298,,,,,,,,,,,,,,,,,,,,
GA,074562S,SuperTwo,HYD MAC CTYLN TM PARIS PP10906,,,,,,,,,,,,,,,,,,,,
GA,077462S,SuperTwo,HYD MAC LD R BIG EASY PPAF,,,,,,,,,,,,,,,,,,,,
GA,077465,#5,HYD MAC LD R BIG EASY PPAF,,,,,,,,,,,,,,,,,,,,
CT,086303S,Super 3,HYD MAC LD R DIVA,,,,,,,,,,,,,,,,,,,,
GA,074582S,SuperTwo,HYD MAC LD R STARLIGHT PP20019,,,,,,,,,,,,,,,,,,,,
CT,089953S,Super 3,HYD P LITTLE QUICK FIRE R PPAF,,,,,,,,,,,,,,,,,,,,
GA,080955,#5,HYD PAN BOBO R PP22782,,,,,,,,,,,,,,,,,,,,
CT,093173,#3,HYD QUER MUNCHKIN,,,,,,,,,,,,,,,,,,,,
GA,092655,#5,ILEX EMRLD COLONNADE R PP23905,,,,,,,,,,,,,,,,,,,,
CA,046632,#2,JASMINUM SAMBAC GRAND DUKE,,,,,,,,,,,,,,,,,,,,
GA,056611,#1,LANTANA CAM AMERICAN RED,,,,,,,,,,,,,,,,,,,,
GA,009133PT,#3 PATIO TREE,LANTANA CAM MOZELLE,,,,,,,,,,,,,,,,,,,,
GA,024461,#1,LANTANA TEENIE GENIE R PP17612,,,,,,,,,,,,,,,,,,,,
CA,057291,#1,LAURUS NOBILIS,,,,,,,,,,,,,,,,,,,,
OR,058941,#1,LITHODORA GRACE WARD,,,,,,,,,,,,,,,,,,,,
CA,086361S,SuperOne TM,LONICERA P SCENTSATION PP16240,,,,,,,,,,,,,,,,,,,,
CA,058992ST,#2 STAKED,LONICERA X GOLDFLAME,,,,,,,,,,,,,,,,,,,,
OR,053585,#5,MAHONIA X MED LIONEL FORTESCUE,,,,,,,,,,,,,,,,,,,,
GA,085805,#5 STAKED,MAN BRIDE'S CASCADE PPAF,,,,,,,,,,,,,,,,,,,,
CA,057085,#5 STAKED,MAN SUN PAR R GIANT PNK P15202,,,,,,,,,,,,,,,,,,,,
GA,057085,#5 STAKED,MAN SUN PAR R GIANT PNK P15202,,,,,,,,,,,,,,,,,,,,
GA,061235,#5 STAKED,MAN SUN PAR R GNT CRIM P17736,,,,,,,,,,,,,,,,,,,,
GA,404851,#1,NEPETA JNR WALKER TM PP23074,,,,,,,,,,,,,,,,,,,,
OR,079351,#1,OSTEO PURPLE MOUNTAIN R,,,,,,,,,,,,,,,,,,,,
OR,047075,#5,PAEONIA ITOH YUMI TM (YLW),,,,,,,,,,,,,,,,,,,,
GA,409011,#1,PENSTEMON ROCK CANDY PRPL PPAF,,,,,,,,,,,,,,,,,,,,
