Loc,,New Plant,Item,,Size,Plant Name,Common Name,CAT,Zone,Condition,Current Specs,Qty Allocated,QTY AVAIL NOW,2ND QTY AVAIL,2ND QTY READY DATE,2016 LIST PRICE,"ADD'L 10% 
QTY 
BUY PRICE","ADD'L 12.5% 
QTY
BUY
PRICE","UNIT 
FRT"
CA,170000,    ,074802S,170000074802S,SuperTwo,CORNUS S ARCTIC FIRE TM P18523,Arctic Fire  Red Twig Dogwood,DCS,03,,,     , 3 ,     ,          , 17.75 , 15.98 , 15.53 ,1.81
CA,170000,X,412591,170000412591,#1,DIAN WHETMAN STARS STARGAZER,Whetman Stars  Stargazer Pink,PRN,04,,CAN FULL,     ,     , 370 ,04/01/16  , 5.75 , 5.18 , 5.03 ,0.54
CA,170000,    ,031331,170000031331,#1,DIANTHUS FROSTY FIRE,Frosty Fire Cheddar Pink                                    ,PRN,02,,CAN FULL,     ,     , 494 ,04/01/16  , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,    ,094501,170000094501,#1,DIANTHUS RASP SURPRISE PP16029,Raspberry Surprise Maiden Pink                              ,PRN,04,BUDS,CAN FULL,     , 15 ,     ,          , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,    ,074341,170000074341,#1,ERYNGIUM PLANUM BLUE HOBBIT,Blue Hobbit Dwarf Sea Holly                                 ,PRN,04,-,CAN FULL,     , 42 ,     ,          , 6.75 , 6.08 , 5.91 ,0.54
CA,170000,    ,034452,170000034452,#2,EUO F IVORY JADE,Ivory Jade Wintercreeper                                    ,EVS,04,-,"8""H - 10""S",     ,     , 121 ,04/01/16  , 14.00 , 12.60 , 12.25 ,1.36
CA,170000,    ,019241,170000019241,#1,FERN-ATHYRIUM F LADY IN RED,Lady In Red Fern                                            ,FRN,02,DORMANT,CAN FULL, 13 , 93 ,     ,          , 7.00 , 6.30 , 6.13 ,0.54
CA,170000,    ,019242,170000019242,#2,FERN-ATHYRIUM F LADY IN RED,Lady In Red Fern                                            ,FRN,02,DORMANT,"10""S", 23 , 280 ,     ,          , 16.00 , 14.40 , 14.00 ,1.36
CA,170000,    ,018761,170000018761,#1,FERN-ATHYRIUM GHOST,Ghost Fern                                                  ,FRN,04,DORMANT,CAN FULL, 22 , 407 ,     ,          , 7.00 , 6.30 , 6.13 ,0.54
CA,170000,    ,018762,170000018762,#2,FERN-ATHYRIUM GHOST,Ghost Fern                                                  ,FRN,04,DORMANT,CAN FULL,     , 401 ,     ,          , 16.00 , 14.40 , 14.00 ,1.36
CA,170000,    ,036455,170000036455,#5,FERN-MATTEUCCIA STRUTHIOPTERIS,European Ostrich Fern                                       ,FRN,03,DORMANT,"12""S", 18 , 18 ,     ,          , 24.50 , 22.05 , 21.44 ,2.72
CA,170000,    ,068351,170000068351,#1,FRAGARIA ALBION R PP16228,Albion Strawberry                                           ,PRN,03,-,CAN FULL,     , 84 ,     ,          , 4.75 , 4.28 , 4.16 ,0.54
CA,170000,    ,071521,170000071521,#1,FRAGARIA X AN DIAMANTE PP10435,Diamante Strawberry                                         ,PRN,03,,CAN FULL,     ,     , 348 ,05/01/16  , 4.75 , 4.28 , 4.16 ,0.54
CA,170000,,086091,170000086091,#1,FRAGARIA X ANANASSA TOSCANA,Toscana Strawberry                                          ,PRN,04,,CAN FULL, 10 ,     , 145 ,03/01/16  , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,    ,073101,170000073101,#1,FRAGARIA X SAN ANDREAS PP19975,San Andreas Strawberry                                      ,PRN,03,-,CAN FULL,     , 377 ,     ,          , 4.75 , 4.28 , 4.16 ,0.54
CA,170000,    ,068361,170000068361,#1,FRAGARIA X SEASCAPE R,Seascape Strawberry                                         ,PRN,04,-,CAN FULL,     , 428 ,     ,          , 4.75 , 4.28 , 4.16 ,0.54
CA,170000,    ,035711,170000035711,#1,GAILLARDIA ARIZONA SUN,Arizona Sun Blanket Flower                                  ,PRN,03,,CAN FULL,     ,     , 162 ,03/01/16  , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,    ,037611,170000037611,#1,GAILLARDIA GOBLIN,Goblin Blanket Flower                                       ,PRN,03,,CAN FULL,     , 98 , 334 ,05/15/16  , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,    ,036441,170000036441,#1,GAILLARDIA ORNGS&LEMONS P17092,Oranges & Lemons Blanket Flower                             ,PRN,03,,CAN FULL,     ,     , 12 ,05/15/16  , 6.00 , 5.40 , 5.25 ,0.54
CA,170000,    ,048591,170000048591,#1,GAZANIA LIN COLORADO GOLD R,Colorado Gold®  Treasure Flower,PRN,04,,,     ,     , 474 ,04/01/16  , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,,067791,170000067791,#1,GR-BOUT BLOND AMBITION PP22048,Blonde Ambition Blue Grama Grass                            ,GRS,04,DORMANT,CAN FULL, 153 , 249 ,     ,          , 9.00 , 8.10 , 7.88 ,0.54
CA,170000,,067792,170000067792,#2,GR-BOUT BLOND AMBITION PP22048,Blonde Ambition Blue Grama Grass                            ,GRS,04,DORMANT,CAN FULL,     , 24 ,     ,          , 15.75 , 14.18 , 13.78 ,1.36
CA,170000,    ,044552,170000044552,#2,GR-CAL ACUT AVALANCHE,Avalanche Feather Reed Grass                                ,GRS,04,WINTER COLOR,"10""H",     , 18 ,,, 15.00 , 13.50 , 13.13 ,1.36
CA,170000,    ,014015,170000014015,#5,GR-CAL ACUT KARL FOERSTER,Foerster's Feather Reed Grass                               ,GRS,04,-,"12""H", 16 ,     , 16 ,03/01/16  , 20.25 , 18.23 , 17.72 ,2.72
CA,170000,    ,014071,170000014071,#1,GR-CAL ACUT OVERDAM,Overdam Feather Reed Grass                                  ,GRS,04,WINTER COLOR,"6""H",     , 49 ,,, 6.75 , 6.08 , 5.91 ,0.54
CA,170000,,014081,170000014081,#1,GR-CALAMAGROSTIS  BRACHYTRICA,Korean Feather Reed Grass                                   ,GRS,04,DORMANT,"6""H", 218 , 223 ,,, 7.00 , 6.30 , 6.13 ,0.54
CA,170000,,014082,170000014082,#2,GR-CALAMAGROSTIS  BRACHYTRICA,Korean Feather Reed Grass                                   ,GRS,04,DORMANT,"10""H", 31 , 69 ,     ,          , 15.00 , 13.50 , 13.13 ,1.36
CA,170000,    ,024091,170000024091,#1,GR-CHASMANTHIUM LATIFOLIUM,Northern Sea Oats                                           ,GRS,04,-,"6""H", 25 ,     , 26 ,03/01/16  , 6.75 , 6.08 , 5.91 ,0.54
CA,170000,    ,024092,170000024092,#2,GR-CHASMANTHIUM LATIFOLIUM,Northern Sea Oats                                           ,GRS,04,,,     ,     , 28 ,03/01/16  , 15.00 , 13.50 , 13.13 ,1.36
CA,170000,,089282,170000089282,#2,GR-DESCHAMPSIA SCHOTTLAND,Scottish Tufted Hair Grass                                  ,GRS,04,WINTER COLOR,CAN FULL, 29 , 133 ,     ,          , 15.00 , 13.50 , 13.13 ,1.36
CA,170000,    ,031941,170000031941,#1,GR-ELYMUS ARENARIUS BLUE DUNE,Blue Dune Lyme Grass                                        ,GRS,04,DORMANT,"10""H", 14 , 66 ,,, 6.75 , 6.08 , 5.91 ,0.54
CA,170000,    ,028051,170000028051,#1,GR-ERIANTHUS RAVENNAE,Hardy Pampas Grass                                          ,GRS,04,DORMANT,"20""H",     , 115 ,     ,          , 6.75 , 6.08 , 5.91 ,0.54
CA,170000,    ,028052,170000028052,#2,GR-ERIANTHUS RAVENNAE,Hardy Pampas Grass                                          ,GRS,04,DORMANT,"20""H",     , 13 ,     ,          , 15.00 , 13.50 , 13.13 ,1.36
CA,170000,    ,036671,170000036671,#1,GR-FESTUCA GLAUCA ELIJAH BLUE,Elijah Blue Fescue                                          ,GRS,04,-,"4""H", 48 ,     ," 4,089 ",03/01/16  , 6.25 , 5.63 , 5.47 ,0.54
CA,170000,,089291,170000089291,#1,GR-HAKONECHLOA FUBUKI PP21757,Fubuki Japanese Forest Grass                                ,GRS,04,,,     ,     , 10 ,04/15/16  , 11.25 , 10.13 , 9.84 ,0.54
CA,170000,    ,035911,170000035911,#1,GR-HAKONECHLOA MACRA ALL GOLD,All Gold Japanese Forest Grass                              ,GRS,04,-,2/3 CAN FULL, 179 ,     , 179 ,04/15/16  , 11.25 , 10.13 , 9.84 ,0.54
CA,170000,    ,038681,170000038681,#1,GR-HAKONECHLOA MACRA AUREOLA,Golden Japanese Forest Grass                                ,GRS,04,-,2/3 CAN FULL, 61 ,     , 68 ,04/15/16  , 9.00 , 8.10 , 7.88 ,0.54
CA,170000,    ,061551,170000061551,#1,GR-MIS SIN STRICTUS,Porcupine Grass                                             ,GRS,04,DORMANT,"8""H",     , 86 ,,, 6.75 , 6.08 , 5.91 ,0.54
CA,170000,    ,061552,170000061552,#2,GR-MIS SIN STRICTUS,Porcupine Grass                                             ,GRS,04,DORMANT,"12""H", 39 , 111 ,,, 15.00 , 13.50 , 13.13 ,1.36
CA,170000,    ,061555,170000061555,#5,GR-MIS SIN STRICTUS,Porcupine Grass                                             ,GRS,04,DORMANT,"24""H", 21 , 21 ,,, 19.75 , 17.78 , 17.28 ,2.72
CA,170000,    ,005621,170000005621,#1,GR-MOLINIA CAER ARUND SKYRACER,Skyracer Purple Moor Grass                                  ,GRS,04,,, 35 ,     , 141 ,04/01/16  , 7.00 , 6.30 , 6.13 ,0.54
CA,170000,    ,061791,170000061791,#1,GR-PAN VIR HEAVY METAL,Heavy Metal Blue Switch Grass                               ,GRS,04,DORMANT,"15""H",     , 40 ,,, 6.75 , 6.08 , 5.91 ,0.54
CA,170000,    ,061795,170000061795,#5,GR-PAN VIR HEAVY METAL,Heavy Metal Blue Switch Grass                               ,GRS,04,DORMANT,"24""H",     , 48 ,     ,          , 19.75 , 17.78 , 17.28 ,2.72
CA,170000,,022961,170000022961,#1,GR-PAN VIR NORTHWIND,Northwind Switch Grass                                      ,GRS,04,DORMANT,"15""H",     , 22 ,,, 7.00 , 6.30 , 6.13 ,0.54
CA,170000,,022962,170000022962,#2,GR-PAN VIR NORTHWIND,Northwind Switch Grass                                      ,GRS,04,DORMANT,"15""H", 53 , 53 ,,, 15.00 , 13.50 , 13.13 ,1.36
CA,170000,    ,063881,170000063881,#1,GR-PAN VIR SHENANDOAH,Shenandoah Switch Grass                                     ,GRS,04,DORMANT,"15""H",     , 130 ,,, 6.75 , 6.08 , 5.91 ,0.54
CA,170000,    ,063882,170000063882,#2,GR-PAN VIR SHENANDOAH,Shenandoah Switch Grass                                     ,GRS,04,DORMANT,"15""H",     , 10 ,     ,          , 15.00 , 13.50 , 13.13 ,1.36
CA,170000,    ,064261,170000064261,#1,GR-PENN ALO HAMELN,Dwarf Fountain Grass                                        ,GRS,04,DORMANT,CAN FULL,     , 92 ,,, 6.75 , 6.08 , 5.91 ,0.54
CA,170000,,086111,170000086111,#1,GR-SCHIZACH BL HEAVN TM P17310,Blue Heaven Little Bluestem                                 ,GRS,03,DORMANT,"6""H", 13 , 128 ,,, 7.00 , 6.30 , 6.13 ,0.54
CA,170000,    ,005811,170000005811,#1,GR-SORGHASTRUM SIOUX BLUE,Sioux Blue Indian Grass                                     ,GRS,04,DORMANT,"6""H", 17 , 19 ,     ,          , 6.75 , 6.08 , 5.91 ,0.54
CA,170000,    ,005815,170000005815,#5,GR-SORGHASTRUM SIOUX BLUE,Sioux Blue Indian Grass                                     ,GRS,04,,, 50 ,     , 50 ,04/01/16  , 19.75 , 17.78 , 17.28 ,2.72
CA,170000,    ,067241,170000067241,#1,HELLE WJEWELS R APRICOT BLUSH,Winter Jewels®  Apricot Blush Lenten Rose,PRN,04,,CAN FULL,     ,     , 839 ,04/15/16  , 9.25 , 8.33 , 8.09 ,0.54
CA,170000,    ,067261,170000067261,#1,HELLE WJEWELS R CHERRY BLOSSOM,Winter Jewels®  Cherry Blossom Lenten Rose,PRN,04,,CAN FULL,     ,     , 882 ,04/15/16  , 9.25 , 8.33 , 8.09 ,0.54
CA,170000,    ,065791,170000065791,#1,HELLE WJEWELS R GOLDEN SUNRISE,Winter Jewels®  Golden Sunrise Lenten Rose,PRN,04,,CAN FULL,     ,     , 359 ,04/15/16  , 9.25 , 8.33 , 8.09 ,0.54
CA,170000,    ,040111,170000040111,#1,HEM STELLA DE ORO,Stella De Oro Dwarf Daylily                                 ,PRN,04,-,2-3 FANS,     ,     , 453 ,04/01/16  , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,    ,403231,170000403231,#1,HEUCHERA BERRY SMOOTHIE P21871,Berry Smoothie Coral Bells                                  ,PRN,04,,CAN FULL,     ,     , 64 ,04/01/16  , 8.25 , 7.43 , 7.22 ,0.54
