Branch,Item,Description,WIP+FG,Allocated,Remaining,"Allocated
To Orders","Orders
from Open","Open
Available",Category,Intro,Catalog,Reason
550000,86821,ECHIN SMBRO TM HOT CORL P23097,960,960,25,97%,0,0,PRN,2014,$0.00 ,
550000,86831,ECHIN SMBRO TM LEMON YLW PPAF,999,960,438,54%,39,0,PRN,2014,$0.00 ,
550000,86841,ECHIN SMBRO TM SALSA RD P23105,2138,2138,522,75%,0,0,PRN,2014,$0.00 ,
550000,097912S,GARDENIA PINWHEEL R PP22510,1005,1005,609,39%,0,0,EVS,2014,$0.00 ,
550000,65803,GR-CHASMANTHIUM LAT RIVER MIST,768,395,239,39%,346,27,GRS,2014,$0.00 ,
550000,92035,GR-ERAGROSTIS ELLI WIND DANCER,360,240,235,2%,10,110,GRS,2014,$18.00 ,
550000,92031,GR-ERAGROSTIS ELLI WIND DANCER,864,681,671,1%,0,183,GRS,2014,$6.50 ,
550000,22961,GR-PAN VIR NORTHWIND,2763,0,0,,455,2308,GRS,2014,$6.25 ,
550000,97091,HEUCHERA CARNIVAL LIMEADE PPAF,1008,1008,305,69%,0,0,PRN,2014,$0.00 ,
550000,97161,HEUCHERA CARNIVAL PCH PRFT PAF,1008,1008,733,27%,0,0,PRN,2014,$0.00 ,
550000,97171,HEUCHERA CARNIVAL RSE GRNT PAF,1008,1008,621,38%,0,0,PRN,2014,$0.00 ,
550000,54481,HEUCHERELLA GOLD ZEBRA PPAF,1006,1008,452,55%,0,-2,PRN,2014,$0.00 ,
550000,93061,HOSTA ENTERPRISE,1000,1000,1000,0%,0,0,PRN,2014,$0.00 ,
550000,86315,HYD MAC LD R RHYTHMIC BLUE PAF,498,498,364,26%,0,0,DCS,2014,$0.00 ,
550000,089932S,HYD MAC PARAPLU TM PPAF,710,710,517,27%,0,0,DCS,2014,$16.00 ,
550000,89945,HYD PAN FIRE LIGHT TM PPAF,219,219,109,50%,0,0,DCS,2014,$22.00 ,
