Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On,x
CT,2014,075121,#1,HOSTA FIRE ISLAND,Hosta 'Fire Island'                                         ,Fire Island Plantain Lily                                   ,Hosta,PRN,03,, 5.50 ,,,     , 10 ,     , 56 ,05/15/15  ,     ,          ,     ,          ,x
CT,2013,082012,#2,HOSTA X LIBERTY,"Hosta 'Liberty' PP #12,531                                  ",Liberty Hosta                                               ,Hosta,PRN,03,Y, 10.50 ,,,     , 5 ,     , 776 ,06/01/15  ,     ,          ,     ,          ,x
CT,    ,041715,#5,HYD ARB ANNABELLE,Hydrangea arborescens 'Annabelle'                           ,Annabelle Hydrangea                                         ,Hydrangea,DCS,04,, 22.00 ,-,"26"" H -30"" S", 38 , 5 ,     , 201 ,01/01/15  ,     ,          ,     ,          ,x
CT,    ,403863,#3,HYD DBL DLT TM EXPRESN P18393,"Hydrangea macrophylla 'Double Delights Expression' PP 18,393",Double Delights™  Expression Hydrangea,Hydrangea,DCS,05,, 21.00 ,-,,     , 5 ,     , 63 ,05/01/15  ,     ,          ,     ,          ,x
CT,    ,403673,#3,HYD DBL DLT TM STR GAZR P20998,"Hydrangea macrophylla 'Kompeito' PP# 20,998                 ",Double Delights™  Star Gazer Hydrangea,Hydrangea,DCS,05,BHC, 21.00 ,-,,     , 5 ,     , 127 ,05/01/15  , 215 ,06/01/15  ,     ,          ,x
CT,    ,403803,#3,HYD END SUM R BLMSTRCK TM PPAF,Hydrangea macrophylla 'Bloomstruck' PPAF                    ,Bloomstruck Endless Summer®  Hydrangea,Hydrangea,DCS,04,, 21.50 ,,, 350 , 5 ,     , 350 ,05/01/15  ,     ,          ,     ,          ,x
CT,    ,035023,#3,HYD END SUM R BLSH BRID P17169,Hydrangea macrophylla 'Blushing Bride' P.P.# 17169          ,Endless Summer®  Blushing Bride Hydrangea,Hydrangea,DCS,05,BNI, 21.00 ,BUDS & BLOOMS,, 80 , 5 , 119 , 654 ,05/01/15  ,     ,          ,     ,          ,x
CT,    ,403885,#5,HYD END SUM R TWST-N-SHT R PAF,Hydrangea macrophylla 'PIIHM-I' PPAF                        ,Twist-n-Shout™  Endless Summer®  Hydrangea,Hydrangea,DCS,04,BNI, 28.50 ,,, 25 , 5 ,     , 53 ,05/01/15  ,     ,          ,     ,          ,x
CT,    ,403731,#1,HYD FRVR & EVR R WHT OUT PPAF,Hydrangea macrophylla 'White Ball' PPAF                     ,Forever & Ever®  White-Out Hydrangea,Hydrangea,DCS,04,BFN, 7.00 ,,,     , 10 ,     , 80 ,05/01/15  ,     ,          ,     ,          ,x
CT,    ,403921S,SuperOne TM,HYD M NXT GEN RED SNSTN P18197,"Hydrangea macrophylla 'Red Sensation' P.P. #18,197          ",Red Sensation Hydrangea                                     ,Hydrangea,DCS,05,BHC, 10.50 ,,, 25 , 10 ,     , 269 ,05/01/15  ,     ,          ,     ,          ,x
CT,    ,403752S,SuperTwo,HYD M PEPPERMINT SWIRL TM PPAF,Hydrangea Peppermint Swirl PPAF                             ,Peppermint Swirl™  Hydrangea,Hydrangea,DCS,05,HGT, 15.50 ,-,,     , 5 ,     , 10 ,05/01/15  ,     ,          ,     ,          ,x
CT,    ,403772S,SuperTwo,HYD M SWEETHEART HALOS TM,Hydrangea macrophylla Sweetheart Halos™ ,Sweetheart Halos™  Hydrangea,Hydrangea,DCS,05,HGT, 15.50 ,BUDS & BLOOMS,, 5 , 5 ,     ," 3,696 ",05/01/15  ,     ,          ,     ,          ,x
CT,2014,403822S,SuperTwo,HYD MAC CTYLN TM BERLIN P10912,"Hydrangea macrophylla 'Berlin Rabe' PP #10,912              ",Cityline™  Berlin Bigleaf Hydrangea,Hydrangea,DCS,05,PW, 17.00 ,,, 24 , 5 ,     , 24 ,06/01/15  ,     ,          ,     ,          ,x
CT,2014,403833S,Super 3,HYD MAC CTYLN TM MARS PPAF,Hydrangea macrophylla 'Ramars' PP                           ,Cityline™  Mars Hydrangea,Hydrangea,DCS,05,BHC, 21.50 ,-,, 10 , 5 ,     , 11 ,05/01/15  ,     ,          ,     ,          ,x
CT,2011,074542S,SuperTwo,HYD MAC CTYLN TM RIO,"Hydrangea macrophylla	'Ragra'                               ",Cityline®  Rio Bigleaf Hydrangea,Hydrangea,DCS,05,PW, 17.00 ,,"8""H - 10""S", 20 , 5 ,     , 20 ,06/01/15  ,     ,          ,     ,          ,x
CT,    ,403662S,SuperTwo,HYD MAC DBL DUSTY PINK TM,Hydrangea macrophylla Double Dusty Pink™ ,Double Dusty Pink™  Hydrangea,Hydrangea,DCS,05,HGT, 15.50 ,,,     , 5 ,     , 98 ,05/01/15  ,     ,          ,     ,          ,x
CT,    ,403682S,SuperTwo,HYD MAC DOUBLE HOT PINK TM,Hydrangea macrophylla Double Hot Pink™ ,Double Hot Pink™  Hydrrangea,Hydrangea,DCS,05,HGT, 15.50 ,-,, 15 , 5 ,     ," 1,193 ",05/01/15  ,     ,          ,     ,          ,x
CT,    ,403893,#3,HYD MAC GUILDED GOLD TM PPAF,Hydrangea macrophylla 'Gugozam'                             ,Guilded Gold Hydrangea                                      ,Hydrangea,DCS,04,LHI, 21.00 ,ATTRACTIVE FOLIAGE,"19"" H -28"" S",     , 5 ,     , 157 ,01/01/15  , 712 ,05/15/15  ,     ,          ,x
CT,2014,086303S,Super 3,HYD MAC LD R DIVA,                                                            ,                                                            ,Hydrangea,DCS,05,PW, 21.50 ,,, 15 , 5 ,     , 99 ,06/01/15  ,     ,          ,     ,          ,x
CT,2014,086313S,Super 3,HYD MAC LD R RHAPSODY BLUE PAF,Hydrangea macrophylla 'ES14' PPAF                           ,Let's Dance®  Rhapsody Blue Hydrangea,Hydrangea,DCS,05,PW, 21.50 ,-,, 5 , 5 ,     , 5 ,06/01/15  ,     ,          ,     ,          ,x
CT,2014,028223,#3,HYD MAC WEDDING GOWN PP21052,"Hydrangea macrophylla 'Dancing Snow' P.P.#21,052            ",Double Delights™  Wedding Gown Hydrangea,Hydrangea,DCS,05,BHC, 21.00 ,,, 25 , 5 ,     , 25 ,06/01/15  ,     ,          ,     ,          ,x
CT,2014,089953S,Super 3,HYD P LITTLE QUICK FIRE R PPAF,Hydrangea paniculata 'SMHPLQF' P.P.A.F. Can. P.B.R.A.F      ,Little Quick Fire™  Hardy Hydrangea,Hydrangea,DCS,03,PW, 17.75 ,,, 39 , 5 , 39 ,     ,          ,     ,          ,     ,          ,x
CT,2014,084803,#3,HYD PAN BOMBSHELL PP21008,"Hydrangea paniculata 'Bombshell' PP #21,008                 ",Bombshell Panicle Hydrangea                                 ,Hydrangea,DCS,03,BHC, 17.75 ,BUDS & BLOOMS,"16"" H- 20"" S", 7 , 5 , 475 , 475 ,06/01/15  ,     ,          ,     ,          ,x
CT,    ,404023,#3,HYD PAN SWEET SUMMER PP21778,"Hydrangea paniculata 'Bokrathirteen' PP #21,778             ",Sweet Summer Panicle Hydrangea                              ,Hydrangea,DCS,04,, 17.75 ,BUDS & BLOOMS,"29"" H X25"" S", 25 , 5 , 31 ,     ,          ,     ,          ,     ,          ,x
CT,    ,404043,#3,HYD PAN VNLA STRWBRY TM P20670,"Hydrangea paniculata 'Renhy' PP #20,670                     ",First Editions®  Vanilla Strawberry™  Panicle Hy,Hydrangea,DCS,04,BNI, 17.75 ,BUDS & BLOOMS,"32"" H -34"" S", 11 , 5 , 369 ,     ,          ,     ,          ,     ,          ,x
CT,    ,041935,#5,HYD QUER ALICE,Hydrangea quercifolia 'Alice'                               ,Alice Oakleaf Hydrangea                                     ,Hydrangea,DCS,05,, 23.50 ,-,"18-24"" H", 28 , 5 ,     , 161 ,06/01/15  ,     ,          ,     ,          ,x
CT,2012,048163,#3,HYD QUER RUBY SLIPPERS,Hydrangea quercifolia 'Ruby Slippers'                       ,Ruby Slippers Oakleaf Hydrangea                             ,Hydrangea,DCS,05,, 19.25 ,ATTRACTIVE FOLIAGE,"16"" H - 19""S", 65 , 5 , 65 ,     ,          ,     ,          ,     ,          ,x
CT,2011,074933S,Super 3,ILEX VERT BERRY NICE R,Ilex verticillata 'Spriber'                                 ,Berry Nice®  Winterberry Holly,Deciduous fall/winter interest,DCS,03,PW, 14.75 ,-,"23"" H X 16"" S",     , 5 , 195 ,     ,          ,     ,          ,     ,          ,x
CT,2012,074953S,Super 3,ILEX X CASTLE SPIRE R PP14310,"Ilex x meserveae 'Hachfee' P.P. #14,310                     ",Castle Spire®  Blue Holly,Ilex,EVS,05,PW, 19.25 ,,, 60 , 5 , 60 , 60 ,05/01/15  ,     ,          ,     ,          ,x
CT,2012,074943S,Super 3,ILEX X CASTLE WALL TM PP14308,"Ilex x meserveae 'Heckenstar' P.P. #14,308                  ",Castle Wall™  Blue Holly,Ilex,EVS,05,PW, 19.25 ,,, 30 , 5 , 30 , 30 ,04/15/15  ,     ,          ,     ,          ,x
CT,2014,077191,#1,LAVAN ANG SILVER EDGE PP13091,"Lavandula angustifolia 'Walvera' P.P.#13,091                ",Silver Edge Variegated Lavender                             ,Early spring border flowering,PRN,05,, 5.50 ,ATTRACTIVE FOLIAGE,,     , 10 , 92 ,     ,          ,     ,          ,     ,          ,x
CT,2014,068221,#1,LAVANDULA ANG MELISSA LILAC,Lavandula angustifolia 'Dow4'                               ,Melissa Lilac Lavender                                      ,Early spring border flowering,PRN,05,DNL, 6.75 ,,,     , 10 ,     , 355 ,05/01/15  ,     ,          ,     ,          ,x
CT,2013,072511,#1,LOBELIA X SPE RUSSIAN PRINCESS,Lobelia x speciosa 'Russian Princess'                       ,Russian Princess Lobelia                                    ,Mid spring border flowering,PRN,04,, 5.50 ,,,     , 10 ,     , 422 ,05/01/15  ,     ,          ,     ,          ,x
CT,2014,087561S,SuperOne TM,LONICERA NITIDA OPHELIA TM,"Lonicera nitida 'Brilliame' P.P. #20,761                    ",Ophelia™  Honeysuckle,Hardy vine,VIN,05,, 8.50 ,-,,     , 10 , 116 ,     ,          ,     ,          ,     ,          ,x
CT,2013,084392,#2,LONICERA PCHES & CREAM PP21839,"Lonicera periclymenum 'Inov 86' P.P.#21,839                 ",Peaches and Cream Honeysuckle                               ,Hardy vine,VIN,04,BHC, 13.25 ,,, 25 , 5 ,     , 29 ,05/01/15  ,     ,          ,     ,          ,x
CT,2014,086373S,Super 3,LYCIUM BARB BIG LIFEBERRY R,Lycium barbarum 'SMNDBL' P.P.A.F.                           ,Big Lifeberry®  Goji Berry,Edible berries/fruit,DCS,05,PW, 17.25 ,FULL BERRIES,"24""",     , 5 , 19 ,     ,          ,     ,          ,     ,          ,x
CT,2010,058957ES,#7 ESPALIER,MALUS X FUJI APPLE,Malus domestica Fuji                                        ,Fuji Apple                                                  ,Edible berries/fruit,TRE,04,, 56.00 ,,, 4 , 2 , 4 ,     ,          ,     ,          ,     ,          ,x
CT,2011,068481,#1,OENOTHERA FREM SHIMMER PP19663,Oenothera fremontii 'Shimmer' P.P.# 19663                   ,Shimmer Evening Primrose                                    ,Mid spring border flowering,PRN,04,PHI, 4.90 ,,,     , 10 ,     , 804 ,04/01/15  , 887 ,05/15/15  ,     ,          ,x
CT,    ,405141,#1,PEROVSKIA ATR PEEK-A-BLUE PPAF,Perovskia atriplicifolia 'Peek-A-Blue'                      ,Peek-A-Blue Russian Sage                                    ,Mid/late tall flowering,PRN,04,, 4.90 ,,,     , 10 ,     , 236 ,01/01/15  ,     ,          ,     ,          ,x
CT,2014,036277,#7,PICEA GL PENDULA,                                                            ,                                                            ,Picea,CON,02,, 79.00 ,,,     , 2 ,     , 110 ,06/01/15  ,     ,          ,     ,          ,x
CT,    ,405292,#2,PIERIS J CAVATINE,Pieris japonica 'Cavatine'                                  ,Cavatine Pieris                                             ,Evergreen early flower'g shrub,EVS,05,, 14.00 ,,, 129 , 5 , 98 ,     ,          ,     ,          ,     ,          ,x
CT,    ,010763,#3,PIERIS J DOROTHY WYCOFF,Pieris japonica 'Dorothy Wycoff'                            ,Dorothy Wyckoff Pieris                                      ,Evergreen early flower'g shrub,EVS,05,, 21.50 ,,, 82 , 5 , 82 ,     ,          ,     ,          ,     ,          ,x
CT,2014,095693,#3,PIERIS J KATSURA PP15452,"Pieris japonica 'Katsura' P.P.# 15, 452                     ",Katsura Pieris                                              ,Evergreen early flower'g shrub,EVS,05,Y, 21.50 ,ATTRACTIVE FOLIAGE,, 25 , 5 , 25 , 25 ,05/15/15  ,     ,          ,     ,          ,x
CT,    ,012693,#3,PIERIS J PASSION,                                                            ,                                                            ,Evergreen early flower'g shrub,EVS,05,, 21.50 ,,, 25 , 5 ,     , 25 ,05/15/15  ,     ,          ,     ,          ,x
CT,    ,405507,#7,PRUNUS CORINTHIAN PINK P11902,"Prunus persica 'Corinthian Pink' (P.P. #11, 902 P2)         ",Corinthian Pink Flowering Peach                             ,Hardy flowering tree,TRE,05,, 53.00 ,,,     , 2 , 71 ,     ,          ,     ,          ,     ,          ,x
CT,    ,405475,#5,PRUNUS MARITIMA,Prunus maritima                                             ,Beach Plum                                                  ,Edible berries/fruit,DCS,03,, 20.50 ,-,"28-30""H", 15 , 5 , 183 , 183 ,01/01/15  ,     ,          ,     ,          ,x
CT,    ,408747,#7,PRUNUS PEND RED BRK (TIBETICA),                                                            ,                                                            ,Hardy flowering tree,TRE,05,, 53.00 ,SHOWY BARK,,     , 2 , 2 ,     ,          ,     ,          ,     ,          ,x
CT,    ,405497,#7,PRUNUS PER CASCADE WPG PEACH,Prunus persica 'Pink Cascade'                               ,Pink Cascade Weeping Peach                                  ,Hardy flowering tree,TRE,05,, 53.00 ,,,     , 2 , 17 ,     ,          ,     ,          ,     ,          ,x
CT,    ,405527,#7,PRUNUS SARGENTII PINK FLAIR R,Prunus sargentii 'JFS-KW58' PPAF                            ,Pink Flair®  Cherry,Hardy flowering tree,TRE,04,, 53.00 ,,, 2 , 2 ,     , 77 ,01/01/15  ,     ,          ,     ,          ,x
CT,    ,405537,#7,PRUNUS SER ROYAL BURGUNDY,"Prunus serrulata 'Royal Burgundy' PP #6,520                 ",Royal Burgundy Ornamental Cherry                            ,Hardy flowering tree,TRE,05,, 53.00 ,,,     , 2 , 3 ,     ,          ,     ,          ,     ,          ,x
CT,    ,405549,#15,"PRUNUS SUBHIRTELLA PENDULA 36""",Prunus subhirtella 'Pendula'                                ,Weeping Higan Flowering Cherry (36                          ,Hardy flowering tree,TRE,05,, 91.50 ,,,     , 1 , 9 ,     ,          ,     ,          ,     ,          ,x
CT,2014,043397,#7,PRUNUS WEEPING EXTRAORDNARE TM,Prunus x 'Extrazam' Weeping Extraordinaire™ ,Weeping Extraordinaire™  Double Flowering Cherry,Hardy flowering tree,TRE,05,, 53.00 ,,,     , 2 , 51 ,     ,          ,     ,          ,     ,          ,x
CT,    ,405453,#3,PRUNUS X CARMINE JEWEL TM,Prunus fruticosa x cerasus                                  ,Carmine Jewel™  Cherry,Edible berries/fruit,TRE,03,, 16.50 ,-,"24"" H",     , 5 , 47 , 144 ,12/01/14  ,     ,          ,     ,          ,x
CT,    ,405463,#3,PRUNUS X ROMEO TM,Prunus cerasus 'Romeo'                                      ,Romeo™  Sour Cherry,Edible berries/fruit,TRE,03,, 16.50 ,-,"21-24""H",     , 5 , 217 ,     ,          ,     ,          ,     ,          ,x
CT,    ,407509,#15,"PRUNUS X SNOW FOUNTAIN TM 36""",Prunus x 'Snofozam'                                         ,"SnowFountains®  Weeping Cherry 36""",Hardy flowering tree,TRE,04,LHI, 91.50 ,SHOWY BARK,,     , 1 ,     , 235 ,01/01/15  ,     ,          ,     ,          ,x
CT,2014,008833,#3,RHOD (H-1) BLACK SATIN,Rhododendron x 'Black Satin' (H-1)                          ,Black Satin Rhododendron                                    ,Rhododendron,RHO,05,, 20.50 ,,, 2 , 5 , 2 ,     ,          ,     ,          ,     ,          ,x
CT,2014,413423,#3,ROSA BEST KEPT SECRET PPTBS,                                                            ,                                                            ,Rosa,ROS,05,CPC, 15.00 ,,, 50 , 5 ,     , 50 ,04/15/15  ,     ,          ,     ,          ,x
CT,2014,098542S,SuperTwo,ROSA DRIFT R APRICOT PP23354,"Rosa 'Meimirrot' P.P.#23,354                                ",Apricot Drift®  Groundcover Rose,Rosa,ROS,04,CPC, 14.50 ,,, 77 , 5 ,     , 154 ,04/15/15  ,     ,          ,     ,          ,x
CT,2014,098552S,SuperTwo,ROSA DRIFT R CORAL PP19148,"Rosa 'Meidrifora' P.P. #19,148                              ",Coral Drift®  Groundcover Rose,Rosa,ROS,04,CPC, 14.50 ,,, 155 , 5 ,     , 165 ,04/15/15  ,     ,          ,     ,          ,x
CT,2014,098562S,SuperTwo,ROSA DRIFT R PEACH PP18542,"Rosa 'MEIggili' PP #18,542                                  ",Peach Drift®  Rose,Rosa,ROS,04,CPC, 14.50 ,BUDS,, 100 , 5 ,     , 100 ,04/15/15  ,     ,          ,     ,          ,x
CT,2014,022632S,SuperTwo,ROSA DRIFT R PINK PP18874,"Rosa 'MEIjocos' P.P. #18,874                                ",Pink Drift®  Groundcover Rose,Rosa,ROS,04,CPC, 14.50 ,BUDS & BLOOMS,,     , 5 , 209 , 241 ,04/15/15  ,     ,          ,     ,          ,x
CT,2014,098572S,SuperTwo,ROSA DRIFT R SWEET PP21612,"Rosa 'Meiswetdom' P.P. #21,612                              ",Sweet Drift®  Groundcover Rose,Rosa,ROS,03,CPC, 14.50 ,,, 116 , 5 , 72 , 287 ,04/15/15  ,     ,          ,     ,          ,x
CT,2014,406273,#3,ROSA FRNCIS MEILLAND TM P19970,"Rosa hybrid 'Meitroni' PP #19,970                           ",Francis Meilland™  Hybrid Tea Rose,Rosa,ROS,04,, 15.00 ,BUDS & BLOOMS,, 20 , 5 , 488 ," 1,301 ",04/15/15  ,     ,          ,     ,          ,x
CT,    ,037863S,Super 3,ROSA KNCK OUT R SUNNY P18562,Rosa x 'Radsunny'  P.P.# 18562                              ,Sunny Knock Out®  Rose,Rosa,ROS,05,CPC, 15.25 ,,,     , 5 ,     , 723 ,04/15/15  ,     ,          ,     ,          ,x
CT,    ,406213,#3,ROSA LK-A-LIK TM PHLOXY BABY,Rosa 'Radcleome' PPTBS                                      ,Look-A-Likes™  Phloxy Baby Rose,Rosa,ROS,05,, 15.00 ,FULL BLOOM,,     , 5 , 266 ,     ,          ,     ,          ,     ,          ,x
CT,2014,406253,#3,ROSA PEACHY KEEN PPAF,Rosa x 'Radgor' P.P.A.F.                                    ,Peachy Keen™  Shrub Rose,Rosa,ROS,05,CPC, 15.00 ,BUDS & BLOOMS,, 30 , 5 , 153 , 153 ,04/15/15  ,     ,          ,     ,          ,x
CT,    ,069933,#3,ROSA RUGOSA ALBA,Rosa rugosa 'Alba'                                          ,White Rugosa Rose                                           ,Rosa,ROS,02,, 14.75 ,,,     , 5 , 215 , 413 ,05/15/15  ," 1,800 ",05/15/15  ,     ,          ,x
CT,    ,071923,#3,ROSA RUGOSA PINK,Rosa rugosa                                                 ,Japanese Rugosa Rose                                        ,Rosa,ROS,03,, 14.75 ,-,"15""H - 15""S",     , 5 , 334 , 658 ,05/15/15  ,     ,          ,     ,          ,x
CT,2014,406223,#3,ROSA SUNSHINE DAYDREAM PPAF,Rosa 'Meikanaro' PPAF                                       ,Sunshine Daydream Rose                                      ,Rosa,ROS,05,, 15.00 ,BUDS & BLOOMS,, 10 , 5 , 812 , 823 ,04/15/15  ,     ,          ,     ,          ,x
CT,2014,406233,#3,ROSA TAHITIAN TREASURE TM,Rosa 'Radtreasure' PPTBS                                    ,Tahitian Treasure™  Rose,Rosa,ROS,05,CPC, 15.00 ,,,     , 5 , 81 , 361 ,04/15/15  ,     ,          ,     ,          ,x
CT,    ,406293,#3,ROSA TEQUILA GOLD TM PP18657,                                                            ,                                                            ,Rosa,ROS,05,, 15.00 ,,,     , 5 ,     , 658 ,04/15/15  ,     ,          ,     ,          ,x
CT,2014,098583,#3,ROSA WHITE OUT TM PP20273,"Rosa x 'Radwhite' PP #20,273                                ",White Out™  Rose,Rosa,ROS,05,CPC, 15.00 ,,, 65 , 5 ,     , 65 ,04/15/15  ,     ,          ,     ,          ,x
CT,    ,406153,#3,ROSA-CL BRITE EYES TM PP17391,Rosa 'Radbrite'                                             ,Brite Eyes™  Climbing Rose,Rosa,ROS,05,, 15.00 ,FULL BLOOM,, 20 , 5 , 841 ," 1,511 ",04/15/15  ,     ,          ,     ,          ,x
CT,    ,406163,#3,ROSA-CL CANCAN TM PP21430,Rosa 'Radcancan'                                            ,Cancan™  Climbing Rose,Rosa,ROS,05,, 15.00 ,,, 10 , 5 , 13 , 291 ,04/15/15  ," 2,947 ",01/01/15  ," 2,947 ",05/01/15  ,x
CT,    ,406173,#3,ROSA-CL CLOUD TEN TM PPTBS,Rosa 'Radclean'                                             ,Cloud Ten™  Climbing Rose,Rosa,ROS,05,, 15.00 ,,, 15 , 5 , 41 , 504 ,04/15/15  ,     ,          ,     ,          ,x
CT,    ,406183,#3,ROSA-CL GOLDEN SHOWERS,Rosa 'Golden Showers'                                       ,Golden Showers Climbing Rose                                ,Rosa,ROS,05,, 15.00 ,BUDS & BLOOMS,, 20 , 5 , 181 , 450 ,04/15/15  ,     ,          ,     ,          ,x
CT,    ,406193,#3,ROSA-CL THE CHARLATAN R P18990,"Rosa 'Meiguimov' PP ##18,990                                ",The Charlatan®  Climbing Rose,Rosa,ROS,06,, 15.00 ,,, 15 , 5 ,     , 715 ,04/15/15  ,     ,          ,     ,          ,x
CT,    ,406203,#3,ROSA-CL WNERS CIRCLE TM P19310,Rosa 'Radwin'                                               ,Winners Circle™  Climbing Rose,Rosa,ROS,05,CPC, 15.00 ,,, 15 , 5 , 235 , 384 ,04/15/15  ,     ,          ,     ,          ,x
CT,2014,074152,#2,RUBUS TRIPLE CROWN BLACKBERRY,Rubus 'Triple Crown'                                        ,Triple Crown Blackberry                                     ,Edible berries/fruit,DCS,05,, 12.50 ,,,     , 5 , 318 ,     ,          ,     ,          ,     ,          ,x
CT,2014,039497PT,#7 PATIO TREE,SALIX INTEGRA FLAMINGO PP17490,"Salix integra 'Flamingo' P.P.# 17,490                       ",Flamingo Dappled Willow                                     ,Deciduous shrub/hedge,DCS,05,PPP, 52.50 ,-,,     , 2 , 12 ,     ,          ,     ,          ,     ,          ,x
CT,    ,070617PT,#7 PATIO TREE,SALIX INTEGRA HAKURO NISHIKI,Salix integra 'Hakuro Nishiki'                              ,Dappled Willow                                              ,Deciduous shrub/hedge,DCS,04,, 54.00 ,,, 2 , 2 , 58 ,     ,          ,     ,          ,     ,          ,x
CT,2014,076641,#1,SAXIFRAGA FORT BERRY BRIGHT TM,Saxifraga fortunei 'Magenta'                                ,Berry Bright™  Elf Saxifrage,Shade foliage/flower,PRN,06,HIN, 6.75 ,,,     , 10 , 4 , 667 ,05/15/15  ,     ,          ,     ,          ,x
CT,2013,08748UT,LittleOne,SEDUM SSPKLR R CHERRY TART PAF,Sedum 'Cherry Tart' P.P.A.F.                                ,Sunsparkler®  Cherry Tart Stonecrop,Succulent/cactus/yucca,PRN,04,, 3.10 ,,,     , 16 ,     ," 1,260 ",05/01/15  ,     ,          ,     ,          ,x
CT,2013,007331,#1,SEDUM SSPRKLR R DZLBRY PP22457,"Sedum 'Razzleberry' P.P.# 22,457                            ",Sunsparkler®  Dazzleberry Sedum,Succulent/cactus/yucca,PRN,04,, 5.15 ,,,     , 10 ,     ," 1,258 ",05/01/15  ,     ,          ,     ,          ,x
CT,2011,06550UT,LittleOne,SEMPERVIVUM ARACHNOIDEUM,Sempervivum arachnoideum                                    ,Cobweb Houseleek                                            ,Succulent/cactus/yucca,PRN,03,, 3.10 ,,,     , 16 ,     , 936 ,05/15/15  ,     ,          ,     ,          ,x
CT,2011,06561UT,LittleOne,SEMPERVIVUM KREBS DES ROSE,Sempervivum 'Krebs'                                         ,Krebs Desert Rose Hens and Chicks                           ,Succulent/cactus/yucca,PRN,04,, 3.10 ,,,     , 16 ,     , 934 ,04/15/15  ,     ,          ,     ,          ,x
CT,    ,071573,#3,SPIRAEA JAP MAGIC CARPET P9363,Spiraea japonica 'Walbuma' P.P.# 9363                       ,Magic Carpet Spirea                                         ,Deciduous sumr flower'g shrub,DCS,04,PHI, 14.50 ,-,"15""S", 80 , 5 , 80 ,     ,          ," 1,324 ",04/01/15  ," 5,333 ",05/15/15  ,x
CT,2014,068557,#7,STEWARTIA MONADELPHA,                                                            ,                                                            ,Tree fall/winter interest,TRE,06,OLD, 59.00 ,,,     , 2 ,     , 64 ,06/01/15  ," 4,520 ",04/15/15  ,     ,          ,x
CT,    ,406747,#7,STYRAX JAP SNOWCONE,Styrax japonicus 'JFS-D'                                    ,Snowcone®  Japanese Snowbell,Temperate flowering tree,TRE,05,, 53.00 ,,,     , 2 , 86 ,     ,          ,     ,          ,     ,          ,x
CT,    ,406867,#7,SYRINGA RET SNWDNC TM P20458,"Syringa reticulata 'Bailnce' P.P.# 20,458                   ",First Editions®  Snowdance™  Japanese Tree Lilac,Deciduous early flower'g Shrub,DCS,03,BNI, 53.00 ,,,     , 2 ,     , 201 ,01/01/15  , 374 ,05/15/15  ,     ,          ,x
CT,    ,406815,#5,SYRINGA SGR PLM FAIRY R P15588,"Syringa vulgaris 'Bailsugar' PP#15,588                      ",Sugar Plum Fairy®  Lilac,Deciduous early flower'g Shrub,DCS,03,BNI, 23.50 ,-,"34""X29",     , 5 , 326 , 326 ,11/01/14  ,     ,          ,     ,          ,x
CT,    ,406913,#3,SYRINGA V MADAME LEMOINE,Syringa vulgaris 'Madame Lemoine'                           ,Madame Lemoine French Lilac                                 ,Deciduous early flower'g Shrub,DCS,03,, 16.00 ,,, 10 , 5 ,     , 6 ,01/01/15  ,     ,          ,     ,          ,x
CT,    ,406923,#3,SYRINGA V TINY DANCER,Syringa vulgaris 'Elsdancer'                                ,Tiny Dancer™  Lilac,Deciduous early flower'g Shrub,DCS,03,, 17.75 ,-,"29""x24""", 20 , 5 ,     , 778 ,05/01/15  , 319 ,05/01/15  , 319 ,05/15/15  ,x
CT,    ,406982,#2,THUJA OC STARKIE'S GOLD,Thuja occidentalis 'Starkie's Gold'                         ,Starkie's Gold Arborvitae                                   ,Thuja,CON,03,, 13.25 ,-,"19""H 14W", 19 , 5 , 19 ,     ,          ,     ,          ,     ,          ,x
CT,2014,068293,#3,VACCINIUM PINK LEMONADE,Vaccinium x 'Pink Lemonade'                                 ,Pink Lemonade Blueberry                                     ,Edible berries/fruit,DCS,04,, 15.00 ,-,"21-24""T", 30 , 5 ,     , 219 ,12/01/14  ,     ,          ,     ,          ,x
CT,    ,407353,#3,WEIGELA SHNG SENSATION TM PPAF,Weigela florida 'Bokrashine' P.P.A.F.                       ,First Editions®  Shining Sensation Weigela,Deciduous sumr flower'g shrub,DCS,04,BNI, 17.00 ,-,"17""x20""",     , 5 ," 2,183 "," 2,183 ",05/01/15  ,     ,          ,     ,          ,x
CT,2013,080943S,Super 3,WEIGELA SONIC BLOOM TM PNK PAF,Weigela florida 'Bokrasopin' P.P.A.F.                       ,Sonic Bloom™  Pink Reblooming Weigela,Deciduous sumr flower'g shrub,DCS,04,PW, 17.75 ,-,,     , 5 ,     , 901 ,05/01/15  ,     ,          ,     ,          ,x
CT,2013,080933S,Super 3,WEIGELA SONIC BLOOM TM RED PAF,Weigela florida 'Verweil4' P.P.A.F.                         ,Sonic Bloom™  Red Reblooming Weigela,Deciduous sumr flower'g shrub,DCS,04,PW, 17.75 ,-,,     , 5 , 190 , 392 ,06/01/15  ,     ,          ,     ,          ,x
