Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On,x
CA,2013,065382,#2,HYPERICUM AN IGNITE RED P19468,"Hypericum androsaemum 'Seifire' P.P. #19,468                ",Ignite Red St John's Wort                                   ,Deciduous sumr flower'g shrub,DCS,05,BHC, 14.50 ,,, 8 , 5 ,     , 8 ,03/01/15  ,     ,          ,     ,          ,x
CA,2013,080892S,SuperTwo,HYPERICUM K BLUES FSTVL TM PAF,Hypericum kalmianum 'Blue & Gold' P.P.A.F.                  ,Blue & Gold St. John's Wort                                 ,Deciduous sumr flower'g shrub,DCS,04,PW, 17.00 ,,"10""H - 12""S",     , 5 ,     , 209 ,03/01/15  ,     ,          ,     ,          ,x
CA,2011,092652,#2,ILEX EMRLD COLONNADE R PP23905,"Ilex x 'RutHol1' P.P.#23,905                                ",Emerald Colonnade®  Holly,Ilex,EVS,07,UOG, 17.00 ,-,"18""H - 10""S",     , 5 ,     , 700 ,04/01/15  ,     ,          ,     ,          ,x
CA,2014,088871,#1,LAVANDULA STO SILVER ANOUK,Lavandula stoechas 'Silver Anouk' P.P.# 20068               ,Silver Anouk Spanish Lavender                               ,Early spring border flowering,PRN,06,, 5.50 ,-,"4""H- 5""S",     , 10 , 53 , 53 ,03/01/15  ,     ,          ,     ,          ,x
CA,2013,068181,#1,LAVANDULA STO X VIR RGL SPLNDR,Lavandula 'Regal Splendour'                                 ,Regal Splendour Lavender                                    ,Early spring border flowering,PRN,07,DNL, 5.50 ,-,6''H - 8''S,     , 10 ,     , 69 ,03/01/15  ,     ,          ,     ,          ,x
CA,2010,059595TR,#5 TREE,MAG X FELIX JURY PPAF,Magnolia x 'Felix Jury' P.P.A.F.                            ,Felix Jury Magnolia                                         ,Temperate flowering tree,TRE,05,ATI, 42.50 ,-,"50""H", 2 , 2 ,     , 2 ,01/01/15  ,     ,          ,     ,          ,x
CA,2010,06109MT,#10 Tall TREE,MALUS X ANNA APPLE,Malus domestica 'Anna'                                      ,Anna Apple                                                  ,Edible berries/fruit,TRE,05,, 48.50 ,-,"58""H - 24""S", 5 ,     , 25 , 25 ,02/01/15  ,     ,          ,     ,          ,x
CA,2010,05895MT,#10 Tall TREE,MALUS X FUJI APPLE,Malus domestica Fuji                                        ,Fuji Apple                                                  ,Edible berries/fruit,TRE,04,, 48.50 ,-,"60""H - 20""S", 4 ,     ,     , 4 ,02/01/15  ,     ,          ,     ,          ,x
CA,2011,06105MT,#10 Tall TREE,MALUS X GRANNY SMITH APPLE,Malus x domestica 'Granny Smith'                            ,Granny Smith Apple                                          ,Edible berries/fruit,TRE,05,, 48.50 ,-,"66""H - 24""S", 1 ,     ,     , 1 ,02/01/15  ,     ,          ,     ,          ,x
CA,2010,05898MT,#10 Tall TREE,MALUS X HONEYCRISP TM APPLE,Malus x 'MN 1711'                                           ,Honeycrisp™  Apple,Edible berries/fruit,TRE,04,OLD, 48.50 ,-,"66""H - 24""S", 3 ,     , 3 , 3 ,02/01/15  ,     ,          ,     ,          ,x
CA,2010,05896MT,#10 Tall TREE,MALUS X RED DELICIOUS APPLE,Malus x domestica 'Red Delicious'                           ,Red Delicious Apple                                         ,Edible berries/fruit,TRE,04,, 48.50 ,-,"64""H - 24""S", 2 ,     , 2 , 2 ,02/01/15  ,     ,          ,     ,          ,x
CA,2010,047085,#5,PAEONIA ITOH KEIKO TM (PK D D),Paeonia (Intersectional hybrid) x 'Pink Double Dandy'       ,Keiko™ (Adored) Itoh Peony,Paeonia,PRN,04,DRS, 42.50 ,-,5  EYES, 10 , 5 ,     , 64 ,12/31/14  ,     ,          ,     ,          ,x
CA,2011,052605,#5,PAEONIA ITOH MISAKA TM PP22192,"Paeonia (Intersectional hybrid) x 'Smith Opus 1' P.P.# 22,19",Misaka™  (Beautiful Blossom) Itoh Peony,Paeonia,PRN,04,DRS, 42.50 ,-,5 EYES, 16 , 5 ,     , 16 ,12/31/14  ,     ,          ,     ,          ,x
CA,2011,052595,#5,PAEONIA ITOH TAKARA TM PP22374,"Paeonia (Intersectional hybrid) x 'Smith Opus 2' P.P. #22,37",Takara™  (Treasure) Itoh Peony,Paeonia,PRN,04,DRS, 42.50 ,-,5 EYES, 18 , 5 ,     , 18 ,12/31/14  ,     ,          ,     ,          ,x
CA,2013,079391,#1,PHYGELIUS CHERRY RIPE PPAF,"Phygelius 'Blacher' P.P.# 17,948                            ",Cherry Ripe Cape Fuchsia                                    ,Mid/late interm. flowering,PRN,07,Y, 5.75 ,,, 40 , 10 ,     , 288 ,04/01/15  ,     ,          ,     ,          ,x
CA,2013,093361,#1,POLIOMINTHA BUSTAMANTE HINKLEY,Poliomintha bustamante 'Hinkley'                            ,Hinkley Frosted Mint                                        ,Mid/late interm. flowering,PRN,06,HIN, 6.35 ,-,"6""H - 8""S",     , 10 ,     , 40 ,04/01/15  ,     ,          ,     ,          ,x
CA,2011,06796MT,#10 Tall TREE,PRUNUS PER SANTA BARBARA PEACH,Prunus persica 'Santa Barbara'                              ,Santa Barbara Peach                                         ,Edible berries/fruit,TRE,07,, 45.50 ,-,"66""H", 5 ,     , 5 ,     ,          ,     ,          ,     ,          ,x
CA,2011,06167MT,#10 Tall TREE,PRUNUS X BEAUTY PLUM,Prunus salicina 'Beauty'                                    ,Beauty Japanese Plum                                        ,Edible berries/fruit,TRE,04,, 48.50 ,-,"60""H", 2 ,     ,     , 2 ,02/01/15  ,     ,          ,     ,          ,x
CA,    ,06733MT,#10 Tall TREE,PRUNUS X BING CHERRY,Prunus avium 'Bing'                                         ,Bing Sweet Cherry                                           ,Edible berries/fruit,TRE,05,OLD, 45.50 ,-,"60""H", 3 ,     , 3 ,     ,          ,     ,          ,     ,          ,x
CA,    ,06743MT,#10 Tall TREE,PRUNUS X CHINESE APRICOT,Prunus armeniaca 'Chinese'                                  ,Chinese Apricot                                             ,Edible berries/fruit,TRE,05,OLD, 45.50 ,-,"66""H - 24""S", 5 ,     ,     , 5 ,02/01/15  ,     ,          ,     ,          ,x
CA,2011,06798MT,#10 Tall TREE,PRUNUS X FANTASIA NECTARINE,Prunus persica var. nucipersica 'Fantasia'                  ,Fantasia Nectarine                                          ,Edible berries/fruit,TRE,06,, 45.50 ,-,"66""H", 5 ,     , 68 ,     ,          ,     ,          ,     ,          ,x
CA,    ,06741MT,#10 Tall TREE,PRUNUS X HARCOT APRICOT,Prunus armeniaca 'Harcot'                                   ,Harcot Apricot                                              ,Edible berries/fruit,TRE,05,OLD, 45.50 ,-,"60""H", 3 ,     , 3 ,     ,          ,     ,          ,     ,          ,x
CA,2011,06795MT,#10 Tall TREE,PRUNUS X OZARK PREMIER PLUM,Prunus salicina 'Ozark Premier'                             ,Ozark Premier Plum                                          ,Edible berries/fruit,TRE,06,, 48.50 ,-,"60""H", 3 ,     ,     , 132 ,11/25/14  ,     ,          ,     ,          ,x
CA,    ,06735MT,#10 Tall TREE,PRUNUS X REDHAVEN PEACH,Prunus persica 'Redhaven'                                   ,Redhaven Peach                                              ,Edible berries/fruit,TRE,05,OLD, 45.50 ,-,"60""H -22""S*", 3 ,     , 3 ,     ,          ,     ,          ,     ,          ,x
CA,2011,06799MT,#10 Tall TREE,PRUNUS X SNOW QUEEN NECTARINE,Prunus persica var. nucipersica 'Snow Queen'                ,Snow Queen Nectarine                                        ,Edible berries/fruit,TRE,07,, 45.50 ,-,"66""H",     ,     , 107 , 107 ,02/01/15  ,     ,          ,     ,          ,x
CA,2010,068015,#5,PUNICA GR ANGEL RED R PP16578,"Punica granatum 'Smith' P.P.#16,578 Angel Red® ",Angel Red®  Pomegranate,Edible berries/fruit,DCS,07,ARP, 27.50 ,-,"21""H - 15""S", 5 , 5 ," 3,819 ",     ,          ,     ,          ,     ,          ,x
CA,2013,079572,#2,ROSA FLWR CAR R PNK SPLSH PPAF,Rosa x 'Noasplash' P.P.A.F.                                 ,Flower Carpet®  Pink Splash Groundcover Rose,Rosa,ROS,05,ATI, 15.50 ,LIGHT BUD & BLOOM,"6""H - 10""S",     , 5 ," 4,538 "," 8,009 ",12/31/14  ,     ,          ,     ,          ,x
CA,2011,074962S,SuperTwo,ROSA OSO EASY R CHERRYPIE PPAF,Rosa x 'Meiboulka' P.P.A.F.                                 ,Oso Easy®  Cherry Pie Rose,Rosa,ROS,04,PW, 16.50 ,LIGHT BUD & BLOOM,10''H - 14''S, 50 , 5 , 389 ,     ,          ,     ,          ,     ,          ,x
CA,2013,080722S,SuperTwo,ROSA OSO EASY R MNGO SALSA PAF,Rosa x 'ChewperAdventure' P.P.A.F. Can. P.B.R.A.F.          ,Oso Easy®  Mango Salsa Rose,Rosa,ROS,04,PW, 16.50 ,BUDS & BLOOMS,"12""S",     , 5 , 131 ,     ,          ,     ,          ,     ,          ,x
CA,2013,080732S,SuperTwo,ROSA OSO EASY R STBY CR P20601,"Rosa x 'Hormeteorie' P.P.#20,601 Can. P.B.R.A.F.            ",Oso Easy®  Strawberry Crush Rose,Rosa,ROS,04,PW, 16.50 ,LIGHT BUD & BLOOM,8''H - 12''S, 29 , 5 , 56 ,     ,          ,     ,          ,     ,          ,x
CA,2013,081302,#2,ROSA SWT SPOT TM CALYPSO PPAF,Rosa L. hybrid var. 'IntRos01' P.P.A.F.                     ,Sweet Spot™  Calypso Rose,Rosa,ROS,05,ATI, 15.50 ,BUDS & BLOOMS,"8""H - 10""S",     , 5 , 370 , 370 ,04/01/15  ,     ,          ,     ,          ,x
CA,2013,081502,#2,ROSA SWT SPOT TM PEACH PPAF,Rosa L. hybrid var. 'IntRos02' P.P.A.F.                     ,Sweet Spot™  Peach Rose,Rosa,ROS,05,ATI, 15.50 ,BUDS & BLOOMS,8''H - 10''S,     , 5 , 76 , 294 ,04/01/15  ,     ,          ,     ,          ,x
CA,2013,081492,#2,ROSA SWT SPOT TM RUBY PPAF,Rosa L. hybrid var. 'IntRos04' P.P.A.F.                     ,Sweet Spot™  Ruby Rose,Rosa,ROS,05,ATI, 15.50 ,BUDS & BLOOMS,"8""H - 12""S",     , 5 ," 1,904 "," 4,989 ",04/01/15  ,     ,          ,     ,          ,x
CA,2011,011811,#1,SEDUM FROSTY MORN,Sedum x 'Frosty Morn'                                       ,Frosty Morn Stonecrop                                       ,Succulent/cactus/yucca,PRN,04,, 5.15 ,BUDS & BLOOMS,8''H - 6''S,     , 10 ,     , 281 ,12/31/14  ,     ,          ,     ,          ,x
CA,2011,065141,#1,SEDUM MAKINOI LIMELIGHT,Sedum makinoi 'Limelight'                                   ,Limelight Japanese Stonecrop                                ,Succulent/cactus/yucca,PRN,06,, 5.15 ,-,CAN FULL, 21 , 10 , 21 , 21 ,04/01/15  ,     ,          ,     ,          ,x
