,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rep Allocation,,,,,,,,,,,,,,,,,
Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast,,
160000,020695,ABELIOPHYLLUM DIS ROSEUM,DCS,+,35,26,-,9,9,-,,-,$19.25 ,17,-,,
160000,021565,ABIES HORSTMANN'S SILBERLOCKE,CON,+,7,-,-,7,7,10,5/15/2014,10,$44.00 ,-,-,,
160000,000445,ACER GRISEUM,TRE,+,5,-,-,5,5,156,,156,$33.00 ,5,-,,
160000,036235,ACER NEGUNDO KELLY'S GOLD,TRE,+,5,-,-,5,5,16,,16,$27.00 ,-,-,,
160000,000702,ACER PAL ATROPURPUREUM-S.,TRE,+,10,-,-,10,-,-,,-,$16.75 ,15,-,,
160000,000705,ACER PAL ATROPURPUREUM-S.,TRE,+,5,-,-,5,-,-,,-,$27.00 ,-,-,,
160000,000752,ACER PAL BLOODGOOD,TRE,+,18,-,-,18,-,-,5/15/2014,5,$36.00 ,45,-,,
160000,000755,ACER PAL BLOODGOOD,TRE,+,57,52,5,-,-,-,,-,$54.00 ,121,-,,
160000,000802,ACER PAL BURGUNDY LACE,TRE,+,15,-,-,15,-,-,5/15/2014,-,$36.00 ,-,-,,
160000,000805,ACER PAL BURGUNDY LACE,TRE,+,5,5,-,-,-,-,5/15/2014,-,$54.00 ,9,-,,
160000,021245,ACER PAL BUTTERFLY,TRE,+,6,6,-,-,-,31,,31,$54.00 ,5,-,,
160000,033215,ACER PAL KAGIRI NISHIKI,TRE,+,13,8,-,5,5,67,,67,$54.00 ,10,-,,
160000,018345,ACER PAL OSAKAZUKI,TRE,+,15,15,-,-,-,-,,-,$54.00 ,30,-,,
160000,001052,ACER PAL OSHIO BENI,TRE,+,16,11,-,5,-,-,5/15/2014,129,$36.00 ,30,-,,
160000,001055,ACER PAL OSHIO BENI,TRE,+,18,18,-,-,-,-,,-,$54.00 ,30,-,,
160000,001025,ACER PAL SANGOKAKU,TRE,+,30,30,-,-,-,-,5/15/2014,-,$54.00 ,15,-,,
160000,000912,ACER PAL SEIRYU,TRE,+,10,-,-,10,-,-,5/15/2014,521,$36.00 ,5,-,,
160000,000915,ACER PAL SEIRYU,TRE,+,16,13,3,-,-,-,5/15/2014,-,$54.00 ,5,-,,
160000,001212,ACER PAL SHAINA,TRE,+,3,3,-,-,-,-,,-,$36.00 ,7,-,,
160000,001215,ACER PAL SHAINA,TRE,+,13,13,-,-,-,-,,-,$54.00 ,20,-,,
160000,018332,ACER PAL SHISHIGASHIRA,TRE,+,5,-,-,5,-,-,5/15/2014,-,$36.00 ,-,-,,
160000,033969,ACER PAL TROMPENBURG,TRE,+,14,4,-,10,-,-,,-,$138.00 ,8,-,,
160000,000655MU,ACER PALMATUM,TRE,+,15,-,-,15,15,-,,-,$27.00 ,8,-,,
160000,058241,ACHILLEA APRICOT DLGHT PP18738,PRN,+,25,10,-,15,15,658,6/1/2014,658,$4.75 ,10,-,,
160000,029061,ACHILLEA MILL RED VELVET,PRN,+,30,10,-,20,20,794,6/1/2014,794,$4.75 ,-,-,,
160000,000511,ACHILLEA OERTEL'S ROSE,PRN,+,30,25,-,5,5,"1,837",6/1/2014,"1,837",$4.75 ,30,-,,
160000,058251,ACHILLEA STRWBRY SDCTN P18401,PRN,+,30,20,-,10,10,178,6/1/2014,178,$4.75 ,22,-,,
160000,001351,ACHILLEA X MOONSHINE,PRN,+,20,20,-,-,-,-,6/1/2014,-,$4.75 ,-,-,,
160000,001395,ACTINIDIA ARG ISSAI (FEMALE),VIN,+,10,-,-,10,10,46,5/1/2014,46,$28.50 ,15,-,,
160000,056415,ACTINIDIA TETRA VAR MALOIDES,VIN,+,20,5,-,15,15,-,4/15/2014,-,$28.50 ,20,-,,
160000,028895,AESCULUS X ARN AUTUMN SPLENDOR,TRE,+,10,10,-,-,-,576,5/15/2014,640,$31.00 ,-,-,,
160000,000575,AESCULUS X CARNEA FORT MCNAIR,TRE,+,15,15,-,-,-,39,5/15/2014,39,$31.00 ,5,-,,
160000,050002,AGAPANTHUS INAPTERUS GRASKOP,DCS,+,56,6,-,50,50,916,5/1/2014,"1,163",$15.50 ,12,-,,
160000,080081,AGASTACHE SUMMER LOVE PP20510,PRN,+,20,-,-,20,-,-,,-,$4.75 ,30,-,,
160000,08030UT,AJUGA CHOCOLATE CHIP,PRN,+,30,14,16,-,-,306,6/1/2014,306,$2.95 ,176,-,,
160000,00059UT,AJUGA REPTANS BURGUNDY GLOW,PRN,+,36,20,16,-,-,14,,14,$2.95 ,120,-,,
160000,002595,AKEBIA QUINATA,VIN,+,27,17,10,-,-,44,5/1/2014,44,$26.00 ,46,-,,
160000,002565,AKEBIA QUINATA SHIRO BANA,VIN,+,25,11,-,14,14,632,5/1/2014,632,$26.00 ,31,-,,
160000,05908UT,AQUILEGIA C LITTLE LANTERNS,PRN,+,32,32,-,-,-,673,4/1/2014,"1,049",$2.95 ,16,-,,
160000,00269UT,ARMERIA MAR COTTON TAIL,PRN,+,60,16,-,44,44,-,,-,$2.95 ,72,-,,
160000,003511,ASTILBE DEUTSCHLAND,PRN,+,110,10,10,90,90,36,,36,$4.75 ,10,-,,
160000,00351UT,ASTILBE DEUTSCHLAND,PRN,+,93,93,-,-,-,-,4/1/2014,-,$2.95 ,224,-,,
160000,003501,ASTILBE FANAL,PRN,+,35,25,-,10,10,-,,-,$4.75 ,10,-,,
160000,001631,ASTILBE HENNIE GRAAFLAND,PRN,+,30,10,-,20,20,"1,220",,"1,220",$4.75 ,10,-,,
160000,034331,ASTILBE MAGGIE DALEY,PRN,+,40,10,-,30,30,"1,253",,"1,253",$4.75 ,30,-,,
160000,037391,ASTILBE WHT SENSATION PP18462,PRN,+,25,10,-,15,15,550,,550,$4.75 ,40,-,,
160000,023191,ASTRANTIA ABBEY ROAD PP14961,PRN,+,25,20,-,5,5,596,4/1/2014,596,$6.75 ,10,-,,
160000,003551,AUBRIETA ROKEY'S PURPLE,PRN,+,25,-,-,25,25,235,,235,$4.75 ,14,-,,
