Loc,Item Number,Plant Name,Common Name,Plant Category,Zone,Intro Year,Catalog Price      ,Price Code,Net Price     ,Unit Freight,Landed Price,Landed Price Palletized,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,Order Quantity,Confirmed Amount Remaining,Open Stock,2013 Qty Shipped  ,2014 Qty Shipped  ,2015 Qty Shipped  ,Date Ready,SKU,UPC
550000,009671,LIRIOPE MUSCARI BIG BLUE,Big Blue Lilyturf                                                                                   ,GRS,05,    , 5.50 ,, 4.84 , 0.57 , 5.41 ,     ,     , 10 , 50 , , 242.00 ,     ,     ,     ,     ,Now         ,,014949021248 
550000,009791,LIRIOPE MUSCARI VARIEGATA,Variegated Lilyturf                                                                                 ,GRS,06,    , 5.50 ,, 4.84 , 0.57 , 5.41 ,     ,     , 10 , 50 , , 242.00 ,     ,     ,     ,     ,Now         ,,014949021378 
160000,084391,LONICERA PCHES & CREAM PP21839,Peaches and Cream Honeysuckle                                                                       ,VIN,04,2013, 8.50 ,, 7.48 , 0.94 , 8.42 ,     ,     , 10 , 10 , , 74.80 , 1 ,     ,     ,     ,Now         ,,014949370100 
450000,067832,LONICERA SEMP MAJOR WHEELER,Major Wheeler Coral Honeysuckle                                                                     ,VIN,04,2011, 17.50 ,, 15.40 , 1.94 , 17.34 ,     ,     , 5 , 5 , , 77.00 ,     ,     ,     ,     ,Now         ,,014949327258 
160000,060405,MAG STELLATA ROYAL STAR,Royal Star Magnolia                                                                                 ,DCS,04,    , 27.00 ,, 23.76 , 4.68 , 28.44 ,     ,     , 5 , 5 , , 118.80 ,     ,     ,     ,     ,Now         ,,014949604052 
450000,010085,MAG X ANN,Ann Magnolia                                                                                        ,TRE,04,    , 25.25 ,, 22.22 , 4.81 , 27.03 ,     ,     , 5 , 5 , , 111.10 ,     ,     ,     ,     ,Now         ,,014949021767 
160000,060802,MAHONIA ORANGEE FLAME,Orangee Flame Oregon Grape Holly                                                                    ,EVS,05,2006, 17.75 ,, 15.62 , 2.34 , 17.96 ,     ,     , 5 , 10 , , 156.20 ,     ,     ,     ,     ,Now         ,,014949350973 
160000,030575,MALUS CENTURION R,Centurion¨  Crabapple                                                                               ,TRE,04,2007, 31.00 ,, 27.28 , 4.68 , 31.96 ,     ,     , 5 , 5 , , 136.40 , 2 ,     ,     ,     ,Now         ,,014949069462 
550000,057071,MAN SUN PAR R PRTY PNK P19399,Sun Parasol¨  Pretty Pink Mandevilla                                                                ,VIN,10,2011, 9.50 ,, 8.36 , 0.57 , 8.93 ,     ,     , 10 , 15 , , 125.40 , 81 ,     ,     ,     ,Now         ,,014949347201 
550000,061821,MONARDA JACOB CLINE,Jacob Cline Bee Balm                                                                                ,PRN,04,2000, 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 50 , , 218.00 ,     ,     ,     ,     ,03/28/16    ,,014949618219 
160000,404851,NEPETA JNR WALKER TM PP23074,Junior Walker  Catmint                                                                             ,PRN,05,    , 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 25 , , 109.00 ,     ,     ,     ,     ,06/01/16    ,,014949395127 
160000,068481,OENOTHERA FREM SHIMMER PP19663,Shimmer Evening Primrose                                                                            ,PRN,04,2011, 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 15 , , 65.40 ,     ,     ,     ,     ,Now         ,,014949325827 
160000,068721,OENOTHERA KUN GLOWING MAGENTA,Glowing Magenta Evening Primrose                                                                    ,PRN,05,2010, 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 25 , , 109.00 , 142 ,     ,     ,     ,Now         ,,014949385036 
160000,409001,PENST ROCK CANDY TM PINK PPAF,Rock Candy  Pink Penstemon                                                                         ,PRN,05,2015, 6.00 ,PRNADV, 4.98 , 0.94 , 5.92 ,     ,     , 10 , 10 , , 49.80 ,     ,     ,     ,     ,Now         ,,014949116968 
160000,409011,PENST ROCK CANDY TM PRPL PPAF,Rock Candy  Purple Penstemon                                                                       ,PRN,05,2015, 6.00 ,PRNADV, 4.98 , 0.94 , 5.92 ,     ,     , 10 , 15 , , 74.70 , 158 ,     ,     ,     ,Now         ,,014949414552 
160000,405141,PEROV ATR PEEK-A-BLUE R PPAF,Peek-A-Blue Russian Sage                                                                            ,PRN,04,    , 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 25 , , 109.00 , 373 ,     ,     ,     ,Now         ,,014949395332 
160000,064211,PEROVSKIA ATRIPLICIFOLIA,Russian Sage                                                                                        ,PRN,04,1993, 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 25 , , 109.00 , 134 ,     ,     ,     ,Now         ,,014949642115 
550000,405201,PHLOX P BUBBLEGUM PK TM P21171,Candy Store¨  Bubblegum Pink  Phlox                                                                ,PRN,04,    , 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 10 , , 43.60 ,     ,     ,     ,     ,04/08/16    ,,014949424995 
160000,405221,PHLOX P CORAL CREME DRP P20907,Candy Store¨  Coral Cr{{#232}}me Drop Garden Phlox                                                  ,PRN,03,    , 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 13 , , 56.68 ,     ,     ,     ,     ,Now         ,,014949425008 
550000,405231,PHLOX PAN GRAPE LOLLIPOP,Candy Store¨  Grape Lollipop  Phlox                                                                ,PRN,04,    , 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 10 , , 43.60 ,     ,     ,     ,     ,03/28/16    ,,014949395424 
160000,034652,PHYSOCARPUS CENTER GLOW P16894,Center Glow Ninebark                                                                                ,DCS,02,2007, 16.00 ,, 14.08 , 2.34 , 16.42 ,     ,     , 5 , 5 , , 70.40 , 91 ,     ,     ,     ,Now         ,,014949219836 
160000,409892,PHYSOCARPUS PETITE PLUM R PPAF,Petite Plum¨  Ninebark                                                                              ,DCS,03,2014, 16.00 ,, 14.08 , 2.34 , 16.42 ,     ,     , 5 , 10 , , 140.80 ,     ,     ,     ,     ,Now         ,,014949335567 
450000,409892,PHYSOCARPUS PETITE PLUM R PPAF,Petite Plum¨  Ninebark                                                                              ,DCS,03,2014, 16.00 ,, 14.08 , 1.94 , 16.02 ,     ,     , 5 , 10 , , 140.80 ,     ,     ,     ,     ,Now         ,,014949335567 
160000,066682,POTENTILLA GOLDFINGER,Goldfinger Potentilla                                                                               ,DCS,03,    , 14.00 ,, 12.32 , 2.34 , 14.66 ,     ,     , 5 , 10 , , 123.20 ,     ,     ,     ,     ,Now         ,,014949666821 
450000,070307,PRUNUS PER BONFIRE PEACH,Dwarf Flowering Peach                                                                               ,TRE,05,2012, 56.75 ,, 49.94 , 7.07 , 57.01 ,     ,     , 2 , 2 , , 99.88 ,     ,     ,     ,     ,Now         ,,014949419762 
450000,066937,PRUNUS X SNOW FOUNTAIN TM,Snow Fountains¨  Weeping Cherry                                                                     ,TRE,04,1994, 56.75 ,, 49.94 , 7.07 , 57.01 ,     ,     , 2 , 5 , , 249.70 ,     ,     ,     ,     ,Now         ,,014949034781 
160000,069085,PYRUS CALL CLEVELAND SELECT,Cleveland Select Flowering Pear                                                                     ,TRE,05,1994, 35.25 ,, 31.02 , 4.68 , 35.70 ,     ,     , 5 , 5 , , 155.10 ,     ,     ,     ,     ,Now         ,,014949690857 
160000,069255,QUERCUS RUBRA,Northern Red Oak                                                                                    ,TRE,04,    , 27.25 ,, 23.98 , 4.68 , 28.66 ,     ,     , 5 , 5 , , 119.90 ,     ,     ,     ,     ,Now         ,,014949692554 
450000,009752,RHOD (H-1) NOVA ZEMBLA,Nova Zembla Rhododendron                                                                            ,RHO,04,    , 18.50 ,, 16.28 , 1.94 , 18.22 ,     ,     , 5 , 10 , , 162.80 , 37 ,     ,     ,     ,Now         ,,014949097526 
450000,405871,RHOD (H-2) BUBBLEGUM,Bubblegum Rhododendron                                                                              ,RHO,05,    , 9.00 ,, 7.92 , 1.01 , 8.93 ,     ,     , 10 , 10 , , 79.20 , 2 ,     ,     ,     ,Now         ,,014949396797 
550000,036292,ROSA FLWR CAR R AMBER PPAF,Flower Carpet¨  Amber Groundcover Rose                                                              ,ROS,04,2009, 15.00 ,, 13.20 , 1.42 , 14.62 ,     ,     , 5 , 10 , , 132.00 , 220 ,     ,     ,     ,Now         ,,014949211762 
550000,042822S,ROSA KNCK OUT R DBL PNK P18507,Pink Double Knock Out¨  Rose                                                                        ,ROS,05,2009, 13.75 ,, 12.10 , 1.89 , 13.99 ,     ,     , 5 , 20 , , 242.00 ,     ,     ,     ,     ,Now         ,,014949370209 
550000,030902S,ROSA KNCK OUT R DBL RD P16202,Double Knock Out¨  Rose                                                                             ,ROS,05,2000, 13.75 ,, 12.10 , 1.89 , 13.99 ,     ,     , 5 , 20 , , 242.00 , 3 ,     ,     ,     ,Now         ,,014949370223 
550000,030905PT,ROSA KNCK OUT R DBL RD P16202,Double Knock Out¨  Rose                                                                             ,ROS,05,2000, 40.00 ,, 35.20 , 4.25 , 39.45 ,     ,     , 2 , 5 , , 176.00 , 79 ,     ,     ,     ,Now         ,,014949192337 
450000,037863S,ROSA KNCK OUT R SUNNY P18562,Sunny Knock Out¨  Rose                                                                              ,ROS,04,2009, 14.75 ,, 12.98 , 2.70 , 15.68 ,     ,     , 5 , 20 , , 259.60 ,     ,     ,     ,     ,04/20/16    ,,014949419533 
450000,098583,ROSA WHITE OUT TM PP20273,White Out  Rose                                                                                    ,ROS,05,2014, 15.50 ,, 13.64 , 2.70 , 16.34 ,     ,     , 5 , 5 , , 68.20 ,     ,     ,     ,     ,04/20/16    ,,014949176207 
160000,070331,RUBUS BLACK SATIN BLACKBERRY,Black Satin Blackberry                                                                              ,DCS,05,1987, 10.00 ,, 8.80 , 0.94 , 9.74 ,     ,     , 10 , 10 , , 88.00 ,     ,     ,     ,     ,Now         ,,014949703311 
160000,070341,RUBUS CANBY RED RASPBERRY,Canby Red Raspberry                                                                                 ,DCS,04,1987, 10.00 ,, 8.80 , 0.94 , 9.74 ,     ,     , 10 , 10 , , 88.00 ,     ,     ,     ,     ,Now         ,,014949703410 
160000,067841,RUBUS IDEAUS FALL GOLD RASPBRY,Fall Gold Raspberry                                                                                 ,DCS,03,2011, 10.00 ,, 8.80 , 0.94 , 9.74 ,     ,     , 10 , 10 , , 88.00 ,     ,     ,     ,     ,Now         ,,014949327128 
160000,070061,RUBUS INDIAN SUMMER RASPBERRY,Indian Summer Raspberry                                                                             ,DCS,04,1999, 10.00 ,, 8.80 , 0.94 , 9.74 ,     ,     , 10 , 10 , , 88.00 ,     ,     ,     ,     ,Now         ,,014949779712 
160000,079382,RUBUS RSPBRY SHRTCKE TM P22141,BrazelBerries¨  Raspberry Shortcake  Dwarf Thor                                                    ,DCS,04,2013, 16.75 ,, 14.74 , 2.34 , 17.08 ,     ,     , 5 , 10 , , 147.40 , 648 ,     ,     ,     ,Now         ,,014949357132 
550000,071011,RUDBECKIA FULGIDA GOLDSTURM,Goldsturm Black Eyed Susan                                                                          ,PRN,03,1999, 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 30 , , 130.80 ,     ,     ,     ,     ,03/28/16    ,,014949782118 
160000,412691,SALVIA NEM BLUE MARVEL PPAF,Blue Marvel Salvia                                                                                  ,PRN,04,2015, 6.00 ,PRNADV, 4.98 , 0.94 , 5.92 ,     ,     , 10 , 25 , , 124.50 , 680 ,     ,     ,     ,Now         ,,014949424773 
160000,020411,SALVIA NEMOROSA CARADONNA,Caradonna Meadow Sage                                                                               ,PRN,04,2004, 5.75 ,PRNADV, 4.77 , 0.94 , 5.71 ,     ,     , 10 , 25 , , 119.25 , 153 ,     ,     ,     ,Now         ,,014949021996 
160000,070591,SALVIA NEMOROSA EAST FRIESLAND,East Friesland Meadow Sage                                                                          ,PRN,04,1994, 5.75 ,PRNADV, 4.77 , 0.94 , 5.71 ,     ,     , 10 , 25 , , 119.25 ," 1,180 ",     ,     ,     ,Now         ,,014949705919 
550000,070971,SCABIOSA COL BUTTERFLY BLUE,Butterfly Blue Pincushion Flower                                                                    ,PRN,03,2000, 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 15 , , 65.40 ,     ,     ,     ,     ,Now         ,,014949785515 
550000,04487UT,SEDUM RUP ANGELINA PPAF,Angelina Stonecrop                                                                                  ,PRN,03,2007, 3.25 ,, 2.86 , 0.43 , 3.29 ,     ,     , 16 , 16 , , 45.76 ,     ,     ,     ,     ,04/11/16    ,,014949304877 
160000,03517UT,SEDUM SPURIUM VOODOO,Voodoo Stonecrop                                                                                    ,PRN,03,2006, 3.25 ,PRNADV, 2.70 , 0.70 , 3.40 ,     ,     , 16 , 16 , , 43.20 ,     ,     ,     ,     ,Now         ,,014949419526 
160000,00730UT,SEDUM SSPRKLR R LIME ZNGR PPAF,Sunsparkler¨  Lime Zinger Sedum                                                                     ,PRN,04,2013, 3.75 ,PRNADV, 3.11 , 0.70 , 3.81 ,     ,     , 16 , 32 , , 99.52 ,     ,     ,     ,     ,Now         ,,014949372432 
450000,070911,SEDUM VERA JAMESON,Vera Jameson Stonecrop                                                                              ,PRN,04,1998, 5.50 ,PRNADV, 4.57 , 1.01 , 5.58 ,     ,     , 10 , 50 , , 228.50 , 886 ,     ,     ,     ,Now         ,,014949709115 
550000,025041,SEDUM X AUTUMN FIRE,Autumn Fire Stonecrop                                                                               ,PRN,03,2004, 5.50 ,PRNADV, 4.57 , 0.57 , 5.14 ,     ,     , 10 , 25 , , 114.25 ,     ,     ,     ,     ,04/15/16    ,,014949049969 
160000,06550UT,SEMPERVIVUM ARACHNOIDEUM,Cobweb Houseleek                                                                                    ,PRN,03,2011, 3.25 ,PRNADV, 2.70 , 0.70 , 3.40 ,     ,     , 16 , 16 , , 43.20 ,     ,     ,     ,     ,04/27/16    ,,014949309285 
550000,06560UT,SEMPERVIVUM GREEN WHEEL,Green Wheel Hens and Chicks                                                                         ,PRN,04,2011, 3.25 ,PRNADV, 2.70 , 0.43 , 3.13 ,     ,     , 16 , 16 , , 43.20 ,     ,     ,     ,     ,03/28/16    ,,014949309315 
160000,06561UT,SEMPERVIVUM KREBS DES ROSE,Krebs Desert Rose Hens and Chicks                                                                   ,PRN,04,2011, 3.25 ,, 2.86 , 0.70 , 3.56 ,     ,     , 16 , 24 , , 68.64 ,     ,     ,     ,     ,Now         ,,014949309339 
160000,406802S,SYRINGA BLOOMERNG R PNK PRFM,Bloomerang¨  Pink Perfume Lilac                                                                     ,DCS,03,2016, 18.50 ,, 16.28 , 3.12 , 19.40 ,     ,     , 5 , 15 , , 244.20 ,     ,     ,     ,     ,06/15/16    ,,014949420607 
450000,071865,SYRINGA MEYERI PALIBIN,Dwarf Korean Lilac                                                                                  ,DCS,03,2005, 24.75 ,, 21.78 , 4.81 , 26.59 ,     ,     , 5 , 5 , , 108.90 ,     ,     ,     ,     ,Now         ,,014949718650 
160000,071902,SYRINGA V LUDWIG SPAETH,Ludwig Spaeth Lilac                                                                                 ,DCS,03,    , 16.75 ,, 14.74 , 2.34 , 17.08 ,     ,     , 5 , 5 , , 73.70 ,     ,     ,     ,     ,Now         ,,014949719022 
160000,072162,SYRINGA V SENSATION,Sensation Lilac                                                                                     ,DCS,03,    , 16.75 ,, 14.74 , 2.34 , 17.08 ,     ,     , 5 , 5 , , 73.70 , 48 ,     ,     ,     ,Now         ,,014949721629 
160000,072942,THUJA OC DANICA,Danica Arborvitae                                                                                   ,CON,04,    , 14.75 ,, 12.98 , 2.34 , 15.32 ,     ,     , 5 , 5 , , 64.90 ,     ,     ,     ,     ,Now         ,,014949729427 
160000,073012,THUJA OC EMERALD,Emerald Green Arborvitae                                                                            ,CON,04,    , 15.00 ,, 13.20 , 2.34 , 15.54 ,     ,     , 5 , 30 , , 396.00 ,     ,     ,     ,     ,Now         ,,014949730126 
160000,073015,THUJA OC EMERALD,Emerald Green Arborvitae                                                                            ,CON,04,    , 23.00 ,, 20.24 , 4.68 , 24.92 ,     ,     , 5 , 30 , , 607.20 ," 1,070 ",     ,     ,     ,Now         ,,014949730157 
160000,047442,THUJA OC FIRE CHIEF TM P19009,Fire Chief  Globe Arborvitae                                                                       ,CON,05,2011, 16.25 ,, 14.30 , 2.34 , 16.64 ,     ,     , 5 , 25 , , 357.50 ,     ,     ,     ,     ,04/27/16    ,,014949255841 
160000,073265,TSUGA CANADENSIS,Canadian Hemlock                                                                                    ,CON,04,2005, 24.50 ,, 21.56 , 4.68 , 26.24 ,     ,     , 5 , 5 , , 107.80 ,     ,     ,     ,     ,Now         ,,014949732656 
550000,056232,VACC BOUNTIFUL BLUE R PP19381,Bountiful Blue¨  Blueberry                                                                          ,DCS,06,2010, 16.25 ,, 14.30 , 1.42 , 15.72 ,     ,     , 5 , 20 , , 286.00 ,     ,     ,     ,     ,Now         ,,014949287781 
550000,021742,VACCINIUM CORY SUNSHINE BLUE,Sunshine Blue Blueberry                                                                             ,DCS,05,2006, 15.75 ,, 13.86 , 1.42 , 15.28 ,     ,     , 5 , 10 , , 138.60 , 5 ,     ,     ,     ,Now         ,,014949198094 
160000,073742,VACCINIUM CORYMBOSUM PATRIOT,Patriot Early Season Blueberry                                                                      ,DCS,03,2001, 15.75 ,, 13.86 , 2.34 , 16.20 ,     ,     , 5 , 10 , , 138.60 , 282 ,     ,     ,     ,Now         ,,014949004067 
550000,409261,VERONICA MDY BLUES LT BLU PPAF,Moody Blues Light Blue Speedwell                                                                    ,PRN,04,2015, 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 10 , , 43.60 ,     ,     ,     ,     ,04/15/16    ,,014949416068 
550000,409271,VERONICA MDY BLUES MAUVE PPAF,Moody Blues Mauve Speedwell                                                                         ,PRN,04,2015, 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 10 , , 43.60 ,     ,     ,     ,     ,04/15/16    ,,014949416075 
160000,073952,VIB CARLESII,Korean Spice Viburnum                                                                               ,DCS,04,1987, 19.00 ,, 16.72 , 2.34 , 19.06 ,     ,     , 5 , 5 , , 83.60 ,     ,     ,     ,     ,Now         ,,014949739525 
160000,074065,VIB PLI T MARIESI,Doublefile Viburnum                                                                                 ,DCS,05,1987, 23.25 ,, 20.46 , 4.68 , 25.14 ,     ,     , 5 , 10 , , 204.60 ,     ,     ,     ,     ,Now         ,,014949740651 
450000,076222,VITIS LAB EASTERN CONCORD,Eastern Concord Grape                                                                               ,VIN,04,    , 17.00 ,, 14.96 , 1.94 , 16.90 ,     ,     , 5 , 10 , , 149.60 ,     ,     ,     ,     ,Now         ,,014949410097 
160000,077511S,WEIGELA FL SPILLED WINE TM PAF,Spilled Wine  Weigela                                                                              ,DCS,04,2011, 11.00 ,, 9.68 , 1.56 , 11.24 ,     ,     , 10 , 25 , , 242.00 ,     ,     ,     ,     ,Now         ,,014949356050 
160000,077512S,WEIGELA FL SPILLED WINE TM PAF,Spilled Wine  Weigela                                                                              ,DCS,04,2011, 18.50 ,, 16.28 , 3.12 , 19.40 ,     ,     , 5 , 9 , , 146.52 ,     ,     ,     ,     ,Now         ,,014949359242 
,,Totals:,,,,,,,,,,,,," 2,884 ",," 24,191.97 ",,,,,,,
