Loc,Item Number,Plant Name,Common Name,Plant Category,Zone,Intro Year,Catalog Price      ,Price Code,Net Price     ,Unit Freight,Landed Price,Landed Price Palletized,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,Order Quantity,Confirmed Amount Remaining,Open Stock,2013 Qty Shipped  ,2014 Qty Shipped  ,2015 Qty Shipped  ,Date Ready,SKU,UPC
160000,062932,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                                                              ,DCS,04,2012, 16.00 ,, 14.08 , 2.34 , 16.42 ,     ,     , 5 , 10 , , 140.80 , 1 ,     ,     ,     ,Now         ,,014949348109 
550000,013563,BUDDLEJA DAV ROYAL RED,Royal Red Butterfly Bush                                                                            ,DCS,05,1998, 19.00 ,, 16.72 , 2.27 , 18.99 ,     ,     , 5 , 15 , , 250.80 ,     ,     ,     ,     ,03/18/16    ,,014949026366 
550000,077391S,BUDDLEJA MISS MOLLY PPAF,Miss Molly Summer Lilac                                                                             ,DCS,05,2012, 10.00 ,, 8.80 , 0.94 , 9.74 ,     ,     , 10 , 25 , , 220.00 ,     ,     ,     ,     ,03/28/16    ,,014949355701 
160000,013822,BUXUS GREEN MOUNTAIN,Green Mountain Boxwood                                                                              ,EVS,04,1994, 15.50 ,, 13.64 , 2.34 , 15.98 ,     ,     , 5 , 25 , , 341.00 ,     ,     ,     ,     ,Now         ,,014949138229 
160000,013891,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,EVS,04,    , 7.75 ,, 6.82 , 0.94 , 7.76 ,     ,     , 10 , 150 , ," 1,023.00 ",     ,     ,     ,     ,Now         ,,014949138915 
160000,013892,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,EVS,04,    , 16.00 ,, 14.08 , 2.34 , 16.42 ,     ,     , 5 , 100 , ," 1,408.00 ",     ,     ,     ,     ,Now         ,,014949138922 
160000,013893,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,EVS,04,    , 20.25 ,, 17.82 , 3.74 , 21.56 ,     ,     , 5 , 135 , ," 2,405.70 ",     ,     ,     ,     ,Now         ,,014949138939 
160000,013893,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,EVS,04,    , 20.25 ,, 17.82 , 3.74 , 21.56 ,     ,     , 5 , 35 , , 623.70 ,     ,     ,     ,     ,Now         ,,014949138939 
160000,013895,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,EVS,04,    , 25.50 ,, 22.44 , 4.68 , 27.12 ,     ,     , 5 , 50 , ," 1,122.00 ",     ,     ,     ,     ,Now         ,,014949138953 
160000,038611,CAMPANULA SAMANTHA,Samantha Bellflower                                                                                 ,PRN,05,2007, 5.75 ,PRNADV, 4.77 , 0.94 , 5.71 ,     ,     , 10 , 15 , , 71.55 ,     ,     ,     ,     ,Now         ,,014949230398 
160000,023481,CERATOSTIGMA PLUMBAGINOIDES,Dwarf Plumbago                                                                                      ,PRN,05,    , 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 50 , , 218.00 ,     ,     ,     ,     ,04/27/16    ,,014949234815 
160000,024032,CHAM PIS FIL GOLDEN CHARM,Golden Charm Thread-Branch Cypress                                                                  ,CON,04,1998, 15.75 ,, 13.86 , 2.34 , 16.20 ,     ,     , 5 , 10 , , 138.60 ,     ,     ,     ,     ,Now         ,,014949240328 
160000,024191,CHELONE HOT LIPS,Hot Lips Turtlehead                                                                                 ,PRN,03,2000, 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 15 , , 65.40 ,     ,     ,     ,     ,Now         ,,014949241912 
160000,024185,CHIONANTHUS VIRGINICUS,White Fringe Tree                                                                                   ,TRE,04,1995, 35.25 ,, 31.02 , 4.68 , 35.70 ,     ,     , 5 , 5 , , 155.10 ,     ,     ,     ,     ,Now         ,,014949241851 
160000,412561,CHRY (LEU) REAL CHARMER PPAF,Real Charmer Shasta Daisy                                                                           ,PRN,05,2015, 5.75 ,PRNADV, 4.77 , 0.94 , 5.71 ,     ,     , 10 , 10 , , 47.70 ,     ,     ,     ,     ,Now         ,,014949423387 
160000,023021,CHRYS (LEUCANTH) X SUP BECKY,Becky Shasta Daisy                                                                                  ,PRN,05,2003, 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 50 , , 218.00 ,     ,     ,     ,     ,Now         ,,014949002490 
550000,004221,CHRYS (LEUCANTH) X SUP SNOWCAP,Snowcap Shasta Daisy                                                                                ,PRN,05,    , 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 40 , , 174.40 ,     ,     ,     ,     ,Now         ,,014949000397 
160000,051481,CLEM VANCOUVER TM DANIELLE,Vancouver  Danielle Clematis                                                                       ,VIN,04,2010, 10.50 ,, 9.24 , 0.94 , 10.18 ,     ,     , 10 , 5 , , 46.20 ,     ,     ,     ,     ,Now         ,,014949340110 
