Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Monthly Sale Price,Condition,Current Specs,UPC#,Qty Allocated,Min Qrd Qty,Available Now     ,Available Later,On,Available Later,On,Available Later,On,Stk Loc
CA,    ,036295PT,#5 PATIO TREE,ROSA FLWR CAR R AMBER PPAF,Rosa x 'NOA97400A' P.P.A.F.                                 ,Flower Carpet®  Amber Groundcover Rose,Rosa,ROS,04,ATI, 38.50 ,            ,LIGHT BUD & BLOOM,17''S,014949283868, 12 , 2 , 23 , 23 ,04/01/15  ,     ,          ,     ,          ,1H 108                        
CA,    ,069292,#2,ROSA FLWR CAR R APLBLSM P10239,Rosa x 'Noamel' P.P.# 10239                                 ,Flower Carpet®  Appleblossom Groundcover Rose,Rosa,ROS,04,ATI, 15.50 ,            ,LIGHT BUD & BLOOM,"8""H - 10""S",014949692929, 5 , 5 , 177 ," 2,693 ",04/01/15  ,     ,          ,     ,          ,1H 103                        
CA,    ,078182,#2,ROSA FLWR CAR R CORAL PP14441,Rosa x 'Noala' P.P.# 14441                                  ,Flower Carpet®  Coral Groundcover Rose,Rosa,ROS,05,ATI, 15.50 ,            ,,"8""H - 10""S",014949781814, 80 , 5 ,     ," 5,727 ",04/01/15  ,     ,          ,     ,          ,                              
OR,    ,069782,#2,ROSA FLWR CAR R PINK,Rosa x 'Noatraum'                                           ,Flower Carpet®  Pink Groundcover Rose,Rosa,ROS,04,ATI, 15.50 ,            ,-,"10""H - 12""S",014949697825, 53 , 5 , 60 ,     ,          ,     ,          ,     ,          ,"1D 184, 1D 186                "
CA,    ,069782,#2,ROSA FLWR CAR R PINK,Rosa x 'Noatraum'                                           ,Flower Carpet®  Pink Groundcover Rose,Rosa,ROS,04,ATI, 15.50 ,            ,,"8""H - 10""S",014949697825, 43 , 5 ,     ," 2,837 ",12/31/14  ," 2,837 ",04/01/15  ,     ,          ,                              
CA,    ,069785PT,#5 PATIO TREE,ROSA FLWR CAR R PINK,Rosa x 'Noatraum'                                           ,Flower Carpet®  Pink Groundcover Rose,Rosa,ROS,04,ATI, 38.50 ,            ,LIGHT BUD & BLOOM,15''S,014949713150, 4 , 2 , 4 ,     ,          ,     ,          ,     ,          ,1H 108                        
OR,2013,079572,#2,ROSA FLWR CAR R PNK SPLSH PPAF,Rosa x 'Noasplash' P.P.A.F.                                 ,Flower Carpet®  Pink Splash Groundcover Rose,Rosa,ROS,05,ATI, 15.50 ,            ,BUDS & BLOOMS,"10""H - 10""S",014949357361, 44 , 5 , 72 ,     ,          ,     ,          ,     ,          ,1D 183                        
CA,2013,079572,#2,ROSA FLWR CAR R PNK SPLSH PPAF,Rosa x 'Noasplash' P.P.A.F.                                 ,Flower Carpet®  Pink Splash Groundcover Rose,Rosa,ROS,05,ATI, 15.50 ,            ,LIGHT BUD & BLOOM,"6""H - 10""S",014949357361, 65 , 5 ," 4,422 "," 8,098 ",04/01/15  ,     ,          ,     ,          ,"1F 108, 1G 103, 1G 104        "
OR,    ,036382,#2,ROSA FLWR CAR R PNK SUP P16276,"Rosa x 'NOA250092' P.P. #16,276                             ",Flower Carpet®  Pink Supreme Ground Cover Rose,Rosa,ROS,04,ATI, 15.50 ,            ,BUDS & BLOOMS,10''H - 12''S,014949212547, 38 , 5 , 127 ,     ,          ,     ,          ,     ,          ,"1D 183, 1D 186                "
CA,    ,036382,#2,ROSA FLWR CAR R PNK SUP P16276,"Rosa x 'NOA250092' P.P. #16,276                             ",Flower Carpet®  Pink Supreme Ground Cover Rose,Rosa,ROS,04,ATI, 15.50 ,            ,LIGHT BUD & BLOOM,"6""H - 10""S",014949212547, 31 , 5 ," 6,021 "," 9,676 ",12/31/14  ," 9,676 ",04/01/15  ,     ,          ,"1F 105, 1F 107, 1F 108, 1H 103"
