Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Monthly Sale Price,Condition,Current Specs,UPC#,Qty Allocated,Min Qrd Qty,Available Now     ,Available Later,On,Available Later,On,Available Later,On,Stk Loc
CA,    ,011625PT,#5 PATIO TREE,ROSA KNCK OUT R P11836 (RED),Rosa x 'Radrazz' P.P.# 11836                                ,Knock Out®  Shrub Rose,Rosa,ROS,04,CPC, 38.50 ,            ,,"15""S",014949060834, 2 , 2 ,     , 641 ,04/01/15  ,     ,          ,     ,          ,                              
GA,    ,011625PT,#5 PATIO TREE,ROSA KNCK OUT R P11836 (RED),Rosa x 'Radrazz' P.P.# 11836                                ,Knock Out®  Shrub Rose,Rosa,ROS,04,CPC, 38.50 ,            ,,"15""S",014949060834, 20 , 2 ,     , 20 ,05/15/15  ,     ,          ,     ,          ,                              
CA,    ,022152S,SuperTwo,ROSA KNCK OUT R P15070 (PINK),Rosa x 'Radcon' P.P.# 15070                                 ,Pink Knock Out®  Rose,Rosa,ROS,04,CPC, 13.50 ,            ,BUDS & BLOOMS,10''H - 12''S,014949370230,     , 5 , 259 , 604 ,04/01/15  ,     ,          ,     ,          ,1H 105                        
GA,    ,022152S,SuperTwo,ROSA KNCK OUT R P15070 (PINK),Rosa x 'Radcon' P.P.# 15070                                 ,Pink Knock Out®  Rose,Rosa,ROS,04,CPC, 13.50 ,            ,,"12""H - 12""S",014949370230,     , 5 , 71 , 71 ,01/01/15  , 71 ,05/15/15  ,     ,          ,"3BV3, 3WG9                    "
CT,    ,022153S,Super 3,ROSA KNCK OUT R P15070 (PINK),Rosa x 'Radcon' P.P.# 15070                                 ,Pink Knock Out®  Rose,Rosa,ROS,04,CPC, 15.25 ,            ,,,014949416471, 20 , 5 , 20 , 20 ,04/15/15  ,     ,          ,     ,          ,"2P 0 E, 2R 4 E                "
GA,    ,022153S,Super 3,ROSA KNCK OUT R P15070 (PINK),Rosa x 'Radcon' P.P.# 15070                                 ,Pink Knock Out®  Rose,Rosa,ROS,04,CPC, 15.25 ,            ,,,014949416471,     , 5 , 443 ," 1,409 ",01/01/15  ,     ,          ,     ,          ,3WG8                          
CT,    ,022153SPT,Super 3 PATIO TREE,ROSA KNCK OUT R P15070 (PINK),Rosa x 'Radcon' P.P.# 15070                                 ,Pink Knock Out®  Rose,Rosa,ROS,04,CPC, 29.50 ,            ,,,014949416488,     ,     , 1 , 102 ,05/01/15  ,     ,          ,     ,          ,2R 3 W                        
CA,    ,022155,#5,ROSA KNCK OUT R P15070 (PINK),Rosa x 'Radcon' P.P.# 15070                                 ,Pink Knock Out®  Rose,Rosa,ROS,04,CPC, 17.75 ,            ,LIGHT BUD & BLOOM,12''H - 12''S,014949059494,     , 5 , 72 , 72 ,03/15/15  ,     ,          ,     ,          ,"1F 104, 1G 104                "
GA,    ,022155,#5,ROSA KNCK OUT R P15070 (PINK),Rosa x 'Radcon' P.P.# 15070                                 ,Pink Knock Out®  Rose,Rosa,ROS,04,CPC, 17.75 ,            ,,"14""H - 16""S",014949059494,     , 5 , 36 ," 1,992 ",01/01/15  ," 1,971 ",04/01/15  ," 1,878 ",05/15/15  ,3WG3                          
CA,    ,022155PT,#5 PATIO TREE,ROSA KNCK OUT R P15070 (PINK),Rosa x 'Radcon' P.P.# 15070                                 ,Pink Knock Out®  Rose,Rosa,ROS,04,CPC, 38.50 ,            ,,"15""S",014949059500, 2 , 2 ,     , 285 ,04/01/15  ,     ,          ,     ,          ,                              
GA,    ,022155PT,#5 PATIO TREE,ROSA KNCK OUT R P15070 (PINK),Rosa x 'Radcon' P.P.# 15070                                 ,Pink Knock Out®  Rose,Rosa,ROS,04,CPC, 38.50 ,            ,,"15""S",014949059500, 15 , 2 ,     , 51 ,05/15/15  ,     ,          ,     ,          ,                              
CT,    ,037863SPT,Super 3 PATIO TREE,ROSA KNCK OUT R SUNNY P18562,Rosa x 'Radsunny'  P.P.# 18562                              ,Sunny Knock Out®  Rose,Rosa,ROS,05,CPC, 29.50 ,            ,,,014949414101,     ,     , 41 , 173 ,05/01/15  ,     ,          ,     ,          ,2R 3 W                        
CT,    ,406213,#3,ROSA LK-A-LIK TM PHLOXY BABY,Rosa 'Radcleome' PPTBS                                      ,Look-A-Likes™  Phloxy Baby Rose,Rosa,ROS,05,, 15.00 ,            ,,,014949397879,     , 5 , 266 ,     ,          ,     ,          ,     ,          ,2R 12 E                       
OR,2011,074961S,SuperOne TM,ROSA OSO EASY R CHERRYPIE PPAF,Rosa x 'Meiboulka' P.P.A.F.                                 ,Oso Easy®  Cherry Pie Rose,Rosa,ROS,04,PW, 10.00 ,            ,-,12''H - 10''S,014949336441,     , 10 , 144 ,     ,          ,     ,          ,     ,          ,1E 205                        
CA,2011,074961S,SuperOne TM,ROSA OSO EASY R CHERRYPIE PPAF,Rosa x 'Meiboulka' P.P.A.F.                                 ,Oso Easy®  Cherry Pie Rose,Rosa,ROS,04,PW, 10.00 ,            ,BUDS & BLOOMS,6''H - 12''S,014949336441,     , 10 , 906 ,     ,          ,     ,          ,     ,          ,1H 106                        
OR,2011,074962S,SuperTwo,ROSA OSO EASY R CHERRYPIE PPAF,Rosa x 'Meiboulka' P.P.A.F.                                 ,Oso Easy®  Cherry Pie Rose,Rosa,ROS,04,PW, 16.50 ,            ,-,"16""H - 14""S",014949348833,     , 5 , 100 ,     ,          ,     ,          ,     ,          ,1F 208                        
CA,2011,074962S,SuperTwo,ROSA OSO EASY R CHERRYPIE PPAF,Rosa x 'Meiboulka' P.P.A.F.                                 ,Oso Easy®  Cherry Pie Rose,Rosa,ROS,04,PW, 16.50 ,            ,LIGHT BUDS,8''H - 12''S,014949348833, 10 , 5 , 349 ,     ,          ,     ,          ,     ,          ,1H 107                        
GA,2011,074962S,SuperTwo,ROSA OSO EASY R CHERRYPIE PPAF,Rosa x 'Meiboulka' P.P.A.F.                                 ,Oso Easy®  Cherry Pie Rose,Rosa,ROS,04,PW, 16.50 ,            ,,"12""H - 14""S",014949348833,     , 5 , 742 ,     ,          ,     ,          ,     ,          ,3WG8                          
CT,2011,074963S,Super 3,ROSA OSO EASY R CHERRYPIE PPAF,Rosa x 'Meiboulka' P.P.A.F.                                 ,Oso Easy®  Cherry Pie Rose,Rosa,ROS,04,PW, 15.25 ,            ,,,014949412237,     , 5 , 4 ,     ,          ,     ,          ,     ,          ,2R 3 W                        
GA,2011,075002S,SuperTwo,ROSA OSO EASY R HONEY BUN PPAF,"Rosa x 'Scrivjean' P.P. #21,611                             ",Oso Easy®  Honey Bun Rose,Rosa,ROS,04,PW, 16.50 ,            ,,"8""H - 12""S",014949348840, 5 , 5 ,     , 5 ,04/15/15  ,     ,          ,     ,          ,                              
CA,2013,080722S,SuperTwo,ROSA OSO EASY R MNGO SALSA PAF,Rosa x 'ChewperAdventure' P.P.A.F. Can. P.B.R.A.F.          ,Oso Easy®  Mango Salsa Rose,Rosa,ROS,04,PW, 16.50 ,            ,LIGHT BUD & BLOOM,"12""S",014949359662,     , 5 , 149 ,     ,          ,     ,          ,     ,          ,1H 106                        
OR,2013,080732S,SuperTwo,ROSA OSO EASY R STBY CR P20601,"Rosa x 'Hormeteorie' P.P.#20,601 Can. P.B.R.A.F.            ",Oso Easy®  Strawberry Crush Rose,Rosa,ROS,04,PW, 16.50 ,            ,-,"10""H - 12""S",014949359648,     , 5 , 19 ,     ,          ,     ,          ,     ,          ,1F 208                        
OR,2011,074971S,SuperOne TM,ROSA OSO HPY TM CNDY OH!P20471,"Rosa x 'ZleMatinCipar' P.P. #20,471                         ",Oso Happy™  Candy Oh! Landscape Rose,Rosa,ROS,04,PW, 10.00 ,     7.50   ,-,"12""H - 10""S",014949336465,     , 10 , 665 ,     ,          ,     ,          ,     ,          ,1E 205                        
OR,2011,074972S,SuperTwo,ROSA OSO HPY TM CNDY OH!P20471,"Rosa x 'ZleMatinCipar' P.P. #20,471                         ",Oso Happy™  Candy Oh! Landscape Rose,Rosa,ROS,04,PW, 16.50 ,    12.38   ,-,"12""H - 12""S",014949348826,     , 5 , 381 ,     ,          ,     ,          ,     ,          ,1F 208                        
CT,2014,406253,#3,ROSA PEACHY KEEN PPAF,Rosa x 'Radgor' P.P.A.F.                                    ,Peachy Keen™  Shrub Rose,Rosa,ROS,05,CPC, 15.00 ,            ,,,014949397985, 105 , 5 , 105 , 105 ,04/15/15  ,     ,          ,     ,          ,"2R 14 W, 2R 5 E               "
CA,    ,037822PT,#2 PATIO TREE,ROSA RAINBOW SUNBLAZE R P17481,"Rosa x 'Meigenpi' P.P.# 17,481                              ",Rainbow Sunblaze®  Miniature Rose,Rosa,ROS,05,CPC, 24.00 ,            ,LIGHT BUD & BLOOM,10''S,014949218266,     , 5 , 4 ,     ,          ,     ,          ,     ,          ,1F 111                        
CT,    ,406393,#3,ROSA RUBY MEIDILAND R PP13500,"Rosa 'Meipreston' PP #13,500                                ",Ruby Meidiland®  Rose,Rosa,ROS,05,CPC, 15.00 ,            ,,,014949398111, 10 , 5 , 3 , 10 ,04/15/15  ,     ,          ,     ,          ,2R 5 E                        
CT,    ,069933,#3,ROSA RUGOSA ALBA,Rosa rugosa 'Alba'                                          ,White Rugosa Rose                                           ,Rosa,ROS,02,, 14.75 ,            ,,,014949045800, 30 , 5 , 30 , 30 ,05/15/15  ,     ,          ,     ,          ,"2N 5 E, 2N 5 W                "
CT,    ,071923,#3,ROSA RUGOSA PINK,Rosa rugosa                                                 ,Japanese Rugosa Rose                                        ,Rosa,ROS,03,, 14.75 ,            ,-,"15""H - 15""S",014949047408, 23 , 5 , 297 , 476 ,05/15/15  ,     ,          ,     ,          ,2N 5 W                        
CA,    ,079892PT,#2 PATIO TREE,ROSA SALMON SUNBLAZE R P10015,"Rosa x 'Meishulo' P.P. #10,015                              ",Salmon Sunblaze®  Miniature Rose,Rosa,ROS,05,CPC, 24.00 ,            ,LIGHT BUD & BLOOM,10''S,014949798928,     , 5 , 3 ,     ,          ,     ,          ,     ,          ,1G 111                        
GA,2013,089112,#2,ROSA SUNROSA TM RED,Rosa x 'ZARSBJOH' P.P.A.F.                                  ,Sunrosa™  Red Shrub Rose,Rosa,ROS,04,, 15.50 ,            ,,"8""H - 10""S",014949374856, 60 , 5 , 269 ," 1,587 ",06/01/15  ,     ,          ,     ,          ,3WG3 H                        
GA,2013,089102,#2,ROSA SUNROSA TM SOFT PINK,Rosa x 'Soft Pink'                                          ,Sunrosa™  Soft Pink Shrub Rose,Rosa,ROS,04,, 15.50 ,            ,,"8""H - 10""S",014949374771, 150 , 5 , 680 ," 1,743 ",06/01/15  ,     ,          ,     ,          ,"3WG3, 3WG3 H                  "
GA,2013,089122,#2,ROSA SUNROSA TM YELLOW,Rosa x 'ZARSBSUN' P.P.A.F.                                  ,Sunrosa™  Yellow Shrub Rose,Rosa,ROS,05,, 15.50 ,            ,,"8""H - 10""S",014949374788, 55 , 5 ,     , 444 ,01/01/15  ," 1,563 ",06/01/15  ,     ,          ,                              
CT,2014,406223,#3,ROSA SUNSHINE DAYDREAM PPAF,Rosa 'Meikanaro' PPAF                                       ,Sunshine Daydream Rose                                      ,Rosa,ROS,05,, 15.00 ,            ,,,014949397909, 50 , 5 , 698 , 698 ,04/15/15  ,     ,          ,     ,          ,"2R 5 E, 3S 5 W                "
CA,2013,081302,#2,ROSA SWT SPOT TM CALYPSO PPAF,Rosa L. hybrid var. 'IntRos01' P.P.A.F.                     ,Sweet Spot™  Calypso Rose,Rosa,ROS,05,ATI, 15.50 ,            ,BUDS & BLOOMS,"8""H - 10""S",014949369807, 50 , 5 , 50 , 50 ,04/01/15  ,     ,          ,     ,          ,1H 105                        
CA,2013,081502,#2,ROSA SWT SPOT TM PEACH PPAF,Rosa L. hybrid var. 'IntRos02' P.P.A.F.                     ,Sweet Spot™  Peach Rose,Rosa,ROS,05,ATI, 15.50 ,            ,LIGHT BUD & BLOOM,8''H - 10''S,014949369838, 50 , 5 , 52 , 52 ,04/01/15  ,     ,          ,     ,          ,1G 109                        
CA,2013,081492,#2,ROSA SWT SPOT TM RUBY PPAF,Rosa L. hybrid var. 'IntRos04' P.P.A.F.                     ,Sweet Spot™  Ruby Rose,Rosa,ROS,05,ATI, 15.50 ,            ,BUDS & BLOOMS,"8""H - 12""S",014949369821, 50 , 5 ," 1,899 "," 4,651 ",04/01/15  ,     ,          ,     ,          ,1H 105                        
OR,2013,081392,#2,ROSA SWT SPOT TM YELLOW PPAF,Rosa L. hybrid var. 'IntRos03' P.P.A.F.                     ,Sweet Spot™  Yellow Rose,Rosa,ROS,05,ATI, 15.50 ,            ,,,014949369814, 8 , 5 ,     , 8 ,05/01/15  ,     ,          ,     ,          ,                              
CT,2014,406233,#3,ROSA TAHITIAN TREASURE TM,Rosa 'Radtreasure' PPTBS                                    ,Tahitian Treasure™  Rose,Rosa,ROS,05,CPC, 15.00 ,            ,,,014949397930,     , 5 , 81 , 351 ,04/15/15  ,     ,          ,     ,          ,"3S 5 E, 3S 5 W                "
CT,    ,406293,#3,ROSA TEQUILA GOLD TM PP18657,                                                            ,                                                            ,Rosa,ROS,05,, 15.00 ,            ,,,014949397947, 50 , 5 ,     , 683 ,04/15/15  ,     ,          ,     ,          ,                              
CT,2014,098583,#3,ROSA WHITE OUT TM PP20273,"Rosa x 'Radwhite' PP #20,273                                ",White Out™  Rose,Rosa,ROS,05,CPC, 15.00 ,            ,,,014949176207, 65 , 5 ,     , 65 ,04/15/15  ,     ,          ,     ,          ,                              
GA,2014,098583,#3,ROSA WHITE OUT TM PP20273,"Rosa x 'Radwhite' PP #20,273                                ",White Out™  Rose,Rosa,ROS,05,CPC, 15.00 ,            ,,,014949176207, 23 , 5 ,     , 23 ,04/01/15  ,     ,          ,     ,          ,                              
CT,    ,406153,#3,ROSA-CL BRITE EYES TM PP17391,Rosa 'Radbrite'                                             ,Brite Eyes™  Climbing Rose,Rosa,ROS,05,, 15.00 ,            ,,,014949397992, 30 , 5 , 841 ," 1,500 ",04/15/15  ,     ,          ,     ,          ,"2R 5 E, 3S 5 E, 3S 5 W        "
CT,    ,406163,#3,ROSA-CL CANCAN TM PP21430,Rosa 'Radcancan'                                            ,Cancan™  Climbing Rose,Rosa,ROS,05,, 15.00 ,            ,,,014949398005, 21 , 5 , 13 , 292 ,04/15/15  ,     ,          ,     ,          ,3S 5 W                        
CT,    ,406173,#3,ROSA-CL CLOUD TEN TM PPTBS,Rosa 'Radclean'                                             ,Cloud Ten™  Climbing Rose,Rosa,ROS,05,, 15.00 ,            ,,,014949398012, 11 , 5 , 41 , 472 ,04/15/15  ,     ,          ,     ,          ,3S 5 E                        
CT,    ,406183,#3,ROSA-CL GOLDEN SHOWERS,Rosa 'Golden Showers'                                       ,Golden Showers Climbing Rose                                ,Rosa,ROS,05,, 15.00 ,            ,,,014949398029, 16 , 5 , 181 , 394 ,04/15/15  ,     ,          ,     ,          ,"3S 5 E, 3S 5 W                "
CT,    ,406193,#3,ROSA-CL THE CHARLATAN R P18990,"Rosa 'Meiguimov' PP ##18,990                                ",The Charlatan®  Climbing Rose,Rosa,ROS,06,, 15.00 ,            ,,,014949398043, 30 , 5 ,     , 616 ,04/15/15  ,     ,          ,     ,          ,                              
CT,    ,406195,#5,ROSA-CL THE CHARLATAN R P18990,"Rosa 'Meiguimov' PP ##18,990                                ",The Charlatan®  Climbing Rose,Rosa,ROS,06,, 24.00 ,            ,,,014949398050,     , 5 ,     , 5 ,04/15/15  ,     ,          ,     ,          ,                              
CT,    ,406203,#3,ROSA-CL WNERS CIRCLE TM P19310,Rosa 'Radwin'                                               ,Winners Circle™  Climbing Rose,Rosa,ROS,05,CPC, 15.00 ,            ,,,014949398067, 15 , 5 , 235 , 247 ,04/15/15  ,     ,          ,     ,          ,"3S 5 E, 3S 5 W                "
CT,    ,406205,#5,ROSA-CL WNERS CIRCLE TM P19310,Rosa 'Radwin'                                               ,Winners Circle™  Climbing Rose,Rosa,ROS,05,CPC, 24.00 ,            ,,,014949398074,     , 5 , 30 ,     ,          ,     ,          ,     ,          ,3S 5 E                        
CA,    ,070151,#1,ROSA-CL-BANKSIAE ALBA PLENA,Rosa banksiae 'Alba Plena'                                  ,White Lady Banks Rose                                       ,Rosa,ROS,06,, 7.25 ,            ,-,24''H,014949701515, 10 , 10 , 10 ,     ,          ,     ,          ,     ,          ,"1M 118, 1M 120                "
GA,    ,070151,#1,ROSA-CL-BANKSIAE ALBA PLENA,Rosa banksiae 'Alba Plena'                                  ,White Lady Banks Rose                                       ,Rosa,ROS,06,, 7.25 ,            ,,"24""H",014949701515, 28 , 10 ,     , 28 ,04/15/15  ,     ,          ,     ,          ,                              
CA,    ,070155,#5,ROSA-CL-BANKSIAE ALBA PLENA,Rosa banksiae 'Alba Plena'                                  ,White Lady Banks Rose                                       ,Rosa,ROS,06,, 23.00 ,            ,-,48''H,014949701553, 10 , 5 , 40 ,     ,          ,     ,          ,     ,          ,1M 125                        
GA,    ,070155,#5,ROSA-CL-BANKSIAE ALBA PLENA,Rosa banksiae 'Alba Plena'                                  ,White Lady Banks Rose                                       ,Rosa,ROS,06,, 23.00 ,            ,,"48""H",014949701553, 21 , 5 ,     , 21 ,05/15/15  ,     ,          ,     ,          ,                              
CA,    ,070201,#1,ROSA-CL-BANKSIAE LUTEA,Rosa banksiae 'Lutea'                                       ,Yellow Lady Banks Rose                                      ,Rosa,ROS,06,, 7.25 ,            ,-,24''H,014949702017,     , 10 ," 2,781 ",     ,          ,     ,          ,     ,          ,"1M 120, 1M 123                "
GA,    ,070201,#1,ROSA-CL-BANKSIAE LUTEA,Rosa banksiae 'Lutea'                                       ,Yellow Lady Banks Rose                                      ,Rosa,ROS,06,, 7.25 ,            ,,"24""H",014949702017, 11 , 10 , 11 ,     ,          ,     ,          ,     ,          ,1Q 7                          
GA,    ,070205,#5,ROSA-CL-BANKSIAE LUTEA,Rosa banksiae 'Lutea'                                       ,Yellow Lady Banks Rose                                      ,Rosa,ROS,06,, 23.00 ,            ,,"48""H",014949702055,     , 5 , 186 , 186 ,04/01/15  ,     ,          ,     ,          ,1Q 6                          
CA,2012,082275ST,#5 STAKED,ROSA-CL-CANDY LAND PPAF,Rosa x 'WEKrosopela' P.P.A.F.                               ,Candy Land Climbing Rose                                    ,Rosa,ROS,05,, 27.50 ,            ,LIGHT BUD & BLOOM,30''H,014949362235, 1 , 5 , 1 ,     ,          ,     ,          ,     ,          ,                              
OR,    ,090791ST,#1 STAKED,ROSA-CL-CECILE BRUNNER,Rosa x 'Cecile Brunner' (Climbing Type)                     ,Cecile Brunner Climbing Rose                                ,Rosa,ROS,04,, 7.25 ,            ,-,FULL STK,014949907917, 11 , 10 , 41 ,     ,          ,     ,          ,     ,          ,"1E 155, 1E 156                "
CA,    ,090791ST,#1 STAKED,ROSA-CL-CECILE BRUNNER,Rosa x 'Cecile Brunner' (Climbing Type)                     ,Cecile Brunner Climbing Rose                                ,Rosa,ROS,04,, 7.25 ,            ,-,24''H,014949907917, 10 , 10 , 105 ,     ,          ,     ,          ,     ,          ,"1M 118, 1M 120                "
OR,    ,090795ST,#5 STAKED,ROSA-CL-CECILE BRUNNER,Rosa x 'Cecile Brunner' (Climbing Type)                     ,Cecile Brunner Climbing Rose                                ,Rosa,ROS,04,, 23.00 ,            ,-,FULL STK,014949907955, 7 , 5 ,     , 7 ,05/01/15  ,     ,          ,     ,          ,                              
CA,    ,090795ST,#5 STAKED,ROSA-CL-CECILE BRUNNER,Rosa x 'Cecile Brunner' (Climbing Type)                     ,Cecile Brunner Climbing Rose                                ,Rosa,ROS,04,, 23.00 ,            ,-,48''H,014949907955, 5 , 5 , 60 ,     ,          ,     ,          ,     ,          ,"1M 113, 1M 116                "
CA,    ,051095ST,#5 STAKED,ROSA-CL-GARDEN SUN TM PPAF,Rosa x 'Meivaleir' P.P.A.F.                                 ,Garden Sun™  Climbing Rose,Rosa,ROS,05,OLD, 27.50 ,            ,,,014949269978,     , 5 ,     , 38 ,04/01/15  , 38 ,05/01/15  ,     ,          ,                              
CA,    ,069445ST,#5 STAKED,ROSA-CL-JOSEPH'S COAT,Rosa x 'Joseph's Coat'                                      ,Joseph's Coat Climbing Rose                                 ,Rosa,ROS,06,, 27.50 ,            ,-,30''H,014949314029, 1 , 5 ,     , 1 ,05/01/15  ,     ,          ,     ,          ,                              
OR,2010,058915ST,#5 STAKED,ROSA-CL-WILLIAM BAFFIN,Rosa x 'William Baffin'                                     ,William Baffin Climbing Rose                                ,Rosa,ROS,03,, 27.50 ,            ,,,014949314067,     , 5 ,     , 284 ,05/01/15  ,     ,          ,     ,          ,                              
