Loc,Item,Description,Botanical Name,Common Name
OR,066771,POTENTILLA RED ACE,Potentilla fruticosa 'Red Ace'                              ,Red Ace Potentilla                                          
OR,066772,POTENTILLA RED ACE,Potentilla fruticosa 'Red Ace'                              ,Red Ace Potentilla                                          
OR,066741,POTENTILLA SUNSET,Potentilla fruticosa 'Sunset'                               ,Sunset Potentilla                                           
OR,053845,PROSTANTHERA CUN BADJA PEAK,Prostanthera cuneata 'Badja Peak'                           ,Badja Peak Mint Bush                                        
OR,066835,PRUNUS CER KRAUTER VESUVIUS,Prunus cerasifera 'Krauter Vesuvius'                        ,Krauter Vesuvius Purple Leaf Plum                           
OR,066885,PRUNUS CER THUNDERCLOUD,Prunus cerasifera 'Thundercloud'                            ,Thundercloud Purple Leaf Plum                               
OR,031815,PRUNUS CRMSON POINTE TM P19564,"Prunus x cerasifera 'Cripoizam' P.P. #19,564                ",Crimson Pointe™  Flowering Plum
OR,016525,PRUNUS DREAM CATCHER,Prunus 'Dream Catcher'                                      ,Dream Catcher Flowering Cherry                              
OR,019095,PRUNUS LAUR ETNA,Prunus laurocerasus 'Anbri'                                 ,Etna English Laurel                                         
OR,067101,PRUNUS LAUR MT VERNON,Prunus laurocerasus 'Mount Vernon'                          ,Mount Vernon English Laurel                                 
OR,067102,PRUNUS LAUR MT VERNON,Prunus laurocerasus 'Mount Vernon'                          ,Mount Vernon English Laurel                                 
OR,067051,PRUNUS LAUROCERASUS,Prunus laurocerasus                                         ,English Laurel                                              
OR,067055,PRUNUS LAUROCERASUS,Prunus laurocerasus                                         ,English Laurel                                              
OR,067057,PRUNUS LAUROCERASUS,Prunus laurocerasus                                         ,English Laurel                                              
OR,067051C,PRUNUS LAUROCERASUS (CA CERT),Prunus laurocerasus                                         ,English Laurel                                              
OR,067055C,PRUNUS LAUROCERASUS (CA CERT),Prunus laurocerasus                                         ,English Laurel                                              
OR,066955,PRUNUS PEN PLENO ROSEA,Prunus pendula 'Pleno-rosea'                                ,Double Weeping Rosebud Cherry                               
OR,028025,PRUNUS SER ANGELS BLSH R TAIZO,Prunus serrulata 'Taizo'                                    ,Angel's Blush®  Flowering Cherry
OR,066915,PRUNUS SER KWANZAN,Prunus serrulata 'Kwanzan'                                  ,Kwanzan Flowering Cherry                                    
OR,066945,PRUNUS SER MOUNT FUJI,Prunus serrulata 'Mount Fuji'                               ,Mount Fuji Japanese Flowering Cherry                        
OR,081785,PRUNUS VIR CANADA RED,Prunus virginiana 'Canada Red'                              ,Canada Red Chokecherry                                      
OR,043395,PRUNUS WEEPING EXTRAORDNARE TM,Prunus x 'Extrazam' Weeping Extraordinaire™ ,Weeping Extraordinaire™  Double Flowering Cherry
OR,04339M,PRUNUS WEEPING EXTRAORDNARE TM,Prunus x 'Extrazam' Weeping Extraordinaire™ ,Weeping Extraordinaire™  Double Flowering Cherry
OR,066985,PRUNUS X YEDOENSIS AKEBONO,Prunus x yedoensis 'Akebono'                                ,Akebono Yoshino Cherry                                      
OR,043082,PSEUDOPANAX LAETUS KIWI GEM TM,Pseudopanax laetus                                          ,Kiwi Gem™  Shrub Panax
OR,043085,PSEUDOPANAX LAETUS KIWI GEM TM,Pseudopanax laetus                                          ,Kiwi Gem™  Shrub Panax
OR,069455,QUERCUS PALUSTRIS,Quercus palustris                                           ,Pin Oak                                                     
OR,069315,QUERCUS ROBUR FASTIGIATA,Quercus robur 'Fastigiata'                                  ,Columnar English Oak                                        
OR,069255,QUERCUS RUBRA,Quercus rubra                                               ,Northern Red Oak                                            
OR,046751,RHAPH U RUTRHAPH STHRN MOON TM,"Rhaphiolepis umbellata 'RutRhaph1' P.P.# 20,730             ",Southern Moon®  Yedda Hawthorn
OR,046752,RHAPH U RUTRHAPH STHRN MOON TM,"Rhaphiolepis umbellata 'RutRhaph1' P.P.# 20,730             ",Southern Moon®  Yedda Hawthorn
OR,030461,RHOD (H-1) ELVIIRA,Rhododendron 'Elviira' (H-1)                                ,Elviira Rhododendron                                        
OR,016222,RHOD (H-1) HELLIKKI,Rhododendron x 'Hellikki' (H-1)                             ,Hellikki Rhododendron                                       
OR,016232,RHOD (H-1) HELSINKI UNIVERSITY,Rhododendron x 'Helsinki University' (H-1)                  ,Helsinki University Rhododendron                            
OR,009751,RHOD (H-1) NOVA ZEMBLA,Rhododendron x 'Nova Zembla' (H-1)                          ,Nova Zembla Rhododendron                                    
OR,009972,RHOD (H-1) PURPLE GEM,Rhododendron x 'Purple Gem' (H-1)                           ,Purple Gem Rhododendron                                     
OR,010052,RHOD (H-1) RAMAPO,Rhododendron x 'Ramapo' (H-1)                               ,Ramapo Rhododendron                                         
OR,010055,RHOD (H-1) RAMAPO,Rhododendron x 'Ramapo' (H-1)                               ,Ramapo Rhododendron                                         
OR,010155,RHOD (H-1) ROSEUM ELEGANS,Rhododendron x 'Roseum Elegans' (H-1)                       ,Roseum Elegans Rhododendron                                 
OR,019772,RHOD (H-1) RTR HOOPLA,Rhododendron x 'Hoopla' (H-1) Raise the Roof®  Series,Hoopla Rhododendron                                         
OR,020195,RHOD (H-1) RTR MARCH MADNESS,Rhododendron x 'March Madness' (H-1) Raise the Roof® ,March Madness Rhododendron                                  
OR,009202,RHOD (H-2) CUNNINGHAM'S WHITE,Rhododendron x 'Cunningham's White' (H-2)                   ,Cunningham's White Rhododendron                             
OR,009205,RHOD (H-2) CUNNINGHAM'S WHITE,Rhododendron x 'Cunningham's White' (H-2)                   ,Cunningham's White Rhododendron                             
OR,009255,RHOD (H-2) DAPHNOIDES,Rhododendron x 'Daphnoides' (H-2)                           ,Daphnoides Rhododendron                                     
OR,009435,RHOD (H-2) GOMER WATERER,Rhododendron x 'Gomer Waterer' (H-2)                        ,Gomer Waterer Rhododendron                                  
OR,009572,RHOD (H-2) LEE'S DARK PURPLE,Rhododendron x 'Lee's Dark Purple' (H-2)                    ,Lee's Dark Purple Rhododendron                              
OR,009562,RHOD (H-2) LOOKING GLASS,Rhododendron x 'Looking Glass' (H-2)                        ,Looking Glass Rhododendron                                  
OR,009565,RHOD (H-2) LOOKING GLASS,Rhododendron x 'Looking Glass' (H-2)                        ,Looking Glass Rhododendron                                  
OR,009552,RHOD (H-2) LORD ROBERTS,Rhododendron x 'Lord Roberts' (H-2)                         ,Lord Roberts Rhododendron                                   
OR,009555,RHOD (H-2) LORD ROBERTS,Rhododendron x 'Lord Roberts' (H-2)                         ,Lord Roberts Rhododendron                                   
OR,010072,RHOD (H-2) ROCKET,Rhododendron x 'Rocket' (H-2)                               ,Rocket Rhododendron                                         
OR,010075,RHOD (H-2) ROCKET,Rhododendron x 'Rocket' (H-2)                               ,Rocket Rhododendron                                         
OR,010191,RHOD (H-2) SNEEZY,Rhododendron x 'Sneezy' (H-2)                               ,Sneezy Rhododendron                                         
OR,010192,RHOD (H-2) SNEEZY,Rhododendron x 'Sneezy' (H-2)                               ,Sneezy Rhododendron                                         
OR,010252,RHOD (H-2) TRILBY,Rhododendron x 'Trilby' (H-2)                               ,Trilby Rhododendron                                         
OR,010255,RHOD (H-2) TRILBY,Rhododendron x 'Trilby' (H-2)                               ,Trilby Rhododendron                                         
OR,010405,RHOD (H-2) VULCAN,Rhododendron x 'Vulcan' (H-2)                               ,VULCAN RHODODENDRON                                         
OR,010521,RHOD (H-2) YAKU PRINCESS,Rhododendron x 'Yaku Princess' (H-2)                        ,Yaku Princess Rhododendron                                  
OR,010522,RHOD (H-2) YAKU PRINCESS,Rhododendron x 'Yaku Princess' (H-2)                        ,Yaku Princess Rhododendron                                  
OR,008805,RHOD (H-3) ANNA ROSE WHITNEY,Rhododendron x 'Anna Rose Whitney' (H-3)                    ,Anna Rose Whitney Rhododendron                              
OR,009502,RHOD (H-3) JEAN MARIE DE MNTGE,Rhododendron x 'Jean Marie de Montague' (H-3)               ,Jean Marie De Montague Rhododendron                         
OR,009505,RHOD (H-3) JEAN MARIE DE MNTGE,Rhododendron x 'Jean Marie de Montague' (H-3)               ,Jean Marie De Montague Rhododendron                         
OR,026385,RHOD (H-3) RAC ROCK ROSE,Rhododendron racemosum 'Rock Rose'                          ,Rock Rose Rhododendron                                      
OR,010355,RHOD (H-3) VIRGINIA RICHARDS,Rhododendron x 'Virginia Richards' (H-3)                    ,Virginia Richards Rhododendron                              
OR,009311,RHOD (H-3) YAKU DREAMLAND,Rhododendron x 'Dreamland' (Yakushima hybrid) (H-3)         ,Dreamland Rhododendron                                      
OR,009312,RHOD (H-3) YAKU DREAMLAND,Rhododendron x 'Dreamland' (Yakushima hybrid) (H-3)         ,Dreamland Rhododendron                                      
OR,010502,RHOD (H-3) YELLOW PETTICOATS,Rhododendron x 'Yellow Petticoats' (H-3)                    ,Yellow Petticoats Rhododendron                              
OR,024582,ROSA CARAMBA TM PP13396,Rosa x 'Tanabamar' P.P.# 13396                              ,Caramba®  Shrub Rose
OR,024632,ROSA CHATEAU MERLOT TM PP12190,Rosa x 'Tanoronez' P.P.# 12190                              ,Chateau Merlot®  Shrub Rose
OR,036292,ROSA FLWR CAR R AMBER PPAF,Rosa x 'NOA97400A' P.P.A.F.                                 ,Flower Carpet®  Amber Groundcover Rose
OR,069292,ROSA FLWR CAR R APLBLSM P10239,Rosa x 'Noamel' P.P.# 10239                                 ,Flower Carpet®  Appleblossom Groundcover Rose
OR,069782,ROSA FLWR CAR R PINK,Rosa x 'Noatraum'                                           ,Flower Carpet®  Pink Groundcover Rose
OR,079572,ROSA FLWR CAR R PNK SPLSH PPAF,Rosa x 'Noasplash' P.P.A.F.                                 ,Flower Carpet®  Pink Splash Groundcover Rose
OR,071602,ROSA FLWR CAR R RED P11308,Rosa x 'Noare' P.P.# 11308                                  ,Flower Carpet®  Red Groundcover Rose
OR,036312,ROSA FLWR CAR R SCARLET P17373,"Rosa x 'NOA83100B' P.P. #17,373                             ",Flower Carpet®  Scarlet Groundcover Rose
OR,030902S,ROSA KNCK OUT R DBL RD P16202,Rosa x 'Radtko' P.P.# 16202                                 ,Double Knock Out®  Rose
OR,011622S,ROSA KNCK OUT R P11836 (RED),Rosa x 'Radrazz' P.P.# 11836                                ,Knock Out®  Shrub Rose
OR,022152S,ROSA KNCK OUT R P15070 (PINK),Rosa x 'Radcon' P.P.# 15070                                 ,Pink Knock Out®  Rose
OR,081502,ROSA SWT SPOT TM PEACH PPAF,Rosa L. hybrid var. 'IntRos02' P.P.A.F.                     ,Sweet Spot™  Peach Rose
OR,081392,ROSA SWT SPOT TM YELLOW PPAF,Rosa L. hybrid var. 'IntRos03' P.P.A.F.                     ,Sweet Spot™  Yellow Rose
OR,058915ST,ROSA-CL-WILLIAM BAFFIN,Rosa x 'William Baffin'                                     ,William Baffin Climbing Rose                                
OR,020491,ROSMARINUS OFF ARP,Rosmarinus officinalis 'Arp'                                ,Arp Rosemary                                                
OR,020492,ROSMARINUS OFF ARP,Rosmarinus officinalis 'Arp'                                ,Arp Rosemary                                                
OR,084941,ROSMARINUS OFF SPICE ISLANDS,Rosmarinus officinalis 'Spice Islands'                      ,Spice Islands Rosemary                                      
OR,070281,ROSMARINUS OFF TUSCAN BLUE,Rosmarinus officinalis 'Tuscan Blue'                        ,Tuscan Blue Rosemary                                        
OR,070282,ROSMARINUS OFF TUSCAN BLUE,Rosmarinus officinalis 'Tuscan Blue'                        ,Tuscan Blue Rosemary                                        
OR,041361,ROSMARINUS ROMAN BTY PP18192,"Rosmarinus officinalis 'Roman Beauty' P.P.# 18,192          ",Roman Beauty Rosemary                                       
OR,041362,ROSMARINUS ROMAN BTY PP18192,"Rosmarinus officinalis 'Roman Beauty' P.P.# 18,192          ",Roman Beauty Rosemary                                       
OR,025961,RUBUS CALYCINOIDES,Rubus calycinoides                                          ,Creeping Bramble                                            
OR,079382,RUBUS RSPBRY SHRTCKE TM P22141,"Rubus idaeus 'NR7' P.P. #22,141                             ",BrazelBerries®  Raspberry Shortcake™  Dwarf Thor
OR,079389,RUBUS RSPBRY SHRTCKE TM P22141,"Rubus idaeus 'NR7' P.P. #22,141                             ",BrazelBerries®  Raspberry Shortcake™  Dwarf Thor
OR,071111,RUDBECKIA ERLY BRD GLD PP20286,"Rudbeckia fulgida 'Early Bird Gold' P.P. #20,286            ",Early Bird Gold Gloriosa Daisy                              
OR,071011,RUDBECKIA FULGIDA GOLDSTURM,Rudbeckia fulgida var. sullivantii 'Goldsturm'              ,Goldsturm Black Eyed Susan                                  
OR,070465,SALIX CAP KILMARNOCK(S C PEND),Salix caprea 'Kilmarnock'                                   ,Kilmarnock Willow                                           
OR,070615PT,SALIX INTEGRA HAKURO NISHIKI,Salix integra 'Hakuro Nishiki'                              ,Dappled Willow                                              
OR,086705,SALIX PURPUREA CANYON BLUE,Salix purpurea 'Canyon Blue'                                ,Canyon Blue Arctic Blue Leaf Willow                         
OR,412691,SALVIA NEM BLUE MARVEL PPAF,Salvia nemorosa 'Blue Marvel'                               ,Blue Marvel Salvia                                          
OR,019541,SALVIA NEM MARCUS R PP13322,Salvia nemorosa 'Haeumanarc' P.P.# 13322                    ,Marcus®  Meadow Sage
OR,020411,SALVIA NEMOROSA CARADONNA,Salvia nemorosa 'Caradonna'                                 ,Caradonna Meadow Sage                                       
OR,070591,SALVIA NEMOROSA EAST FRIESLAND,Salvia nemorosa 'East Friesland'                            ,East Friesland Meadow Sage                                  
OR,407941,SALVIA SNSATION R DEEP ROS PAF,Salvia nemorosa 'Sensation Deep Rose' P.P.A.F.              ,Sensation Deep Rose Salvia                                  
OR,400271,SALVIA SNSATION R SKY BLUE PAF,Salvia nemerosa 'Sky Blue' P.P.A.F.                         ,Sensation®  Sky Blue Sage
OR,030321,SALVIA X SYL SNOW HILL,Salvia x sylvestris 'Snow Hill'                             ,Snow Hill Meadow Sage                                       
OR,035945,SAMBUCUS BLACK LACE TM PP15575,"Sambucus nigra 'Eva' P.P. #15,575, C.B.R. #2,633            ",Black Lace™  Elderberry
OR,019995,SAMBUCUS BLK BEAUTY TM PP12305,"Sambucus nigra 'Gerda' P.P. #12,305, C.B.R. #2,663          ",Black Beauty™  Elderberry
OR,070401,SANTOLINA CHAMAECYPARISSUS,Santolina chamaecyparissus                                  ,Lavender Cotton                                             
OR,076641,SAXIFRAGA FORT BERRY BRIGHT TM,Saxifraga fortunei 'Magenta'                                ,Berry Bright™  Saxifrage
OR,076731,SAXIFRAGA FORTUNEI PINK ELF R,Saxifraga fortunei                                          ,Pink Elf®  Saxifrage
OR,070971,SCABIOSA COL BUTTERFLY BLUE,Scabiosa columbaria 'Butterfly Blue'                        ,Butterfly Blue Pincushion Flower                            
OR,049955,SCHEFFLERA TAIW YUAN SHAN,Schefflera taiwaniana 'Yuan Shan'                           ,Yuan Shan Hardy Schefflera                                  
OR,043462,SCHIZOPHRAGMA ELLIP 8170 DJHV8,                                                            ,                                                            
OR,043465,SCHIZOPHRAGMA ELLIP 8170 DJHV8,                                                            ,                                                            
OR,071025,SCHIZOPHRAGMA HYD MOONLIGHT,Schizophragma hydrangeoides 'Moonlight'                     ,Moonlight Chinese Hydrangea Vine                            
OR,06501UT,SEDUM ACRE,Sedum acre                                                  ,Goldmoss Sedum                                              
OR,06500UT,SEDUM ALB C BABY TEARS,Sedum album chloroticum 'Baby Tears'                        ,Baby Tears Stonecrop                                        
OR,029141,SEDUM BLUE SPRUCE,Sedum reflexum 'Blue Spruce'                                ,Blue Spruce Stonecrop                                       
OR,070941,SEDUM BRONZE CARPET,Sedum spurium 'Bronze Carpet'                               ,Bronze Carpet Stonecrop                                     
OR,07094UT,SEDUM BRONZE CARPET,Sedum spurium 'Bronze Carpet'                               ,Bronze Carpet Stonecrop                                     
OR,03028UT,SEDUM DRAGON'S BLOOD,Sedum spurium 'Dragon's Blood'                              ,Dragon's Blood Stonecrop                                    
OR,092351,SEDUM ELSIE GOLD PP20368,"Sedum spectabile 'Elsie's Gold' P.P.#20,368                 ",Elsie's Gold Stonecrop                                      
OR,06505UT,SEDUM GLOBOSUM OLD MAN'S BONES,Sedum globosum 'Old Man's Bones'                            ,Old Man's Bones Stonecrop                                   
OR,01182UT,SEDUM JOHN CREECH,Sedum spurium 'John Creech'                                 ,John Creech Stonecrop                                       
OR,048261,SEDUM OREGANUM,Sedum oreganum                                              ,Oregon Stonecrop                                            
OR,044871,SEDUM RUP ANGELINA PPAF,Sedum rupestre 'Angelina'                                   ,Angelina Stonecrop                                          
OR,04487UT,SEDUM RUP ANGELINA PPAF,Sedum rupestre 'Angelina'                                   ,Angelina Stonecrop                                          
OR,063681,SEDUM SIEBOLDII,Sedum sieboldii                                             ,October Daphne Stonecrop                                    
OR,035171,SEDUM SPURIUM VOODOO,Sedum spurium 'Voodoo'                                      ,Voodoo Stonecrop                                            
OR,035174PTC,SEDUM SPURIUM VOODOO,Sedum spurium 'Voodoo'                                      ,Voodoo Stonecrop                                            
OR,03517UT,SEDUM SPURIUM VOODOO,Sedum spurium 'Voodoo'                                      ,Voodoo Stonecrop                                            
OR,087481,SEDUM SSPKLR R CHERRY TART PAF,Sedum 'Cherry Tart' P.P.A.F.                                ,Sunsparkler®  Cherry Tart Stonecrop
OR,412721,SEDUM SSPKLR R FIRE CRACKR PAF,Sedum 'Firecracker' P.P.A.F.                                ,SunSparkler®  Firecracker Sedum
OR,41272UT,SEDUM SSPKLR R FIRE CRACKR PAF,Sedum 'Firecracker' P.P.A.F.                                ,SunSparkler®  Firecracker Sedum
OR,007331,SEDUM SSPRKLR R DZLBRY PP22457,"Sedum 'Razzleberry' P.P.# 22,457                            ",Sunsparkler®  Dazzleberry Sedum
OR,00733UT,SEDUM SSPRKLR R DZLBRY PP22457,"Sedum 'Razzleberry' P.P.# 22,457                            ",Sunsparkler®  Dazzleberry Sedum
OR,007301,SEDUM SSPRKLR R LIME ZNGR PPAF,Sedum 'Lime Zinger' P.P.A.F.                                ,Sunsparkler®  Lime Zinger Sedum
OR,046311,SEDUM STRAWBERRIES & CREAM,Sedum x telephium 'Strawberries & Cream'                    ,Strawberries & Cream Stonecrop                              
OR,069871,SEDUM TETRACTINUM CORAL REEF,Sedum tetractinum 'Coral Reef'                              ,Chinese Sedum                                               
OR,057161,SEDUM X AUTUMN CHARM PP14421,"Sedum telephium 'Lajos' P.P.# 14,421                        ",Autumn Charm™  Stonecrop
OR,025041,SEDUM X AUTUMN FIRE,Sedum x 'Autumn Fire'                                       ,Autumn Fire Stonecrop                                       
OR,06550UT,SEMPERVIVUM ARACHNOIDEUM,Sempervivum arachnoideum                                    ,Cobweb Houseleek                                            
OR,06559UT,SEMPERVIVUM BLACK,Sempervivum 'Black'                                         ,Black Hens and Chicks                                       
OR,06560UT,SEMPERVIVUM GREEN WHEEL,Sempervivum 'Green Wheel'                                   ,Green Wheel Hens and Chicks                                 
OR,06561UT,SEMPERVIVUM KREBS DES ROSE,Sempervivum 'Krebs'                                         ,Krebs Desert Rose Hens and Chicks                           
OR,04491UT,SEMPERVIVUM RUBIKON,Sempervivum 'Rubikon'                                       ,Rubikon Hens & Chicks                                       
OR,05696UT,SEMPERVIVUM RUBY HEARTS,Sempervivum 'Ruby Hearts'                                   ,Ruby Hearts Hens and Chicks                                 
OR,071051,SKIMMIA JAPONICA-FEMALE,Skimmia japonica (Female)                                   ,Japanese Skimmia (Female)                                   
OR,071052,SKIMMIA JAPONICA-FEMALE,Skimmia japonica (Female)                                   ,Japanese Skimmia (Female)                                   
OR,071062,SKIMMIA JAPONICA-MALE,Skimmia japonica (Male)                                     ,Japanese Skimmia (Male)                                     
OR,071081,SKIMMIA REEVESIANA,Skimmia reevesiana                                          ,Reeves Skimmia                                              
OR,071082,SKIMMIA REEVESIANA,Skimmia reevesiana                                          ,Reeves Skimmia                                              
OR,071031,SOLIDAGO CROWN OF RAYS,Solidago 'Crown of Rays'                                    ,Crown Of Rays Goldenrod                                     
OR,071185,SORBUS HUPEHEN CORAL FIRE TM,Sorbus hupehensis 'Coral Fire'                              ,Coral Fire™  Mountain Ash
OR,075012S,SPIRAEA DBLPLAY R ARTIST PPAF,Spiraea japonica 'Galen' P.P.A.F.                           ,Double Play®  Artist Spirea
OR,075032S,SPIRAEA DBLPLAY R BIGBANG PPAF,Spiraea japonica 'Tracy' P.P.A.F.                           ,Double Play®  Big Bang Spirea
OR,408162S,SPIRAEA DBLPLAY R BL KZO TMPAF,Spiraea media 'Blue Kazoo'                                  ,Double Play®  Blue Kazoo Spirea
OR,071222,SPIRAEA JAP ALPINA,Spiraea japonica 'Alpina'                                   ,Daphne Spirea                                               
OR,071252,SPIRAEA JAP LITTLE PRINCESS,Spiraea japonica 'Little Princess'                          ,Little Princess Spirea                                      
OR,071302,SPIRAEA NIPPON SNOWMOUND,Spiraea nipponica 'Snowmound'                               ,Snowmound Spirea                                            
OR,071305,SPIRAEA NIPPON SNOWMOUND,Spiraea nipponica 'Snowmound'                               ,Snowmound Spirea                                            
OR,071152,SPIRAEA X ANTHONY WATERER,Spiraea x bumalda 'Anthony Waterer'                         ,Anthony Waterer Spirea                                      
OR,071155,SPIRAEA X ANTHONY WATERER,Spiraea x bumalda 'Anthony Waterer'                         ,Anthony Waterer Spirea                                      
OR,071175,SPIRAEA X GOLDFLAME,Spiraea x bumalda 'Goldflame'                               ,Goldflame Spirea                                            
OR,012091,STACHYS BIG EARS,Stachys byzantina 'Big Ears'                                ,Big Ears Lamb's Ear                                         
OR,012111,STACHYS SILVER CARPET,Stachys byzantina 'Silver Carpet'                           ,Silver Carpet Lamb's Ear                                    
OR,050655,STACHYURUS SAL SPARKLER R,Stachyurus salicifolia 'MonEmeri'                           ,Sparkler®  Willow-Leaf Stachyurus
OR,406721,STOKESIA LAEVIS BLUE DANUBE,Stokesia laevis 'Blue Danube'                               ,Blue Danube Aster                                           
OR,022511,STOKESIA LAEVIS PEACHIE'S PICK,Stokesia laevis 'Peachie's Pick'                            ,Peachie's Pick Stokes' Aster                                
OR,071735,STYRAX JAPONICUS,Styrax japonicus                                            ,Japanese Snowbell Tree                                      
OR,017665,SYMPH BRIGHT FANTASY TM P14570,Symphoricarpos 'Bokrabright' P.P.# 14570                    ,Bright Fantasy™  Snowberry
OR,086435,SYRINGA BLOOMERNG R DK PPL PAF,"Syringa x 'SMSJBP7' P.P.A.F., Can P.B.R.A.F.                ",Bloomerang®  Dark Purple Lilac
OR,074681S,SYRINGA BLOOMERNG R PUR P20575,"Syringa x 'Penda' P.P. #20,575, Can. P.P. 4071              ",Bloomerang®  Purple Lilac
OR,074682S,SYRINGA BLOOMERNG R PUR P20575,"Syringa x 'Penda' P.P. #20,575, Can. P.P. 4071              ",Bloomerang®  Purple Lilac
OR,072022,SYRINGA PATULA MISS KIM,Syringa pubescens subsp. patula 'Miss Kim'                  ,Miss Kim Korean Lilac                                       
OR,071801,SYRINGA V ANGEL WHITE,Syringa vulgaris 'Angel White' (Descanso Hybrid)            ,Angel White Lilac                                           
OR,071802,SYRINGA V ANGEL WHITE,Syringa vulgaris 'Angel White' (Descanso Hybrid)            ,Angel White Lilac                                           
OR,071791,SYRINGA V BLUE SKIES R,Syringa vulgaris 'Monore'                                   ,Blue Skies®  Lilac
OR,071795,SYRINGA V BLUE SKIES R,Syringa vulgaris 'Monore'                                   ,Blue Skies®  Lilac
OR,072151,SYRINGA V LAVENDER LADY,Syringa vulgaris 'Lavender Lady'                            ,Lavender Lady Lilac                                         
OR,072152,SYRINGA V LAVENDER LADY,Syringa vulgaris 'Lavender Lady'                            ,Lavender Lady Lilac                                         
OR,071901,SYRINGA V LUDWIG SPAETH,Syringa vulgaris 'Ludwig Spaeth'                            ,Ludwig Spaeth Lilac                                         
OR,072145,SYRINGA V PRESIDENT LINCOLN,Syringa vulgaris 'President Lincoln'                        ,President Lincoln Lilac                                     
OR,072161,SYRINGA V SENSATION,Syringa vulgaris 'Sensation'                                ,Sensation Lilac                                             
OR,072165,SYRINGA V SENSATION,Syringa vulgaris 'Sensation'                                ,Sensation Lilac                                             
OR,028425,SYRINGA X DECLARATION NA62975,Syringa x 'Declaration'                                     ,Declaration Lilac                                           
OR,072191,SYRINGA X HYA POCAHONTAS,Syringa x hyacinthiflora 'Pocahontas'                       ,Pocahontas Canadian Lilac                                   
OR,042191,SYRINGA X OLD GLORY NA62974,Syringa X Old Glory (N.A.# 62974)                           ,Old Glory Lilac                                             
OR,042192,SYRINGA X OLD GLORY NA62974,Syringa X Old Glory (N.A.# 62974)                           ,Old Glory Lilac                                             
OR,042195,SYRINGA X OLD GLORY NA62974,Syringa X Old Glory (N.A.# 62974)                           ,Old Glory Lilac                                             
OR,050115,TAXODIUM DIS PEVE MINARET,Taxodium distichum 'Peve Minaret'                           ,Peve Minaret Dwarf Bald Cypress                             
OR,028852,TAXUS X MED HUBERS TAWNY GOLD,Taxus x media 'Huber's Tawny Gold'                          ,Huber's Tawny Gold Spreading Yew                            
OR,012402,TAXUS X MEDIA BERRYHILLI,Taxus x media 'Berryhillii'                                 ,Berryhill Yew                                               
OR,012405,TAXUS X MEDIA BERRYHILLI,Taxus x media 'Berryhillii'                                 ,Berryhill Yew                                               
OR,072302,TAXUS X MEDIA BROWNII,Taxus x media 'Brownii'                                     ,Brown's Yew                                                 
OR,072305CN,TAXUS X MEDIA BROWNII,Taxus x media 'Brownii'                                     ,Brown's Yew                                                 
OR,072321,TAXUS X MEDIA DENSIFORMIS,Taxus x media 'Densiformis'                                 ,Dense Spreading Yew                                         
OR,072325,TAXUS X MEDIA DENSIFORMIS,Taxus x media 'Densiformis'                                 ,Dense Spreading Yew                                         
OR,07232M,TAXUS X MEDIA DENSIFORMIS,Taxus x media 'Densiformis'                                 ,Dense Spreading Yew                                         
OR,072331,TAXUS X MEDIA HICKSII,Taxus x media 'Hicksii'                                     ,Hicks Yew                                                   
OR,072332,TAXUS X MEDIA HICKSII,Taxus x media 'Hicksii'                                     ,Hicks Yew                                                   
OR,072335,TAXUS X MEDIA HICKSII,Taxus x media 'Hicksii'                                     ,Hicks Yew                                                   
OR,087055,THUJA KORAIENSIS,Thuja koraiensis                                            ,Korean Arborvitae                                           
OR,072942,THUJA OC DANICA,Thuja occidentalis 'Danica'                                 ,Danica Arborvitae                                           
OR,072812,THUJA OC DEGROOT'S SPIRE,Thuja occidentalis 'Degroot's Spire'                        ,Degroot's Spire Arborvitae                                  
OR,073011,THUJA OC EMERALD,Thuja occidentalis 'Smaragd'                                ,Emerald Green Arborvitae                                    
OR,073012,THUJA OC EMERALD,Thuja occidentalis 'Smaragd'                                ,Emerald Green Arborvitae                                    
OR,073015,THUJA OC EMERALD,Thuja occidentalis 'Smaragd'                                ,Emerald Green Arborvitae                                    
OR,073015SP,THUJA OC EMERALD,Thuja occidentalis 'Smaragd'                                ,Emerald Green Arborvitae                                    
OR,073019,THUJA OC EMERALD,Thuja occidentalis 'Smaragd'                                ,Emerald Green Arborvitae                                    
OR,07301M,THUJA OC EMERALD,Thuja occidentalis 'Smaragd'                                ,Emerald Green Arborvitae                                    
OR,047442,THUJA OC FIRE CHIEF TM P19009,"Thuja occidentalis 'Congabe' P.P. #19,009                   ",Fire Chief™  Globe Arborvitae
OR,072862,THUJA OC GOLDEN GLOBE,Thuja occidentalis 'Golden Globe'                           ,Golden Globe Arborvitae                                     
OR,072865,THUJA OC GOLDEN GLOBE,Thuja occidentalis 'Golden Globe'                           ,Golden Globe Arborvitae                                     
OR,055971,THUJA OC GOLDEN TUFFET,Thuja occidentalis 'Golden Tuffet'                          ,Golden Tuffet Arborvitae                                    
OR,055972,THUJA OC GOLDEN TUFFET,Thuja occidentalis 'Golden Tuffet'                          ,Golden Tuffet Arborvitae                                    
OR,055975PT,THUJA OC GOLDEN TUFFET,Thuja occidentalis 'Golden Tuffet'                          ,Golden Tuffet Arborvitae                                    
