Loc,Item,Description,Botanical Name,Common Name
OR,063231,OSMANTHUS HET GOSHIKI,Osmanthus heterophyllus 'Goshiki'                           ,Goshiki False Holly                                         
OR,063232,OSMANTHUS HET GOSHIKI,Osmanthus heterophyllus 'Goshiki'                           ,Goshiki False Holly                                         
OR,063232CN,OSMANTHUS HET GOSHIKI,Osmanthus heterophyllus 'Goshiki'                           ,Goshiki False Holly                                         
OR,063235,OSMANTHUS HET GOSHIKI,Osmanthus heterophyllus 'Goshiki'                           ,Goshiki False Holly                                         
OR,06323UT,OSMANTHUS HET GOSHIKI,Osmanthus heterophyllus 'Goshiki'                           ,Goshiki False Holly                                         
OR,077131,OSTEO AVALANCHE PP22705,"Osteospermum 'Avalanche' P.P. 22,705                        ",Avalanche White Sun Daisy                                   
OR,079331,OSTEO LAVENDER MIST R,Osteospermum sp Lavender Mist® ,Lavender Mist®  Sun Daisy
OR,079351,OSTEO PURPLE MOUNTAIN R,Osteospermum barberiae var. compactum Purple Mountain{{#174},Purple Mountain®  Sun Daisy
OR,063351,PACHYSANDRA TERM GREEN SHEEN,Pachysandra terminalis 'Green Sheen'                        ,Green Sheen Japanese Spurge                                 
OR,06335UT,PACHYSANDRA TERM GREEN SHEEN,Pachysandra terminalis 'Green Sheen'                        ,Green Sheen Japanese Spurge                                 
OR,093191,PACHYSANDRA WINDCLIFF FRAGRANT,Pachysandra axillaris 'Windcliff Fragrant'                  ,Windcliff Fragrant Pachysandra                              
OR,081521S,PARTH Q RED WALL TM PPAF,Parthenocissus quinquefolia 'Troki' P.P.A.F.                ,Red Wall™  Virginia Creeper
OR,081522S,PARTH Q RED WALL TM PPAF,Parthenocissus quinquefolia 'Troki' P.P.A.F.                ,Red Wall™  Virginia Creeper
OR,081525,PARTH Q RED WALL TM PPAF,Parthenocissus quinquefolia 'Troki' P.P.A.F.                ,Red Wall™  Virginia Creeper
OR,002505,PARTH TRI VEITCHII,Parthenocissus tricuspidata 'Veitchii'                      ,Boston Ivy                                                  
OR,409001,PENST ROCK CANDY TM PINK PPAF,Penstemon 'Novapenpin' P.P.A.F.                             ,Rock Candy™  Pink Penstemon
OR,409011,PENST ROCK CANDY TM PRPL PPAF,Penstemon 'Novapenpur' P.P.A.F.                             ,Rock Candy™  Purple Penstemon
OR,066811,PENSTEMON X PRETTY PETTICOAT,Penstemon x 'Pretty Petticoat'                              ,Pretty Petticoat Beardtongue                                
OR,064211,PEROVSKIA ATRIPLICIFOLIA,Perovskia atriplicifolia                                    ,Russian Sage                                                
OR,064212,PEROVSKIA ATRIPLICIFOLIA,Perovskia atriplicifolia                                    ,Russian Sage                                                
OR,064215,PEROVSKIA ATRIPLICIFOLIA,Perovskia atriplicifolia                                    ,Russian Sage                                                
OR,405201,PHLOX PAN BUBBLEGUM PINK,"Phlox paniuculata 'DITOFRA' P.P.# 21,171                    ",Candy Store®  Bubblegum Pink™  Phlox
OR,405221,PHLOX PAN CORAL CREME DROP,"Phlox paniculata 'Ditomdre' P.P.# 20,907                    ",Candy Store®  Coral Cr{{#232}}me Drop Garden Phlox
OR,405231,PHLOX PAN GRAPE LOLLIPOP,"Phlox paniculata 'Ditomsur' P.P.# 21,171                    ",Candy Store®  Grape Lollipop™  Phlox
OR,064341,PHLOX SUB CANDY STRIPE,Phlox subulata 'Candy Stripe'                               ,Candy Stripe Creeping Phlox                                 
OR,06445UT,PHLOX SUB EMERALD BLUE,Phlox subulata 'Emerald Blue'                               ,Emerald Blue Creeping Phlox                                 
OR,06460UT,PHLOX SUB RED WINGS,Phlox subulata 'Red Wings'                                  ,Red Wings Creeping Phlox                                    
