Loc,Item,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,,
CT,023891,ASTER WOOD'S BLUE,Aster novi-belgii 'Wood's Blue'                             ,Wood's Blue New York Aster                                  ,,,,,,,,,,,,,,,,,
CT,001531,ASTER WOOD'S PINK,Aster novi-belgii 'Wood's Pink'                             ,Woods Pink New York Aster                                   ,,,,,,,,,,,,,,,,,
CT,412541,ASTILBE DELFT LACE,"Astilbe 'Delft Lace' P.P.# 19,839                           ",Delft Lace Astilbe                                          ,,,,,,,,,,,,,,,,,
CT,003502,ASTILBE FANAL,Astilbe x arendsii 'Fanal'                                  ,Fanal Astilbe                                               ,,,,,,,,,,,,,,,,,
CT,00350UT,ASTILBE FANAL,Astilbe x arendsii 'Fanal'                                  ,Fanal Astilbe                                               ,,,,,,,,,,,,,,,,,
CT,001631,ASTILBE HENNIE GRAAFLAND,Astilbe simplicifolia 'Hennie Graafland'                    ,Hennie Graafland Star Astilbe                               ,,,,,,,,,,,,,,,,,
CT,003531,ASTILBE SPRITE,Astilbe simplicifolia 'Sprite'                              ,Sprite Dwarf Astilbe                                        ,,,,,,,,,,,,,,,,,
CT,00353UT,ASTILBE SPRITE,Astilbe simplicifolia 'Sprite'                              ,Sprite Dwarf Astilbe                                        ,,,,,,,,,,,,,,,,,
CT,017601,ASTILBE VISION IN WHITE P18965,"Astilbe chinensis 'Vision In White P.P. #18,965             ",Vision in White Astilbe                                     ,,,,,,,,,,,,,,,,,
CT,023191,ASTRANTIA ABBEY ROAD PP14961,Astrantia major 'Abbey Road' P.P.# 14961                    ,Abbey Road Masterwort                                       ,,,,,,,,,,,,,,,,,
CT,400863,AZALEA EX ARNESON RUBY,Azalea 'Arneson Ruby'                                       ,Arneson Ruby Azalea                                         ,,,,,,,,,,,,,,,,,
CT,400982S,AZALEA LAVENDER JANE TM,Azalea x 'HOMLED' P.P.A.F.                                  ,Lavender Jane™  Azalea,,,,,,,,,,,,,,,,,
CT,400873,AZALEA NL CANDY LIGHTS PPAF,Azalea x 'Candy Lights' (P.P.A.F.)                          ,Candy Lights™  Deciduous Azalea,,,,,,,,,,,,,,,,,
CT,400883,AZALEA NL LEMON LIGHTS,                                                            ,                                                            ,,,,,,,,,,,,,,,,,
CT,008363,AZALEA NL MANDARIN LIGHTS,Azalea x 'Mandarin Lights' (Northern Lights Hybrid)         ,Mandarin Lights Azalea                                      ,,,,,,,,,,,,,,,,,
CT,400903,AZALEA NL TRI-LIGHTS TM PPAF,                                                            ,                                                            ,,,,,,,,,,,,,,,,,
CT,401003,AZALEA POUKHANENSE COMP,Azalea yedoense var. poukhanense 'Compacta'                 ,Compact Korean Azalea                                       ,,,,,,,,,,,,,,,,,
CT,401012S,AZALEA PURE WHITE JULIA TM,Azalea x 'HOMLEA' P.P.A.F.                                  ,Pure White Julia™  Azalea,,,,,,,,,,,,,,,,,
CT,402581S,BAM-FARGESIA SCABRIDA,Fargesia scabrida                                           ,Scabrida Bamboo                                             ,,,,,,,,,,,,,,,,,
CT,074742S,BER SUNJOY R GOLD PILLAR PPAF,"Berberis thunbergii 'Maria' P.P. #18,082                    ",Sunjoy®  Gold Pillar Barberry,,,,,,,,,,,,,,,,,
