Loc,Order#,PO#,Request Date,Item,Size,Description,Product,Zone,Common Name,New Plant,Catalog Price      ,Price Code,Net Price     ,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Date Ready,Condition,Current Specs,Plant Status,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
OR,1469683,2015 SPRING SBO               ,06/01/15  ,035601,#1,GEUM COCC WERNER ARENDS,PRN,04,Werner Arends Avens                                                                                 ,    ,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,Now         ,CUT BACK,CAN FULL,PS1*,1.08 , 5.25 ,     ,, 11.99 ,014949260562 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,022585,#5,GR-CAREX BUCHANANII,GRS,05,Fox Red Curly Sedge                                                                                 ,    ,18.75 ,,15.94 , 5 , 5 , 79.70 ,     ,     ,     ,Now         ,-,"20""H",,5.63 , 21.57 ,     ,, 33.99 ,014949225851 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,031942,#2,GR-ELYMUS ARENARIUS BLUE DUNE,GRS,04,Blue Dune Lyme Grass                                                                                ,    ,14.25 ,,12.11 , 5 , 3 , 36.33 ,     ,     ,     ,Now         ,-,"8""H",,2.82 , 14.93 ,     ,, 24.99 ,014949319420 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,036671,#1,GR-FESTUCA GLAUCA ELIJAH BLUE,GRS,04,Elijah Blue Fescue                                                                                  ,    ,6.00 ,,5.10 , 10 , 10 , 51.00 ,     ,     ,     ,03/01/15    ,-,,,1.13 , 6.23 ,     ,, 13.99 ,014949366714 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,038681,#1,GR-HAKONECHLOA MACRA AUREOLA,GRS,04,Golden Japanese Forest Grass                                                                        ,    ,8.50 ,,7.23 , 10 , 40 , 289.20 ,     ,     ,     ,Now         ,CUT BACK,2/3 CAN FULL,,1.08 , 8.31 ,     ,, 17.99 ,014949386811 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,061562,#2,GR-MIS SIN GRACILLIMUS,GRS,05,Maiden Grass                                                                                        ,    ,14.25 ,,12.11 , 5 , 5 , 60.55 ,     ,     ,     ,Now         ,PLUMES,"14""H",,2.82 , 14.93 ,     ,, 31.99 ,014949615621 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,061565,#5,GR-MIS SIN GRACILLIMUS,GRS,05,Maiden Grass                                                                                        ,    ,18.75 ,,15.94 , 5 , 4 , 63.76 ,     ,     ,     ,Now         ,PLUMES,"22""H",,5.63 , 21.57 ,     ,, 33.99 ,014949615652 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,061662,#2,GR-MIS SIN MORNING LIGHT,GRS,05,Morning Light Maiden Grass                                                                          ,    ,14.25 ,,12.11 , 5 , 5 , 60.55 ,     ,     ,     ,Now         ,FALL COLOR,"9""H",,2.82 , 14.93 ,     ,, 31.99 ,014949044377 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,061642,#2,GR-MIS SIN YAKUSHIMA,GRS,05,Dwarf Maiden Grass                                                                                  ,    ,14.25 ,,12.11 , 5 , 5 , 60.55 ,     ,     ,     ,Now         ,PLUMES,"9""H",,2.82 , 14.93 ,     ,, 31.99 ,014949616420 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,061795,#5,GR-PAN VIR HEAVY METAL,GRS,04,Heavy Metal Blue Switch Grass                                                                       ,    ,18.75 ,,15.94 , 5 , 5 , 79.70 ,     ,     ,     ,Now         ,DORMANT,"24""H *",,5.63 , 21.57 ,     ,, 33.99 ,014949617953 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,064261,#1,GR-PENN ALO HAMELN,GRS,04,Dwarf Fountain Grass                                                                                ,    ,6.50 ,,5.53 , 10 , 10 , 55.30 ,     ,     ,     ,Now         ,PLUMES,CAN FULL,,1.13 , 6.66 ,     ,, 14.99 ,014949642610 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,064271,#1,GR-PENN SET RUBRUM,GRS,08,Purple Fountain Grass                                                                               ,    ,6.25 ,,5.31 , 10 , 25 , 132.75 ,     ,     ,     ,Now         ,-,"10""H",,1.13 , 6.44 ,     ,, 13.99 ,014949642719 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,023101,#1,HEUCHERA FROSTED VIOLET P15085,PRN,04,Frosted Violet Coral Bells                                                                          ,    ,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,04/01/15    ,-,,PS1,1.08 , 5.25 ,     ,, 13.99 ,014949043059 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,037541,#1,HEUCHERA OBSIDIAN PP14836,PRN,04,Obsidian Coral Bells                                                                                ,    ,7.85 ,,6.67 , 10 , 12 , 80.04 ,     ,     ,     ,04/01/15    ,,,PS0,0.52 , 7.19 ,     ,, 11.99 ,014949249277 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,036691,#1,HEUCHERA ROSE MAJESTY PP17414,PRN,04,Rose Majesty Coral Bells                                                                            ,    ,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,04/01/15    ,-,,PS1,1.08 , 5.25 ,     ,, 14.99 ,014949214923 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,046641,#1,HEUCHERA VIL CARAMEL PP16560,PRN,04,Caramel Coral Bells                                                                                 ,    ,7.85 ,,6.67 , 10 , 12 , 80.04 ,     ,     ,     ,04/01/15    ,,,PS0,0.52 , 7.19 ,     ,, 10.99 ,014949273562 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,083992,#2,HIB SYR BLUE BIRD-GRAFTED,DCS,05,Blue Bird Rose Of Sharon                                                                            ,    ,18.00 ,,15.30 , 5 , 6 , 91.80 ,     ,     ,     ,04/01/15    ,-,,,2.82 , 18.12 ,     ,, 35.99 ,014949006382 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,403531,#1,HOSTA BLUE MOUSE EARS,PRN,03,Blue Mouse Ears Hosta                                                                               ,    ,5.50 ,,4.68 , 10 , 12 , 56.16 ,     ,     ,     ,Now         ,-,,PS0,0.52 , 5.20 ,     ,, 10.99 ,014949392096 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,017491,#1,HOSTA FIRE & ICE,PRN,04,Fire And Ice Plantain Lily                                                                          ,    ,6.75 ,,5.74 , 10 , 10 , 57.40 ,     ,     ,     ,04/01/15    ,,,PS0,1.08 , 6.82 ,     ,, 15.99 ,014949004296 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,017491,#1,HOSTA FIRE & ICE,PRN,04,Fire And Ice Plantain Lily                                                                          ,    ,5.50 ,,4.68 , 10 , 12 , 56.16 ,     ,     ,     ,04/15/15    ,,,PS0,0.52 , 5.20 ,     ,, 15.99 ,014949004296 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,403641,#1,HOSTA SO SWEET,PRN,03,So Sweet Hosta                                                                                      ,    ,5.50 ,,4.68 , 10 , 6 , 28.08 ,     ,     ,     ,05/01/15    ,,,PS0,0.52 , 5.20 ,     ,, 10.99 ,014949392218 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,074522S,SuperTwo,HYD ARB INCREDIBALL R PP20571,DCS,03,Incrediball®  Smooth Hydrangea                                                                      ,2011,17.00 ,,14.45 , 5 , 15 , 216.75 ,     ,     ,     ,Now         ,-,14''H - 12''S,,3.60 , 18.05 ,     ,, 37.99 ,014949336069 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,035023,#3,HYD END SUM R BLSH BRID P17169,DCS,05,Endless Summer®  Blushing Bride Hydrangea                                                           ,    ,21.00 ,,17.85 , 5 , 10 , 178.50 ,     ,     ,     ,Now         ,DORMANT,,,1.38 , 19.23 ,     ,, 39.99 ,014949404263 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,403883,#3,HYD END SUM R TWST-N-SHT R PAF,DCS,04,Twist-n-Shout™  Endless Summer®  Hydrangea                                                          ,    ,21.00 ,,17.85 , 5 , 10 , 178.50 ,     ,     ,     ,Now         ,,,,1.38 , 19.23 ,     ,,     ,014949392423 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,092752,#2,HYD M BLUE ENCHANTRESS R PPAF,DCS,05,Blue Enchantress®  Hydrangea                                                                        ,2013,17.00 ,,14.45 , 5 , 10 , 144.50 ,     ,     ,     ,Now         ,-,"10''H -10""S",,2.82 , 17.27 ,     ,,     ,014949370643 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,017313,#3,HYD M ENDLESS SUMMER R PP15298,DCS,04,Endless Summer®  Hydrangea                                                                          ,    ,21.00 ,,17.85 , 5 , 15 , 267.75 ,     ,     ,     ,Now         ,-,"14""H - 18""W",,1.38 , 19.23 ,     ,,     ,014949057285 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,074562S,SuperTwo,HYD MAC CTYLN TM PARIS PP10906,DCS,05,Cityline®  Paris Bigleaf Hydrangea                                                                  ,2011,17.00 ,,14.45 , 5 , 5 , 72.25 ,     ,     ,     ,Now         ,-,"8""H - 12""S",,3.76 , 18.21 ,     ,, 37.99 ,014949338230 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,074542S,SuperTwo,HYD MAC CTYLN TM RIO,DCS,05,Cityline®  Rio Bigleaf Hydrangea                                                                    ,2011,17.00 ,,14.45 , 5 , 5 , 72.25 ,     ,     ,     ,Now         ,-,"10""H - 12""S",,3.76 , 18.21 ,     ,, 37.99 ,014949338223 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,074592S,SuperTwo,HYD MAC LD R MOONLIGHT PP20020,DCS,05,Let's Dance®  Moonlight Hydrangea                                                                   ,2011,17.00 ,,14.45 , 5 , 5 , 59.50 ,     ,     ,     ,Now         ,-,12''H - 14''S,,3.60 , 18.05 ,     ,, 37.99 ,014949336229 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,074592S,SuperTwo,HYD MAC LD R MOONLIGHT PP20020,DCS,05,Let's Dance®  Moonlight Hydrangea                                                                   ,2011,17.00 ,,14.45 , 5 , 5 , 72.25 ,     ,     ,     ,Now         ,-,"12""H - 12""S",,3.76 , 18.21 ,     ,, 37.99 ,014949336229 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,074582S,SuperTwo,HYD MAC LD R STARLIGHT PP20019,DCS,05,Let's Dance®  Starlight Bigleaf Hydrangea                                                           ,2011,17.00 ,,14.45 , 5 , 5 , 59.50 ,     ,     ,     ,Now         ,-,14''H - 12''S,,3.60 , 18.05 ,     ,, 37.99 ,014949336205 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,074582S,SuperTwo,HYD MAC LD R STARLIGHT PP20019,DCS,05,Let's Dance®  Starlight Bigleaf Hydrangea                                                           ,2011,17.00 ,,14.45 , 5 , 5 , 72.25 ,     ,     ,     ,Now         ,-,"10""H - 12""S",,3.76 , 18.21 ,     ,, 37.99 ,014949336205 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,041965,#5,HYD MAC NIKKO BLUE,DCS,05,Nikko Blue Hydrangea                                                                                ,    ,19.25 ,,16.36 , 5 , 5 , 81.80 ,     ,     ,     ,Now         ,-,"15""H - 15""S",,5.63 , 21.99 ,     ,,     ,014949419656 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,089932S,SuperTwo,HYD MAC PARAPLU TM PPAF,DCS,05,Paraplu®  Bigleaf Hydrangea                                                                         ,New ,17.00 ,,14.45 , 5 , 5 , 72.25 ,     ,     ,     ,Now         ,-,"12""H - 12""S",,3.60 , 18.05 ,     ,,     ,014949372760 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,042072,#2,HYD MAC PINK ELF R (PIA),DCS,05,Pink Elf®  French Hydrangea                                                                         ,    ,16.00 ,,13.60 , 5 , 10 , 136.00 ,     ,     ,     ,Now         ,-,"8""H - 12""S",,2.82 , 16.42 ,     ,, 35.99 ,014949420720 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,041981,#1,HYD MAC RED N PRETTY R,DCS,05,Red 'N Pretty®  Hydrangea                                                                           ,    ,7.00 ,,5.95 , 10 , 10 , 59.50 ,     ,     ,     ,Now         ,-,"10""H - 10S",,1.13 , 7.08 ,     ,,     ,014949419816 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,089951S,SuperOne TM,HYD P LITTLE QUICK FIRE R PPAF,DCS,03,Little Quick Fire™  Hardy Hydrangea                                                                 ,New ,10.50 ,,8.93 , 10 , 5 , 44.65 ,     ,     ,     ,02/01/15    ,-,,,1.88 , 10.81 ,     ,,     ,014949372807 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,089941S,SuperOne TM,HYD PAN FIRE LIGHT TM PPAF,DCS,03,Fire Light™  Hardy Hydrangea                                                                        ,New ,10.50 ,,8.93 , 10 , 10 , 89.30 ,     ,     ,     ,Now         ,FALL COLOR,"12""H - 12""S",,1.88 , 10.81 ,     ,,     ,014949372777 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,029923S,Super 3,HYD PAN LITTLE LIME PPAF,DCS,03,Little Lime™  Hardy Hydrangea                                                                       ,    ,17.75 ,,15.09 , 5 , 5 , 75.45 ,     ,     ,     ,Now         ,-,"24"" X28"" S",,1.38 , 16.47 ,     ,, 33.99 ,014949414613 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,035011,#1 STAKED,HYD PET MIRANDA,VIN,04,Miranda Climbing Hydrangea                                                                          ,2009,8.25 ,,7.01 , 10 , 10 , 70.10 ,     ,     ,     ,Now         ,-,3/4 STK,,1.08 , 8.09 ,     ,, 17.99 ,014949072813 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,041702,#2 STAKED,HYD PETIOLARIS,VIN,05,Climbing Hydrangea                                                                                  ,    ,19.00 ,,16.15 , 5 , 5 , 80.75 ,     ,     ,     ,Now         ,-,FULL STK,,2.70 , 18.85 ,     ,, 40.99 ,014949417027 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,042562,#2,HYD QUER PEE WEE,DCS,05,Pee Wee Oak Leaf Hydrangea                                                                          ,    ,14.50 ,,12.33 , 5 , 5 , 61.65 ,     ,     ,     ,Now         ,-,12''H - 14''S,,2.70 , 15.03 ,     ,, 32.99 ,014949425626 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,090981,#1,IBERIS SEMP PURITY,PRN,05,Purity Candytuft                                                                                    ,    ,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,04/01/15    ,,,PS0,1.08 , 5.25 ,     ,, 11.99 ,014949909812 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,044011,#1,IRIS EN VARIEGATA,PRN,04,Variegated Japanese Water Iris                                                                      ,    ,6.95 ,,5.91 , 10 , 10 , 59.10 ,     ,     ,     ,Now         ,CUT BACK,.,PS0,1.08 , 6.99 ,     ,, 15.99 ,014949440117 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,046471,#1,IRIS SIB ERIC THE RED,PRN,04,Eric The Red Siberian Iris                                                                          ,    ,5.75 ,,4.89 , 10 , 10 , 48.90 ,     ,     ,     ,Now         ,CUT BACK,.,PS0,1.08 , 5.97 ,     ,, 13.99 ,014949464724 
CA,1469107,2015 SPRING SBO               ,04/29/15  ,071781,#1,JASMINUM SAMBAC,EVS,09,Arabian Jasmine                                                                                     ,2011,7.50 ,,6.38 , 10 , 23 , 146.74 ,     ,     ,     ,Now         ,-,"6""H-8""S",,1.13 , 7.51 ,     ,, 15.99 ,014949329689 
CA,1469107,2015 SPRING SBO               ,04/29/15  ,071782,#2,JASMINUM SAMBAC,EVS,09,Arabian Jasmine                                                                                     ,2011,16.50 ,,14.03 , 5 , 10 , 140.30 ,     ,     ,     ,Now         ,-,"12""H-12""S",,2.82 , 16.85 ,     ,, 35.99 ,014949329696 
CA,1469107,2015 SPRING SBO               ,04/29/15  ,048005OP,#5 ORIENTAL POMPON,JUN C MINT JULEP R,CON,03,Mint Julep®  Juniper                                                                                ,    ,76.00 ,,64.60 , 2 , 2 , 129.20 ,     ,     ,     ,Now         ,-,"56""H",,8.45 , 73.05 ,     ,, 142.99 ,014949480953 
CA,1469107,2015 SPRING SBO               ,04/29/15  ,047307,#7,JUN C SPARTAN,CON,05,Spartan Juniper                                                                                     ,    ,59.00 ,,50.15 , 2 , 2 , 100.30 ,     ,     ,     ,Now         ,-,"60""H",,14.09 , 64.24 ,     ,, 99.99 ,014949473078 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,050902,#2,JUN PRO NANA,CON,04,Dwarf Japanese Garden Juniper                                                                       ,    ,13.25 ,,11.26 , 5 , 5 , 56.30 ,     ,     ,     ,Now         ,-,"14""S",,2.70 , 13.96 ,     ,, 29.99 ,014949509029 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,053391,#1,JUN SQUA BLUE STAR,CON,04,Blue Star Juniper                                                                                   ,    ,6.25 ,,5.31 , 10 , 10 , 53.10 ,     ,     ,     ,Now         ,-,"10""S",,1.08 , 6.39 ,     ,, 13.99 ,014949533918 
CA,1469107,2015 SPRING SBO               ,04/29/15  ,05365M,#10 Squat,JUN V BLUE ARROW,CON,04,Blue Arrow Juniper                                                                                  ,    ,65.00 ,,55.25 , 2 , 2 , 110.50 ,     ,     ,     ,Now         ,-,"56""H - 14""S",,20.29 , 75.54 ,     ,, 149.99 ,014949536582 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,009081,#1,LAMIUM ORCHID FROST PP11122,PRN,04,Orchid Frost Spotted Dead Nettle                                                                    ,    ,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,Now         ,CUT BACK,CAN FULL,PS1,1.08 , 5.25 ,     ,, 11.99 ,014949053553 
CA,1469107,2015 SPRING SBO               ,04/29/15  ,057291,#1,LAURUS NOBILIS,EVS,08,Sweet Bay                                                                                           ,    ,7.00 ,,5.95 , 10 , 20 , 119.00 ,     ,     ,     ,04/01/15    ,-,,,1.13 , 7.08 ,     ,, 14.99 ,014949572917 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,020772,#2,LEPTODERMIS OBLONGA,DCS,05,Himalayan Leptodermis                                                                               ,    ,15.00 ,,12.75 , 5 , 5 , 63.75 ,     ,     ,     ,Now         ,DORMANT,"12""H - 12""S",,2.82 , 15.57 ,     ,, 34.99 ,014949064566 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,059271,#1 STAKED,LONICERA X BRO DROPMORE SCARLT,VIN,04,Dropmore Scarlet Trumpet Honeysuckle                                                                ,    ,8.00 ,,6.80 , 10 , 15 , 102.00 ,     ,     ,     ,Now         ,-,"24""H",,1.13 , 7.93 ,     ,, 16.99 ,014949592717 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,402725,#5,MALUS URBN BLUSH DELITE P21511,TRE,04,'Urban Blushing Delight Columnar Apple                                                              ,    ,42.00 ,,35.70 , 5 , 5 , 178.50 ,     ,     ,     ,Now         ,,,,2.74 , 38.44 ,     ,, 79.99 ,014949394793 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,402755,#5,MALUS X URBAN TASTY RED,TRE,04,'Urban Tasty Red' Columnar Apple                                                                    ,    ,42.00 ,,35.70 , 5 , 5 , 178.50 ,     ,     ,     ,Now         ,,,,2.74 , 38.44 ,     ,, 79.99 ,014949395004 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,016252,#2,PAEONIA X BOWL OF CREAM (WT),PRN,04,Bowl Of Cream Double Herbaceous Peony                                                               ,    ,19.50 ,,16.58 , 5 , 5 , 82.90 ,     ,     ,     ,Now         ,CUT BACK,5+ EYES,,2.70 , 19.28 ,     ,, 39.99 ,014949162521 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,050282,#2,PAEONIA X BUCKEYE BELLE (RED),PRN,04,Buckeye Belle Herbaceous Peony                                                                      ,2009,19.50 ,,16.58 , 5 , 5 , 82.90 ,     ,     ,     ,03/01/15    ,CUT BACK,,,2.70 , 19.28 ,     ,, 39.99 ,014949269336 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,063742,#2,PAEONIA X KANSAS (RED),PRN,04,Kansas Double Peony                                                                                 ,    ,19.50 ,,16.58 , 5 , 5 , 82.90 ,     ,     ,     ,Now         ,CUT BACK,5+ EYES,,2.70 , 19.28 ,     ,, 39.99 ,014949637425 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,046212,#2,PAEONIA X LADY ORCHID (PINK),PRN,04,Lady Orchid Peony                                                                                   ,    ,19.50 ,,16.58 , 5 , 5 , 82.90 ,     ,     ,     ,Now         ,CUT BACK,5+ EYES,PS3*,2.70 , 19.28 ,     ,, 42.99 ,014949240373 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,063762,#2,PAEONIA X SHIRLEY TEMPLE (WT),PRN,04,Shirley Temple Double Peony                                                                         ,    ,19.50 ,,16.58 , 5 , 5 , 82.90 ,     ,     ,     ,Now         ,CUT BACK,5  EYES,,2.70 , 19.28 ,     ,, 42.99 ,014949637623 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,002501,#1 STAKED,PARTH TRI VEITCHII,VIN,04,Boston Ivy                                                                                          ,    ,8.75 ,,7.44 , 10 , 10 , 74.40 ,     ,     ,     ,Now         ,-,"18""H",,1.13 , 8.57 ,     ,, 18.99 ,014949025017 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,002505,#5 STAKED,PARTH TRI VEITCHII,VIN,04,Boston Ivy                                                                                          ,    ,28.50 ,,24.23 , 5 , 5 , 121.15 ,     ,     ,     ,Now         ,FALL COLOR,"36""H",,5.63 , 29.86 ,     ,, 63.99 ,014949025055 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,064341,#1,PHLOX SUB CANDY STRIPE,PRN,03,Candy Stripe Creeping Phlox                                                                         ,    ,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,Now         ,-,CAN FULL,PS2,1.08 , 5.25 ,     ,,     ,014949643419 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,06462MSP,#10 Squat SPIRAL,PICEA GL CONICA,CON,02,Dwarf Alberta Spruce                                                                                ,    ,107.00 ,,90.95 , 2 , 2 , 181.90 ,     ,     ,     ,Now         ,-,"54"" H",,19.46 , 110.41 ,     ,, 219.99 ,014949651179 
OR,1469683,2015 SPRING SBO               ,05/13/15  ,064621,#1,PICEA GL CONICA,CON,02,Dwarf Alberta Spruce                                                                                ,    ,8.00 ,,6.80 , 10 , 10 , 68.00 ,     ,     ,     ,Now         ,-,"15""H- 8""S",,1.08 , 7.88 ,     ,, 16.99 ,014949646212 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,036561,#1,POLE STAIRWAY TO HEAVEN P15187,PRN,03,Stairway To Heaven Jacob's Ladder                                                                   ,    ,6.35 ,,5.40 , 10 , 10 , 54.00 ,     ,     ,     ,Now         ,-,CAN FULL,PS2,1.08 , 6.48 ,     ,, 14.99 ,014949213230 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,009202,#2,RHOD (H-2) CUNNINGHAM'S WHITE,RHO,05,Cunningham's White Rhododendron                                                                     ,    ,17.50 ,,14.88 , 5 , 5 , 74.40 ,     ,     ,     ,Now         ,BUDS,14''H - 12''S,,2.70 , 17.58 ,     ,, 37.99 ,014949092026 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,010252,#2,RHOD (H-2) TRILBY,RHO,05,Trilby Rhododendron                                                                                 ,    ,17.50 ,,14.88 , 5 , 5 , 74.40 ,     ,     ,     ,Now         ,BUDS,"16""H - 14""S",,2.70 , 17.58 ,     ,, 37.99 ,014949102527 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,069332PT,#2 PATIO TREE,ROSA AUTUMN SUNBLAZE R P9652,ROS,05,Autumn Sunblaze®  Miniature Rose                                                                    ,    ,24.00 ,,20.40 , 5 , 1 , 20.40 ,     ,     ,     ,Now         ,LIGHT BUD & BLOOM,10''S,,4.23 , 24.63 ,     ,,     ,014949693322 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,098552S,SuperTwo,ROSA DRIFT R CORAL PP19148,ROS,04,Coral Drift®  Groundcover Rose                                                                      ,New ,14.50 ,,12.33 , 5 , 10 , 123.30 ,     ,     ,     ,04/15/15    ,,,,0.99 , 13.32 ,     ,, 26.99 ,014949384282 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,022642S,SuperTwo,ROSA DRIFT R RED PP17877,ROS,04,Red Drift®  Groundcover Rose                                                                        ,New ,14.50 ,,12.33 , 5 , 10 , 123.30 ,     ,     ,     ,Now         ,,,,0.99 , 13.32 ,     ,, 26.99 ,014949384299 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,036292,#2,ROSA FLWR CAR R AMBER PPAF,ROS,04,Flower Carpet®  Amber Groundcover Rose                                                              ,2009,15.50 ,,13.18 , 5 , 10 , 131.80 ,     ,     ,     ,Now         ,-,"6""H - 12""S",,2.70 , 15.88 ,     ,, 33.99 ,014949211762 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,036292,#2,ROSA FLWR CAR R AMBER PPAF,ROS,04,Flower Carpet®  Amber Groundcover Rose                                                              ,2009,15.50 ,,13.18 , 5 , 10 , 131.80 ,     ,     ,     ,Now         ,LIGHT BUD & BLOOM,"10""H - 12""S",,2.82 , 16.00 ,     ,, 33.99 ,014949211762 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,036382,#2,ROSA FLWR CAR R PNK SUP P16276,ROS,04,Flower Carpet®  Pink Supreme Ground Cover Rose                                                      ,    ,15.50 ,,13.18 , 5 , 10 , 131.80 ,     ,     ,     ,Now         ,BUDS & BLOOMS,"6""H - 10""S",,2.82 , 16.00 ,     ,,     ,014949212547 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,071602,#2,ROSA FLWR CAR R RED P11308,ROS,04,Flower Carpet®  Red Groundcover Rose                                                                ,    ,15.50 ,,13.18 , 5 , 10 , 131.80 ,     ,     ,     ,Now         ,LIGHT BUD & BLOOM,6''H - 10''S,,2.82 , 16.00 ,     ,,     ,014949716021 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,036312,#2,ROSA FLWR CAR R SCARLET P17373,ROS,05,Flower Carpet®  Scarlet Groundcover Rose                                                            ,    ,15.50 ,,13.18 , 5 , 10 , 131.80 ,     ,     ,     ,Now         ,-,"6""H - 12""S",,2.70 , 15.88 ,     ,, 33.99 ,014949211779 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,036312,#2,ROSA FLWR CAR R SCARLET P17373,ROS,05,Flower Carpet®  Scarlet Groundcover Rose                                                            ,    ,15.50 ,,13.18 , 5 , 10 , 131.80 ,     ,     ,     ,Now         ,LIGHT BUD & BLOOM,7''H - 10''S,,2.82 , 16.00 ,     ,, 33.99 ,014949211779 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,018242,#2,ROSA FLWR CAR R YELLOW PP13869,ROS,04,Flower Carpet®  Yellow Rose                                                                         ,    ,15.50 ,,13.18 , 5 , 10 , 131.80 ,     ,     ,     ,05/01/15    ,-,,,2.70 , 15.88 ,     ,, 33.99 ,014949011010 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,018242,#2,ROSA FLWR CAR R YELLOW PP13869,ROS,04,Flower Carpet®  Yellow Rose                                                                         ,    ,15.50 ,,13.18 , 5 , 10 , 131.80 ,     ,     ,     ,Now         ,LIGHT BUD & BLOOM,"10""H - 10""S",,2.82 , 16.00 ,     ,, 33.99 ,014949011010 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,069382PT,#2 PATIO TREE,ROSA GOLDEN SUNBLAZE R P8493,ROS,05,Golden Sunblaze®  Miniature Rose                                                                    ,    ,24.00 ,,20.40 , 5 , 5 , 102.00 ,     ,     ,     ,Now         ,LIGHT BUD & BLOOM,12''s,,4.23 , 24.63 ,     ,,     ,014949693827 
