Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Qty Cfm,END CAP AVAIL,YOUR BOOKED QTY REMAIN,Condition,Current Specs,"QTY 
AVAIL NOW","2ND 
QTY 
AVAIL","2ND 
QTY 
READY DATE",2014 List Price,"YOUR 
20%
DISC PRICE",Freight,Landed Price,YOUR RETAIL PRICE,SKU,UPC#,,,
CA,    ,059101,#1 BUSH,LONICERA JAP PURPUREA,Purple-Leaf Japanese Honeysuckle                            ,VIN,06,     ,,,-,"8""H - 10""S"," 1,061 ",     ,          , 6.25 , 5.00 , 0.49 , 5.49 ,     ,,014949591017,,,
CA,2013,086361S,SuperOne TM,LONICERA P SCENTSATION PP16240,Scentsation Honeysuckle                                     ,VIN,04,     ,,,LIGHT BUDS,24''H, 162 , 218 ,04/01/14  , 8.75 , 7.00 , 0.82 , 7.82 ,     ,,014949369982,,,
OR,    ,059181S,SuperOne TM,LONICERA PER BERRIES JUBILEE R,Berries Jubilee®  Woodbine Honeysuckle,VIN,05,     ,,,BREAKING DORMANCY,FULL STK, 5 ,     ,          , 8.75 , 7.00 , 0.77 , 7.77 ,     ,,014949032596,,,
CA,    ,059211,#1 STAKED,LONICERA PER WINCHESTER,Winchester Honeysuckle                                      ,VIN,05,     ,,,-,24''H, 975 ,     ,          , 7.75 , 6.20 , 0.49 , 6.69 ,     ,,014949592618,,,
CA,    ,059205,#5 STAKED,LONICERA SEMP MAGNIFICA,Trumpet Honeysuckle                                         ,VIN,04,     ,,,BREAKING DORMANCY,48''H, 322 ,     ,          , 26.00 , 20.80 , 2.47 , 23.27 ,     ,,014949592052,,,
OR,2011,067831,#1 STAKED,LONICERA SEMP MAJOR WHEELER,Major Wheeler Coral Honeysuckle                             ,VIN,04,     ,,,-,"3/4"" STK",     , 18 ,05/01/14  , 7.75 , 6.20 , 0.46 , 6.66 ,     ,,014949327241,,,
CA,    ,059271,#1 STAKED,LONICERA X BRO DROPMORE SCARLT,Dropmore Scarlet Trumpet Honeysuckle                        ,VIN,04,     ,,,LIGHT BUDS,"24""H", 100 ,     ,          , 7.75 , 6.20 , 0.49 , 6.69 ,     ,,014949592717,,,
OR,    ,058995,#5 STAKED,LONICERA X GOLDFLAME,Goldflame Honeysuckle                                       ,VIN,04,     ,,,-,FULL STK, 311 ,,, 26.00 , 20.80 , 2.30 , 23.10 ,     ,,014949589953,,,
OR,    ,059111,#1 STAKED,LONICERA X MANDARIN PP11083,Mandarin Honeysuckle                                        ,VIN,04,     ,,,-,FULL STK, 182 ,     ,          , 7.75 , 6.20 , 0.46 , 6.66 ,     ,,014949591215,,,
OR,    ,029611,#1,LUPINUS POL MINARETTE,Minarette Dwarf Lupine                                      ,PRN,04,     ,,,-,CAN FULL, 11 , 26 ,05/01/14  , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949332849,,,
OR,2010,062311,#1,LYSIMACHIA NUMMULARIA AUREA,Golden Creeping Jenny                                       ,PRN,03,     ,,,-,CAN FULL, 204 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949320891,,,
OR,2012,086861,#1,LYSIMACHIA PRO GOLDEN GLOBES,Golden Globes Loosestrife                                   ,PRN,06,     ,,,,,     , 343 ,04/01/14  , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949369586,,,
OR,2014,059635TR,#5 TREE,MAG X ROSE MARIE,Rose Marie Magnolia                                         ,DCS,05,     ,,,,"54""H",     , 24 ,05/15/14  , 40.00 , 32.00 , 2.30 , 34.30 ,     ,,014949324233,,,
OR,    ,060751,#1,MAHONIA AQUIFOLIUM COMPACTA,Compact Oregon Grape Holly                                  ,EVS,05,     ,,,LIGHT BUDS,10''H - 8''S,     , 134 ,05/01/14  , 8.00 , 6.40 , 0.46 , 6.86 ,     ,,014949607510,,,
OR,    ,060805,#5,MAHONIA ORANGEE FLAME,Orangee Flame Oregon Grape Holly                            ,EVS,05,     ,#REF!,,BUDS & BLOOMS,"12""H - 14""S", 242 ,,, 24.75 , 19.80 , 2.30 , 22.10 ,     ,,014949608050,,,
OR,    ,060951,#1,MAHONIA REPENS,Creeping Mahonia                                            ,EVS,05,     ,,,LIGHT BUDS,"6""H - 6""S"," 1,869 "," 1,636 ",05/15/14  , 7.25 , 5.80 , 0.46 , 6.26 ,     ,,014949609514,,,
CA,2010,06109MT,#10 Tall TREE,MALUS X ANNA APPLE,Anna Apple                                                  ,TRE,05,     ,,,-,"58""H - 24""S", 17 ,     ,          , 45.00 , 36.00 , 9.81 , 45.81 ,     ,,014949314319,,,
CA,    ,06104MT,#10 Tall TREE,MALUS X GOLDEN DELICIOUS APPLE,Golden Delicious Apple                                      ,TRE,04,     ,,,BREAKING DORMANCY,"64""H - 24""S", 372 ,     ,          , 45.00 , 36.00 , 9.81 , 45.81 ,     ,,014949314203,,,
CA,2011,06105MT,#10 Tall TREE,MALUS X GRANNY SMITH APPLE,Granny Smith Apple                                          ,TRE,05,     ,,,-,"64""H - 24""S", 124 ,     ,          , 45.00 , 36.00 , 9.81 , 45.81 ,     ,,014949314296,,,
CA,2010,05898MT,#10 Tall TREE,MALUS X HONEYCRISP TM APPLE,Honeycrisp™  Apple,TRE,04,     ,,,BREAKING DORMANCY,"60""H - 24""S", 412 ,     ,          , 50.00 , 40.00 , 9.81 , 49.81 ,     ,,014949312995,,,
OR,    ,061145,#5,MALUS X PRAIRIFIRE,Prairifire Crabapple                                        ,TRE,04,     ,,,BREAKING DORMANCY,"60""H", 2 ,     ,          , 27.00 , 21.60 , 2.30 , 23.90 ,     ,,014949611456,,,
CA,2010,05896MT,#10 Tall TREE,MALUS X RED DELICIOUS APPLE,Red Delicious Apple                                         ,TRE,04,     ,,,BREAKING DORMANCY,"64""H - 24""S", 102 ,     ,          , 45.00 , 36.00 , 9.81 , 45.81 ,     ,,014949312971,,,
OR,2011,036165,#5,METASEQUOIA G OGON GOLD RUSH,Gold Rush Dawn Redwood                                      ,CON,03,     ,,,BREAKING DORMANCY,"58""H", 3 ,     ,          , 25.75 , 20.60 , 2.30 , 22.90 ,     ,,014949274668,,,
OR,    ,025861,#1,MONARDA RASPBERRY WINE,Raspberry Wine Bee Balm                                     ,PRN,04,     ,,,-,CAN FULL, 5 ,,, 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949276303,,,
OR,    ,047251,#1,MUKDENIA ROS CRIMSON FANS,Red-Leafed Mukdenia                                         ,PRN,04, 96 ,,96,DORMANT,.,     ,     ,          , 7.50 , 6.00 , 0.46 , 6.46 ,     ,,014949255988,,,
OR,    ,062185,#5,MYRICA PENSYLVANICA,Northern Bayberry                                           ,EVS,04,     ,,,-,18''H - 16''S, 31 ,     ,          , 20.50 , 16.40 , 2.30 , 18.70 ,     ,,014949621851,,,
CA,    ,062221,#1,NAND D SIENNA SUNRISE R P14693,Sienna Sunrise®  Heavenly Bamboo,EVS,06,     ,#REF!,,WINTER COLOR,"6""H - 8""S",     , 10 ,05/01/14  , 6.75 , 5.40 , 0.49 , 5.89 ,     ,,014949622216,,,
OR,    ,062122,#2,NAND DOM GULF STREAM,Gulf Stream Heavenly Bamboo                                 ,EVS,06,     ,,,-,"10""H - 10""S", 15 ,     ,          , 15.00 , 12.00 , 1.15 , 13.15 ,     ,,014949062685,,,
OR,2012,081741,#1,NEPETA NERVOSA PINK CAT,Pink Cat Catmint                                            ,PRN,04,     ,,,CUT BACK,., 610 ,,, 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949371947,,,
OR,    ,062281,#1,NEPETA X FAASS WALKER'S LOW,Walker's Low Catmint                                        ,PRN,04,     ,,,LIGHT BUDS,PA2*, 10 ,,, 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949622810,,,
OR,2011,068482,#2,OENOTHERA FREM SHIMMER PP19663,Shimmer Evening Primrose                                    ,PRN,04,     ,,,EMERGING,., 397 , 576 ,05/01/14  , 12.00 , 9.60 , 0.92 , 10.52 ,     ,,014949368091,,,
OR,2010,064241,#1,ORIGANUM VULGARE HOT & SPICY,Hot & Spicy Oregano                                         ,PRN,06,     ,,,CUT BACK,., 578 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949315774,,,
OR,2012,077131,#1,OSTEO AVALANCHE PP22705,Avalanche White Sun Daisy                                   ,PRN,04,     ,,,CUT BACK,.,     , 236 ,06/01/14  , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949368138,,,
OR,2012,079331,#1,OSTEO LAVENDER MIST R,Lavender Mist®  Sun Daisy,PRN,05,     ,,,CUT BACK,., 11 , 266 ,06/01/14  , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949368169,,,
OR,2012,079351,#1,OSTEO PURPLE MOUNTAIN R,Purple Mountain®  Sun Daisy,PRN,05,     ,,,-,,     , 70 ,06/01/14  , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949368183,,,
OR,    ,06335P72SA,Plug 72 PLUG,PACHYSANDRA TERM GREEN SHEEN,Green Sheen Japanese Spurge                                 ,PRN,04,     ,,,,," 2,204 ",     ,          , 1.15 , 0.92 , 0.02 , 0.94 ,     ,,014949162675,,,
CA,2010,047085,#5,PAEONIA ITOH KEIKO TM (PK D D),Keiko™ (Adored) Itoh Peony,PRN,04,     ,#REF!,,LIGHT BUDS,5  EYES, 165 ,     ,          , 41.00 , 32.80 , 2.47 , 35.27 ,     ,,014949250365,,,
OR,2014,068585,#5,PAEONIA ITOH MORNING LILAC,Morning Lilac Itoh Peony                                    ,PRN,04, 10 ,,10,DORMANT,,     ,     ,          , 41.00 , 32.80 , 2.30 , 35.10 ,     ,,014949326794,,,
OR,2010,047075,#5,PAEONIA ITOH YUMI TM PAF (YLW),Yumi™  (Beauty) Itoh Peony,PRN,04, 5 ,,5,EMERGING,5  EYES,     ,     ,          , 41.00 , 32.80 , 2.30 , 35.10 ,     ,,014949250358,,,
OR,    ,024242,#2,PAEONIA X BLAZE (RED),Blaze Peony                                                 ,PRN,04,     ,,,EMERGING,5+ EYES," 1,747 ",     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949044728,,,
OR,    ,016252,#2,PAEONIA X BOWL OF CREAM (WT),Bowl Of Cream Double Herbaceous Peony                       ,PRN,04,     ,,,DORMANT,5+ EYES, 229 ,     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949162521,,,
OR,    ,050282,#2,PAEONIA X BUCKEYE BELLE (RED),Buckeye Belle Herbaceous Peony                              ,PRN,04,     ,,,DORMANT,5+ EYES, 39 ,     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949269336,,,
OR,2012,051532,#2,PAEONIA X DO TELL (PINK),Do Tell Herbaceous Peony                                    ,PRN,03,     ,,,DORMANT,5  EYES, 337 ,     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949334423,,,
OR,    ,036332,#2,PAEONIA X INSPECTEUR LAVERGNE,Inspecteur Lavergne Peony                                   ,PRN,04,     ,,,DORMANT,5+ EYES, 820 ,     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949211854,,,
OR,    ,046132,#2,PAEONIA X JAN VAN LEEUWEN (WT),Jan Van Leeuwen Peony                                       ,PRN,04,     ,,,DORMANT,5+ EYES, 521 ,     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949238905,,,
OR,    ,063742,#2,PAEONIA X KANSAS (RED),Kansas Double Peony                                         ,PRN,04,     ,,,DORMANT,5+ EYES," 4,134 ",     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949637425,,,
OR,    ,046212,#2,PAEONIA X LADY ORCHID (PINK),Lady Orchid Peony                                           ,PRN,04,     ,,,DORMANT,5+ EYES," 1,217 ",     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949240373,,,
OR,    ,064912,#2,PAEONIA X MME EMILE DEBATENE,Madame Emile Debatene Double Peony                          ,PRN,04,     ,,,DORMANT,5+ EYES, 575 ,     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949649121,,,
OR,    ,051192,#2,PAEONIA X NANCY NORA (PINK),Nancy Nora Peony                                            ,PRN,04,     ,,,DORMANT,5 EYES," 1,209 ",     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949271797,,,
OR,    ,024272,#2,PAEONIA X PAUL M WILD (RED),Paul M. Wild Double Peony                                   ,PRN,04,     ,,,EMERGING,5+ EYES, 540 ,     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949044742,,,
OR,    ,046072,#2,PAEONIA X RASPBERRY SUNDAE(PK),Raspberry Sundae Peony                                      ,PRN,04,     ,,,DORMANT,5+ EYES, 7 ,     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949238882,,,
OR,    ,095682,#2,PAEONIA X SCARLETT OHARA (PNK),Scarlett O'Hara Peony                                       ,PRN,04,     ,,,DORMANT,.," 2,227 ",     ,          , 17.50 , 14.00 , 1.15 , 15.15 ,     ,,014949374979,,,
OR,    ,046122,#2,PAEONIA X SEA SHELL (PINK),Sea Shell Peony                                             ,PRN,04,     ,,,DORMANT,5+ EYES, 33 ,     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949238899,,,
OR,    ,063762,#2,PAEONIA X SHIRLEY TEMPLE (WT),Shirley Temple Double Peony                                 ,PRN,04,     ,,,DORMANT,5  EYES," 4,021 ",     ,          , 19.50 , 15.60 , 1.15 , 16.75 ,     ,,014949637623,,,
OR,    ,063975TR,#5 TREE,PARROTIA PERSICA,Persian Ironwood                                            ,TRE,05,     ,,,BREAKING DORMANCY,"62""H", 286 ,     ,          , 38.00 , 30.40 , 2.30 , 32.70 ,     ,,014949639788,,,
OR,2012,081521S,SuperOne TM STAKED,PARTH Q RED WALL TM PPAF,Red Wall™  Virginia Creeper,VIN,03,     ,#REF!,,BREAKING DORMANCY,"1/4"" STK", 25 ,,, 9.75 , 7.80 , 0.77 , 8.57 ,     ,,014949361085,,,
CA,    ,002475,#5 STAKED,PARTH Q STAR SHOWERS R P10128,Star Showers®  Virginia Creeper,VIN,04,     ,,,-,"48""H",     , 76 ,05/07/14  , 28.00 , 22.40 , 2.47 , 24.87 ,     ,,014949024751,,,
CA,    ,002451,#1 STAKED,PARTH QUINQUEFOLIA,Virginia Creeper                                            ,VIN,04,     ,,,BREAKING DORMANCY,"24""H", 656 ,     ,          , 8.50 , 6.80 , 0.49 , 7.29 ,     ,,014949024515,,,
CA,    ,002581,#1 STAKED,PARTH TRI GREEN SHOWERS,Green Showers Boston Ivy                                    ,VIN,04, 25 ,,25,BREAKING DORMANCY,"24""H",     ,     ,          , 8.50 , 6.80 , 0.49 , 7.29 ,     ,,014949025819,,,
OR,    ,002501,#1 STAKED,PARTH TRI VEITCHII,Boston Ivy                                                  ,VIN,04,     ,,,-,"18""H",     , 736 ,05/01/14  , 8.50 , 6.80 , 0.46 , 7.26 ,     ,,014949025017,,,
CA,2012,079451,#1,PENST HOT PNK RDNG HOOD P23089,Hot Pink Riding Hood Beardtongue                            ,PRN,05,     ,,,-,"9""H -8""S",     , 240 ,04/15/14  , 6.25 , 5.00 , 0.49 , 5.49 ,     ,,014949358290,,,
OR,2012,079461,#1,PENST LAVENDER RIDING HOOD,Lavender Riding Hood Beardtongue                            ,PRN,05,     ,,,CUT BACK,., 351 ,,, 6.25 , 5.00 , 0.46 , 5.46 ,     ,,014949358313,,,
CA,2013,079441,#1,PENST PRPLE RIDING HOOD P23067,Purple Riding Hood Beardtongue                              ,PRN,05,     ,,,BUDS & BLOOMS,"8""H -6""S", 921 ,     ,          , 6.25 , 5.00 , 0.49 , 5.49 ,     ,,014949371787,,,
CA,2010,094741,#1,PENST RED RIDING HOOD PP18950,Red Riding Hood Beardtongue                                 ,PRN,05,     ,,,BUDS & BLOOMS,CAN FULL,     , 20 ,04/01/14  , 6.25 , 5.00 , 0.49 , 5.49 ,     ,,014949380475,,,
CA,    ,025491S,SuperOne TM,PENSTEMON EATONII,FIRECRACKER PENSTEMON                                       ,PRN,04,     ,,,,,     , 761 ,06/15/14  , 7.00 , 5.60 , 0.82 , 6.42 ,     ,,014949261231,,,
OR,2012,067781,#1,PENSTEMON X PIKES PEAK PURPL R,Pikes Peak Purple®  Penstemon,PRN,04,     ,,,-,CAN FULL,     , 44 ,06/01/14  , 6.25 , 5.00 , 0.46 , 5.46 ,     ,,014949358047,,,
OR,    ,064211,#1,PEROVSKIA ATRIPLICIFOLIA,Russian Sage                                                ,PRN,04,     ,,,CUT BACK,.," 1,109 ",,, 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949642115,,,
OR,2013,084781,#1,PEROVSKIA LACEY BLUE PP20845,Lacey Blue Russian Sage                                     ,PRN,04,     ,,,,,     , 20 ,04/01/14  , 6.00 , 4.80 , 0.46 , 5.26 ,     ,,014949088968,,,
