Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Qty Cfm,END CAP AVAIL,YOUR BOOKED QTY REMAIN,Condition,Current Specs,"QTY 
AVAIL NOW","2ND 
QTY 
AVAIL","2ND 
QTY 
READY DATE",2014 List Price,"YOUR 
20%
DISC PRICE",Freight,Landed Price,YOUR RETAIL PRICE,SKU,UPC#,,,
OR,2010,033265,#5,PICEA ENG BUSH'S LACE,Bush's Lace Engleman Spruce                                 ,CON,03,     ,,,-,"36""H - 16""S", 191 , 34 ,05/15/14  , 39.00 , 31.20 , 2.30 , 33.50 ,     ,,014949274606,,,
OR,2013,019365,#5,PICEA GL (BABY CONICA),                                                            ,CON,02,     ,,,-,"25""H-12""S",     , 10 ,05/15/14  , 31.00 , 24.80 , 2.30 , 27.10 ,     ,,014949015988,,,
OR,    ,064621SP,#1 SPIRAL,PICEA GL CONICA,Dwarf Alberta Spruce                                        ,CON,02,     ,,,-,"15""H",     , 91 ,05/15/14  , 13.50 , 10.80 , 0.69 , 11.49 ,     ,,014949646113,,,
OR,2012,01937E,"7"" Terra Cotta",PICEA GL CONICA TINY TOWER R,Tiny Tower®  Alberta Spruce,CON,03,     ,,,-,15''H, 5 ,     ,          , 15.50 , 12.40 , 0.46 , 12.86 ,     ,,014949263730,,,
OR,    ,064655,#5,PICEA GL DENSATA,Black Hills Spruce                                          ,CON,02,     ,,,-,"36""H-16""S", 4 ,,, 25.00 , 20.00 , 2.30 , 22.30 ,     ,,014949646557,,,
OR,2013,033275,#5,PICEA GL DENSATA WELLS' WEEPER,Wells' Weeper Spruce                                        ,CON,02,     ,,,-,"36""H-16""S", 57 ,,, 39.00 , 31.20 , 2.30 , 33.50 ,     ,,014949342466,,,
OR,    ,064472,#2,PICEA MARIANA NANA,Dwarf Black Spruce                                          ,CON,03,     ,,,-,"14""S", 195 ,     ,          , 16.75 , 13.40 , 1.15 , 14.55 ,     ,,014949644720,,,
OR,    ,064875,#5,PICEA OMORIKA BRUNS,Bruns Serbian Spruce                                        ,CON,04,     ,,,-,"42""H - 16""S", 235 ,     ,          , 35.00 , 28.00 , 2.30 , 30.30 ,     ,,014949780251,,,
OR,2011,064832,#2,PICEA OMORIKA NANA,Dwarf Serbian Spruce                                        ,CON,04,     ,,,-,"12""S", 190 , 109 ,05/15/14  , 26.00 , 20.80 , 1.15 , 21.95 ,     ,,014949648322,,,
OR,2014,053345,#5,PICEA OMORIKA PENDULA BRUNS,Bruns Weeping Serbian Spruce                                ,CON,04,     ,,,-,"36""H", 36 ,     ,          , 39.00 , 31.20 , 2.30 , 33.50 ,     ,,014949353745,,,
OR,2010,021532,#2,PICEA OMORIKA PIMOKO,Pimoko Serbian Spruce                                       ,CON,02,     ,,,-,"12""S", 144 ,,, 26.00 , 20.80 , 1.15 , 21.95 ,     ,,014949040423,,,
OR,    ,064815,#5,PICEA ORIEN ATROVIRENS,Oriental Spruce                                             ,CON,02,     ,,,-,"46""H - 16""S", 809 , 406 ,05/15/14  , 41.00 , 32.80 , 2.30 , 35.10 ,     ,,014949648155,,,
OR,    ,064662,#2,PICEA PUN GLAUCA,Colorado Blue Spruce                                        ,CON,02,     ,,,-,"20""H-12""S",     , 15 ,05/15/14  , 16.75 , 13.40 , 1.15 , 14.55 ,     ,,014949646625,,,
OR,    ,064782,#2,PICEA PUN GLAUCA FAT ALBERT,Fat Albert Colorado Blue Spruce                             ,CON,02,     ,,,-,26'H - 12'S, 5 ,     ,          , 26.00 , 20.80 , 1.15 , 21.95 ,     ,,014949647820,,,
OR,    ,064695,#5,PICEA PUN GLOBOSA,Dwarf Globe Blue Spruce                                     ,CON,02,     ,#REF!,,-,"18""S", 59 ,     ,          , 38.00 , 30.40 , 2.30 , 32.70 ,     ,,014949646953,,,
OR,    ,064715,#5,PICEA PUN HOOPSII,Hoop's Blue Spruce                                          ,CON,02,     ,,,-,"33""H - 15""S", 447 ,,, 38.00 , 30.40 , 2.30 , 32.70 ,     ,,014949647158,,,
OR,2012,044635,#5,PICEA PUN ISELI FASTIGATE,Iseli Fastigiate Spruce                                     ,CON,03,     ,,,-,"30""H", 18 ,,, 38.00 , 30.40 , 2.30 , 32.70 ,     ,,014949274682,,,
OR,    ,064765,#5,PICEA PUN MOERHEIM,Moerheim Blue Spruce                                        ,CON,02,     ,,,-,"33""H - 16""S", 338 , 500 ,05/15/14  , 38.00 , 30.40 , 2.30 , 32.70 ,     ,,014949647653,,,
OR,    ,019385PT,#5 PATIO TREE,PICEA PUN MRS. CESARINI,Mrs. Cesarini Blue Spruce                                   ,CON,02,     ,,,-,"21""S", 570 ,     ,          , 70.00 , 56.00 , 3.45 , 59.45 ,     ,,014949016503,,,
OR,2010,019395,#5,PICEA PUN THE BLUES,The Blues Blue Spruce                                       ,CON,02,     ,,,-,"30""H", 20 ,,, 38.00 , 30.40 , 2.30 , 32.70 ,     ,,014949016589,,,
OR,2013,047375,#5,PICEA PUN THOMPSENII,Thompsen Blue Spruce                                        ,CON,02,     ,,,WINTER COLOR,"36""H -16""s", 7 ,     ,          , 38.00 , 30.40 , 2.30 , 32.70 ,     ,,014949361887,,,
OR,2011,028565,#5,PICEA PUN WALDBRUNN,Waldbrunn Dwarf Blue Spruce                                 ,CON,02,     ,,,-,"15""S", 24 ,     ,          , 38.00 , 30.40 , 2.30 , 32.70 ,     ,,014949273197,,,
OR,    ,065251,#1,PIERIS J PURITY,Purity Japanese Lily Of The Valley                          ,EVS,05,     ,,,BUDS,8''H - 8''S, 10 ,     ,          , 7.25 , 5.80 , 0.46 , 6.26 ,     ,,014949652510,,,
OR,    ,065301,#1,PIERIS J VALLEY ROSE,Valley Rose Lily Of The Valley                              ,EVS,06,     ,,,BUDS,8''H - 8''S, 10 ,,, 7.25 , 5.80 , 0.46 , 6.26 ,     ,,014949653012,,,
OR,    ,065081,#1,PIERIS X FOREST FLAME,Forest Flame Lily Of The Valley                             ,EVS,05,     ,,,BUDS,8''H - 8''S, 753 ,,, 7.25 , 5.80 , 0.46 , 6.26 ,     ,,014949650813,,,
OR,    ,065425,#5,PINUS CEM SILVER WHISPERS TM,Silver Whispers™  Swiss Stone Pine,CON,03,     ,,,-,"56""H - 15""S", 15 ,     ,          , 38.00 , 30.40 , 2.30 , 32.70 ,     ,,014949654255,,,
OR,    ,06539M,#10 Squat,PINUS FL VANDERWOLFES PYRAMID,Vanderwolf's Pyramid Limber Pine                            ,CON,04,     ,,,-,"46""H-18""S", 4 ,,, 75.00 , 60.00 , 8.28 , 68.28 ,     ,,014949653968,,,
OR,    ,021541,#1,PINUS KOR SILVERAY,Silveray Korean Pine                                        ,CON,04,     ,,,-,"10""H", 447 ,     ,          , 10.00 , 8.00 , 0.46 , 8.46 ,     ,,014949040485,,,
OR,    ,019405,#5,PINUS MONOPHYLLA,Singleleaf Pinyon                                           ,CON,05, 15 ,,15,-,"36""H - 16""S", 13 ,     ,          , 39.00 , 31.20 , 2.30 , 33.50 ,     ,,014949016800,,,
OR,2012,049095,#5,PINUS MUGO BIG TUNA,Big Tuna Mugo Pine                                          ,CON,02,     ,,,WINTER COLOR,"36""H", 30 ,     ,          , 23.00 , 18.40 , 2.30 , 20.70 ,     ,,014949267189,,,
OR,2011,032745,#5,PINUS MUGO COMPACT SELECT,                                                            ,CON,02,     ,,,-,"16""S", 56 ,     ,          , 23.00 , 18.40 , 2.30 , 20.70 ,     ,,014949278574,,,
OR,    ,065451,#1,PINUS MUGO PUMILIO,Dwarf Mugo Pine                                             ,CON,02,     ,,,-,"10""S"," 2,412 ",     ,          , 7.25 , 5.80 , 0.46 , 6.26 ,     ,,014949654514,,,
OR,    ,06546M,#10 Squat,PINUS NIGRA,Austrian Pine                                               ,CON,04,     ,,,-,"48""H", 15 ,     ,          , 59.00 , 47.20 , 8.28 , 55.48 ,     ,,014949654668,,,
OR,    ,086505,#5,PINUS NIGRA BREPO R,Brepo®  Austrian Pine,CON,04,     ,,,-,"18""S", 5 ,     ,          , 39.00 , 31.20 , 2.30 , 33.50 ,     ,,014949865040,,,
OR,    ,019415,#5,PINUS NIGRA OREGON GREEN,Oregon Green Austrian Pine                                  ,CON,04,     ,,,-,"36""H  -  18""S", 20 ,,, 39.00 , 31.20 , 2.30 , 33.50 ,     ,,014949016855,,,
OR,    ,065475,#5,PINUS PARVIFLORA GLAUCA,Japanese White Pine                                         ,CON,04,     ,,,-,"46""H-16""S", 6 ,     ,          , 39.00 , 31.20 , 2.30 , 33.50 ,     ,,014949654750,,,
OR,    ,065565,#5,PINUS STROBUS FASTIGIATA,Columnar Eastern White Pine                                 ,CON,03,     ,,,-,"48""H - 16""S", 247 ,     ,          , 39.00 , 31.20 , 2.30 , 33.50 ,     ,,014949655658,,,
OR,    ,065525,#5,PINUS SYL FRENCH BLUE,French Blue Scotch Pine                                     ,CON,02,     ,,,WINTER COLOR,"33""H-14""S", 55 ,     ,          , 23.75 , 19.00 , 2.30 , 21.30 ,     ,,014949655252,,,
OR,2012,049145,#5,PINUS SYL GLOBOSA VIRIDIS,Dwarf Twisted Scotch Pine                                   ,CON,03,     ,,,-,"16""S", 111 , 192 ,05/01/14  , 39.00 , 31.20 , 2.30 , 33.50 ,     ,,014949267233,,,
OR,    ,065665,#5,PINUS T MAJESTIC BEAUTY R,Majestic Beauty®  Japanese Black Pine,CON,05,     ,,,-,"36""H - 14'S", 278 , 86 ,05/15/14  , 39.00 , 31.20 , 2.30 , 33.50 ,     ,,014949656655,,,
OR,2010,058194PTC,"4"" Pot POT-TERRA",PLATYCODON GR ASTRA PINK IMP,                                                            ,PRN,05,     ,,,-,,     , 822 ,05/01/14  , 3.00 , 2.40 , 0.26 , 2.66 ,     ,,014949311240,,,
OR,2010,058174PTC,"4"" Pot POT-TERRA",PLATYCODON GR ASTRA S-DBL BLUE,Astra Double Blue Balloon Flower                            ,PRN,03,     ,,,,,     , 563 ,05/01/14  , 3.00 , 2.40 , 0.26 , 2.66 ,     ,,014949311257,,,
OR,    ,020981,#1,PLATYCODON GR ZWERG,Dwarf Balloon Flower                                        ,PRN,04,     ,,,DORMANT,., 155 , 512 ,06/01/14  , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949023419,,,
CA,    ,065361,#1,POLEMONIUM BRISE D'ANJOU P9781,Variegated Jacob's Ladder                                   ,PRN,04,     ,,,-,CAN FULL,     , 720 ,04/15/14  , 6.00 , 4.80 , 0.49 , 5.29 ,     ,,014949653616,,,
CA,2013,093361,#1,POLIOMINTHA BUSTAMANTE HINKLEY,Hinkley Frosted Mint                                        ,PRN,06,     ,,,-,"7""H - 8""S",     , 425 ,04/15/14  , 6.00 , 4.80 , 0.49 , 5.29 ,     ,,014949277799,,,
CA,    ,066601,#1 STAKED,POLYGONUM AUBERTII,Silver Lace Vine                                            ,VIN,05,     ,,,-,"24""H", 101 ,     ,          , 7.50 , 6.00 , 0.49 , 6.49 ,     ,,014949222072,,,
OR,    ,018315,#5,POPULUS TREMULA ERECTA,Columnar Swedish Aspen                                      ,TRE,02,     ,,,BREAKING DORMANCY,"56""H-18""S", 53 ,     ,          , 27.00 , 21.60 , 2.30 , 23.90 ,     ,,014949007969,,,
OR,    ,066691,#1,POTENTILLA ABBOTSWOOD,Abbotswood Potentilla                                       ,DCS,03,     ,,,-,6''H - 6''S, 20 ,     ,          , 5.75 , 4.60 , 0.46 , 5.06 ,     ,,014949666913,,,
OR,    ,066781,#1,POTENTILLA FROSTY R P10987,Frosty®  Potentilla,DCS,03,     ,,,BREAKING DORMANCY,"6""H - 8""S", 836 ,     ,          , 5.75 , 4.60 , 0.46 , 5.06 ,     ,,014949667811,,,
OR,    ,066801,#1,POTENTILLA GOLD STAR,Gold Star Potentilla                                        ,DCS,03,     ,,,-,6''H - 8''S, 966 ,     ,          , 5.75 , 4.60 , 0.46 , 5.06 ,     ,,014949668016,,,
OR,    ,066681,#1,POTENTILLA GOLDFINGER,Goldfinger Potentilla                                       ,DCS,03,     ,,,BREAKING DORMANCY,"10""H - 8""S", 399 ,     ,          , 5.75 , 4.60 , 0.46 , 5.06 ,     ,,014949666814,,,
OR,    ,086651,#1,POTENTILLA PINK BEAUTY P9874,Pink Beauty Potentilla                                      ,DCS,03,     ,,,BREAKING DORMANCY,8''H - 6''S, 122 ,     ,          , 6.25 , 5.00 , 0.46 , 5.46 ,     ,,014949866511,,,
OR,    ,066771,#1,POTENTILLA RED ACE,Red Ace Potentilla                                          ,DCS,03,     ,,,BREAKING DORMANCY,6''H - 8''S, 40 ,     ,          , 5.75 , 4.60 , 0.46 , 5.06 ,     ,,014949667712,,,
OR,    ,066741,#1,POTENTILLA SUNSET,Sunset Potentilla                                           ,DCS,03,     ,,,BREAKING DORMANCY,"6""H - 8""S", 19 ,     ,          , 5.75 , 4.60 , 0.46 , 5.06 ,     ,,014949667415,,,
OR,    ,066885,#5,PRUNUS CER THUNDERCLOUD,Thundercloud Purple Leaf Plum                               ,TRE,04,     ,,,BUDS & BLOOMS,"66""H", 19 ,,, 27.00 , 21.60 , 2.30 , 23.90 ,     ,,014949668856,,,
OR,    ,031815,#5,PRUNUS CRMSON POINTE TM P19564,Crimson Pointe™  Flowering Plum,TRE,04,     ,,,BUDS & BLOOMS,"78""H", 14 ,     ,          , 31.00 , 24.80 , 2.30 , 27.10 ,     ,,014949218686,,,
OR,    ,067101,#1,PRUNUS LAUR MT VERNON,Mount Vernon English Laurel                                 ,EVS,06,     ,,,,,     , 211 ,06/01/14  , 7.50 , 6.00 , 0.46 , 6.46 ,     ,,014949671016,,,
OR,    ,067075,#5,PRUNUS LAUR NANA,Dwarf English Laurel                                        ,EVS,07, 341 ,,341,-,27''H - 18''S,     ,     ,          , 21.50 , 17.20 , 2.30 , 19.50 ,     ,,014949670750,,,
OR,    ,067151,#1,PRUNUS LAUR OTTO LUYKEN,Otto Luyken English Laurel                                  ,EVS,06,     ,,,SHOT HOLE,"16""H - 8""S"," 3,954 "," 4,393 ",04/01/14  , 7.00 , 5.60 , 0.46 , 6.06 ,     ,,014949671511,,,
OR,    ,067175,#5,PRUNUS LAUR SCHIPKAENSIS,Schipka Cherry Laurel                                       ,EVS,06,     ,,,-,"27""H - 15""S", 5 ,     ,          , 21.75 , 17.40 , 2.30 , 19.70 ,     ,,014949671757,,,
OR,    ,067055,#5,PRUNUS LAUROCERASUS,English Laurel                                              ,EVS,06,     ,,,-,"30""H - 16""S", 171 ,     ,          , 21.75 , 17.40 , 2.30 , 19.70 ,     ,,014949670552,,,
CA,2011,06797MT,#10 Tall TREE,PRUNUS PER NECTAR PEACH,Nectar White Peach                                          ,TRE,05,     ,,,BUDS & BLOOMS,"50""H", 2 ,     ,          , 40.00 , 32.00 , 9.81 , 41.81 ,     ,,014949323267,,,
CA,2011,06167MT,#10 Tall TREE,PRUNUS X BEAUTY PLUM,Beauty Japanese Plum                                        ,TRE,04,     ,,,BUDS & BLOOMS,"60""H", 48 ,     ,          , 45.00 , 36.00 , 9.81 , 45.81 ,     ,,014949314579,,,
CA,    ,06733MT,#10 Tall TREE,PRUNUS X BING CHERRY,Bing Sweet Cherry                                           ,TRE,05,     ,,,BREAKING DORMANCY,"60""H", 12 ,     ,          , 40.00 , 32.00 , 9.81 , 41.81 ,     ,,014949313022,,,
CA,2011,06168MT,#10 Tall TREE,PRUNUS X BURGUNDY PLUM,Burgundy Japanese Plum                                      ,TRE,05,     ,,,FULL BLOOM,"64""H - 20""S", 66 ,     ,          , 45.00 , 36.00 , 9.81 , 45.81 ,     ,,014949314593,,,
CA,    ,06743MT,#10 Tall TREE,PRUNUS X CHINESE APRICOT,Chinese Apricot                                             ,TRE,05,     ,,,LIGHT BUD & BLOOM,"60""H - 24""S", 5 ,     ,          , 40.00 , 32.00 , 9.81 , 41.81 ,     ,,014949314210,,,
CA,    ,066872,#2,PRUNUS X CISTENA,Dwarf Red-Leaf Sand Cherry                                  ,DCS,02,     ,,,-,"15""H - 9""S *",     , 528 ,04/01/14  , 13.75 , 11.00 , 1.24 , 12.24 ,     ,,014949668726,,,
CA,2010,06142MT,#10 Tall TREE,PRUNUS X FLAVORTOP NECTARINE,Flavortop Nectarine                                         ,TRE,06,     ,,,BUDS & BLOOMS,"54""H -22""S", 65 ,     ,          , 40.00 , 32.00 , 9.81 , 41.81 ,     ,,014949314418,,,
CA,    ,06741MT,#10 Tall TREE,PRUNUS X HARCOT APRICOT,Harcot Apricot                                              ,TRE,05,     ,,,LIGHT BUD & BLOOM,"60""H", 2 ,     ,          , 40.00 , 32.00 , 9.81 , 41.81 ,     ,,014949323182,,,
CA,2010,06128MT,#10 Tall TREE,PRUNUS X LAPINS CHERRY,Lapins Sweet Cherry                                         ,TRE,06,     ,,,BREAKING DORMANCY,"60""H - 24""S", 9 ,     ,          , 45.00 , 36.00 , 9.81 , 45.81 ,     ,,014949314371,,,
CA,2011,06795MT,#10 Tall TREE,PRUNUS X OZARK PREMIER PLUM,Ozark Premier Plum                                          ,TRE,06,     ,,,FULL BLOOM,"46""H", 213 ,     ,          , 45.00 , 36.00 , 9.81 , 45.81 ,     ,,014949323229,,,
CA,2010,05996MT,#10 Tall TREE,PRUNUS X SANTA ROSA PLUM,Santa Rosa Plum                                             ,TRE,05,     ,,,FULL BLOOM,"66""H - 22""S", 16 ,     ,          , 45.00 , 36.00 , 9.81 , 45.81 ,     ,,014949314234,,,
OR,2014,084701,#1,PULMONARIA DE VROOMAN'S PRIDE,De Vroomen's Pride Lungwort                                 ,PRN,03,     ,,,CUT BACK,., 20 ,     ,          , 6.50 , 5.20 , 0.46 , 5.66 ,     ,,014949373187,,,
OR,    ,035611,#1,PULMONARIA TREVI FOUNTN P13047,Trevi Fountain Lungwort                                     ,PRN,04,     ,,,BUDS & BLOOMS,PS-1*, 10 ,     ,          , 6.00 , 4.80 , 0.46 , 5.26 ,     ,,014949208168,,,
CA,    ,067701,#1,PYRACANTHA ANG YUKON BELLE R,Yukon Belle®  Pyracantha,EVS,05,     ,,,WINTER COLOR,"10""H - 10""S", 393 , 441 ,04/01/14  , 6.25 , 5.00 , 0.49 , 5.49 ,     ,,014949677018,,,
CA,    ,068005,#5,PYRACANTHA COC LOWBOY,Lowboy Pyracantha                                           ,EVS,06,     ,,,WINTER COLOR,"12""H - 16""S", 5 ,     ,          , 20.50 , 16.40 , 2.47 , 18.87 ,     ,,014949680056,,,
CA,    ,068501,#1,PYRACANTHA X MOHAVE,Mohave Pyracantha                                           ,EVS,06,     ,,,-,"12""H - 10""S *", 473 ,     ,          , 6.25 , 5.00 , 0.49 , 5.49 ,     ,,014949685013,,,
CA,    ,069155,#5,PYRUS CALL BRADFORD,Bradford Flowering Pear                                     ,TRE,05,     ,,,-,"60""H", 20 ,     ,          , 31.00 , 24.80 , 2.47 , 27.27 ,     ,,014949691557,,,
CA,    ,069165,#5,PYRUS CALL CAPITAL,Capital Flowering Pear                                      ,TRE,04,     ,,,BREAKING DORMANCY,"60""H", 204 ,     ,          , 31.00 , 24.80 , 2.47 , 27.27 ,     ,,014949691656,,,
OR,    ,069085,#5,PYRUS CALL CLEVELAND SELECT,Cleveland Select Flowering Pear                             ,TRE,05,     ,,,BREAKING DORMANCY,"66""H", 23 ,     ,          , 31.00 , 24.80 , 2.30 , 27.10 ,     ,,014949690857,,,
OR,    ,030595,#5,PYRUS CALL JACK R,Jack®  Flowering Pear,TRE,05,     ,,,BREAKING DORMANCY,"45""H", 84 ,     ,          , 31.00 , 24.80 , 2.30 , 27.10 ,     ,,014949069486,,,
CA,    ,06149MT,#10 Tall TREE,PYRUS X BARTLETT PEAR,Bartlett Pear                                               ,TRE,05,     ,,,BREAKING DORMANCY,"64""H - 22""S", 57 ,     ,          , 50.00 , 40.00 , 9.81 , 49.81 ,     ,,014949314494,,,
CA,2011,06146MT,#10 Tall TREE,PYRUS X BEURRE D'ANJOU PEAR,Beurre D'Anjou Pear                                         ,TRE,05,     ,,,BREAKING DORMANCY,"66""H - 24""S", 198 ,     ,          , 50.00 , 40.00 , 9.81 , 49.81 ,     ,,014949314470,,,
CA,2010,06152MT,#10 Tall TREE,PYRUS X COMICE PEAR,Comice Pear                                                 ,TRE,05,     ,,,BREAKING DORMANCY,"66""H - 24""S", 36 ,     ,          , 50.00 , 40.00 , 9.81 , 49.81 ,     ,,014949314524,,,
CA,2010,06163MT,#10 Tall TREE,PYRUS X HOSUI PEAR,Hosui Asian Pear                                            ,TRE,06,     ,,,BUDS & BLOOMS,"58""H - 18""S", 5 ,     ,          , 50.00 , 40.00 , 9.81 , 49.81 ,     ,,014949314616,,,
CA,    ,069711,#1,RATIBIDA COLUMNIFERA,Mexican Hat                                                 ,PRN,04,     ,,,-,CAN FULL,     , 5 ,04/01/14  , 4.75 , 3.80 , 0.49 , 4.29 ,     ,,014949697115,,,
OR,    ,069775,#5,RHAMNUS FRANGULA ASPLENIFOLIA,Narrow Leaf Buckthorn                                       ,DCS,02,     ,,,BREAKING DORMANCY,"36""H - 18""S", 333 , 105 ,04/15/14  , 19.25 , 15.40 , 2.30 , 17.70 ,     ,,014949697757,,,
OR,    ,030462,#2,RHOD (H-1) ELVIIRA,Elviira Rhododendron                                        ,RHO,04,     ,,,BUDS,"10""S", 5 ,,, 16.50 , 13.20 , 1.15 , 14.35 ,     ,,014949213742,,,
OR,    ,030211,#1,RHOD (H-1) MIKKELI,Mikkeli Rhododendron                                        ,RHO,04,     ,,,BUDS,"10""H - 8""S", 155 ,     ,          , 8.25 , 6.60 , 0.46 , 7.06 ,     ,,014949067291,,,
OR,    ,009735,#5,RHOD (H-1) NORMANDY,Normandy Rhododendron                                       ,RHO,04,     ,,,BUDS,14''H - 18''S, 15 ,     ,          , 24.75 , 19.80 , 2.30 , 22.10 ,     ,,014949097359,,,
OR,    ,009751,#1,RHOD (H-1) NOVA ZEMBLA,Nova Zembla Rhododendron                                    ,RHO,04,     ,,,BUDS,14''H - 8''S, 50 ,     ,          , 8.25 , 6.60 , 0.46 , 7.06 ,     ,,014949097519,,,
OR,2010,019775,#5,RHOD (H-1) RTR HOOPLA,Hoopla Rhododendron                                         ,RHO,04,     ,,,BUDS,18''H - 18''S, 5 ,     ,          , 25.75 , 20.60 , 2.30 , 22.90 ,     ,,014949020036,,,
OR,    ,019745,#5,RHOD (H-1) RTR SLAM DUNK,Slam Dunk Rhododendron                                      ,RHO,04,     ,,,BUDS,24''H - 18''S, 5 ,     ,          , 25.75 , 20.60 , 2.30 , 22.90 ,     ,,014949019788,,,
OR,    ,010521,#1,RHOD (H-2) (YAK) YAKU PRINCESS,Yaku Princess Rhododendron                                  ,RHO,05,     ,,,LIGHT BUDS,6''H - 8''S, 66 ,     ,          , 8.25 , 6.60 , 0.46 , 7.06 ,     ,,014949105214,,,
OR,    ,009435,#5,RHOD (H-2) GOMER WATERER,Gomer Waterer Rhododendron                                  ,RHO,05,     ,,,BUDS,"22""H - 18""S", 43 ,     ,          , 24.75 , 19.80 , 2.30 , 22.10 ,     ,,014949094358,,,
OR,    ,009451,#1,RHOD (H-2) IMPEDITUM,Dwarf Purple Rhododendron                                   ,RHO,05,     ,,,BUDS,4''H - 6''S, 23 ,     ,          , 8.25 , 6.60 , 0.46 , 7.06 ,     ,,014949094518,,,
OR,    ,009562,#2,RHOD (H-2) LOOKING GLASS,Looking Glass Rhododendron                                  ,RHO,05,     ,,,BUDS,10''H - 12''S, 303 ,     ,          , 16.50 , 13.20 , 1.15 , 14.35 ,     ,,014949095621,,,
OR,    ,009551,#1,RHOD (H-2) LORD ROBERTS,Lord Roberts Rhododendron                                   ,RHO,05,     ,,,BUDS,12''H - 6''S, 168 ,     ,          , 8.25 , 6.60 , 0.46 , 7.06 ,     ,,014949095515,,,
OR,    ,010191,#1,RHOD (H-2) SNEEZY,Sneezy Rhododendron                                         ,RHO,05,     ,,,BUDS,8''H - 6''S, 88 ,     ,          , 8.25 , 6.60 , 0.46 , 7.06 ,     ,,014949101919,,,
OR,    ,010252,#2,RHOD (H-2) TRILBY,Trilby Rhododendron                                         ,RHO,05,     ,,,BUDS,"16""H - 14""S", 15 ,     ,          , 16.50 , 13.20 , 1.15 , 14.35 ,     ,,014949102527,,,
OR,    ,009491,#1,RHOD (H-3) HOTEI,Hotei Rhododendron                                          ,RHO,06,     ,,,LIGHT BUDS,"8""H - 6""S", 470 ,     ,          , 8.25 , 6.60 , 0.46 , 7.06 ,     ,,014949094914,,,
OR,    ,009502,#2,RHOD (H-3) JEAN MARIE DE MNTGE,Jean Marie De Montague Rhododendron                         ,RHO,06,     ,,,BUDS,"16""H - 12""S", 168 ,     ,          , 16.50 , 13.20 , 1.15 , 14.35 ,     ,,014949095027,,,
OR,2010,026381,#1,RHOD (H-3) RAC ROCK ROSE,Rock Rose Rhododendron                                      ,RHO,06,     ,,,BUDS,12''H - 6''S, 492 ,     ,          , 8.25 , 6.60 , 0.46 , 7.06 ,     ,,014949060810,,,
OR,    ,010355,#5,RHOD (H-3) VIRGINIA RICHARDS,Virginia Richards Rhododendron                              ,RHO,06,     ,,,BUDS,"20""H - 18""S", 219 ,     ,          , 24.75 , 19.80 , 2.30 , 22.10 ,     ,,014949103555,,,
OR,    ,069892,#2,RHUS AROMATICA GRO-LOW,Gro-Low Fragrant Sumac                                      ,DCS,04,     ,,,-,10''H - 12''S, 417 ,     ,          , 13.25 , 10.60 , 1.15 , 11.75 ,     ,,014949045749,,,
OR,    ,069905,#5,RHUS TYPHINA LACINIATA,Laceleaf Staghorn Sumac                                     ,DCS,04,     ,,,DORMANT,"24""H", 40 ,,, 25.75 , 20.60 , 2.30 , 22.90 ,     ,,014949699058,,,
CA,2010,058142,#2,RIBES HERTELLUM PIXWELL,Pixwell Gooseberry                                          ,DCS,03,     ,,,,"14""H",     , 140 ,04/01/14  , 16.00 , 12.80 , 1.24 , 14.04 ,     ,,014949318447,,,
CA,    ,069332PT,#2 PATIO TREE,ROSA AUTUMN SUNBLAZE R P9652,Autumn Sunblaze®  Miniature Rose,ROS,05,     ,,,BUDS,12''S, 3 ,,, 24.00 , 19.20 , 1.85 , 21.05 ,     ,,014949693322,,,
OR,    ,024582,#2,ROSA CARAMBA TM PP13396,Caramba®  Shrub Rose,ROS,05,     ,,,-,10''H - 12''S, 504 ,     ,          , 14.75 , 11.80 , 1.15 , 12.95 ,     ,,014949049075,,,
OR,    ,024632,#2,ROSA CHATEAU MERLOT TM PP12190,Chateau Merlot®  Shrub Rose,ROS,05,     ,,,-,"12""H - 12""S", 259 ,     ,          , 14.75 , 11.80 , 1.15 , 12.95 ,     ,,014949049112,,,
OR,    ,036292,#2,ROSA FLWR CAR R AMBER PPAF,Flower Carpet®  Amber Groundcover Rose,ROS,04,     ,#REF!,,-,"12""H - 14""S", 213 ,     ,          , 14.75 , 11.80 , 1.15 , 12.95 ,     ,,014949211762,,,
CA,    ,069292L,#2 LANDSCAPE ONLY,ROSA FLWR CAR R APLBLSM P10239,Flower Carpet®  Appleblossom Groundcover Rose,ROS,04, 15 ,,15,-,"8""H - 10""S",     , 132 ,04/01/14  , 13.75 , 11.00 , 1.24 , 12.24 ,     ,,014949219027,,,
OR,    ,078182L,#2 LANDSCAPE ONLY,ROSA FLWR CAR R CORAL PP14441,Flower Carpet®  Coral Groundcover Rose,ROS,05,     ,,,-,"12""H - 12""S", 36 ,     ,          , 13.75 , 11.00 , 1.15 , 12.15 ,     ,,014949219065,,,
CA,    ,069782,#2,ROSA FLWR CAR R PINK,Flower Carpet®  Pink Groundcover Rose,ROS,04,     ,,,-,"8""H - 10""S", 509 ,,, 14.75 , 11.80 , 1.24 , 13.04 ,     ,,014949697825,,,
