Loc,Item,Size,Description,Botanical Name,Common Name,Product,Zone,Condition,Current Specs,Plant Status,Qty Open,Qty Alloc Rem Thru 06/30/15,Net Avail Qty,Min Order Qty,List Price,UPC#,Sale Price,AVL Flag
,13201,,BOUG ORANGE KING,,,,,,,,,,,,,,,
,13215,,BOUG RASPBERRY ICE,,,,,,,,,,,,,,,
