170000,000171ST,ABUTILON ALBUS,9
170000,000175ST,ABUTILON ALBUS,9
170000,000151ST,ABUTILON LUTEUS,9
170000,000155ST,ABUTILON LUTEUS,9
170000,000131ST,ABUTILON ROSEUS,9
170000,000135ST,ABUTILON ROSEUS,9
170000,000201ST,ABUTILON SUPER RED R,9
170000,000191ST,ABUTILON VESUVIUS RED,9
170000,35282,AGAPANTHUS AFR SUN STRIPE R,8
170000,1651,AGAPANTHUS AFRICANUS,8
550000,1651,AGAPANTHUS AFRICANUS,8
170000,99571,AGAPANTHUS BABY PETE TMPP21705,8
550000,99571,AGAPANTHUS BABY PETE TMPP21705,8
550000,09957UT,AGAPANTHUS BABY PETE TMPP21705,8
550000,1732,AGAPANTHUS BLUE STORM PP14332,8
170000,1801,AGAPANTHUS QUEEN ANNE-DIVISION,8
550000,87422,ALOCASIA IVORY COAST PPAF,9
550000,87432,ALOCASIA SERENGETI PPAF,9
170000,002001S,ALPINIA ZERUMBET VARIEGATA,8
550000,2002,ALPINIA ZERUMBET VARIEGATA,8
550000,2005,ALPINIA ZERUMBET VARIEGATA,8
170000,96532,ALST INTICANCHA R BRYCE,8
550000,96532,ALST INTICANCHA R BRYCE,8
170000,96502,ALST INTICANCHA R MACHU,8
550000,96502,ALST INTICANCHA R MACHU,8
170000,96522,ALST INTICANCHA R NAVAYO,8
550000,96522,ALST INTICANCHA R NAVAYO,8
170000,96482,ALST INTICANCHA R PURPLE,8
550000,96482,ALST INTICANCHA R PURPLE,8
170000,96492,ALST INTICANCHA R SUNLIGHT,8
550000,96492,ALST INTICANCHA R SUNLIGHT,8
170000,96542,ALST INTICANCHA R WHITE,8
550000,96542,ALST INTICANCHA R WHITE,8
170000,96512,ALST INTICANCHA R WHT BLSH PNK,8
550000,96512,ALST INTICANCHA R WHT BLSH PNK,8
170000,40311,ALYOGYNE LEON'S PUR DELIGHT TM,9
170000,040315PT,ALYOGYNE LEON'S PUR DELIGHT TM,9
170000,040315ST,ALYOGYNE LEON'S PUR DELIGHT TM,9
170000,2421,ALYOGYNE SANTA CRUZ,9
170000,002425PT,ALYOGYNE SANTA CRUZ,9
170000,002425ST,ALYOGYNE SANTA CRUZ,9
170000,66342,ASCLEPIAS CUR SILKY GOLD,8
170000,3151,ASPARAGUS MYERS,9
550000,3151,ASPARAGUS MYERS,9
170000,3152,ASPARAGUS MYERS,9
550000,3152,ASPARAGUS MYERS,9
550000,3155,ASPARAGUS MYERS,9
170000,25982,BORONIA CREN SHARK BAY,9
170000,12701,BOUG BARBARA KARST,10
550000,12701,BOUG BARBARA KARST,10
550000,12705,BOUG BARBARA KARST,10
550000,012705PT,BOUG BARBARA KARST,10
550000,35041,BOUG BENGAL ORANGE,10
170000,035041BH,BOUG BENGAL ORANGE,10
550000,035045PT,BOUG BENGAL ORANGE,10
170000,090121BH,BOUG BLUEBERRY ICE,10
170000,090122BH,BOUG BLUEBERRY ICE,10
170000,12905,BOUG CAMARILLO FIESTA TM,10
170000,13035,BOUG DON MARIO R,10
170000,12661,BOUG GOLD RUSH TM,10
170000,12662,BOUG GOLD RUSH TM,10
170000,12665,BOUG GOLD RUSH TM,10
170000,13121,BOUG JAMES WALKER,10
170000,13125,BOUG JAMES WALKER,10
550000,013265PT,BOUG OO-LA-LA R,10
550000,13201,BOUG ORANGE KING,10
170000,13205,BOUG ORANGE KING,10
550000,13205,BOUG ORANGE KING,10
170000,13051,BOUG PURPLE QUEEN R,10
550000,13051,BOUG PURPLE QUEEN R,10
550000,013051BH,BOUG PURPLE QUEEN R,10
550000,013052BH,BOUG PURPLE QUEEN R,10
550000,13055,BOUG PURPLE QUEEN R,10
170000,013055PT,BOUG PURPLE QUEEN R,10
550000,13211,BOUG RASPBERRY ICE,10
170000,013211BH,BOUG RASPBERRY ICE,10
550000,13215,BOUG RASPBERRY ICE,10
550000,013215PT,BOUG RASPBERRY ICE,10
170000,037025BH,BOUG RED,10
170000,013231BH,BOUG ROSENKA,10
170000,38141,BOUG SHARON WESLEY,10
170000,38145,BOUG SHARON WESLEY,10
170000,13451,BOUG TEXAS DAWN TM,10
170000,13455,BOUG TEXAS DAWN TM,10
170000,090141BH,BOUG YANI'S DELIGHT,9
170000,090142BH,BOUG YANI'S DELIGHT,9
550000,89382,BREYNIA DISTICHA ROSEOPICTA,9
170000,25285,CAESALPINIA GILLIESII,8
170000,46761,CALLISTEM SCRLT TRCH TM P23848,8
550000,46765,CALLISTEM SCRLT TRCH TM P23848,8
170000,14405,CALLISTEMON LITTLE JOHN,8
170000,22462,CANNA PRESIDENT,7
170000,29211,CANNA TROP BLACK TM PP21350,7
550000,29211,CANNA TROP BLACK TM PP21350,7
550000,29212,CANNA TROP BLACK TM PP21350,7
550000,3201,CANNA TROPICAL BRONZE SCARLET,7
550000,3221,CANNA TROPICAL PINK (ROSE),7
550000,3241,CANNA TROPICAL YELLOW,7
170000,17411,CANNA TROPICANNA GLD TM P13809,7
550000,17411,CANNA TROPICANNA GLD TM P13809,7
170000,17412,CANNA TROPICANNA GLD TM P13809,7
550000,17412,CANNA TROPICANNA GLD TM P13809,7
550000,22481,CANNA TROPICANNA TM PP10569,7
170000,22482,CANNA TROPICANNA TM PP10569,7
550000,22482,CANNA TROPICANNA TM PP10569,7
170000,22472,CANNA WYOMING,7
170000,23261,CESTRUM FAS NEWELLII,8
170000,23265,CESTRUM FAS NEWELLII,8
170000,23601,CESTRUM NOCTURNUM,9
450000,024752PT,CITRUS BEARSS SEEDLESS LIME,9
450000,024822PT,CITRUS CLEMENTINE,9
450000,26102,CITRUS DWF WASHINGTON NAVEL,9
450000,025052PT,CITRUS EUREKA LEMON,9
450000,026002PT,CITRUS IMPROVED MEYER LEMON,9
450000,25602,CITRUS KUMQUAT NAGAMI,9
450000,025602PT,CITRUS KUMQUAT NAGAMI,9
450000,026602PT,CITRUS OWA SATSUMA MANDARIN,9
450000,26052,CITRUS WASHINGTON NAVEL ORANGE,9
450000,026052PT,CITRUS WASHINGTON NAVEL ORANGE,9
170000,30441,CLIVIA BELGIAN HYB ORANGE,9
550000,30442,CLIVIA BELGIAN HYB ORANGE,9
170000,30445,CLIVIA BELGIAN HYB ORANGE,9
550000,30445,CLIVIA BELGIAN HYB ORANGE,9
170000,28842,CLIVIA BELGIUM HYB YELLOW,9
170000,24172,COLOCASIA ANT ILLUSTRIS,7
550000,24175,COLOCASIA ANT ILLUSTRIS,7
450000,401863,COLOCASIA HYB BIKINI-TINI,7
550000,408501,COLOCASIA RYL HWN R BK CRL PAF,7
550000,408505,COLOCASIA RYL HWN R BK CRL PAF,7
550000,408491,COLOCASIA RYL HWN R HAWAN PNCH,7
550000,408495,COLOCASIA RYL HWN R HAWAN PNCH,7
550000,412581,COLOCASIA RYL HWN R MAUI GOLD,7
550000,412585,COLOCASIA RYL HWN R MAUI GOLD,7
170000,31731,CORD FESTIVAL TM BRGNDY P14224,8
170000,84531,CORD FESTIVAL TM LIME PPAF,8
170000,31721,CORDYLINE BAUERI,9
550000,31721,CORDYLINE BAUERI,9
170000,31701,CORDYLINE INDIVISA,9
550000,17421,CORDYLINE RED STAR,9
170000,89392,CROSSANDRA ORANGE MARMALADE,10
170000,83041,CUPHEA HYS ITSY BITSY R LILAC,9
170000,30121,CUPHEA HYS ITSY BITSY R ROSE,9
550000,30121,CUPHEA HYS ITSY BITSY R ROSE,9
170000,83001,CUPHEA HYS ITSY BITSY R WHITE,9
170000,33711,CUPHEA HYS RIVERDENE GOLD PPAF,9
550000,30491,CUPHEA HYSSOPIFOLIA,8
170000,46741,DIETES X KATRINA R PP 21460,8
550000,046741S,DIETES X KATRINA R PP 21460,8
170000,46745,DIETES X KATRINA R PP 21460,8
550000,46745,DIETES X KATRINA R PP 21460,8
170000,62005,ENSETE MAURELII,10
550000,62005,ENSETE MAURELII,10
170000,032561BH,EUCALYPTUS CINEREA,8
170000,032565BH,EUCALYPTUS CINEREA,8
170000,032565TR,EUCALYPTUS CINEREA,8
170000,33301,EUGENIA MYR GLOBULUS,9
170000,33305,EUGENIA MYR GLOBULUS,9
170000,033305CN,EUGENIA MYR GLOBULUS,9
170000,033305P2,EUGENIA MYR GLOBULUS,9
170000,033305SP,EUGENIA MYR GLOBULUS,9
170000,033425P2,EUGENIA MYR MONTEREY BAY,9
170000,35571,EURYOPS PECT VIRIDIS,8
170000,035572PT,EURYOPS PECT VIRIDIS,8
170000,035575PT,EURYOPS PECT VIRIDIS,8
160000,35641,FATSIA JAPONICA,8
550000,35641,FATSIA JAPONICA,8
160000,35645,FATSIA JAPONICA,8
170000,35645,FATSIA JAPONICA,8
