Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
CA,1361910,VI 2014                       ,5/15/2014,3391,#1,ASTER NOVI-BELGII ALERT,Alert New York Aster                                                                                ,    ,4.75,PRNADV,3.75,10,10,37.5,4/1/2014,,,0.72,4.47,     ,,15,14949033913
GA,1361954,GA 2014                       ,5/15/2014,3411,#1,ASTER PURPLE DOME,Purple Dome New England Aster                                                                       ,    ,4.75,PRNADV,3.75,10,10,37.5,Now         ,,CAN FULL,0.74,4.49,     ,,15,14949034118
OR,1361955,OR 2014                       ,5/15/2014,3611,#1,ASTER TRIUMPH,Triumph Aster                                                                                       ,    ,4.75,PRNADV,3.75,10,10,37.5,Now         ,CUT BACK,.,0.69,4.44,     ,,15,14949036112
OR,1361955,OR 2014                       ,5/15/2014,3521,#1,ASTILBE CHINENSIS PUMILA,Chinese Astilbe                                                                                     ,    ,4.75,PRNADV,3.75,10,10,37.5,Now         ,DORMANT,3-5 EYES,0.69,4.44,     ,,15,14949035214
OR,1361955,OR 2014                       ,5/15/2014,3621,#1,ASTILBE CHINENSIS VISIONS,Visions Astilbe                                                                                     ,    ,4.75,PRNADV,3.75,10,20,75,Now         ,DORMANT,3-5 EYES,0.69,4.44,     ,,15,14949036211
GA,1361954,GA 2014                       ,5/15/2014,3621,#1,ASTILBE CHINENSIS VISIONS,Visions Astilbe                                                                                     ,    ,4.75,PRNADV,3.75,10,10,37.5,Now         ,DORMANT,3-5 EYES,0.74,4.49,     ,,15,14949036211
OR,1361955,OR 2014                       ,5/15/2014,27501,#1,ASTILBE COLOR FLASH R PP17343,Color Flash®  Astilbe                                                                               ,    ,6.75,PRNADV,5.33,10,40,213.2,Now         ,DORMANT,3-5 EYES,0.69,6.02,     ,,15,14949061862
GA,1361954,GA 2014                       ,5/15/2014,27501,#1,ASTILBE COLOR FLASH R PP17343,Color Flash®  Astilbe                                                                               ,    ,6.75,PRNADV,5.33,10,10,53.3,Now         ,DORMANT,3-5 EYES,0.74,6.07,     ,,15,14949061862
GA,1361954,GA 2014                       ,5/15/2014,3511,#1,ASTILBE DEUTSCHLAND,Deutschland Astilbe                                                                                 ,    ,4.75,PRNADV,3.75,10,10,37.5,4/1/2014,,,0.74,4.49,     ,,15,14949035115
OR,1361955,OR 2014                       ,5/15/2014,3501,#1,ASTILBE FANAL,Fanal Astilbe                                                                                       ,    ,4.75,PRNADV,3.75,10,20,75,Now         ,DORMANT,3-5 EYES,0.69,4.44,     ,,15,14949035016
GA,1361954,GA 2014                       ,5/15/2014,1621,#1,ASTILBE GRANAT,Granat Astilbe                                                                                      ,    ,4.75,PRNADV,3.75,10,10,37.5,4/1/2014,,,0.74,4.49,     ,,15,14949009703
OR,1361955,OR 2014                       ,5/15/2014,1631,#1,ASTILBE HENNIE GRAAFLAND,Hennie Graafland Star Astilbe                                                                       ,    ,4.75,PRNADV,3.75,10,30,112.5,Now         ,DORMANT,3-5 EYES,0.69,4.44,     ,,15,14949000281
OR,1361955,OR 2014                       ,5/15/2014,34331,#1,ASTILBE MAGGIE DALEY,Maggie Daley Astilbe                                                                                ,    ,4.75,PRNADV,3.75,10,10,37.5,Now         ,DORMANT,3-5 EYES,0.69,4.44,     ,,15,14949071731
GA,1361954,GA 2014                       ,5/15/2014,1671,#1,ASTILBE MONTGOMERY,Montgomery Astilbe                                                                                  ,    ,4.75,PRNADV,3.75,10,10,37.5,Now         ,,CAN FULL,0.74,4.49,     ,,15,14949053102
OR,1361955,OR 2014                       ,5/15/2014,1681,#1,ASTILBE RED SENTINEL,Red Sentinel Astilbe                                                                                ,    ,4.75,PRNADV,3.75,10,10,37.5,Now         ,DORMANT,3-5 EYES,0.69,4.44,     ,,15,14949010174
GA,1361954,GA 2014                       ,5/15/2014,3541,#1,ASTILBE RHEINLAND,Rheinland Astilbe                                                                                   ,    ,4.75,PRNADV,3.75,10,10,37.5,4/1/2014,,,0.74,4.49,     ,,15,14949035412
GA,1361954,GA 2014                       ,5/15/2014,59151,#1,ASTILBE VISION IN PINK PP11860,Visions in Pink Astilbe                                                                             ,2010,4.75,PRNADV,3.75,10,20,75,4/1/2014,,,0.74,4.49,     ,,15,14949315026
GA,1361954,GA 2014                       ,5/15/2014,16341,#1,ASTILBE VISION IN RED PP11965,Vision In Red Astilbe                                                                               ,    ,4.75,PRNADV,3.75,10,20,75,4/1/2014,,,0.74,4.49,     ,,15,14949004692
GA,1361954,GA 2014                       ,5/15/2014,2781,#1,BAPTISIA 'PURPLE SMOKE',Purple Smoke False Indigo                                                                           ,2011,4.75,PRNADV,3.75,10,20,75,4/1/2014,,,0.74,4.49,     ,,15,14949352618
CA,1361910,VI 2014                       ,5/15/2014,2191,#1,BAPTISIA AUSTRALIS,Blue False Indigo                                                                                   ,    ,4.75,PRNADV,3.75,10,10,37.5,3/15/2014,-,,0.72,4.47,     ,,15,14949011324
GA,1361954,GA 2014                       ,5/15/2014,2191,#1,BAPTISIA AUSTRALIS,Blue False Indigo                                                                                   ,    ,4.75,PRNADV,3.75,10,10,37.5,4/1/2014,,,0.74,4.49,     ,,15,14949011324
OR,1361955,OR 2014                       ,5/15/2014,12031,#1,BER GOLDN NUGGET TM P9577 CBR,Golden Nugget™  Dwarf Japanese Barberry                                                             ,    ,6,,5.04,10,20,100.8,Now         ,BREAKING DORMANCY,4''H - 6''S,0.69,5.73,     ,,20,14949120316
OR,1361955,OR 2014                       ,5/15/2014,12032,#2,BER GOLDN NUGGET TM P9577 CBR,Golden Nugget™  Dwarf Japanese Barberry                                                             ,    ,12.5,,10.5,5,30,315,Now         ,BREAKING DORMANCY,6''H - 10''S,1.73,12.23,     ,,29.99,14949120323
CA,1361910,VI 2014                       ,5/15/2014,074741S,SuperOne TM,BER SUNJOY R GOLD PILLAR PPAF,Sunjoy®  Gold Pillar Barberry                                                                       ,2011,9.75,,8.19,10,20,163.8,Now         ,DORMANT,"10""H - 4""S",1.21,9.4,     ,,25,14949335642
OR,1361955,OR 2014                       ,5/15/2014,080771S,SuperOne TM,BER SUNJOY R MINI SALSA PPAF,Sunjoy®  Mini Salsa Barberry                                                                        ,New ,9.75,,8.19,10,30,245.7,Now         ,DORMANT,8''H -10''S,1.15,9.34,     ,,25,14949359501
OR,1361955,OR 2014                       ,5/15/2014,2241,#1,BER T CONCORDE,Concorde Japanese Barberry                                                                          ,    ,6,,5.04,10,10,50.4,Now         ,DORMANT,"6""H - 6""S",0.69,5.73,     ,,20,14949198063
CA,1361910,VI 2014                       ,5/15/2014,2241,#1,BER T CONCORDE,Concorde Japanese Barberry                                                                          ,    ,6,,5.04,10,17,85.68,Now         ,DORMANT,"9""H - 6""S",0.72,5.76,     ,,20,14949198063
OR,1361955,OR 2014                       ,5/15/2014,2242,#2,BER T CONCORDE,Concorde Japanese Barberry                                                                          ,    ,12.5,,10.5,5,44,462,Now         ,DORMANT,"6""H - 10""S",1.73,12.23,     ,,35,14949074671
OR,1361955,OR 2014                       ,5/15/2014,12051,#1,BER T CRIMSON PYGMY,Crimson Pygmy Dwarf Japanese Barberry                                                               ,    ,5.75,,4.83,10,20,96.6,Now         ,DORMANT,8''H - 8''S,0.69,5.52,     ,,20,14949120514
OR,1361955,OR 2014                       ,5/15/2014,12052,#2,BER T CRIMSON PYGMY,Crimson Pygmy Dwarf Japanese Barberry                                                               ,    ,12.5,,10.5,5,20,210,Now         ,DORMANT,"12""H - 14''S",1.73,12.23,     ,,29.99,14949120521
OR,1361955,OR 2014                       ,5/15/2014,35232,#2,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry                                                                              ,2009,15.25,,12.81,5,30,384.3,Now         ,BREAKING DORMANCY,8''H - 12''S,1.73,14.54,     ,,35,14949214626
OR,1361955,OR 2014                       ,5/15/2014,12102,#2,BER T HELMOND PILLAR,Helmond Pillar Barberry                                                                             ,    ,12.5,,10.5,5,20,210,Not Avl     ,DORMANT,,1.73,12.23,     ,,29,14949121023
CA,1361910,VI 2014                       ,5/15/2014,20702,#2,BER T LIME GLOW,Lime Glow Japanese Barberry                                                                         ,    ,12.5,,10.5,5,15,157.5,Now         ,DORMANT,"9""H - 10""S",1.81,12.31,     ,,35,14949055137
OR,1361955,OR 2014                       ,5/15/2014,62931,#1,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                                                              ,2012,6.5,,5.46,10,16,87.36,Now         ,DORMANT,"12""H - 6""S",0.69,6.15,     ,,25,14949348093
CA,1361910,VI 2014                       ,5/15/2014,62931,#1,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                                                              ,2012,6.5,,5.46,10,34,185.64,Now         ,DORMANT,"9""H - 6""S",0.72,6.18,     ,,25,14949348093
OR,1361955,OR 2014                       ,5/15/2014,12202,#2,BER T ROSE GLOW,Rose Glow Japanese Barberry                                                                         ,    ,12.5,,10.5,5,10,105,Now         ,DORMANT,15''H - 14''S,1.73,12.23,     ,,29.99,14949122020
OR,1361955,OR 2014                       ,5/15/2014,11932,#2,BER T SUNSATION R PP11332 CBR,Sunsation®  Japanese Barberry                                                                       ,    ,12.5,,10.5,5,20,210,Now         ,BREAKING DORMANCY,"10""H - 10""S",1.73,12.23,     ,,29.99,14949119327
CA,1361910,VI 2014                       ,5/15/2014,013055BH,#5 BUSH,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea                                                                        ,    ,21.5,,18.06,5,5,90.3,Now         ,BUDS & BLOOMS,"12""H-15""S",3.62,21.68,     ,,59.99,14949130759
CA,1361910,VI 2014                       ,5/15/2014,013215BH,#5 BUSH,BOUG RASPBERRY ICE,Raspberry Ice Bougainvillea                                                                         ,    ,21.5,,18.06,5,5,90.3,3/15/2014,,,3.62,21.68,     ,,59.99,14949009505
CA,1361910,VI 2014                       ,5/15/2014,35381,#1,BRUNNERA MAC JACK FROST P13859,Jack Frost Siberian Bugloss                                                                         ,    ,6.75,PRNADV,5.33,10,60,319.8,4/15/2014,,,0.72,6.05,     ,,15,14949276006
OR,1361955,OR 2014                       ,5/15/2014,13651,#1,BRUNNERA MAC VARIEGATA,Variegated Siberian Bugloss                                                                         ,    ,6,PRNADV,4.74,10,20,94.8,Now         ,CUT BACK,.,0.69,5.43,     ,,20,14949136515
GA,1361954,GA 2014                       ,5/15/2014,074411S,SuperOne TM,BUD LO&BEHLD R BLU CHP PP19991,Blue Chip Dwarf Summer Lilac                                                                        ,2011,9.75,,8.19,10,10,81.9,4/1/2014,,,1.24,9.43,     ,PROTECT,20,14949335680
CA,1361910,VI 2014                       ,5/15/2014,13782,#2,BUDDLEJA DAV BLACK KNIGHT,Black Knight Butterfly Bush                                                                         ,    ,13.75,,11.55,5,10,115.5,Now         ,BREAKING DORMANCY,"8""H - 10""S",1.81,13.36,     ,PROTECT,35,14949137826
