Requested,Remaining,Date,Item,Description,Size,Form,Whs,UPC,,Retail,Selling Price,Price Code,Extended,
10,10,5/1/2016,033701,EUO F COLORATUS,1,,550000,014949337011,,$16.99 ,$5.94 ,,$59.40 ,
10,10,5/1/2016,071811,GR-JUNCUS EFFUSUS CURLY WURLY,1,,550000,014949329719,,$17.99 ,$6.41 ,,$64.10 ,
10,10,5/1/2016,063611,GR-PENN ALO MOUDRY,1,,550000,014949636114,,$17.99 ,$6.41 ,,$64.10 ,
16,16,5/1/2016,06427UT,GR-PENN SET RUBRUM,QT,,550000,014949043233,,$10.99 ,$3.80 ,,$60.80 ,
16,16,5/1/2016,04009UT,HEM LITTLE BUSINESS,QT,,550000,014949037027,,$9.99 ,$3.09 ,,$49.44 ,
10,10,5/1/2016,097091,HEUCHERA CARNIVAL LIMEADE PPAF,1,,550000,014949383919,,$19.99 ,$6.89 ,,$68.90 ,
10,10,5/1/2016,097161,HEUCHERA CARNIVAL PCH PRFT PAF,1,,550000,014949383926,,$19.99 ,$6.89 ,,$68.90 ,
10,10,5/1/2016,076241,HEUCHERELLA REDSTN FLLS P22394,1,,550000,014949369531,,$21.99 ,$7.84 ,,$78.40 ,
10,10,5/1/2016,407761,HEUCHERELLA SOLAR ECLIPSE,1,,550000,014949414606,,$21.99 ,$7.84 ,,$78.40 ,
10,10,5/1/2016,055251,HIB R HEAT FLASH,1,,550000,014949323908,,$21.99 ,$7.84 ,,$78.40 ,
10,10,5/1/2016,093061,HOSTA ENTERPRISE,1,,550000,014949276990,,$19.99 ,$6.89 ,,$68.90 ,
10,10,5/1/2016,093111,HOSTA RAINFOREST SUNRISE,1,,550000,014949277041,,$16.99 ,$5.70 ,,$57.00 ,
10,10,5/1/2016,044671,HOSTA STAINED GLASS PPAF,1,,550000,014949267561,,$19.99 ,$6.89 ,,$68.90 ,
10,10,5/1/2016,074542S,HYD MAC CTYLN TM RIO,2S,,550000,014949338223,,$48.99 ,$17.10 ,,$171.00 ,
5,5,5/1/2016,074592S,HYD MAC LD R MOONLIGHT PP20020,2S,,550000,014949336229,,$48.99 ,$17.10 ,,$85.50 ,
5,5,5/15/2016,042445PT,HYD PAN PINK DIAMOND,5,PT,550000,014949248799,,$110.99 ,$38.48 ,,$192.40 ,
5,5,5/1/2016,042132,HYPERICUM FRONDOSUM SUNBURST,2,,550000,014949421321,,$40.99 ,$14.49 ,,$72.45 ,
5,5,5/1/2016,045122,ILEX X BERRI-MAGIC R CHINA,2,,550000,014949451229,,$44.99 ,$15.91 ,,$79.55 ,
24,24,5/1/2016,09238UT,MAN SUN PAR R GARDEN CRIMSON,QT,,550000,014949377062,,$11.99 ,$4.04 ,,$96.96 ,
5,5,5/1/2016,057092BH,MAN SUN PAR R PRTY CRMN P16449,2,BH,550000,014949290101,,$39.99 ,$14.01 ,,$70.05 ,
10,10,5/1/2016,057071,MAN SUN PAR R PRTY PNK P19399,1,ST,550000,014949347201,,$24.99 ,$9.03 ,,$90.30 ,
4,4,5/1/2016,061945,MUSA ACUM ZEBRINA,5,,550000,014949619452,,$82.99 ,$29.21 ,,$116.84 ,
10,10,5/1/2016,010591,PEROVSKIA LITTLE SPIRE P11643,1,,550000,014949001882,,$17.99 ,$6.41 ,,$64.10 ,
5,5,5/1/2016,098552S,ROSA DRIFT R CORAL PP19148,2S,,550000,014949384282,,$40.99 ,$13.54 ,,$67.70 ,
5,5,5/1/2016,098562S,ROSA DRIFT R PEACH PP18542,2S,,550000,014949384275,,$40.99 ,$13.54 ,,$67.70 ,
5,5,5/1/2016,022642S,ROSA DRIFT R RED PP17877,2S,,550000,014949384299,,$40.99 ,$13.54 ,,$67.70 ,
6,6,5/1/2016,042822S,ROSA KNCK OUT R DBL PNK P18507,2S,,550000,014949370209,,$38.99 ,$13.06 ,,$78.36 ,
6,6,5/1/2016,030902S,ROSA KNCK OUT R DBL RD P16202,2S,,550000,014949370223,,$38.99 ,$13.06 ,,$78.36 ,
2,2,5/1/2016,030905PT,ROSA KNCK OUT R DBL RD P16202,5,PT,550000,014949192337,,$108.99 ,$38.00 ,,$76.00 ,
5,5,5/1/2016,089102,ROSA SUNROSA TM SOFT PINK,2,,550000,014949374771,,$42.99 ,$15.20 ,,$76.00 ,
5,5,5/1/2016,098583,ROSA WHITE OUT TM PP20273,3,,550000,014949176207,,$44.99 ,$14.73 ,,$73.65 ,
10,10,5/1/2016,018631,RUDBECKIA LTLE GOLDSTAR P22397,1,,550000,014949379134,,$14.99 ,$4.99 ,,$49.90 ,
16,16,5/1/2016,01954UT,SALVIA NEM MARCUS R PP13322,QT,,550000,014949228029,,$9.99 ,$3.09 ,,$49.44 ,
10,10,5/1/2016,416611,SALVIA X SYL APRIL NIGHT PPAF,1,,550000,014949431849,,$14.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,044871,SEDUM RUP ANGELINA PPAF,1,,550000,014949314272,,$14.99 ,$5.23 ,,$52.30 ,
16,16,5/1/2016,07073UT,SEDUM TRICOLOR,QT,,550000,014949046289,,$9.99 ,$3.09 ,,$49.44 ,
16,16,5/1/2016,06559UT,SEMPERVIVUM BLACK,QT,,550000,014949309292,,$9.99 ,$3.09 ,,$49.44 ,
10,10,5/1/2016,072611,TRADESCANTIA BLU&GLD(SWT KATE),1,,550000,014949726112,,$14.99 ,$4.99 ,,$49.90 ,
