Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Min Ord Qty,,Available Now     ,Available Later,On,Available Later,On,Available Later,On
CA,    ,003151,#1,ASPARAGUS MYERS,Asparagus densiflorus 'Myers'                               ,Foxtail Fern                                                ,Sun/shade foliage-groundcover,FRN,09, 10 , x ," 13,053 "," 13,255 ",03/01/15  ," 13,255 ",04/01/15  ,     ,          
GA,    ,003565,#5,AUCUBA MR GOLDSTRIKE,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,Evergreen shade shrub,EVS,06, 5 , x , 478 ," 3,024 ",09/01/14  ," 4,743 ",05/15/15  ,     ,          
GA,    ,012705PT,#5 PATIO TREE,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,Tropical flowering vine,VIN,10, 2 , x , 73 ," 1,124 ",09/01/14  ," 1,172 ",05/15/15  ,     ,          
GA,    ,035045PT,#5 PATIO TREE,BOUG BENGAL ORANGE,Bougainvillea 'Bengal Orange'                               ,Bengal Orange Bougainvillea                                 ,Tropical flowering vine,VIN,10, 2 , x , 526 , 526 ,09/01/14  ,     ,          ,     ,          
CA,    ,016482,#2 STAKED,BOUG GOLDEN JACKPOT R,Bougainvillea 'MonSam'                                      ,Golden Jackpot®  Bougainvillea,Tropical flowering vine,VIN,10, 5 , x , 431 , 444 ,04/01/15  ,     ,          ,     ,          
GA,    ,013051,#1 STAKED,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,Tropical flowering vine,VIN,10, 10 , x ,     , 166 ,08/15/14  , 597 ,09/01/14  , 597 ,05/01/15  
GA,    ,029212,#2,CANNA TROP BLACK TM PP21350,"Canna indica 'Lon01' P.P.#21,350                            ",Tropicanna®  Black Canna,Tropical perennial,PRN,07, 5 , x ,     , 97 ,09/15/14  , 112 ,04/01/15  ,     ,          
CA,    ,017412,#2,CANNA TROPICANNA GLD TM P13809,"Canna indica 'Mactro' P.P.# 13,809                          ",Tropicanna®  Gold Canna,Tropical perennial,PRN,07, 5 , x , 646 , 646 ,03/01/15  ,     ,          ,     ,          
CA,    ,022482,#2,CANNA TROPICANNA TM PP10569,"Canna indica 'Phasion' P.P.# 10,569                         ",Tropicanna®  Canna,Tropical perennial,PRN,07, 5 , x , 36 , 40 ,03/01/15  ,     ,          ,     ,          
CA,    ,031721,#1,CORDYLINE BAUERI,Cordyline 'Baueri'                                          ,Bauer's Dracaena Palm                                       ,Grass-like plant,EVS,09, 10 , x ,     ," 5,308 ",04/01/15  ,     ,          ,     ,          
CA,    ,017421,#1,CORDYLINE RED STAR,Cordyline 'Red Star'                                        ,Red Star Dracaena Palm                                      ,Grass-like plant,EVS,09, 10 , x ,     ," 3,043 ",04/01/15  ,     ,          ,     ,          
CA,2011,069231,#1,ECHEVERIA NODULOSA,Echeveria nodulosa                                          ,Painted Echeveria                                           ,Succulent/cactus/yucca,CAC,09, 10 , x , 366 ," 1,368 ",12/31/14  ,     ,          ,     ,          
CA,    ,035571,#1,EURYOPS PECT VIRIDIS,Euryops pectinatus 'Viridis'                                ,Green-Leaved Euryops                                        ,Evergreen early flower'g shrub,EVS,08, 10 , x ,     ," 1,440 ",10/01/14  ," 1,440 ",02/15/15  ," 1,440 ",03/01/15  
CA,    ,035905,#5,FERN-ALSOPHILA AUSTRALIS,Alsophila australis                                         ,Australian Tree Fern                                        ,Fern,FRN,10, 5 , x , 494 , 762 ,04/01/15  ,     ,          ,     ,          
CA,    ,036785,#5,FICUS CAR BROWN TURKEY,Ficus carica 'Brown Turkey'                                 ,Brown Turkey Fig                                            ,Edible berries/fruit,TRE,07, 5 , x , 401 , 657 ,11/25/14  ," 1,814 ",04/01/15  ,     ,          
CA,    ,037671,#1,GARDENIA FIRST LOVE R,Gardenia jasminoides 'Aimee'                                ,First Love®  Gardenia,Evergreen fragrant shrub,EVS,08, 10 , x ,     ," 6,032 ",04/01/15  ,     ,          ,     ,          
CA,    ,037801,#1,GARDENIA VEITCHII,Gardenia jasminoides 'Veitchii'                             ,Everblooming Gardenia                                       ,Evergreen fragrant shrub,EVS,08, 10 , x ,     ," 1,053 ",11/15/14  ," 4,521 ",04/15/15  ,     ,          
CA,    ,024671,#1,GR-MUHLEN CAP REGAL MIST R,Muhlenbergia capillaris 'Lenca'                             ,Regal Mist®  Pink Muhly,Large grass,GRS,06, 10 , x , 7 , 904 ,11/15/14  , 904 ,04/01/15  ,     ,          
GA,2010,022201,#1,GR-PENN SET FIREWORKS PP18504,"Pennisetum setaceum 'Fireworks' P.P.# 18,504                ",Fireworks Fountain Grass                                    ,Large grass,GRS,09, 10 , x , 255 ,     ,          ,     ,          ,     ,          
CA,    ,064275,#5,GR-PENN SET RUBRUM,Pennisetum setaceum 'Rubrum'                                ,Purple Fountain Grass                                       ,Large grass,GRS,08, 5 , x , 150 , 150 ,04/01/15  ,     ,          ,     ,          
CA,2013,055241,#1,HIB R C'EST BON,Hibiscus rosa-sinensis 'C'est Bon'                          ,C'est Bon Cajun Hibiscus                                    ,Evergreen trop flower'g shrub,EVS,10, 10 , x ,     , 42 ,04/01/15  ,     ,          ,     ,          
CA,    ,025205,#5,HIB R ERIN RACHEL,Hibiscus rosa-sinensis 'Erin Rachel'                        ,Erin Rachel Hibiscus                                        ,Evergreen trop flower'g shrub,EVS,10, 5 , x , 287 , 287 ,10/01/14  , 287 ,04/01/15  ,     ,          
CA,    ,056611,#1,LANTANA CAM AMERICAN RED,Lantana camara 'American Red'                               ,American Red Bush Lantana                                   ,Evergreen trop flower'g shrub,PRN,09, 10 , x ,     , 233 ,10/01/14  , 233 ,04/01/15  ,     ,          
CA,    ,056881,#1,LANTANA PAT TM RAINBOW PP9837,"Lantana camara 'Robpatrai' P.P.# 9,837                      ",Patriot™  Rainbow Compact Lantana,Evergreen trop flower'g shrub,PRN,09, 10 , x ,     ," 1,420 ",10/01/14  ," 1,420 ",04/01/15  ,     ,          
CA,    ,05729EPT,"7"" Terra Cotta PATIO TREE",LAURUS NOBILIS,Laurus nobilis                                              ,Sweet Bay                                                   ,Edible berries/fruit,EVS,08, 10 , x ,     , 310 ,10/01/14  , 310 ,03/01/15  ,     ,          
GA,    ,061191,#1 STAKED,MAN PNK PRFT R P11787-P6300547,"Mandevilla x amabilis 'Rita Marie Green' P.P. #11,787, UP #6",Pink Parfait®  Mandevilla,Tropical flowering vine,VIN,10, 10 , x ,     ," 1,555 ",04/15/15  ,     ,          ,     ,          
GA,    ,061241ST,#1 STAKED,MAN RED RIDING HOOD,Mandevilla sanderi 'Red Riding Hood'                        ,Red Riding Hood Mandevilla                                  ,Tropical flowering vine,VIN,10, 10 , x ,     , 755 ,05/01/15  ,     ,          ,     ,          
GA,2014,09238UT,LittleOne,MAN SUN PAR R GARDEN CRIMSON,Mandevilla x 'Sunparacore' P.P.A.F.                         ,Sun Parasol®  Garden Crimson Mandevilla,Tropical flowering vine,VIN,10, 16 , x ," 6,120 ",     ,          ,     ,          ,     ,          
CA,    ,063752,#2,PALM-CYCAS REVOLUTA,Cycas revoluta                                              ,Sago Palm                                                   ,Ornamental tree,TRE,09, 5 , x , 492 , 492 ,04/15/15  ,     ,          ,     ,          
GA,    ,063815,#5,PALM-PHOENIX CANARIENSIS,Phoenix canariensis                                         ,Canary Island Date Palm                                     ,Ornamental tree,TRE,09, 5 , x ,     , 595 ,10/01/14  , 749 ,06/15/15  ,     ,          
CA,    ,066371,#1,PLUMBAGO ROYAL CAPE R,Plumbago auriculata 'Monott'                                ,Royal Cape®  Plumbago,Evergreen sumr flower'g shrub,EVS,09, 10 , x ,     , 375 ,03/01/15  , 375 ,05/01/15  ,     ,          
CA,    ,066361,#1,PLUMBAGO WHITE CAPE R PP13953,Plumbago auriculata 'Monite' P.P.# 13953                    ,White Cape®  Plumbago,Evergreen sumr flower'g shrub,EVS,09, 10 , x ,     , 505 ,04/01/15  ,     ,          ,     ,          
