Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,080771S,SuperOne TM,BER SUNJOY R MINI SALSA PPAF,Berberis thunbergii 'Mimi' P.P.A.F.                         ,Sunjoy®  Mini Salsa Barberry,Berberis,DCS,04,PW, 10.50 ,-,8''H -10''S, 35 , 10 , 35 ,     ,          ,     ,          ,     ,          
OR,080772S,SuperTwo,BER SUNJOY R MINI SALSA PPAF,Berberis thunbergii 'Mimi' P.P.A.F.                         ,Sunjoy®  Mini Salsa Barberry,Berberis,DCS,04,PW, 17.00 ,-,"8""H - 12""S", 5 , 5 , 6 ,     ,          ,     ,          ,     ,          
CA,095742BH,#2 BUSH,BOUG SUNVILLEA TM CREAM P22112,"Bougainvillea x 'Sasara' P.P.# 22,112                       ",Sunvillea™  Cream Dwarf Bougainvillea,Tropical flowering vine,VIN,09,Y, 18.50 ,BUDS & BLOOMS,"10""H-10""S", 20 , 5 , 269 , 438 ,04/01/15  ,     ,          ,     ,          
CA,095752BH,#2 BUSH,BOUG SUNVILLEA TM PINK PP22113,"Bougainvillea x 'Kasumi' P.P.# 22,113                       ",Sunvillea™  Pink Dwarf Bougainvillea,Tropical flowering vine,VIN,09,Y, 18.50 ,BUDS & BLOOMS,"10""H-10""S", 25 , 5 , 216 , 692 ,04/01/15  ,     ,          ,     ,          
OR,094071,#1,BUXUS MIC MORRIS MIDGET,Buxus microphylla var. japonica 'Morris Midget'             ,Morris Midget Boxwood                                       ,Evergreen small shrub/hedge,EVS,05,, 7.50 ,,"3""H - 5""S", 10 , 10 ,     , 10 ,05/01/15  ,     ,          ,     ,          
CA,046761,#1,CALLISTEM SCRLT TRCH TM P23848,"Callistemon rigidus 'RutCall' P.P.#23,848                   ",Scarlet Torch™  Bottlebrush,Evergreen early flower'g shrub,EVS,08,UOG, 7.25 ,-,"8""H - 8""S", 170 , 10 , 960 ,     ,          ,     ,          ,     ,          
CA,046765,#5,CALLISTEM SCRLT TRCH TM P23848,"Callistemon rigidus 'RutCall' P.P.#23,848                   ",Scarlet Torch™  Bottlebrush,Evergreen early flower'g shrub,EVS,08,UOG, 23.50 ,-,"14""H - 15""S", 251 , 5 , 251 ,     ,          ,     ,          ,     ,          
OR,031292,#2,CEANOTHUS CENTENNIAL,Ceanothus 'Centennial'                                      ,Centennial Hybrid Wild Lilac                                ,Evergreen early flower'g shrub,EVS,08,, 15.00 ,-,,     , 5 , 370 ,     ,          ,     ,          ,     ,          
OR,031295,#5,CEANOTHUS CENTENNIAL,Ceanothus 'Centennial'                                      ,Centennial Hybrid Wild Lilac                                ,Evergreen early flower'g shrub,EVS,08,, 23.50 ,,15''H - 18''S,     , 5 ,     , 6 ,05/01/15  ,     ,          ,     ,          
OR,006351,#1,CHRY (LEU) SUP REAL DREAM PPAF,Chrysanthemum x superbum 'Real Dream'                       ,Real Dream Shasta Daisy                                     ,Mid spring interm. flowering,PRN,05,PHI, 5.50 ,-,, 42 , 10 , 7 , 442 ,04/01/15  , 442 ,06/01/15  ,     ,          
