Loc,New Plant,Item,Size,Plant Name,Category,Zone,2015 List Price,Qty Allocated,Min Order Qty,Available         ,Available Later,On
CA,2013,072511,#1,LOBELIA X SPE RUSSIAN PRINCESS,PRN,04, 5.75 , 51 , 10 ,     , 221 ,10/01/14  
OR,2012,082581,#1,NEPETA LITTLE TRUDY R PP18904,PRN,04, 5.10 , 17 , 10 , 3 , 17 ,06/01/15  
OR,2012,081741,#1,NEPETA NERVOSA PINK CAT,PRN,04, 5.10 , 40 , 10 ,     , 233 ,10/01/14  
OR,2012,06777UT,LittleOne,ORIGANUM LIBANOTICUM,PRN,04, 3.10 ,     , 16 , 18 ,     ,          
OR,2012,077131,#1,OSTEO AVALANCHE PP22705,PRN,04, 5.10 , 200 , 10 , 158 , 433 ,06/01/15  
OR,2012,079331,#1,OSTEO LAVENDER MIST R,PRN,05, 5.10 , 175 , 10 , 74 , 482 ,06/01/15  
OR,2012,079351,#1,OSTEO PURPLE MOUNTAIN R,PRN,05, 5.10 , 200 , 10 , 256 ," 1,150 ",06/01/15  
OR,2010,047085,#5,PAEONIA ITOH KEIKO TM (PK D D),PRN,04, 42.50 , 64 , 5 ,     , 64 ,03/01/15  
OR,2011,052605,#5,PAEONIA ITOH MISAKA TM PP22192,PRN,04, 42.50 , 88 , 5 ,     , 88 ,03/01/15  
OR,2014,068585,#5,PAEONIA ITOH MORNING LILAC,PRN,04, 42.50 , 28 , 5 ,     , 28 ,03/01/15  
OR,2011,019585,#5,PAEONIA ITOH SING IN THE RAIN,PRN,04, 42.50 , 25 , 5 ,     , 25 ,03/01/15  
OR,2011,052595,#5,PAEONIA ITOH TAKARA TM PP22374,PRN,04, 42.50 , 56 , 5 , 56 , 56 ,03/01/15  
OR,2010,047075,#5,PAEONIA ITOH YUMI TM (YLW),PRN,04, 42.50 , 44 , 5 ,     , 44 ,03/01/15  
OR,2014,062722,#2,PAEONIA TENUIFOLIA EARLY SCOUT,PRN,03, 19.50 , 18 , 5 ,     , 18 ,03/01/15  
CA,2012,079451,#1,PENST HOT PNK RDNG HOOD P23089,PRN,05, 6.35 , 38 , 10 ,     , 38 ,03/01/15  
CA,2013,079441,#1,PENST PRPLE RIDING HOOD P23067,PRN,05, 6.35 , 40 , 10 ,     , 40 ,03/01/15  
CA,2010,094741,#1,PENST RED RIDING HOOD PP18950,PRN,05, 6.35 , 310 , 10 ,     , 317 ,03/01/15  
OR,2011,066791,#1,PENSTEMON X DOROTHY WILSON,PRN,04, 5.10 , 25 , 10 , 109 ,     ,          
OR,2013,081631,#1,PENSTEMON X MEX CARILLO PURPLE,PRN,05, 6.35 , 23 , 10 ,     , 23 ,04/01/15  
OR,2012,029471,#1,PENSTEMON X MEX RED ROCKS R,PRN,04, 6.35 , 62 , 10 ,     , 62 ,06/01/15  
CA,2012,067781,#1,PENSTEMON X PIKES PEAK PURPL R,PRN,04, 6.35 , 84 , 10 ,     , 84 ,04/01/15  
OR,2012,066811,#1,PENSTEMON X PRETTY PETTICOAT,PRN,04, 5.10 ,     , 10 , 428 ,     ,          
OR,2013,084781,#1,PEROVSKIA LACEY BLUE PP20845,PRN,04, 6.35 , 70 , 10 , 624 , 815 ,04/01/15  
OR,2014,084701,#1,PULMONARIA DE VROOMAN'S PRIDE,PRN,03, 6.35 , 21 , 10 , 21 , 21 ,04/01/15  
CA,2010,071111,#1,RUDBECKIA ERLY BRD GLD PP20286,PRN,04, 5.10 ,     , 10 ,     , 61 ,10/01/14  
CA,2011,011811,#1,SEDUM FROSTY MORN,PRN,04, 5.25 , 10 , 10 , 21 , 314 ,12/31/14  
CA,2010,011821,#1,SEDUM JOHN CREECH,PRN,03, 5.25 , 25 , 10 , 226 , 226 ,12/31/14  
OR,2011,048261,#1,SEDUM OREGANUM,PRN,02, 7.50 ,     , 10 , 195 ,     ,          
OR,2010,063681,#1,SEDUM SIEBOLDII,PRN,03, 7.50 , 51 , 10 , 66 , 66 ,04/01/15  
OR,2011,046311,#1,SEDUM STRAWBERRIES & CREAM,PRN,04, 7.50 , 29 , 10 , 212 , 271 ,04/01/15  
OR,2010,069871,#1,SEDUM TETRACTINUM CORAL REEF,PRN,05, 7.50 , 72 , 10 , 116 , 116 ,04/01/15  
CA,2011,069971,#1,SEMPERVIVUM ARACH RED COBWEB,PRN,04, 6.00 , 37 , 10 ,     , 37 ,04/01/15  
CA,2011,065501,#1,SEMPERVIVUM ARACHNOIDEUM,PRN,03, 6.00 , 15 , 10 ,     , 29 ,04/01/15  
CA,2011,065601,#1,SEMPERVIVUM GREEN WHEEL,PRN,04, 6.00 , 30 , 10 ,     , 708 ,04/01/15  
OR,New ,081211,#1,SMILACINA RACEMOSA,PRN,04, 5.25 ,     , 10 ,     , 100 ,04/01/15  
CA,2011,075941,#1,THYMUS HI HO SILVER,PRN,05, 5.10 ,     , 10 ,     , 227 ,03/01/15  
CA,2013,088841,#1,VERONICA FIRST LOVE PPAF,PRN,04, 5.10 , 103 , 10 ,     , 103 ,04/01/15  
OR,2014,079551,#1,VERONICA HYB TIDAL POOL PPAF,PRN,04, 5.25 , 56 , 10 , 42 ," 1,184 ",03/01/15  
OR,2014,079481,#1,VERONICA HYB WHITE WATER PPAF,PRN,04, 5.25 , 119 , 10 , 119 , 119 ,03/01/15  
OR,2010,058211,#1,VIOLA CORNUTA ETAIN,PRN,04, 5.10 , 128 , 10 ,     , 128 ,03/01/15  
OR,2012,066281,#1,VIOLA HARVEST MOON PPAF,PRN,05, 5.10 ,     , 10 ,     , 690 ,03/01/15  
OR,2012,067791,#1,GR-BOUT BLOND AMBITION PP22048,GRS,04, 8.50 , 19 , 10 ,     , 464 ,03/01/15  
OR,2013,014085,#5,GR-CALAMAGROSTIS  BRACHYTRICA,GRS,04, 18.75 , 124 , 5 ,     , 124 ,03/01/15  
OR,2014,089282,#2,GR-DESCHAMPSIA SCHOTTLAND,GRS,04, 14.50 ,     , 5 , 100 , 100 ,03/01/15  
OR,2014,089291,#1,GR-HAKONECHLOA FUBUKI PP21757,GRS,04, 10.25 , 76 , 10 ,     , 76 ,04/01/15  
CA,2014,022961,#1,GR-PAN VIR NORTHWIND,GRS,04, 6.75 ,     , 10 , 112 , 206 ,04/01/15  
OR,2010,038571,#1 STAKED,CLEM ALP STOLWIJK GOLD PP18648,VIN,03, 10.00 ,     , 10 , 373 ,     ,          
OR,2014,046252,#2 STAKED,CLEM LOUISE ROWE,VIN,04, 18.00 , 5 , 5 , 18 , 18 ,05/01/15  
CA,2013,089921S,SuperOne TM,CLEM SWEET SUMMER LOVE PPAF,VIN,04, 10.00 , 50 , 10 ,     , 50 ,04/01/15  
OR,2010,051481,#1 STAKED,CLEM VANCOUVER TM DANIELLE,VIN,04, 10.00 ,     , 10 , 3 , 3 ,05/01/15  
OR,2010,046275,#5 STAKED,CLEM VANCOUVER TM FRGRNT STAR,VIN,04, 31.50 ,     , 5 , 81 , 81 ,05/01/15  
OR,2010,048741,#1 STAKED,CLEM VANCOUVER TM STARRY NGHTS,VIN,04, 10.00 , 15 , 10 ,     , 15 ,05/01/15  
OR,2010,055201,#1 STAKED,CLEM X MRS. SPENCER CASTLE,VIN,04, 9.00 , 10 , 10 ,     , 838 ,05/01/15  
OR,2013,088405,#5 STAKED,HUMULUS X NEWPORT,VIN,05, 27.50 ,     , 5 , 156 ,     ,          
CA,New ,086361S,SuperOne TM,LONICERA P SCENTSATION PP16240,VIN,04, 9.00 , 28 , 10 , 28 , 28 ,11/25/14  
OR,2013,084395,#5 STAKED,LONICERA PCHES & CREAM PP21839,VIN,04, 27.50 , 11 , 5 , 11 , 11 ,05/01/15  
CA,2011,067832,#2 STAKED,LONICERA SEMP MAJOR WHEELER,VIN,04, 16.50 , 21 , 5 ,     , 21 ,04/01/15  
OR,2012,081521S,SuperOne TM STAKED,PARTH Q RED WALL TM PPAF,VIN,03, 10.50 , 31 , 10 , 31 , 31 ,05/01/15  
