Item,Description,Common Name,,,,,,,,,,,,,
024755PT,CITRUS BEARSS SEEDLESS LIME,Bearss Seedless Lime                                                                                ,,,,,,,,,,,,,
024792PT,CITRUS CAMPBELL VALENCIA,Campbell Valencia Orange                                                                            ,,,,,,,,,,,,,
025052PT,CITRUS EUREKA LEMON,Eureka Lemon                                                                                        ,,,,,,,,,,,,,
026002PT,CITRUS IMPROVED MEYER LEMON,Improved Meyer Lemon                                                                                ,,,,,,,,,,,,,
026005PT,CITRUS IMPROVED MEYER LEMON,Improved Meyer Lemon                                                                                ,,,,,,,,,,,,,
025602PT,CITRUS KUMQUAT NAGAMI,Nagami Kumquat                                                                                      ,,,,,,,,,,,,,
026605PT,CITRUS OWA SATSUMA MANDARIN,Owari Satsuma Mandarin Orange                                                                       ,,,,,,,,,,,,,
026052PT,CITRUS WASHINGTON NAVEL ORANGE,Washington Navel Orange                                                                             ,,,,,,,,,,,,,
073295PT,TIBOUCHINA X ATHENS BLUE,Athens Blue Princess Flower                                                                         ,,,,,,,,,,,,,
062005,ENSETE MAURELII,Red Leaved Banana                                                                                   ,,,,,,,,,,,,,
056643PT,LANTANA CAM MARY ANN,Mary Ann Lantana                                                                                    ,,,,,,,,,,,,,
009133PT,LANTANA CAM MOZELLE,Mozelle Lantana                                                                                     ,,,,,,,,,,,,,
056631SPT,LANTANA CHAPEL HILL YLW P19548,Chapel Hill Yellow Lantana                                                                          ,,,,,,,,,,,,,
056633PT,LANTANA CHAPEL HILL YLW P19548,Chapel Hill Yellow Lantana                                                                          ,,,,,,,,,,,,,
056953PT,LANTANA CONFETTI TM,Confetti™  Spreading Lantana                                                                        ,,,,,,,,,,,,,
009093PT,LANTANA NEW GOLD,New Gold Lantana                                                                                    ,,,,,,,,,,,,,
057231SPT,LANTANA S LAVENDER SWIRL R,Lavender Swirl®  Trailing Lantana                                                                   ,,,,,,,,,,,,,
057153PT,LANTANA SUNBURST TM,Sunburst™  Spreading Lantana                                                                        ,,,,,,,,,,,,,
057201SPT,LANTANA TANGERINE TM,Tangerine™  Spreading Lantana                                                                       ,,,,,,,,,,,,,
012705PT,BOUG BARBARA KARST,Barbara Karst Bougainvillea                                                                         ,,,,,,,,,,,,,
035045PT,BOUG BENGAL ORANGE,Bengal Orange Bougainvillea                                                                         ,,,,,,,,,,,,,
013265PT,BOUG OO-LA-LA R,Oo-La-La®  Bougainvillea                                                                            ,,,,,,,,,,,,,
013055PT,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea                                                                        ,,,,,,,,,,,,,
013215PT,BOUG RASPBERRY ICE,Raspberry Ice Bougainvillea                                                                         ,,,,,,,,,,,,,
061205,MAN ALICE DU PONT,Alice Du Pont Mandevilla                                                                            ,,,,,,,,,,,,,
061195,MAN PNK PRFT R P11787-P6300547,Pink Parfait®  Mandevilla                                                                           ,,,,,,,,,,,,,
072655,MAN SUN PAR R CARMINE KING PAF,Sun Parasol®  Carmine King™  Mandevilla                                                             ,,,,,,,,,,,,,
09238UT,MAN SUN PAR R GARDEN CRIMSON,Sun Parasol®  Garden Crimson Mandevilla                                                             ,,,,,,,,,,,,,
057085,MAN SUN PAR R GIANT PNK P15202,Sun Parasol®  Giant Pink Mandevilla                                                                 ,,,,,,,,,,,,,
061235,MAN SUN PAR R GNT CRIM P17736,Sun Parasol®  Giant Crimson Mandevilla                                                              ,,,,,,,,,,,,,
057065,MAN SUN PAR R GNT WHITE P11556,Sun Parasol®  Giant White Mandevilla                                                                ,,,,,,,,,,,,,
061295,MAN TANGO TWIRL R P14290,Tango Twirl®  Mandevilla                                                                            ,,,,,,,,,,,,,
