Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Royalty Code,YOUR 2014 ORDER QTY,QTY AVAIL NOW,"2ND 
QTY AVAIL","2ND
 QTY 
READY DATE","3RD 
QTY 
AVAIL","3RD 
QTY 
READY DATE",2014 List Price,Condition,Current Specs
CA,    ,012201,#1,BER T ROSE GLOW,Rose Glow Japanese Barberry                                 ,DCS,04,,," 2,525 ",     ,          ,     ,          , 5.75 ,BREAKING DORMANCY,"9""H - 8""S *"
CA,    ,012202,#2,BER T ROSE GLOW,Rose Glow Japanese Barberry                                 ,DCS,04,,, 545 , 706 ,04/01/14  ,     ,          , 12.50 ,BREAKING DORMANCY,"10""H - 10""S"
CA,2011,074411S,SuperOne TM,BUD LO&BEHLD R BLU CHP PP19991,Blue Chip Dwarf Summer Lilac                                ,DCS,05,PW,, 323 ,     ,          ,     ,          , 9.75 ,-,"8""H - 9""S"
CA,2011,074412S,SuperTwo,BUD LO&BEHLD R BLU CHP PP19991,Blue Chip Dwarf Summer Lilac                                ,DCS,05,PW,, 229 ,,,,          , 16.00 ,-,"6""H - 8""S"
CA,2011,074415,#5,BUD LO&BEHLD R BLU CHP PP19991,Blue Chip Dwarf Summer Lilac                                ,DCS,05,PW,, 200 ,     ,          ,     ,          , 24.00 ,-,"15""H - 15""S"
CA,2012,080811S,SuperOne TM,BUD LO&BEHLD R ICE CHIP PPAF,Ice Chip Summer Lilac                                       ,DCS,05,PW,, 175 ,,,,          , 9.75 ,-,"6""H - 6""S"
CA,2012,080812S,SuperTwo,BUD LO&BEHLD R ICE CHIP PPAF,Ice Chip Summer Lilac                                       ,DCS,05,PW,, 161 ,,,,          , 16.00 ,-,"6''H - 8""S"
CA,2012,080791S,SuperOne TM,BUD LO&BEHLD R LILAC CHIP PPAF,Lo & Behold®  Lilac Chip Summer Lilac,DCS,05,PW,, 73 ,,,,          , 9.75 ,-,"4''H - 5""S"
CA,2012,080792S,SuperTwo,BUD LO&BEHLD R LILAC CHIP PPAF,Lo & Behold®  Lilac Chip Summer Lilac,DCS,05,PW,, 89 ,,,,          , 16.00 ,-,"6''H - 8""S"
CA,2011,077411S,SuperOne TM,BUD LO&BEHLD R PRPL HAZE PPAF,Lo & Behold®  Purple Haze Summer Lilac,DCS,05,PW,, 203 ,,,,          , 9.75 ,-,"5""H - 7""S *"
CA,2011,077412S,SuperTwo,BUD LO&BEHLD R PRPL HAZE PPAF,Lo & Behold®  Purple Haze Summer Lilac,DCS,05,PW,, 202 ,,,,          , 16.00 ,-,"7""H - 8""S"
CA,    ,034661S,SuperOne TM,BUDDLEJA DAV ADONIS BLUE TM,English Butterfly™  Adonis Blue™  Butterfly Bush,DCS,05,PW,, 691 ,     ,          ,     ,          , 9.00 ,-,"8""H - 8""S"
CA,    ,034662S,SuperTwo,BUDDLEJA DAV ADONIS BLUE TM,English Butterfly™  Adonis Blue™  Butterfly Bush,DCS,05,PW,, 201 ,,,,          , 15.00 ,-,"7""H - 8""S"
CA,    ,034665,#5,BUDDLEJA DAV ADONIS BLUE TM,English Butterfly™  Adonis Blue™  Butterfly Bush,DCS,05,PW,, 406 ,     ,          ,     ,          , 19.75 ,-,"15""H - 15""S"
