Loc,Item,Plant Name,Botanical Name,Common Name,Category 2,Category,,Qty Allocated,Min Order Qty,Available Later,On,Available Later,On,,,,,,,,,,
160000,408411,CAMPANULA GLOM GENTI WHITE PAF,Campanula glomerata 'Genti White'                           ,Genti White Bellflower                                      ,Mid/late border flowering,PRN, 1.00 , 5 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,412561,CHRY (LEU) REAL CHARMER PPAF,Chrysanthemum 'Real Charmer' P.P.A.F.                       ,Real Charmer Shasta Daisy                                   ,Mid spring interm. flowering,PRN, 1.00 , 40 , 10 , 257 ,06/01/16  ,     ,          ,,,,,,,,,,
160000,412571,CHRY (LEU) REAL GALAXY PPAF,Chrysanthemum 'Real Galaxy' P.P.A.F.                        ,Real Galaxy Shasta Daisy                                    ,Mid spring interm. flowering,PRN, 1.00 , 50 , 10 , 442 ,06/01/16  ,     ,          ,,,,,,,,,,
160000,006351,CHRY (LEU) S REAL DREAM P25664,"Chrysanthemum x superbum 'Real Dream' P.P.# 25,664          ",Real Dream Shasta Daisy                                     ,Mid spring interm. flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,407861,CHRY (LEUCA) X REAL GLORY,Chrysanthemum 'Real Glory' P.P.A.F.                         ,Real Glory Shasta Daisy                                     ,Mid spring interm. flowering,PRN, 1.00 , 50 , 10 , 140 ,06/01/16  ,     ,          ,,,,,,,,,,
160000,414552TE,CLEM BLVRD R PRSNNE TM PP16069,Clematis 'Evipo019' P.P.# 16069                             ,Boulevard®  Parisienne™  Clematis,Clematis,VIN, 1.00 ,     ,     ,     ,          ,     ,          ,,,,,,,,,,
170000,078721,CORE BIGBANG TM CSMC EY P22601,"Coreopsis x 'Cosmic Eye' P.P.#22,601                        ",Big Bang™  Cosmic Eye Tickseed,Mid/late border flowering,PRN, 1.00 , 100 , 10 , 515 ,04/01/16  ,     ,          ,,,,,,,,,,
160000,088891,CORE BIGBANG TM MRCRY RSNG PAF,Coreopsis x 'Mercury Rising' P.P.A.F.                       ,Big Bang™  Mercury Rising Tickseed,Mid/late border flowering,PRN, 1.00 , 38 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,018421,CORE CRUZIN' TM ELCTRC AVE PAF,"Coreopsis verticillata 'Electric Avenue' P.P.#24,688        ",Electric Avenue Tickseed (Cruizin' Series)                  ,Mid/late border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,018411,CORE CRUZIN' TM MAIN STRT PAF,"Coreopsis verticillata 'Main Street' P.P.#24,562            ",Main Street Tickseed (Cruizin' Series)                      ,Mid/late border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,408541,CORE LIL' BANG TM RED ELF,Coreopsis x 'Red Elf' P.P.A.F.                              ,Lil' Bang™  Red Elf Tickseed,Mid/late border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
