Loc,Item,Plant Name,Botanical Name,Common Name,Category 2,Category,,Qty Allocated,Min Order Qty,Available Later,On,Available Later,On,,,,,,,,,,
160000,404851,NEPETA JNR WALKER TM PP23074,"Nepeta x faassenii 'Novanepjun' P.P.# 23,074                ",Junior Walker™  Catmint,Mid/late interm. flowering,PRN, 1.00 , 37 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,082581,NEPETA LITTLE TRUDY R PP18904,Nepeta x 'Psfike' P.P. #18904                               ,Little Trudy®  Catmint,Mid/late interm. flowering,PRN, 1.00 , 62 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,081741,NEPETA NERVOSA PINK CAT,Nepeta nervosa 'Pink Cat'                                   ,Pink Cat Catmint                                            ,Mid/late interm. flowering,PRN, 1.00 , 53 , 10 , 160 ,06/01/16  ,     ,          ,,,,,,,,,,
160000,077131,OSTEO AVALANCHE PP22705,"Osteospermum 'Avalanche' P.P. 22,705                        ",Avalanche White Sun Daisy                                   ,Early spring border flowering,PRN, 1.00 , 361 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,079351,OSTEO PURPLE MOUNTAIN R,Osteospermum barberiae var. compactum Purple Mountain{{#174},Purple Mountain®  Sun Daisy,Early spring border flowering,PRN, 1.00 , 216 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,081522S,PARTH Q RED WALL TM PPAF,Parthenocissus quinquefolia 'Troki' P.P.A.F.                ,Red Wall™  Virginia Creeper,Hardy vine,VIN, 1.00 , 130 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,409001,PENST ROCK CANDY TM PINK PPAF,Penstemon 'Novapenpin' P.P.A.F.                             ,Rock Candy™  Pink Penstemon,Mid spring interm. flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,067781,PENSTEMON X PIKES PEAK PURPL R,Penstemon x mexicali Pikes Peak Purple® ,Pikes Peak Purple®  Penstemon,Mid spring interm. flowering,PRN, 1.00 , 172 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,066811,PENSTEMON X PRETTY PETTICOAT,Penstemon x 'Pretty Petticoat'                              ,Pretty Petticoat Beardtongue                                ,Mid spring interm. flowering,PRN, 1.00 , 186 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,405141,PEROVSKIA ATR PEEK-A-BLUE PPAF,Perovskia atriplicifolia 'Peek-A-Blue'                      ,Peek-A-Blue Russian Sage                                    ,Mid/late tall flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,411761,PHLOX PAN COTTON CANDY PP21369,"Phlox paniculata 'DITOMFAV' P.P. #21,369                    ",Cotton Candy Garden Phlox                                   ,Mid spring interm. flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,405231,PHLOX PAN GRAPE LOLLIPOP,"Phlox paniculata 'Ditomsur' P.P.# 21,171                    ",Candy Store®  Grape Lollipop™  Phlox,Mid spring interm. flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,064545,PICEA ABIES CUPRESSINA,Picea abies 'Cupressina'                                    ,Columnar Norway Spruce                                      ,Picea,CON, 1.00 , 45 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,033275,PICEA GL DENSATA WELLS' WEEPER,Picea glauca 'Wells' Weeper'                                ,Wells' Weeper Spruce                                        ,Picea,CON, 1.00 , 42 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,019395,PICEA PUN THE BLUES,Picea pungens 'The Blues'                                   ,The Blues Blue Spruce                                       ,Picea,CON, 1.00 , 22 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,032745,PINUS MUGO COMPACT SELECT,Pinus mugo pumilio 'Compact Select'                         ,Compact Mugo Pine                                           ,Pinus,CON, 1.00 , 175 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,051175,PINUS MUGO SLOWMOUND,Pinus mugo 'Slowmound'                                      ,Slowmound Mugo Pine                                         ,Pinus,CON, 1.00 , 82 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,412841,POTENTILLA TWINKLING STAR,Potentilla                                                  ,Twinkling Star potentilla                                   ,Mid spring border flowering,PRN, 1.00 , 30 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,039492,SALIX INTEGRA FLAMINGO PP17490,"Salix integra 'Flamingo' P.P.# 17,490                       ",Flamingo Dappled Willow                                     ,Deciduous shrub/hedge,DCS, 1.00 ,     , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,412691,SALVIA NEM BLUE MARVEL PPAF,Salvia nemorosa 'Blue Marvel'                               ,Blue Marvel Salvia                                          ,Mid/late interm. flowering,PRN, 1.00 , 10 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,407941,SALVIA SNSATION R DEEP ROS PAF,Salvia nemorosa 'Sensation Deep Rose' P.P.A.F.              ,Sensation Deep Rose Salvia                                  ,Mid/late interm. flowering,PRN, 1.00 , 11 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,400271,SALVIA SNSATION R SKY BLUE PAF,Salvia nemerosa 'Sky Blue' P.P.A.F.                         ,Sensation®  Sky Blue Meadow Sage,Mid/late interm. flowering,PRN, 1.00 , 17 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,030321,SALVIA X SYL SNOW HILL,Salvia x sylvestris 'Snow Hill'                             ,Snow Hill Meadow Sage                                       ,Mid/late interm. flowering,PRN, 1.00 , 50 , 10 , 507 ,06/01/16  ,     ,          ,,,,,,,,,,
160000,088961,SCABIOSA COL GIGA TM BLUE,Scabiosa columbaria 'Giga Blue'                             ,Giga™  Blue Pincushion Flower,Mid spring border flowering,PRN, 1.00 , 30 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,065601,SEMPERVIVUM GREEN WHEEL,Sempervivum 'Green Wheel'                                   ,Green Wheel Hens and Chicks                                 ,Succulent/cactus/yucca,PRN, 1.00 , 90 , 10 , 192 ,04/01/16  ,     ,          ,,,,,,,,,,
160000,012091,STACHYS BIG EARS,Stachys byzantina 'Big Ears'                                ,Big Ears Lamb's Ear                                         ,Ground cover,PRN, 1.00 , 171 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,012111,STACHYS SILVER CARPET,Stachys byzantina 'Silver Carpet'                           ,Silver Carpet Lamb's Ear                                    ,Ground cover,PRN, 1.00 , 160 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,406721,STOKESIA LAEVIS BLUE DANUBE,Stokesia laevis 'Blue Danube'                               ,Blue Danube Aster                                           ,Mid/late border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,065641,STOKESIA LAEVIS COLORWHEEL,Stokesia laevis 'Color Wheel'                               ,Color Wheel Stokes' Aster                                   ,Mid/late border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,022511,STOKESIA LAEVIS PEACHIE'S PICK,Stokesia laevis 'Peachie's Pick'                            ,Peachie's Pick Stokes' Aster                                ,Mid/late border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,053932,THUJA OC HIGHLIGHTS TM PP21967,"Thuja occidentalis 'Janed Gold' PP.# 21,967                 ",Highlights™  Arborvitae,Thuja,CON, 1.00 , 94 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,075055,THUJA OC NORTH POLE R PPAF,"Thuja occidentalis 'Art Boe' P.P. #22,174                   ",North Pole™  Arborvitae,Thuja,CON, 1.00 , 36 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,412851,TIARELLA JEEPERS CRPRS PP13437,"Tiarella 'Jeepers Creepers' P.P.# 13,437                    ",Jeepers Creepers Tiarella                                   ,Shade foliage/flower,PRN, 1.00 , 9 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,072611,TRADESCANTIA BLU&GLD(SWT KATE),Tradescantia x 'Blue & Gold'                                ,Blue & Gold Spiderwort                                      ,Mid spring border flowering,PRN, 1.00 , 27 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,073401,VACCINIUM CORYMBOSUM NORTHLAND,Vaccinium corymbosum 'Northland' (Northern Highbush)        ,Northland Midseason Blueberry                               ,Edible berries/fruit,DCS, 1.00 , 96 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,073741,VACCINIUM CORYMBOSUM PATRIOT,Vaccinium corymbosum 'Patriot' (Northern Highbush)          ,Patriot Early Season Blueberry                              ,Edible berries/fruit,DCS, 1.00 , 112 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,407072,VACCINIUM X BLUE CROP,Vaccinium corymbosum 'Bluecrop'                             ,Bluecrop Blueberry                                          ,Edible berries/fruit,DCS, 1.00 ,     , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,407082,VACCINIUM X CHIPPEWA,Vaccinium corymbosum 'Chippewa'                             ,Chippewa Blueberry                                          ,Edible berries/fruit,DCS, 1.00 ,     , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,079551,VERONICA HYB TIDAL POOL PPAF,Veronica 'Tidal Pool' P.P.A.F.                              ,Tidal Pool Prostrate Speedwell                              ,Early spring interm. flowering,PRN, 1.00 , 24 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,409261,VERONICA MDY BLUES LT BLU PPAF,Veronica spicata 'Novaverlig' P.P.A.F.                      ,Moody Blues Light Blue Speedwell                            ,Early spring border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,409271,VERONICA MDY BLUES MAUVE PPAF,Veronica spicata 'Novavermau' P.P.A.F.                      ,Moody Blues Mauve Speedwell                                 ,Early spring border flowering,PRN, 1.00 ,     , 10 ," 1,333 ",06/01/16  ,     ,          ,,,,,,,,,,
160000,409251,VERONICA MDY BLUES PINK PPAF,Veronica spicata 'Novaverpin' P.P.A.F.                      ,Moody Blues Pink Speedwell                                  ,Early spring border flowering,PRN, 1.00 ,     , 10 , 521 ,06/01/16  ,     ,          ,,,,,,,,,,
160000,412861,VERONICA VERNIQUE TM BLUE,Veronica longifolia 'Vernique Blue'                         ,Vernique™  Blue Speedwell,Early spring border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,412871,VERONICA VERNIQUE TM ROSE,Veronica longifolia 'Vernique Rose'                         ,Vernique®  Rose Speedwell,Early spring border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,412891,VIOLA MGNFI SCNT TM BONNY PAF,Viola x hybrida 'Bonny' P.P.A.F.                            ,MAGNIFISCENT™  Bonny Viola,Mid spring border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,409971,WEIGELA F COCO KRUNCH TM PPAF,Weigela florida 'WFMOBLA' P.P.A.F.                          ,Coco Krunch™  Weigela,Deciduous sumr flower'g shrub,DCS, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,407362S,WEIGELA SONIC BLOOM TM PRL PAF,Weigela florida 'Pearl' P.P.A.F.                            ,Sonic Bloom™  Pearl Weigela,Deciduous sumr flower'g shrub,DCS, 1.00 ,     , 5 ,     ,          ,     ,          ,,,,,,,,,,
