Loc,Item,Description,,,,,,,,,,,,,,,
550000,00353UT,ASTILBE SPRITE,,,,,,,,,,,,,,,
550000,078762S,AZ BLM-A-THON TM DB PK PP21477,,,,,,,,,,,,,,,
550000,078772S,AZ BLM-A-THON TM RED PP21562,,,,,,,,,,,,,,,
160000,025212,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,,,,,,,
160000,025215,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,,,,,,,
550000,05917UT,BELLIS PERENNIS ROMINETTE MIX,,,,,,,,,,,,,,,
160000,012031,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,,,,,,,
170000,012031,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,,,,,,,
160000,012032,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,,,,,,,
160000,012051,BER T CRIMSON PYGMY,,,,,,,,,,,,,,,
160000,012052,BER T CRIMSON PYGMY,,,,,,,,,,,,,,,
160000,035231,BER T GOLDEN RUBY R PP16203,,,,,,,,,,,,,,,
160000,035232,BER T GOLDEN RUBY R PP16203,,,,,,,,,,,,,,,
160000,012101,BER T HELMOND PILLAR,,,,,,,,,,,,,,,
160000,012102,BER T HELMOND PILLAR,,,,,,,,,,,,,,,
170000,062931,BER T ORANGE ROCKET PP18411,,,,,,,,,,,,,,,
170000,012201,BER T ROSE GLOW,,,,,,,,,,,,,,,
170000,012202,BER T ROSE GLOW,,,,,,,,,,,,,,,
160000,012211,BER T ROYAL BURGUNDY R P9461,,,,,,,,,,,,,,,
160000,012212,BER T ROYAL BURGUNDY R P9461,,,,,,,,,,,,,,,
160000,022021,BERGENIA COR WINTERGLOW,,,,,,,,,,,,,,,
160000,012415SE,BETULA PENDULA YOUNGII,,,,,,,,,,,,,,,
550000,012701,BOUG BARBARA KARST,,,,,,,,,,,,,,,
550000,013051,BOUG PURPLE QUEEN R,,,,,,,,,,,,,,,
550000,013055PT,BOUG PURPLE QUEEN R,,,,,,,,,,,,,,,
550000,013211,BOUG RASPBERRY ICE,,,,,,,,,,,,,,,
550000,074412S,BUD LO&BEHLD R BLU CHP PP19991,,,,,,,,,,,,,,,
550000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,,,,,,,,,,,,,,,
170000,080792S,BUD LO&BEHLD R LILAC CHIP PPAF,,,,,,,,,,,,,,,
550000,077412S,BUD LO&BEHLD R PRPL HAZE PPAF,,,,,,,,,,,,,,,
550000,034662S,BUDDLEJA DAV ADONIS BLUE TM,,,,,,,,,,,,,,,
550000,034672S,BUDDLEJA DAV PEACOCK TM,,,,,,,,,,,,,,,
550000,013773,BUDDLEJA DAV PETITE INDIGO R,,,,,,,,,,,,,,,
550000,013573,BUDDLEJA DAV PETITE SNOW TM,,,,,,,,,,,,,,,
550000,013563,BUDDLEJA DAV ROYAL RED,,,,,,,,,,,,,,,
550000,077392S,BUDDLEJA MISS MOLLY PPAF,,,,,,,,,,,,,,,
550000,074402S,BUDDLEJA X MISS RUBY PPAF,,,,,,,,,,,,,,,
160000,003011,BUXUS CHICAGOLAND GREEN R,,,,,,,,,,,,,,,
550000,01370UTPY,BUXUS MIC FAULKNER,,,,,,,,,,,,,,,
160000,013831,BUXUS MIC WINTER GEM,,,,,,,,,,,,,,,
550000,013832,BUXUS MIC WINTER GEM,,,,,,,,,,,,,,,
170000,013835PY,BUXUS MIC WINTER GEM,,,,,,,,,,,,,,,
160000,013902,BUXUS S GREEN TOWER R PP15243,,,,,,,,,,,,,,,
160000,013905,BUXUS S GREEN TOWER R PP15243,,,,,,,,,,,,,,,
160000,01398UT,BUXUS SEMP SUFFRUTICOSA,,,,,,,,,,,,,,,
160000,01388UT,BUXUS SEMP VARIEGATA,,,,,,,,,,,,,,,
160000,03597UT,BUXUS WEE WILLIE R PP17007,,,,,,,,,,,,,,,
550000,077561,CALAMINTHA NEP MONTROSE WHITE,,,,,,,,,,,,,,,
160000,003175,CALLICARPA DICH EARLY AMETHYST,,,,,,,,,,,,,,,
550000,02235UT,CAMPANULA CAR DEEP BLUE CLIPS,,,,,,,,,,,,,,,
170000,022711,CAMPSIS BALBOA SUNSET R,,,,,,,,,,,,,,,
170000,022712ST,CAMPSIS BALBOA SUNSET R,,,,,,,,,,,,,,,
170000,022381,CAMPSIS FLAVA,,,,,,,,,,,,,,,
170000,022382ST,CAMPSIS FLAVA,,,,,,,,,,,,,,,
170000,022551,CAMPSIS MADAME GALEN,,,,,,,,,,,,,,,
170000,022552ST,CAMPSIS MADAME GALEN,,,,,,,,,,,,,,,
550000,029211,CANNA TROP BLACK TM PP21350,,,,,,,,,,,,,,,
550000,029212,CANNA TROP BLACK TM PP21350,,,,,,,,,,,,,,,
550000,017411,CANNA TROPICANNA GLD TM P13809,,,,,,,,,,,,,,,
550000,017412,CANNA TROPICANNA GLD TM P13809,,,,,,,,,,,,,,,
550000,022481,CANNA TROPICANNA TM PP10569,,,,,,,,,,,,,,,
550000,022482,CANNA TROPICANNA TM PP10569,,,,,,,,,,,,,,,
160000,023315SE,CEDRUS ATLANTICA GLAUCA PNDULA,,,,,,,,,,,,,,,
160000,023535TR,CERCIDIPHYLLUM JAPONICUM,,,,,,,,,,,,,,,
170000,074442S,CHAEN DBLTKE TM OR STRM P20950,,,,,,,,,,,,,,,
170000,074452S,CHAEN DBLTKE TM PK STRM P20920,,,,,,,,,,,,,,,
170000,030822,CHAENOMELES CAMEO,,,,,,,,,,,,,,,
170000,031052,CHAENOMELES TEXAS SCARLET,,,,,,,,,,,,,,,
160000,023902,CHAM OBT FILICOIDES,,,,,,,,,,,,,,,
160000,082402,CHAM PIS BABY BLUE,,,,,,,,,,,,,,,
160000,082405OP,CHAM PIS BABY BLUE,,,,,,,,,,,,,,,
160000,08240UT,CHAM PIS BABY BLUE,,,,,,,,,,,,,,,
160000,024031,CHAM PIS FIL GOLDEN CHARM,,,,,,,,,,,,,,,
160000,024032,CHAM PIS FIL GOLDEN CHARM,,,,,,,,,,,,,,,
160000,024035,CHAM PIS FIL GOLDEN CHARM,,,,,,,,,,,,,,,
160000,023841,CHAM PIS SUNGOLD,,,,,,,,,,,,,,,
160000,023842,CHAM PIS SUNGOLD,,,,,,,,,,,,,,,
160000,024191,CHELONE HOT LIPS,,,,,,,,,,,,,,,
550000,006351,CHRY (LEU) SUP REAL DREAM PPAF,,,,,,,,,,,,,,,
550000,00422UT,CHRYS (LEUCANTH) X SUP SNOWCAP,,,,,,,,,,,,,,,
170000,024751,CITRUS BEARSS SEEDLESS LIME,,,,,,,,,,,,,,,
170000,026001,CITRUS IMPROVED MEYER LEMON,,,,,,,,,,,,,,,
170000,026002,CITRUS IMPROVED MEYER LEMON,,,,,,,,,,,,,,,
170000,026005PT,CITRUS IMPROVED MEYER LEMON,,,,,,,,,,,,,,,
170000,026055PT,CITRUS WASHINGTON NAVEL ORANGE,,,,,,,,,,,,,,,
160000,027472,CLEM PANICULATA,,,,,,,,,,,,,,,
160000,021862,CLEM SAPPHIRE INDIGO TMPP17012,,,,,,,,,,,,,,,
160000,038002,CLEM TEX PRINCESS DIANA,,,,,,,,,,,,,,,
160000,046272,CLEM VANCOUVER TM FRGRNT STAR,,,,,,,,,,,,,,,
160000,048742,CLEM VANCOUVER TM STARRY NGHTS,,,,,,,,,,,,,,,
160000,021782,CLEM X ARABELLA,,,,,,,,,,,,,,,
160000,033492,CLEM X HANIA,,,,,,,,,,,,,,,
160000,027262,CLEM X JACKMANII,,,,,,,,,,,,,,,
160000,033512,CLEM X JULKA,,,,,,,,,,,,,,,
160000,034432,CLEM X KILIAN DONAHUE,,,,,,,,,,,,,,,
160000,027462,CLEM X NIOBE,,,,,,,,,,,,,,,
160000,027492,CLEM X ROUGE CARDINAL,,,,,,,,,,,,,,,
160000,026372,CLEM X TOKI,,,,,,,,,,,,,,,
550000,074462S,CLETHRA AL SUGARTINA TM P21561,,,,,,,,,,,,,,,
550000,027532,CLETHRA ALN RUBY SPICE,,,,,,,,,,,,,,,
550000,074472S,CLETHRA ALN VNLA SPICE TM PPAF,,,,,,,,,,,,,,,
550000,024201,COLOCASIA ESC BLACK MAGIC,,,,,,,,,,,,,,,
550000,031721,CORDYLINE BAUERI,,,,,,,,,,,,,,,
550000,03172UT,CORDYLINE BAUERI,,,,,,,,,,,,,,,
550000,02795UT,COREOPSIS AURICULATA NANA,,,,,,,,,,,,,,,
550000,00675UT,COREOPSIS GRAND SUNFIRE,,,,,,,,,,,,,,,
160000,058261,COREOPSIS VER ROUTE 66 PP20609,,,,,,,,,,,,,,,
550000,02796UT,COREOPSIS VERT MOONBEAM,,,,,,,,,,,,,,,
550000,02797UT,COREOPSIS VERT ZAGREB,,,,,,,,,,,,,,,
160000,080842S,CORNUS STO PUCKERED UP TM PPAF,,,,,,,,,,,,,,,
160000,017455,CORYLUS AV CONTORTA-OWN ROOT,,,,,,,,,,,,,,,
160000,028502,COT APICULATUS,,,,,,,,,,,,,,,
160000,028505PT,COT APICULATUS,,,,,,,,,,,,,,,
160000,028552,COT APICULATUS TOM THUMB,,,,,,,,,,,,,,,
160000,02855UT,COT APICULATUS TOM THUMB,,,,,,,,,,,,,,,
160000,029002,COT DAM CORAL BEAUTY,,,,,,,,,,,,,,,
160000,028142,COTINUS COG ROYAL PURPLE,,,,,,,,,,,,,,,
160000,028145PT,COTINUS COG ROYAL PURPLE,,,,,,,,,,,,,,,
160000,057452,CROCOSMIA COLUMBUS,,,,,,,,,,,,,,,
550000,030491,CUPHEA HYSSOPIFOLIA,,,,,,,,,,,,,,,
550000,00459UT,DELPHINIUM GRAND BLUE MIRROR,,,,,,,,,,,,,,,
160000,029892S,DEUTZIA CHRDNY PERLS R PP16098,,,,,,,,,,,,,,,
160000,067731,DIANTHUS FIRST LOVE R,,,,,,,,,,,,,,,
550000,031331,DIANTHUS FROSTY FIRE,,,,,,,,,,,,,,,
550000,03133UT,DIANTHUS FROSTY FIRE,,,,,,,,,,,,,,,
550000,00472UT,DIANTHUS GRAT FIREWITCH,,,,,,,,,,,,,,,
550000,04596UT,DIANTHUS NEON STAR PP14549,,,,,,,,,,,,,,,
550000,02477UT,DIANTHUS SPANGLED STAR PP13029,,,,,,,,,,,,,,,
160000,035621,DICENTRA SPEC GOLD HEART,,,,,,,,,,,,,,,
160000,031611,DICENTRA X LUXURIANT,,,,,,,,,,,,,,,
550000,087021,ECHINACEA CHEYENNE SPIRIT,,,,,,,,,,,,,,,
550000,08702UT,ECHINACEA CHEYENNE SPIRIT,,,,,,,,,,,,,,,
550000,039571,ECHINACEA FRAGRNT ANGEL P16054,,,,,,,,,,,,,,,
550000,004891,ECHINACEA KIMS KNEE HI PP12242,,,,,,,,,,,,,,,
160000,077121,ECHINACEA NOW CHEESIER PPAF,,,,,,,,,,,,,,,
550000,00299UT,ECHINACEA POWWOW R WILDBERRY,,,,,,,,,,,,,,,
550000,059741,ECHINACEA PUR HOT PAPAYA PPAF,,,,,,,,,,,,,,,
550000,039591,ECHINACEA RASPBRY TART PP18560,,,,,,,,,,,,,,,
550000,036281,ECHINACEA SUNDOWN TM PP17659,,,,,,,,,,,,,,,
550000,048651,ECHINACEA TIKI TORCH PP18839,,,,,,,,,,,,,,,
550000,062005,ENSETE MAURELII,,,,,,,,,,,,,,,
160000,032121,ERIGERON GLA SEA BREEZE P12076,,,,,,,,,,,,,,,
170000,074341S,ERYNGIUM PLANUM BLUE HOBBIT,,,,,,,,,,,,,,,
170000,032561BH,EUCALYPTUS CINEREA,,,,,,,,,,,,,,,
160000,019312,EUO A COLE'S COMPACT,,,,,,,,,,,,,,,
160000,033602,EUO ALATUS COMPACTUS,,,,,,,,,,,,,,,
160000,033605,EUO ALATUS COMPACTUS,,,,,,,,,,,,,,,
160000,034001,EUO F EMERALD 'N GOLD,,,,,,,,,,,,,,,
160000,034002,EUO F EMERALD 'N GOLD,,,,,,,,,,,,,,,
170000,033901,EUO F EMERALD GAIETY,,,,,,,,,,,,,,,
170000,033902,EUO F EMERALD GAIETY,,,,,,,,,,,,,,,
160000,034452,EUO F IVORY JADE,,,,,,,,,,,,,,,
160000,034502,EUO F MOONSHADOW,,,,,,,,,,,,,,,
160000,019202,EUO F SUNRISE PP12341,,,,,,,,,,,,,,,
170000,035401,EUO KIA MANHATTAN,,,,,,,,,,,,,,,
170000,035402,EUO KIA MANHATTAN,,,,,,,,,,,,,,,
550000,035405,EUO KIA MANHATTAN,,,,,,,,,,,,,,,
170000,035572PT,EURYOPS PECT VIRIDIS,,,,,,,,,,,,,,,
170000,035575PT,EURYOPS PECT VIRIDIS,,,,,,,,,,,,,,,
160000,074482S,EXOCHORDA SNW DAY R SUR P21665,,,,,,,,,,,,,,,
160000,035785,FAGUS SYL TRICOLOR,,,,,,,,,,,,,,,
550000,019241,FERN-ATHYRIUM F LADY IN RED,,,,,,,,,,,,,,,
160000,03612UT,FERN-ATHYRIUM NIP PICTUM,,,,,,,,,,,,,,,
550000,036241,FERN-DRYOPTERIS ERYTHROSORA,,,,,,,,,,,,,,,
160000,03626UT,FERN-DRYOPTERIS FELIX-MAS ROB,,,,,,,,,,,,,,,
160000,037172,FOTHERGILLA GARDENII,,,,,,,,,,,,,,,
160000,06835UT,FRAGARIA ALBION R PP16228,,,,,,,,,,,,,,,
160000,06834UT,FRAGARIA TRISTAR,,,,,,,,,,,,,,,
550000,03721UT,FRAGARIA X LIPSTICK,,,,,,,,,,,,,,,
160000,06836UT,FRAGARIA X SEASCAPE R,,,,,,,,,,,,,,,
550000,03571UT,GAILLARDIA ARIZONA SUN,,,,,,,,,,,,,,,
550000,03542UT,GAILLARDIA BURGUNDY,,,,,,,,,,,,,,,
550000,03761UT,GAILLARDIA GOBLIN,,,,,,,,,,,,,,,
550000,037801,GARDENIA VEITCHII,,,,,,,,,,,,,,,
550000,03833UT,GERANIUM X CAN BIOKOVO,,,,,,,,,,,,,,,
550000,05985UT,GLECHOMA HEDERACEA VARIEGATA,,,,,,,,,,,,,,,
550000,035831,GR-CAREX MOR ICE DANCE,,,,,,,,,,,,,,,
160000,035832,GR-CAREX MOR ICE DANCE,,,,,,,,,,,,,,,
170000,028051,GR-ERIANTHUS RAVENNAE,,,,,,,,,,,,,,,
170000,028052,GR-ERIANTHUS RAVENNAE,,,,,,,,,,,,,,,
170000,028055,GR-ERIANTHUS RAVENNAE,,,,,,,,,,,,,,,
170000,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,,,,,,,,,,,,,,,
160000,035911,GR-HAKONECHLOA MACRA ALL GOLD,,,,,,,,,,,,,,,
160000,038681,GR-HAKONECHLOA MACRA AUREOLA,,,,,,,,,,,,,,,
170000,061741,GR-MIS SIN CABARET,,,,,,,,,,,,,,,
170000,005451,GR-MIS SIN DIXIELAND,,,,,,,,,,,,,,,
550000,061561,GR-MIS SIN GRACILLIMUS,,,,,,,,,,,,,,,
170000,061662,GR-MIS SIN MORNING LIGHT,,,,,,,,,,,,,,,
550000,064261,GR-PENN ALO HAMELN,,,,,,,,,,,,,,,
170000,022201,GR-PENN SET FIREWORKS PP18504,,,,,,,,,,,,,,,
550000,06427UT,GR-PENN SET RUBRUM,,,,,,,,,,,,,,,
550000,022261,GR-PENN SET SKY ROCKET PP21497,,,,,,,,,,,,,,,
160000,039285,HAMAMELIS X INT ARNOLD PROMISE,,,,,,,,,,,,,,,
160000,039245,HAMAMELIS X INT DIANE,,,,,,,,,,,,,,,
160000,039235,HAMAMELIS X INT JELENA,,,,,,,,,,,,,,,
160000,089051,HELLE WINDCLIFF DBL PINK SDLNG,,,,,,,,,,,,,,,
160000,089081,HELLE WINDCLIFF SLATY BLUE SDL,,,,,,,,,,,,,,,
160000,075431,HELLEBORUS X DOUBLE FANTASY,,,,,,,,,,,,,,,
550000,040091,HEM LITTLE BUSINESS,,,,,,,,,,,,,,,
550000,04009UT,HEM LITTLE BUSINESS,,,,,,,,,,,,,,,
160000,040631,HEM PRAIRIE BLUE EYES,,,,,,,,,,,,,,,
160000,083931,HEM SWIRLING WATER,,,,,,,,,,,,,,,
160000,006665,HEPTACODIUM MICONIOIDES,,,,,,,,,,,,,,,
550000,015521,HEUCHERA APPLE CRISP PPAF,,,,,,,,,,,,,,,
550000,039611,HEUCHERA BLACK BEAUTY PP13288,,,,,,,,,,,,,,,
550000,054911,HEUCHERA FIRE CHIEF PP21880,,,,,,,,,,,,,,,
550000,023101,HEUCHERA FROSTED VIOLET P15085,,,,,,,,,,,,,,,
550000,029531,HEUCHERA LIME RICKEY PP16210,,,,,,,,,,,,,,,
550000,028871,HEUCHERA MARMALADE PP15945,,,,,,,,,,,,,,,
550000,054531,HEUCHERA MIDNIGHT BAYOU P21858,,,,,,,,,,,,,,,
550000,045721,HEUCHERA MIDNIGHT ROSE PP18551,,,,,,,,,,,,,,,
550000,037541,HEUCHERA OBSIDIAN PP14836,,,,,,,,,,,,,,,
550000,04045UT,HEUCHERA PALACE PURPLE,,,,,,,,,,,,,,,
550000,04072UT,HEUCHERA PLUM PUDDING,,,,,,,,,,,,,,,
550000,049711,HEUCHERA SOUTHERN COMFORT PPAF,,,,,,,,,,,,,,,
550000,046641,HEUCHERA VIL CARAMEL PP16560,,,,,,,,,,,,,,,
550000,040985PT,HIB R CHERIE,,,,,,,,,,,,,,,
550000,025205PT,HIB R ERIN RACHEL,,,,,,,,,,,,,,,
550000,060615PT,HIB R HOT BIKINI,,,,,,,,,,,,,,,
550000,041305PT,HIB R HULA GIRL,,,,,,,,,,,,,,,
550000,091425PT,HIB R RED DARLING R,,,,,,,,,,,,,,,
170000,002112,HIB SYR APHRODITE,,,,,,,,,,,,,,,
550000,074511S,HIB SYR AZURRI SATN TM PP20563,,,,,,,,,,,,,,,
170000,074501S,HIB SYR BLU CHIFFON TM PP20574,,,,,,,,,,,,,,,
550000,074502S,HIB SYR BLU CHIFFON TM PP20574,,,,,,,,,,,,,,,
170000,041665PT,HIB SYR BLUSHING BRIDE,,,,,,,,,,,,,,,
170000,002255,HIB SYR DIANA,,,,,,,,,,,,,,,
170000,002262,HIB SYR HELENE,,,,,,,,,,,,,,,
550000,016962S,HIB SYR LAV CHIFFON TM PP12619,,,,,,,,,,,,,,,
170000,074492S,HIB SYR LIL' KIM TM PP19547,,,,,,,,,,,,,,,
170000,002305,HIB SYR MINERVA,,,,,,,,,,,,,,,
170000,016981S,HIB SYR VIOLET SATIN R PP12196,,,,,,,,,,,,,,,
550000,025101,HOSTA CHRISTMAS TREE,,,,,,,,,,,,,,,
160000,068242,HOSTA EMPRESS WU PP20774,,,,,,,,,,,,,,,
160000,041472,HOSTA EOLA SAPPHIRE,,,,,,,,,,,,,,,
160000,075111,HOSTA FANTASY ISLAND,,,,,,,,,,,,,,,
160000,017492,HOSTA FIRE & ICE,,,,,,,,,,,,,,,
550000,04169UT,HOSTA FRANCEE,,,,,,,,,,,,,,,
160000,052631,HOSTA FROSTY RIBBONS TM PPAF,,,,,,,,,,,,,,,
160000,04153UT,HOSTA GINKO CRAIG,,,,,,,,,,,,,,,
160000,041771,HOSTA GOLDEN PRAYERS,,,,,,,,,,,,,,,
160000,04177UT,HOSTA GOLDEN PRAYERS,,,,,,,,,,,,,,,
550000,019911,HOSTA GREAT EXPECTATIONS,,,,,,,,,,,,,,,
160000,031891,HOSTA HADSPEN BLUE,,,,,,,,,,,,,,,
160000,04779UT,HOSTA LITTLE DARLING R PPAF,,,,,,,,,,,,,,,
160000,039472,HOSTA ROSEDALE GOLDEN GOOSE,,,,,,,,,,,,,,,
160000,083971,HOSTA SUM & SUBSTANCE,,,,,,,,,,,,,,,
160000,075161,HOSTA THE RAZOR'S EDGE,,,,,,,,,,,,,,,
160000,041851,HOSTA WIDE BRIM,,,,,,,,,,,,,,,
160000,074532S,HYD A INVINCE SPIRIT R PP20765,,,,,,,,,,,,,,,
160000,041712,HYD ARB ANNABELLE,,,,,,,,,,,,,,,
550000,074522S,HYD ARB INCREDIBALL R PP20571,,,,,,,,,,,,,,,
170000,092752,HYD M ENCHANTRESS R PPAF,,,,,,,,,,,,,,,
550000,092755,HYD M ENCHANTRESS R PPAF,,,,,,,,,,,,,,,
550000,017311S,HYD M ENDLESS SUMMER R PP15298,,,,,,,,,,,,,,,
550000,017312S,HYD M ENDLESS SUMMER R PP15298,,,,,,,,,,,,,,,
550000,074561S,HYD MAC CTYLN TM PARIS PP10906,,,,,,,,,,,,,,,
550000,074562S,HYD MAC CTYLN TM PARIS PP10906,,,,,,,,,,,,,,,
550000,074541S,HYD MAC CTYLN TM RIO,,,,,,,,,,,,,,,
550000,074542S,HYD MAC CTYLN TM RIO,,,,,,,,,,,,,,,
550000,074571S,HYD MAC CTYLN TM VENICE P10928,,,,,,,,,,,,,,,
550000,074572S,HYD MAC CTYLN TM VENICE P10928,,,,,,,,,,,,,,,
550000,077461S,HYD MAC LD R BIG EASY PPAF,,,,,,,,,,,,,,,
550000,077462S,HYD MAC LD R BIG EASY PPAF,,,,,,,,,,,,,,,
550000,074592S,HYD MAC LD R MOONLIGHT PP20020,,,,,,,,,,,,,,,
550000,074582S,HYD MAC LD R STARLIGHT PP20019,,,,,,,,,,,,,,,
550000,089932S,HYD MAC PARAPLU TM PPAF,,,,,,,,,,,,,,,
170000,042072,HYD MAC PINK ELF R (PIA),,,,,,,,,,,,,,,
160000,089952S,HYD P LITTLE QUICK FIRE R PPAF,,,,,,,,,,,,,,,
550000,024372S,HYD PAN LIMELIGHT PP12874,,,,,,,,,,,,,,,
550000,029922S,HYD PAN LITTLE LIME PPAF,,,,,,,,,,,,,,,
550000,074612S,HYD PAN PINKY WINKY TM PP16166,,,,,,,,,,,,,,,
550000,074602S,HYD PAN QUICK FIRE R PP16812,,,,,,,,,,,,,,,
160000,042562,HYD QUER PEE WEE,,,,,,,,,,,,,,,
160000,042065,HYD QUER SNOW QUEEN,,,,,,,,,,,,,,,
160000,042092,HYD QUERCIFOLIA,,,,,,,,,,,,,,,
550000,074622S,HYPERICUM SUNNY BLVD TM P20045,,,,,,,,,,,,,,,
160000,04222UT,IBERIS SEMP LITTLE GEM,,,,,,,,,,,,,,,
550000,044932,ILEX CREN SKY PENCIL(SKY SNTRY,,,,,,,,,,,,,,,
550000,044935,ILEX CREN SKY PENCIL(SKY SNTRY,,,,,,,,,,,,,,,
160000,007592,ILEX CREN SOFT TOUCH,,,,,,,,,,,,,,,
160000,045092,ILEX X BERRI-MAGIC R KIDS,,,,,,,,,,,,,,,
160000,045132,ILEX X BERRI-MAGIC R ROYALTY,,,,,,,,,,,,,,,
160000,074952S,ILEX X CASTLE SPIRE R PP14310,,,,,,,,,,,,,,,
160000,074942S,ILEX X CASTLE WALL TM PP14308,,,,,,,,,,,,,,,
160000,045352,ILEX X LITTLE RASCAL R P9999,,,,,,,,,,,,,,,
160000,023965,ILEX X SANTA'S DELIGHT R,,,,,,,,,,,,,,,
160000,021092,ILEX X SCALLYWAG TM PP21941,,,,,,,,,,,,,,,
160000,021093,ILEX X SCALLYWAG TM PP21941,,,,,,,,,,,,,,,
550000,046505,ITEA VIR HENRYS GARNET,,,,,,,,,,,,,,,
550000,046492S,ITEA VIR LITTLE HENRY R P10988,,,,,,,,,,,,,,,
170000,047505SP,JUN C HETZII COLUMN,,,,,,,,,,,,,,,
170000,047602PP,JUN C HETZII GLAUCA,,,,,,,,,,,,,,,
170000,048002P2,JUN C MINT JULEP R,,,,,,,,,,,,,,,
170000,048002PP,JUN C MINT JULEP R,,,,,,,,,,,,,,,
170000,048005OP,JUN C MINT JULEP R,,,,,,,,,,,,,,,
170000,048005PP,JUN C MINT JULEP R,,,,,,,,,,,,,,,
170000,048131,JUN C SEA OF GOLD R PP17622,,,,,,,,,,,,,,,
170000,048132,JUN C SEA OF GOLD R PP17622,,,,,,,,,,,,,,,
170000,048135,JUN C SEA OF GOLD R PP17622,,,,,,,,,,,,,,,
170000,047305SP,JUN C SPARTAN,,,,,,,,,,,,,,,
160000,049901,JUN H ICEE BLUE R P9639,,,,,,,,,,,,,,,
160000,049902,JUN H ICEE BLUE R P9639,,,,,,,,,,,,,,,
170000,050201,JUN H YOUNGSTOWN,,,,,,,,,,,,,,,
