Item#,Item Description,Product,Sub Category,Zone,Invoice$,Avg Dsc,Quantity,OR,VI,VH,GA,NC,CT,GR
000755,ACER PAL BLOODGOOD,Trees,Japanese maple,5,"141,898.08 ",18.22 ,"3,006",0,0,0,0,0,0,0
033605,EUO ALATUS COMPACTUS,Deciduous Shrubs,Euonymus,4,"132,724.33 ",19.34 ,"8,196",0,0,0,0,0,0,0
024032,CHAM PIS FIL GOLDEN CHARM,Conifers,Chamaecyparis,4,"131,594.11 ",20.33 ,"11,109",0,0,0,0,0,0,0
076392,WEIGELA FL DARK HORSE PP14381,Deciduous Shrubs,Deciduous sumr flower'g shrub,4,"125,575.64 ",20.84 ,"11,014",0,0,0,0,0,0,0
063742,PAEONIA X KANSAS (RED),Perennials,Paeonia,4,"125,171.61 ",19.90 ,"8,014",0,0,0,0,0,0,0
076131,VINCA MINOR BOWLES',Perennials,Ground cover,4,"124,813.19 ",24.52 ,"33,936",0,0,0,0,0,0,0
013981,BUXUS SEMP SUFFRUTICOSA,Evergreen Shrubs,Evergreen small shrub/hedge,5,"123,519.11 ",18.32 ,"20,779",0,0,0,0,0,0,0
013882,BUXUS SEMP VARIEGATA,Evergreen Shrubs,Evergreen small shrub/hedge,5,"121,248.38 ",19.60 ,"9,199",0,0,0,0,0,0,0
065452,PINUS MUGO PUMILIO,Conifers,Pinus,2,"117,056.74 ",19.84 ,"8,650",0,0,0,0,0,0,0
012212,BER T ROYAL BURGUNDY R P9461,Deciduous Shrubs,Berberis,4,"116,745.16 ",31.19 ,"10,864",0,0,0,0,0,0,0
056232,VACC BOUNTIFUL BLUE R PP19381,Deciduous Shrubs,Edible berries/fruit,6,"114,929.94 ",20.15 ,"9,388",0,0,0,0,0,0,0
079382,RUBUS RSPBRY SHRTCKE TM P22141,Deciduous Shrubs,Edible berries/fruit,5,"114,217.08 ",20.08 ,"8,706",0,0,0,0,0,0,0
074681S,SYRINGA BLOOMERNG R PUR P20575,Deciduous Shrubs,Deciduous early flower'g Shrub,3,"112,772.23 ",30.56 ,"15,466",0,0,0,0,0,0,0
012052,BER T CRIMSON PYGMY,Deciduous Shrubs,Berberis,4,"111,259.38 ",19.56 ,"10,546",0,0,0,0,0,0,0
012031,BER GOLDN NUGGET TM P9577 CBR,Deciduous Shrubs,Berberis,4,"110,509.70 ",22.63 ,"22,439",0,0,0,0,0,0,0
013825,BUXUS GREEN MOUNTAIN,Evergreen Shrubs,Evergreen small shrub/hedge,4,"109,418.50 ",18.02 ,"5,302",0,0,0,0,0,0,0
038681,GR-HAKONECHLOA MACRA AUREOLA,Grasses,Small grasses,4,"106,563.22 ",19.17 ,"15,614",0,0,0,0,0,0,0
047075,PAEONIA ITOH YUMI TM (YLW),Perennials,Paeonia,4,"104,593.42 ",17.00 ,"2,966",0,0,0,0,0,0,0
021093,ILEX X SCALLYWAG TM PP21941,Evergreen Shrubs,Ilex,5,"103,123.54 ",17.60 ,"5,160",0,0,0,0,0,0,0
06469M,PICEA PUN GLOBOSA,Conifers,Picea,2,"99,948.78 ",18.59 ,"1,579",0,0,0,0,0,0,0
072325,TAXUS X MEDIA DENSIFORMIS,Conifers,Hardy conifer,4,"97,459.11 ",21.37 ,"5,772",0,0,0,0,0,0,0
070502,SARCOCOCCA HUMILIS,Evergreen Shrubs,Evergreen small shrub/hedge,6,"97,259.86 ",21.04 ,"6,715",0,0,0,0,0,0,0
033902,EUO F EMERALD GAIETY,Evergreen Shrubs,Euonymus,5,"96,512.72 ",18.90 ,"8,883",0,0,0,0,0,0,0
041705,HYD PETIOLARIS,Vines,Hardy vine,5,"95,674.79 ",18.49 ,"4,078",0,0,0,0,0,0,0
062932,BER T ORANGE ROCKET PP18411,Deciduous Shrubs,Berberis,4,"93,166.80 ",18.94 ,"7,242",0,0,0,0,0,0,0
063762,PAEONIA X SHIRLEY TEMPLE (WT),Perennials,Paeonia,4,"92,173.38 ",18.82 ,"5,823",0,0,0,0,0,0,0
047085,PAEONIA ITOH KEIKO TM (PK D D),Perennials,Paeonia,4,"91,706.76 ",17.67 ,"2,621",0,0,0,0,0,0,0
053392,JUN SQUA BLUE STAR,Conifers,Juniper bush & spreader,4,"87,576.97 ",17.97 ,"8,247",0,0,0,0,0,0,0
035242,BER T PYGMY RUBY TM,Deciduous Shrubs,Berberis,4,"87,349.55 ",17.91 ,"6,939",0,0,0,0,0,0,0
072335,TAXUS X MEDIA HICKSII,Conifers,Hardy conifer,4,"86,606.26 ",20.57 ,"5,185",0,0,0,0,0,0,0
023317SE,CEDRUS ATLANTICA GLAUCA PNDULA,Conifers,Temperate conifer,6,"85,611.80 ",17.60 ,"1,175",0,0,0,0,0,0,0
045353,ILEX X LITTLE RASCAL R P9999,Evergreen Shrubs,Ilex,5,"85,088.62 ",17.84 ,"4,744",0,0,0,0,0,0,0
071602,ROSA FLWR CAR R RED P11308,Roses,Rosa,4,"84,207.84 ",19.04 ,"6,781",0,0,0,0,0,0,0
06478M,PICEA PUN GLAUCA FAT ALBERT,Conifers,Picea,2,"83,249.95 ",17.68 ,"1,329",0,0,0,0,0,0,0
081712,VACCINIUM PEACH SORBET TM PPAF,Deciduous Shrubs,Edible berries/fruit,5,"83,104.32 ",19.45 ,"6,683",0,0,0,0,0,0,0
064552,PICEA ABIES LITTLE GEM,Conifers,Picea,2,"82,706.34 ",18.11 ,"5,325",0,0,0,0,0,0,0
045135,ILEX X BERRI-MAGIC R ROYALTY,Evergreen Shrubs,Ilex,5,"81,629.46 ",22.73 ,"4,651",0,0,0,0,0,0,0
072022,SYRINGA PATULA MISS KIM,Deciduous Shrubs,Deciduous early flower'g Shrub,4,"80,677.87 ",19.45 ,"6,269",0,0,0,0,0,0,0
084655,JUN C DAUB'S FROSTED,Conifers,Juniper bush & spreader,4,"80,013.14 ",19.38 ,"5,517",0,0,0,0,0,0,0
03033M,ACER SHIR AUTUMN MOON,Trees,Japanese maple,5,"77,454.62 ",17.30 ,803,0,0,0,0,0,0,0
00084M,ACER PAL EMPEROR I R,Trees,Japanese maple,5,"76,822.85 ",19.74 ,835,0,0,0,0,0,0,0
010052,RHOD (H-1) RAMAPO,Rhododendrons,Rhododendron,4,"75,752.22 ",21.56 ,"5,589",0,0,0,0,0,0,0
019522,PAEONIA X BOWL OF BEAUTY (PK),Perennials,Paeonia,4,"75,250.44 ",18.71 ,"4,747",0,0,0,0,0,0,0
071232,SPIRAEA X LIMEMOUND R,Deciduous Shrubs,Deciduous sumr flower'g shrub,3,"75,007.85 ",19.43 ,"7,202",0,0,0,0,0,0,0
063935,PHYSOCARPUS DIABOLO R P11211,Deciduous Shrubs,Deciduous shrub/hedge,2,"74,808.17 ",19.29 ,"4,620",0,0,0,0,0,0,0
052605,PAEONIA ITOH MISAKA TM PP22192,Perennials,Paeonia,4,"74,776.11 ",16.81 ,"2,115",0,0,0,0,0,0,0
072155,SYRINGA V LAVENDER LADY,Deciduous Shrubs,Deciduous early flower'g Shrub,3,"74,062.49 ",19.55 ,"3,866",0,0,0,0,0,0,0
