Branch,item,Description
OREGON,056411,ACTINIDIA TETRA VAR MALOIDES
OREGON,056415,ACTINIDIA TETRA VAR MALOIDES
OREGON,050011,AGAPANTHUS BLUE LEAP
OREGON,050012,AGAPANTHUS BLUE LEAP
OREGON,050002,AGAPANTHUS INAPTERUS GRASKOP
OREGON,055482,ARALIA CORDATA GOTEMBA
OREGON,049782,AZARA MICRO VARIEGATA
OREGON,049785,AZARA MICRO VARIEGATA
OREGON,049772,AZARA MICROPHYLLA
OREGON,049775,AZARA MICROPHYLLA
OREGON,049795,AZARA SERRATA ANDEAN GOLD TM
OREGON,078461,BACCHARIS MAGELLANICA
OREGON,050022,BEESIA DELTOPHYLLA
OREGON,057382,CESTRUM AUR ORANGE PEEL
OREGON,055395,CLEM MONTANA PINK-A-BOO R
OREGON,055532,CLETHRA BARBINERVIS VARIEGATA
OREGON,055535,CLETHRA BARBINERVIS VARIEGATA
OREGON,051352,COPROSMA BLACK CLOUD
OREGON,056421,DEUTZIA SET CORYMBIFLORA
OREGON,056422,DEUTZIA SET CORYMBIFLORA
OREGON,085821,DISPORUM CANT MOONLIGHT P24556
OREGON,085822,DISPORUM CANT MOONLIGHT P24556
OREGON,050611,DRIMYS LANCEOLATA
OREGON,050612,DRIMYS LANCEOLATA
OREGON,050615,DRIMYS LANCEOLATA
CALIFORNIA,049845,DRIMYS WIN PEWTER PILLAR R
OREGON,049845TR,DRIMYS WIN PEWTER PILLAR R
OREGON,057925,EDGEWORTHIA CHRYSANTHA - DJHC
OREGON,050722,EUCRYPHIA LUC SPRING CREAM
OREGON,050725,EUCRYPHIA LUC SPRING CREAM
OREGON,033032,FATSIA JAP VAR CAMOUFLAGE TM
OREGON,033035,FATSIA JAP VAR CAMOUFLAGE TM
OREGON,050621,FUCHSIA EXCORTICATA KIWI SHEEN
OREGON,050622,FUCHSIA EXCORTICATA KIWI SHEEN
OREGON,049861,FUCHSIA GENII AUREA
OREGON,049862,FUCHSIA GENII AUREA
OREGON,050632,FUCHSIA MAGEL HAWKSHEAD
OREGON,049871,FUCHSIA MAGEL WINDCLIFF FLURRY
OREGON,049872,FUCHSIA MAGEL WINDCLIFF FLURRY
OREGON,049931,GR-RHODOCOMA CAPENSIS
OREGON,033202,GUNNERA TINCTORIA
OREGON,033205,GUNNERA TINCTORIA
OREGON,089081,HELLE WINDCLIFF SLATY BLUE SDL
OREGON,056381,HOLBOELLIA BRACHYANDRA HWJ1023
OREGON,056361,HOLBOELLIA COR CATHEDRAL GEM
OREGON,056365,HOLBOELLIA COR CATHEDRAL GEM
OREGON,056371,HOLBOELLIA LATIFOLIA RITAK
OREGON,056375,HOLBOELLIA LATIFOLIA RITAK
OREGON,063832,HYD ANG GOLDEN CRANE R
OREGON,063835,HYD ANG GOLDEN CRANE R
OREGON,056452,HYD ASPERA PLUM PASSION R
OREGON,056455,HYD ASPERA PLUM PASSION R
OREGON,075631,HYD INTEG TAIPING SHAN CLIMBNG
OREGON,075632,HYD INTEG TAIPING SHAN CLIMBNG
OREGON,056482,HYD SERRATA CHIRI-SAN SUE (DH)
OREGON,056485,HYD SERRATA CHIRI-SAN SUE (DH)
OREGON,060321,LEUCOSCEPTRUM JAP GOLDEN ANGEL
OREGON,060325,LEUCOSCEPTRUM JAP GOLDEN ANGEL
OREGON,053582,MAHONIA X MED LIONEL FORTESCUE
OREGON,053585,MAHONIA X MED LIONEL FORTESCUE
OREGON,047222,METAPANAX DAVIDII 8131 DJHC8
OREGON,047225,METAPANAX DAVIDII 8131 DJHC8
OREGON,047251,MUKDENIA ROS CRIMSON FANS
OREGON,047252,MUKDENIA ROS CRIMSON FANS
OREGON,055661,OPHIOPOGON FORMOSANUM
OREGON,093191,PACHYSANDRA WINDCLIFF FRAGRANT
OREGON,090835,PITT ILL FORMOSAN FINGERS TM
OREGON,051422,PITT TEN TASMAN RUFFLES
OREGON,051425,PITT TEN TASMAN RUFFLES
OREGON,080005,POLYSPORA LONG FULLMOON R PPAF
OREGON,053845,PROSTANTHERA CUN BADJA PEAK
OREGON,043082,PSEUDOPANAX LAETUS KIWI GEM TM
OREGON,043085,PSEUDOPANAX LAETUS KIWI GEM TM
OREGON,076641,SAXIFRAGA FORT BERRY BRIGHT TM
OREGON,076731,SAXIFRAGA FORTUNEI PINK ELF R
OREGON,052935,SCHEF A BREVIPEDUNCULATA(12224
OREGON,043915,SCHEFFLERA HOI (8171) DJHV8
OREGON,049952,SCHEFFLERA TAIW YUAN SHAN
OREGON,049955,SCHEFFLERA TAIW YUAN SHAN
OREGON,049957,SCHEFFLERA TAIW YUAN SHAN
