00075M,ACER PAL BLOODGOOD,10,,160000,014949007679,,,$6.21 ,$124.00 ,,$124.00 ,
049785,AZARA MICRO VARIEGATA,5,,160000,014949282533,,,$1.73 ,$0.00 ,TRADESHW,$0.00 ,
02328M,CEDRUS DEODARA FEELIN BLUE,10,,160000,014949232842,,,$6.21 ,$82.25 ,,$82.25 ,
024032,CHAM PIS FIL GOLDEN CHARM,2,,160000,014949240328,,,$0.86 ,$15.50 ,,$46.50 ,
414562TE,CLEM BLVRD R REBECCA TM P21583,2,TE,160000,014949429662,,,$0.86 ,$0.00 ,TRADESHW,$0.00 ,
050612,DRIMYS LANCEOLATA,2,,160000,014949317808,,,$0.86 ,$0.00 ,TRADESHW,$0.00 ,
050615,DRIMYS LANCEOLATA,5,,160000,014949288559,,,$1.73 ,$0.00 ,TRADESHW,$0.00 ,
033032,FATSIA JAP VAR CAMOUFLAGE TM,2,,160000,014949310540,,,$0.86 ,$18.00 ,,$36.00 ,
035645,FATSIA JAPONICA,5,,160000,014949356456,,,$1.73 ,$0.00 ,TRADESHW,$0.00 ,
033202,GUNNERA TINCTORIA,2,,160000,014949206324,,,$0.86 ,$0.00 ,TRADESHW,$0.00 ,
039991,HELLE X IVORY PRINCE PP16199,1,,160000,014949237410,,,$0.35 ,$9.25 ,,$46.25 ,
413241,HELLEBORUS X FLORENCE PICOTEE,1,,160000,014949349212,,,$0.35 ,$9.25 ,,$46.25 ,
414781,HEM EVERYDAYLILY CREAM PPAF,1,,160000,014949431764,,,$0.35 ,$5.25 ,,$15.75 ,
092752,HYD BLUE ENCHANTRESS R PP25209,2,,160000,014949370643,,,$0.86 ,$0.00 ,TRADESHW,$0.00 ,
092755,HYD BLUE ENCHANTRESS R PP25209,5,,160000,014949313145,,,$1.73 ,$0.00 ,TRADESHW,$0.00 ,
042025,HYD PAN ANGEL'S BLUSH R P10751,5,,160000,014949420256,,,$1.73 ,$0.00 ,TRADESHW,$0.00 ,
060802,MAHONIA ORANGEE FLAME,2,,160000,014949350973,,,$0.86 ,$17.75 ,,$17.75 ,
016002,NAND DOM CHIME,2,,160000,014949374948,,,$0.86 ,$0.00 ,TRADESHW,$0.00 ,
047085,PAEONIA ITOH KEIKO TM (PK D D),5,,160000,014949250365,,,$1.73 ,$0.00 ,TRADESHW,$0.00 ,
052605,PAEONIA ITOH MISAKA TM PP22192,5,,160000,014949278871,,,$1.73 ,$0.00 ,TRADESHW,$0.00 ,
052595,PAEONIA ITOH TAKARA TM PP22374,5,,160000,014949278864,,,$1.73 ,$0.00 ,TRADESHW,$0.00 ,
051425,PITT TEN TASMAN RUFFLES,5,,160000,014949305508,,,$1.73 ,$0.00 ,TRADESHW,$0.00 ,
080005,POLYSPORA LONG FULLMOON R PPAF,5,,160000,014949413753,,,$1.73 ,$0.00 ,TRADESHW,$0.00 ,
043085,PSEUDOPANAX LAETUS KIWI GEM TM,5,,160000,014949361337,,,$1.73 ,$0.00 ,TRADESHW,$0.00 ,
070502,SARCOCOCCA HUMILIS,2,,160000,014949705025,,,$0.86 ,$19.25 ,,$38.50 ,
049952,SCHEFFLERA TAIW YUAN SHAN,2,,160000,014949312582,,,$0.86 ,$0.00 ,TRADESHW,$0.00 ,
066572,THUJA PLICATA WHIPCORD,2,,160000,014949361269,,,$0.86 ,$0.00 ,TRADESHW,$0.00 ,
084842,VACC X BLUEBERRY GLAZE TM PPAF,2,,160000,014949367872,,,$0.86 ,$16.25 ,,$32.50 ,
084852,VACC X PINK ICING TM PP23336,2,,160000,014949367889,,,$0.86 ,$16.25 ,,$32.50 ,
081702,VACCINIUM X JELLY BEAN TM PPAF,2,,160000,014949361306,,,$0.86 ,$16.25 ,,$32.50 ,
090151,YUCCA FIL COLOR GUARD,1,,160000,014949285305,,,$0.35 ,$7.75 ,,$38.75 ,
014402,CALLISTEMON LITTLE JOHN,,,,,,,,,,,
030442,CLIVIA BELGIAN HYB ORANGE,Total:,,,,,,,,$651.35 ,,
030517SP,CUP LEY EMERALD ISLE R,,,,,,,,,,,
084671,DELOS JWL OF DSRT RUBY P23453,,,,,,,,,,,
036207,FERN-DICKSONIA ANTARCTICA,,,,,,,,,,,
061975,MUSA BASJOO,,,,,,,,,,,
063581,AEONIUM KIWI,,,,,,,,,,,
002005,ALPINIA ZERUMBET VARIEGATA,,,,,,,,,,,
090111BH,BOUG WHITE STRIPE,,,,,,,,,,,
014402,CALLISTEMON LITTLE JOHN,,,,,,,,,,,
024405SP,EUGENIA MYR LEMON SWIRL R,,,,,,,,,,,
021221,FERN-DRYOPTERIS ERY BRILLIANCE,,,,,,,,,,,
034155,GARDENIA AUGUST BEAUTY-GRAFT,,,,,,,,,,,
064182,HESPERALOE BRK LIGHTS R P21729,,,,,,,,,,,
049902,JUN H ICEE BLUE R P9639,,,,,,,,,,,
062121,NAND DOM GULF STREAM,,,,,,,,,,,
033721,PANDOREA JAS CHARISMA,,,,,,,,,,,
033725,PANDOREA JAS CHARISMA,,,,,,,,,,,
070941,SEDUM BRONZE CARPET,,,,,,,,,,,
039755PT,TIBOUCHINA LEPIDOTA,,,,,,,,,,,
056232,VACC BOUNTIFUL BLUE R PP19381,,,,,,,,,,,
077231,YUCCA FIL GOLDEN SWORD,,,,,,,,,,,
022021,BERGENIA COR WINTERGLOW,,,,,,,,,,,
027805,CORNUS SERICEA FLAVIRAMEA,,,,,,,,,,,
030255PT,COT STREIB'S FINDLING,,,,,,,,,,,
047575,CUP MAC DONARD GOLD,,,,,,,,,,,
017962,ERICA KRAMER'S RED,,,,,,,,,,,
032082,ERICA SILBERSCHMELZE,,,,,,,,,,,
050722,EUCRYPHIA LUC SPRING CREAM,,,,,,,,,,,
034002,EUO F EMERALD 'N GOLD,,,,,,,,,,,
035931,GR-CAREX DOL KAGA NISHIKI,,,,,,,,,,,
035832,GR-CAREX MOR ICE DANCE,,,,,,,,,,,
062331,NAND DOM HARBOUR DWARF,,,,,,,,,,,
063351,PACHYSANDRA TERM GREEN SHEEN,,,,,,,,,,,
019371,PICEA GL CONICA TINY TOWER R,,,,,,,,,,,
065305,PIERIS J VALLEY ROSE,,,,,,,,,,,
091022,PITT TEN WRINKLED BLUE,,,,,,,,,,,
041362,ROSMARINUS ROMAN BTY PP18192,,,,,,,,,,,
076081,VINCA MINOR ATROPURPUREA,,,,,,,,,,,
