Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Royalty Code,LANDED PRICE,"QTY 
TO ADD TO BOOKING",QTY AVAIL,"2ND 
QTY AVAIL",On,3RD QTY AVAIL,On
CA,    ,058209Y5,#15 5'PYRAMID,LIGUSTRUM TEXANUM,Waxleaf Privet                                              ,EVS,07,, 104.24 ,,     , 14 ,03/15/15  ,     ,          
CA,    ,058852,#2,LIRIOPE MUSCARI MAJESTIC,Majestic Lilyturf                                           ,GRS,05,, 10.66 ,,     ," 1,399 ",03/01/15  ,     ,          
CA,    ,058902,#2,LIRIOPE MUSCARI SILVR SUNPROOF,Silvery Sunproof Lilyturf                                   ,GRS,06,OLD, 10.66 ,,     , 724 ,03/15/15  ,     ,          
CA,2015,086365,#5,LONICERA P SCENTSATION PP16240,Scentsation Honeysuckle                                     ,VIN,04,PW, 24.13 ,, 13 ,     ,          ,     ,          
CA,    ,061195,#5 STAKED,MAN PNK PRFT R P11787-P6300547,Pink Parfait®  Mandevilla,VIN,10,GJM, 24.13 ,,     , 21 ,04/01/15  ,     ,          
CA,2014,09238UT,LittleOne,MAN SUN PAR R GARDEN CRIMSON,Sun Parasol®  Garden Crimson Mandevilla,VIN,10,, 3.68 ,," 2,902 "," 2,902 ",05/01/15  ,     ,          
CA,    ,054011,#1,OENOTHERA VER SUNSET BOULEVARD,Evening Primrose                                            ,PRN,04,, 4.35 ,,     , 199 ,04/01/15  ,     ,          
CA,    ,047085,#5,PAEONIA ITOH KEIKO TM (PK D D),Keiko™ (Adored) Itoh Peony,PRN,04,DRS, 36.13 ,, 128 ,     ,          ,     ,          
CA,    ,047075,#5,PAEONIA ITOH YUMI TM (YLW),Yumi™  (Beauty) Itoh Peony,PRN,04,DRS, 36.13 ,, 21 ,     ,          ,     ,          
CA,2012,077481S,SuperOne TM,ROSA HOME RUN R PINK PPAF,Home Run®  Pink Rose,ROS,04,PW, 8.71 ,, 687 ,     ,          ,     ,          
CA,2012,077491S,SuperOne TM,ROSA HOME RUN R RED PP18552,Home Run®  Red Rose,ROS,04,PW, 8.71 ,," 1,066 ",     ,          ,     ,          
CA,    ,030905PT,#5 PATIO TREE,ROSA KNCK OUT R DBL RD P16202,Double Knock Out®  Rose,ROS,04,CPC, 33.99 ,, 12 , 12 ,04/15/15  ,     ,          
CA,    ,011625PT,#5 PATIO TREE,ROSA KNCK OUT R P11836 (RED),Knock Out®  Shrub Rose,ROS,04,CPC, 33.99 ,, 542 , 623 ,04/15/15  ,     ,          
CA,    ,022155PT,#5 PATIO TREE,ROSA KNCK OUT R P15070 (PINK),Pink Knock Out®  Rose,ROS,04,CPC, 33.99 ,, 279 , 279 ,04/15/15  ,     ,          
CA,    ,070341,#1 STAKED,RUBUS CANBY RED RASPBERRY,Canby Red Raspberry                                         ,DCS,04,, 8.03 ,, 369 , 369 ,04/26/15  ,     ,          
CA,2011,067841,#1 STAKED,RUBUS IDEAUS FALL GOLD RASPBRY,Fall Gold Raspberry                                         ,DCS,03,, 8.03 ,, 532 ," 1,373 ",04/26/15  ,     ,          
CA,2013,089241S,SuperOne TM,RUSSELIA X ST ELMO'S FIRE TM,St. Elmo's Fire Firecracker Plant                           ,PRN,08,MSW, 6.71 ,,     , 162 ,04/15/15  , 413 ,05/01/15  
CA,2014,090471S,SuperOne TM,SALVIA AMISTAD PPAF,Friendship Sage                                             ,PRN,08,, 7.51 ,, 655 ,     ,          ,     ,          
CA,    ,099451,#1,SALVIA HTWV BLAZE TM PP24151,Heatwave™  Blaze Sage,PRN,06,PPP, 5.03 ,, 767 , 904 ,04/01/15  ,     ,          
CA,    ,094281,#1,SALVIA HTWV SPARKLE TM PP24154,Heatwave™  Sparkle Sage,PRN,06,PPP, 5.03 ,,     , 126 ,04/01/15  ,     ,          
CA,2015,412691,#1,SALVIA NEM BLUE MARVEL PPAF,Blue Marvel Salvia                                          ,PRN,04,BHC, 5.03 ,,     ," 1,039 ",04/01/15  ,     ,          
CA,    ,407941,#1,SALVIA SNSATION R DEEP ROS PAF,Sensation Deep Rose Salvia                                  ,PRN,04,, 5.03 ,,     , 699 ,04/01/15  ,     ,          
CA,    ,400271,#1,SALVIA SNSATION R SKY BLUE PAF,Sensation®  Sky Blue Sage,PRN,04,, 5.03 ,,     , 96 ,04/01/15  ,     ,          
CA,2011,068421,#1,SALVIA WENDY'S WISH PP21889,Wendy's Wish Sage                                           ,PRN,09,PHI, 5.03 ,,     , 124 ,04/01/15  ,     ,          
CA,    ,067512,#2 STAKED,VITIS VIN CABERNET SAUVIGNON,Cabernet Sauvignon Grape                                    ,VIN,07,, 13.86 ,, 86 ,     ,          ,     ,          
CA,    ,067522,#2 STAKED,VITIS VIN CHARDONNAY,Chardonnay Grape                                            ,VIN,07,, 13.86 ,, 167 ,     ,          ,     ,          
CA,    ,067532,#2 STAKED,VITIS VIN MERLOT,Merlot Grape                                                ,VIN,07,, 13.86 ,, 170 ,     ,          ,     ,          
CA,    ,067542,#2 STAKED,VITIS VIN PINOT NOIR,Pinot Noir Grape                                            ,VIN,07,, 13.86 ,, 141 ,     ,          ,     ,          
CA,2011,067552,#2 STAKED,VITIS VIN ZINFANDEL,Zinfandel Grape                                             ,VIN,07,, 13.86 ,, 160 ,     ,          ,     ,          
OR,    ,002741,#1,ANEMONE SYLVESTRIS,Snowdrop Anemone                                            ,PRN,02,, 4.35 ,, 376 ,     ,          ,     ,          
OR,2011,004801,#1,DICENTRA BURNINGHEARTS PP20797,Burning Hearts Bleeding Heart                               ,PRN,04,, 5.51 ,,     , 415 ,04/01/15  ,     ,          
OR,    ,035621,#1,DICENTRA SPEC GOLD HEART,Gold Heart Bleeding Heart                                   ,PRN,03,, 5.51 ,, 48 , 559 ,04/01/15  ,     ,          
OR,    ,035622,#2,DICENTRA SPEC GOLD HEART,Gold Heart Bleeding Heart                                   ,PRN,03,, 12.86 ,, 86 , 86 ,04/01/15  , 86 ,05/01/15  
OR,    ,031611,#1,DICENTRA X LUXURIANT,Luxuriant Fringed Bleeding Heart                            ,PRN,02,, 4.35 ,, 53 ," 1,465 ",04/01/15  ,     ,          
OR,2013,084912,#2,FERN-POLYSTICHUM MUNITUM,Western Sword Fern                                          ,FRN,05,, 13.46 ,, 83 ,     ,          ,     ,          
OR,2014,086711,#1,GAURA L PINK LADY PP17494,Pink Lady Gaura                                             ,PRN,05,PPP, 4.35 ,, 382 , 382 ,05/01/15  ,     ,          
OR,2013,063832,#2,HYD ANG GOLDEN CRANE R,Golden Crane®  Hydrangea,DCS,06,HIN, 14.26 ,," 1,386 ",     ,          ,     ,          
OR,2013,063835,#5,HYD ANG GOLDEN CRANE R,Golden Crane®  Hydrangea,DCS,06,HIN, 22.53 ,, 646 ,     ,          ,     ,          
OR,2013,056452,#2,HYD ASPERA PLUM PASSION R,Plum Passion®  Hydrangea,DCS,07,HIN, 14.26 ,, 713 , 763 ,04/15/15  ,     ,          
OR,2013,056455,#5,HYD ASPERA PLUM PASSION R,Plum Passion®  Hydrangea,DCS,07,HIN, 21.33 ,, 637 ,     ,          ,     ,          
OR,2011,074541S,SuperOne TM,HYD MAC CTYLN TM RIO,Cityline®  Rio Bigleaf Hydrangea,DCS,05,PW, 9.11 ,, 264 ,     ,          ,     ,          
OR,    ,044011,#1,IRIS EN VARIEGATA,Variegated Japanese Water Iris                              ,PRN,04,, 5.99 ,, 168 ,     ,          ,     ,          
OR,    ,058941,#1,LITHODORA GRACE WARD,Grace Ward Lithodora                                        ,PRN,06,, 4.35 ,,     ," 3,110 ",03/01/15  ,     ,          
