Item,Description,Common Name
056415,ACTINIDIA TETRA  VAR MALOIDES,Rosy Crabapple Kiwi                                         
030821,CHAENOMELES CAMEO,Cameo Japanese Flowering Quince                             
031001,CHAENOMELES SUPER RED R,Super Red®  Flowering Quince
036785,FICUS CAR BROWN TURKEY,Brown Turkey Fig                                            
036815,FICUS CAR MISSION,Mission Fig                                                 
036851ST,FICUS PUMILA,Creeping Fig                                                
06109MT,MALUS X ANNA APPLE,Anna Apple                                                  
06104MT,MALUS X GOLDEN DELICIOUS APPLE,Golden Delicious Apple                                      
06105MT,MALUS X GRANNY SMITH APPLE,Granny Smith Apple                                          
060085TR,OLEA HAAS IMP MANZANILLO (FRT),Hass Improved Manzanillo Fruiting Olive                     
06797MT,PRUNUS PER NECTAR PEACH,Nectar White Peach                                          
06796MT,PRUNUS PER SANTA BARBARA PEACH,Santa Barbara Peach                                         
06167MT,PRUNUS X BEAUTY PLUM,Beauty Japanese Plum                                        
06168MT,PRUNUS X BURGUNDY PLUM,Burgundy Japanese Plum                                      
06798MT,PRUNUS X FANTASIA NECTARINE,Fantasia Nectarine                                          
06143MT,PRUNUS X GLEASON ELBERTA PEACH,Gleason Early Elberta Peach                                 
06741MT,PRUNUS X HARCOT APRICOT,Harcot Apricot                                              
06795MT,PRUNUS X OZARK PREMIER PLUM,Ozark Premier Plum                                          
06799MT,PRUNUS X SNOW QUEEN NECTARINE,Snow Queen Nectarine                                        
06110MT,PRUNUS X TILTON APRICOT,Tilton Apricot                                              
06116MT,PRUNUS X TROPIC GOLD APRICOT,Tropic Gold™  Apricot
068012,PUNICA GR ANGEL RED R PP16578,Angel Red®  Pomegranate
069155,PYRUS CALL BRADFORD,Bradford Flowering Pear                                     
069165,PYRUS CALL CAPITAL,Capital Flowering Pear                                      
069285,PYRUS KAWAKAMII,Evergreen Pear                                              
070331,RUBUS BLACK SATIN BLACKBERRY,Black Satin Blackberry                                      
070341,RUBUS CANBY RED RASPBERRY,Canby Red Raspberry                                         
070041,RUBUS HERITAGE RASPBERRY,Rubus Heritage Raspberry                                    
067841,RUBUS IDEAUS FALL GOLD RASPBRY,Fall Gold Raspberry                                         
070061,RUBUS INDIAN SUMMER RASPBERRY,Indian Summer Raspberry                                     
067871,RUBUS PRIME-JIM R BKBRY P16989,Prime-Jim®  Blackberry
079382,RUBUS RSPBRY SHRTCKE TM P22141,BrazelBerries®  Raspberry Shortcake™  Dwarf Thor
070081,RUBUS WILLAMETTE RASPBERRY,Willamette Raspberry                                        
056232,VACC BOUNTIFUL BLUE R PP19381,Bountiful Blue®  Blueberry
036372,VACCINIUM CORY SOUTHMOON P9834,Southmoon Blueberry                                         
021742,VACCINIUM CORY SUNSHINE BLUE,Sunshine Blue Blueberry                                     
034482,VACCINIUM CORYMBOSUM JUBILEE,Jubilee Blueberry                                           
021752,VACCINIUM CORYMBOSUM MISTY,Misty Early Season Blueberry                                
021732,VACCINIUM CORYMBOSUM O'NEAL,O'Neal Blueberry                                            
076311,VITIS LAB CATAWBA,Catawba Grape                                               
076221,VITIS LAB EASTERN CONCORD,Eastern Concord Grape                                       
076301,VITIS LAB HIMROD,Himrod Grape                                                
076251,VITIS LAB NIAGARA,Niagara Grape                                               
067512,VITIS VIN CABERNET SAUVIGNON,Cabernet Sauvignon Grape                                    
067522,VITIS VIN CHARDONNAY,Chardonnay Grape                                            
076211,VITIS VIN FLAME SEEDLESS,Flame Seedless Grape                                        
067532,VITIS VIN MERLOT,Merlot Grape                                                
067541S,VITIS VIN PINOT NOIR,Pinot Noir Grape                                            
076331,VITIS VIN RUBY SEEDLESS,Ruby Seedless Grape                                         
067552,VITIS VIN ZINFANDEL,Zinfandel Grape                                             
059435,MAG G LITTLE GEM,Magnolia grandiflora 'Little Gem'                           
020109,MAG G TEDDY BEAR R PP13049,Magnolia grandiflora 'Southern Charm' P.P.# 13049           
059575,MAG X TIMELESS BEAUTY R,Magnolia grandiflora 'Monland'                              
061475,MICHELIA DOLTSOPA SILVER CLOUD,Michelia doltsopa 'Silver Cloud'                            
061385,MICHELIA CHAMPACA ALBA,Michelia champaca 'White fragrant Himalayan'
026302,MICHELIA YUNNANENSIS 'CLIFF'S SELECTION,"Michelia ""Cliff's Selection'"
011385,BAMBUSA GOLDEN GODDESS (CLUMP),Bambusa multiplex 'Golden Goddess'                          
011325,BAMBUSA TULDOIDES (CLUMP),Bambusa tuldoides                                           
011335,BAMBUSA VENTRICOSA (CLUMP),Bambusa ventricosa                                          
067791,GR-BOUT BLOND AMBITION PP22048,"Bouteloua gracilis 'Blonde Ambition' P.P. # 22,048          "
028045,GR-CORT IVORY FEATHERS R,Cortaderia selloana 'Pumila'                                
028101,GR-CORT SUN STRIPE R,Cortaderia selloana 'Monvin'                                
061741,GR-MIS SIN CABARET,Miscanthus sinensis 'Cabaret'                               
061561,GR-MIS SIN GRACILLIMUS,Miscanthus sinensis 'Gracillimus'                           
061661,GR-MIS SIN MORNING LIGHT,Miscanthus sinensis 'Morning Light'                         
061791,GR-PAN VIR HEAVY METAL,Panicum virgatum 'Heavy Metal'                              
063881,GR-PAN VIR SHENANDOAH,Panicum virgatum 'Shenandoah'                               
064261,GR-PENN ALO HAMELN,Pennisetum alopecuroides 'Hameln'                           
063591,GR-PENN ALO LITTLE BUNNY,Pennisetum alopecuroides 'Little Bunny'                     
063611,GR-PENN ALO MOUDRY,Pennisetum alopecuroides 'Moudry'                           
064275,GR-PENN SET RUBRUM,Pennisetum setaceum 'Rubrum'                                
