Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2015 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On
OR,    ,030595,#5,PYRUS CALL JACK R,Pyrus calleryana 'Jaczam'                                   ,Jack®  Flowering Pear,TRE,05,LHI, 33.00 , 27.72 , 4.25 , 31.97 ,,     ,014949069486,     ,     ,FALL COLOR,"45""H", 5 ,     , 407 ,05/15/15  
OR,    ,069455,#5,QUERCUS PALUSTRIS,Quercus palustris                                           ,Pin Oak                                                     ,TRE,04,, 25.50 , 21.42 , 4.25 , 25.67 ,,     ,014949694558,     ,     ,FALL COLOR,"76""H", 5 , 15 ,     ,          
OR,    ,069315,#5,QUERCUS ROBUR FASTIGIATA,Quercus robur 'Fastigiata'                                  ,Columnar English Oak                                        ,TRE,05,, 35.00 , 29.40 , 4.25 , 33.65 ,,     ,014949693155,     ,     ,FALL COLOR,"72""H", 5 , 25 ,     ,          
OR,    ,069255,#5,QUERCUS RUBRA,Quercus rubra                                               ,Northern Red Oak                                            ,TRE,04,, 25.50 , 21.42 , 4.25 , 25.67 ,,     ,014949692554,     ,     ,FALL COLOR,"72""H", 5 , 2 ,     ,          
OR,    ,070465,#5,SALIX CAP KILMARNOCK(S C PEND),Salix caprea 'Kilmarnock'                                   ,Kilmarnock Willow                                           ,TRE,04,, 35.00 , 29.40 , 4.25 , 33.65 ,,     ,014949704653,     ,     ,FALL COLOR,"50""H", 5 , 288 ,     ,          
OR,    ,071185,#5,SORBUS HUPEHEN CORAL FIRE TM,Sorbus hupehensis 'Coral Fire'                              ,Coral Fire™  Mountain Ash,TRE,02,, 35.00 , 29.40 , 4.25 , 33.65 ,,     ,014949711859,     ,     ,FALL COLOR,"84""H", 5 , 152 ,     ,          
OR,    ,071595,#5,STEWARTIA PSEUDOCAMELLIA,Stewartia pseudocamellia                                    ,Japanese Stewartia                                          ,TRE,05,, 43.50 , 36.54 , 4.25 , 40.79 ,,     ,014949715956,     ,     ,FALL COLOR,"54""H", 5 , 17 ,     ,          
OR,    ,071735,#5,STYRAX JAPONICUS,Styrax japonicus                                            ,Japanese Snowbell Tree                                      ,TRE,05,, 35.00 , 29.40 , 4.25 , 33.65 ,,     ,014949717356,     ,     ,FALL COLOR,"50""H", 5 , 7 ,     ,          
OR,2011,053125TR,#5 TREE,TROCHODENDRON ARALIOIDES,Trochodendron aralioides                                    ,Taiwanese Parasol Tree                                      ,TRE,07,HIN, 35.00 , 29.40 , 4.25 , 33.65 ,,     ,014949345733,     ,     ,-,"18""S", 2 , 22 ,     ,          
OR,2013,056525,#5,ULMUS X FRONTIER,Ulmus (carpinifolia x parvifolia) 'Frontier'                ,Frontier Hybrid Elm                                         ,TRE,04,, 35.00 , 29.40 , 4.25 , 33.65 ,,     ,014949288641,     ,     ,FALL COLOR,"60""H", 5 , 3 ,     ,          
OR,2012,066705,#5,ZELKOVA SERRATA GOLD FALLS TM,Zelkova serrata 'Gold Falls'                                ,Gold Falls™  Zelkova,TRE,05,CCN, 35.00 , 29.40 , 4.25 , 33.65 ,,     ,014949324219,     ,     ,FALL COLOR,"64""H", 5 , 6 , 6 ,03/01/15  
