Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2015 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On
OR,    ,000805,#5,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949008058,     ,     ,FALL COLOR,"36""H", 5 , 9 ,     ,          
OR,    ,000952ST,#2 STAKED,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,, 37.75 , 31.71 , 2.13 , 33.84 ,,     ,014949009529,     ,     ,FALL COLOR,"24""H-14""S", 5 ,     , 597 ,05/01/15  
OR,    ,000955ST,#5 STAKED,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949009550,     ,     ,-,"36""H-15""S", 5 , 97 ,     ,          
OR,    ,00095MST,#10 Squat STAKED,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,, 118.00 , 99.12 , 15.32 , 114.44 ,,     ,014949009673,     ,     ,-,"39""H-33""S", 2 , 20 ,     ,          
OR,    ,000842,#2,ACER PAL EMPEROR I R,Acer palmatum 'Wolff'                                       ,Emperor I®  Japanese Maple,TRE,05,AJO, 37.75 , 31.71 , 2.13 , 33.84 ,,     ,014949008423,     ,     ,FALL COLOR,"36""H", 5 , 20 ,     ,          
OR,    ,000845,#5,ACER PAL EMPEROR I R,Acer palmatum 'Wolff'                                       ,Emperor I®  Japanese Maple,TRE,05,AJO, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949008454,     ,     ,-,"45""H", 5 ,     , 190 ,05/01/15  
OR,    ,00084M,#10 Squat,ACER PAL EMPEROR I R,Acer palmatum 'Wolff'                                       ,Emperor I®  Japanese Maple,TRE,05,AJO, 118.00 , 99.12 , 15.32 , 114.44 ,,     ,014949008577,     ,     ,FALL COLOR,"62""H", 2 , 7 ,     ,          
OR,    ,033215,#5,ACER PAL KAGIRI NISHIKI,Acer palmatum 'Kagiri Nishiki'                              ,Kagiri Nishiki Japanese Maple                               ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949071212,     ,     ,FALL COLOR,"48""H", 5 , 70 , 70 ,05/01/15  
OR,    ,018345,#5,ACER PAL OSAKAZUKI,Acer palmatum 'Osakazuki'                                   ,Osakazuki Japanese Maple                                    ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949007761,     ,     ,FALL COLOR,"48""H - 15""S", 5 , 310 ,     ,          
OR,    ,001052,#2,ACER PAL OSHIO BENI,Acer palmatum 'Oshio-Beni'                                  ,Oshio-Beni Japanese Maple                                   ,TRE,05,, 37.75 , 31.71 , 2.13 , 33.84 ,,     ,014949010525,     ,     ,FALL COLOR,"30""H", 5 ,     , 220 ,05/01/15  
OR,2011,010392ST,#2 STAKED,ACER PAL RED DRAGON,Acer palmatum dissectum 'Red Dragon'                        ,Red Dragon Japanese Maple                                   ,TRE,05,, 37.75 , 31.71 , 2.13 , 33.84 ,,     ,014949317631,     ,     ,FALL COLOR,"22""H-12""S", 5 ,     , 8 ,05/01/15  
OR,2011,010395ST,#5 STAKED,ACER PAL RED DRAGON,Acer palmatum dissectum 'Red Dragon'                        ,Red Dragon Japanese Maple                                   ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949273999,     ,     ,FALL COLOR,"36""H - 12""S", 5 ,     , 188 ,05/01/15  
OR,    ,001022,#2,ACER PAL SANGOKAKU,Acer palmatum 'Sangokaku'                                   ,Coral Bark Japanese Maple                                   ,TRE,05,, 37.75 , 31.71 , 2.13 , 33.84 ,,     ,014949220221,     ,     ,FALL COLOR,"42""H", 5 ,     , 41 ,05/01/15  
OR,    ,001025,#5,ACER PAL SANGOKAKU,Acer palmatum 'Sangokaku'                                   ,Coral Bark Japanese Maple                                   ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949010259,     ,     ,FALL COLOR,"45""H", 5 ,     ," 1,296 ",05/01/15  
OR,    ,001215,#5,ACER PAL SHAINA,Acer palmatum 'Shaina'                                      ,Shaina Japanese Maple                                       ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949012154,     ,     ,FALL COLOR,"33""H", 5 , 10 , 10 ,05/01/15  
OR,2014,031825,#5,ACER PAL SHIN DESHOJO,Acer palmatum 'Deshojo'                                     ,Deshojo Japanese Maple                                      ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949317655,     ,     ,FALL COLOR,"48""H", 5 , 12 , 12 ,05/01/15  
OR,    ,018332,#2,ACER PAL SHISHIGASHIRA,Acer palmatum 'Shishigashira'                               ,Shishigashira Japanese Maple                                ,TRE,05,, 37.75 , 31.71 , 2.13 , 33.84 ,,     ,014949305652,     ,     ,FALL COLOR,"27""H", 5 ,     , 125 ,05/01/15  
OR,    ,018335,#5,ACER PAL SHISHIGASHIRA,Acer palmatum 'Shishigashira'                               ,Shishigashira Japanese Maple                                ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949007730,     ,     ,FALL COLOR,"26""H-18""S", 5 , 17 ,     ,          
OR,    ,033962,#2,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,TRE,05,, 37.75 , 31.71 , 2.13 , 33.84 ,,     ,014949416549,     ,     ,FALL COLOR,"33""H", 5 , 43 , 78 ,05/01/15  
OR,    ,033965,#5,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949224038,     ,     ,FALL COLOR,"48""H", 5 ,     , 3 ,05/15/15  
OR,    ,033969,#15,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,TRE,05,, 147.00 , 123.48 , 21.27 , 144.75 ,,     ,014949237120,     ,     ,FALL COLOR,"72""H", 1 ,     , 11 ,05/01/15  
OR,    ,000902ST,#2 STAKED,ACER PAL WATERFALL,Acer palmatum 'Waterfall'                                   ,Waterfall Japanese Maple                                    ,TRE,05,, 37.75 , 31.71 , 2.13 , 33.84 ,,     ,014949009024,     ,     ,FALL COLOR,"24""H-12""S", 5 ,     , 650 ,05/01/15  
OR,    ,000905ST,#5 STAKED,ACER PAL WATERFALL,Acer palmatum 'Waterfall'                                   ,Waterfall Japanese Maple                                    ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949009055,     ,     ,FALL COLOR,"36""H", 5 ,     , 4 ,05/15/15  
OR,    ,000655,#5,ACER PALMATUM,Acer palmatum                                               ,Japanese Maple                                              ,TRE,05,, 23.50 , 19.74 , 4.25 , 23.99 ,,     ,014949006559,     ,     ,-,"42""H", 5 ,     , 45 ,05/01/15  
OR,    ,000655MU,#5 CLUMP,ACER PALMATUM,Acer palmatum                                               ,Japanese Maple                                              ,TRE,05,, 29.00 , 24.36 , 4.25 , 28.61 ,,     ,014949006757,     ,     ,-,"45""H", 5 ,     , 26 ,05/01/15  
